player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
LaQuinston Sharp,99095,C,MISS STATE,13,0,227,83.8,0,7,746,100.0,100.0,99.3,0,9,2,786,786,83.6,0,1,145,100.0,100.0,99.0,2,1,151,151
Boe Wilson,41394,G,W KENTUCKY,14,1,346,87.1,0,8,732,100.0,100.0,99.3,3,9,1,777,777,80.3,0,4,209,100.0,100.0,98.6,5,1,225,225
Rusty Staats,81941,C,W KENTUCKY,14,0,346,76.8,0,6,732,100.0,100.0,99.6,1,6,0,777,777,75.1,0,1,209,100.0,100.0,99.8,1,0,225,225
Quantavious Leslie,123456,G,W KENTUCKY,14,0,346,82.6,1,13,732,100.0,100.0,98.8,0,16,2,777,777,66.0,1,8,209,100.0,100.0,97.4,10,1,225,225
Mason Brooks,81938,T,W KENTUCKY,14,1,346,75.7,1,14,730,100.0,100.0,98.4,1,19,4,775,775,61.8,1,10,209,100.0,100.0,95.5,15,4,225,225
Kameron Jones,81739,G,MISS STATE,13,1,227,78.6,2,14,733,100.0,100.0,98.5,5,19,3,773,773,40.0,2,9,143,100.0,100.0,95.5,12,1,149,149
Cole Spencer,60236,T,W KENTUCKY,13,0,346,90.7,4,6,683,100.0,100.0,99.0,2,12,2,724,724,79.2,2,4,198,100.0,100.0,97.5,8,2,214,214
Charles Cross,98401,T,MISS STATE,12,2,227,84.7,0,14,680,100.0,100.0,98.7,6,16,2,719,719,79.8,0,6,119,100.0,100.0,97.5,6,0,125,125
Scott Lashley,40723,T,MISS STATE,12,5,227,63.6,5,23,648,100.0,100.0,96.8,8,35,7,680,680,50.0,3,6,115,100.0,100.0,92.6,13,4,120,120
Olusegun Oluwatimi,98581,C,VIRGINIA,12,1,335,75.3,5,12,630,100.0,100.0,98.2,1,20,3,664,664,61.1,4,11,298,100.0,100.0,96.8,17,2,319,319
Carter Warren,60023,T,PITTSBURGH,14,1,268,76.6,2,18,617,99.4,99.4,97.6,3,25,5,651,655,83.2,2,9,324,100.0,100.0,97.1,15,4,342,342
Evan Neal,99063,T,ALABAMA,15,0,103,83.6,5,8,626,100.0,100.0,98.6,0,15,2,650,650,74.6,4,5,226,100.0,100.0,97.6,10,1,233,233
Tyler Orsini,101264,C,NEVADA,13,0,239,61.5,4,21,608,100.0,100.0,97.1,1,30,5,645,645,56.8,1,7,170,100.0,100.0,94.7,13,5,187,187
Aaron Frost,82350,T,NEVADA,13,0,239,55.2,8,32,604,100.0,100.0,96.0,3,44,4,642,642,41.3,3,18,172,100.0,100.0,92.7,23,2,190,190
Gus Hartwig,129814,C,PURDUE,13,1,273,71.3,0,11,610,100.0,100.0,98.4,2,15,4,640,640,57.5,0,7,120,100.0,100.0,96.2,8,1,130,130
Loic Ngassam Nya,55442,G,WAKE,14,1,339,74.1,3,10,600,100.0,100.0,98.1,3,18,5,636,636,72.6,2,6,233,100.0,100.0,97.0,11,3,246,246
Sean Maginn,55446,G,WAKE,14,0,339,58.9,4,17,599,100.0,100.0,97.7,0,24,3,635,635,42.8,3,10,232,100.0,100.0,95.9,16,3,245,245
DeVonte Gordon,98391,T,WAKE,14,0,339,71.6,3,22,597,100.0,100.0,96.7,2,32,7,633,633,65.0,2,12,229,100.0,100.0,93.9,21,7,242,242
Tyler Witt,40256,G,PURDUE,13,0,273,74.2,0,14,603,100.0,100.0,98.5,0,16,2,633,633,61.7,0,7,119,100.0,100.0,97.1,7,0,129,129
Zach Tom,55443,T,WAKE,14,2,339,92.1,2,8,597,100.0,100.0,98.7,2,13,3,633,633,88.5,1,4,231,100.0,100.0,98.1,7,2,244,244
Andre Harris Jr.,58501,T,ARK STATE,12,0,113,85.2,1,13,602,100.0,99.8,98.3,1,17,3,633,634,79.6,1,6,175,100.0,100.0,97.4,8,1,189,189
