player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Daughtry Richardson,156281,T,FAU,8,99.7,1,165,56.9,63.3,53.1,4,10,414,99.5,99.5,97.3,5,18,4,647,0,0,0,649,438,440,0,643,209,2
Scarlee Jean,160961,G,FAU,8,99.7,0,165,62.9,80.6,56.5,0,11,414,99.5,99.5,98.7,4,11,0,647,0,564,78,649,438,440,0,2,209,1
Vincent Fiacable,144836,C,FAU,8,100.0,0,165,69.7,88.4,60.4,0,2,416,100.0,100.0,99.8,2,2,0,646,646,0,0,646,438,438,0,0,208,0
Ryan Lengyel,144516,G,BAYLOR,8,100.0,0,118,64.3,63.4,62.6,2,12,354,100.0,100.0,97.5,0,16,2,631,0,631,0,631,389,389,0,0,242,0
Tristian Smith,163472,G,ARK STATE,8,100.0,1,113,75.8,88.5,70.8,0,3,358,100.0,100.0,99.3,3,4,1,619,0,619,0,619,386,386,0,0,233,0
Kaden Sieracki,158571,T,BAYLOR,8,100.0,2,118,66.8,61.1,66.6,0,19,347,100.0,100.0,97.3,2,19,0,617,0,0,0,617,382,382,0,617,235,0
Riley McGehee,188347,T,ARK STATE,8,100.0,0,113,67.4,70.7,61.9,0,18,357,100.0,100.0,96.6,2,21,3,609,0,0,367,609,385,385,0,242,224,0
Zhen Sotelo,146067,G,HAWAII,8,100.0,0,180,65.1,72.7,60.6,0,4,424,100.0,100.0,99.5,2,4,0,609,0,607,0,609,445,445,0,1,164,0
Will Flowers,138993,C,APP STATE,8,100.0,0,108,60.3,70.7,61.4,0,4,361,100.0,100.0,99.2,7,5,1,608,608,0,0,608,380,380,0,0,228,0
James Milovale,175703,T,HAWAII,8,100.0,0,180,60.5,61.1,59.1,4,9,424,100.0,100.0,97.8,4,16,3,608,0,0,0,608,445,445,0,607,163,1
Wil Saxton,156838,G,ARK STATE,8,100.0,0,113,61.6,72.0,56.4,1,12,353,100.0,100.0,97.6,3,15,2,605,0,0,0,605,381,381,605,0,224,0
Everett Small,184060,T,E MICHIGAN,9,100.0,0,160,68.0,74.0,65.0,0,12,324,100.0,100.0,97.5,2,14,2,604,149,0,455,604,340,340,0,0,264,0
Brycen Sanders,172527,C,OLE MISS,8,100.0,1,226,54.4,61.4,51.3,2,6,290,100.0,100.0,98.6,2,8,0,602,601,0,0,602,309,309,1,0,293,0
Max Iheanachor,171881,T,ARIZONA ST,8,100.0,2,110,73.3,78.8,64.4,2,8,339,100.0,100.0,98.5,3,10,0,600,0,0,0,600,366,366,0,600,234,0
Jayden Williams,146815,T,OLE MISS,8,100.0,0,226,65.9,75.8,57.3,1,11,290,100.0,100.0,97.6,0,13,1,600,0,0,0,600,309,309,0,598,291,1
Patrick Kutas,163635,G,OLE MISS,8,100.0,0,226,61.4,73.3,61.9,1,6,290,100.0,100.0,98.4,4,8,1,600,0,0,0,600,309,309,599,1,291,0
Simon Wilson,170493,C,TULSA,8,100.0,2,320,65.0,72.5,61.0,2,2,318,100.0,100.0,99.4,3,4,0,599,588,0,0,599,341,341,11,0,258,0
Cayden Sweatt,175006,G,APP STATE,8,100.0,0,108,67.2,73.8,63.2,1,5,356,100.0,100.0,98.6,1,8,2,598,0,598,0,598,374,374,0,0,224,0
Diego Pounds,143976,T,OLE MISS,8,100.0,0,226,61.9,64.7,58.5,3,5,287,100.0,100.0,98.6,2,8,0,597,0,1,595,597,306,306,0,0,291,0
Kyle Scott,171888,G,ARIZONA ST,8,100.0,0,110,61.7,61.4,60.6,1,13,331,100.0,100.0,97.3,1,16,2,589,0,0,0,589,355,355,589,0,234,0
Kwabena Asamoah,156503,G,RUTGERS,8,100.0,0,278,74.0,80.6,71.3,2,5,314,100.0,100.0,98.6,0,8,1,581,0,0,0,581,330,330,581,0,251,0
Bryan Felter,129877,G,RUTGERS,8,100.0,0,278,64.6,58.3,65.7,3,7,314,100.0,100.0,97.5,1,13,3,581,0,581,0,581,330,330,0,0,251,0
