player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Will Jeffcoat,147322,G,ARMY,2,0,114,67.8,100.0,50,39.4,50,78.5,0,100.0,127,127,75.1,100.0,23,18.1,23
Paolo Gennarelli,170976,G,ARMY,2,0,114,60.3,100.0,50,39.4,50,58.2,0,100.0,127,127,60.4,100.0,23,18.1,23
Henry Appleton,170956,T,ARMY,2,0,114,51.8,100.0,50,39.4,50,53.4,0,100.0,127,127,66.5,100.0,23,18.1,23
Brady Small,171015,C,ARMY,2,0,114,62.1,100.0,50,39.4,50,59.1,0,100.0,127,127,55.0,100.0,23,18.1,23
Teddy Williams,171030,T,ARMY,2,0,114,69.5,100.0,50,39.7,50,65.9,0,100.0,126,126,69.4,100.0,23,18.3,23
Parker Poloskey,171004,T,ARMY,2,0,114,56.7,100.0,43,38.7,43,54.9,0,100.0,111,111,50.2,100.0,19,17.1,19
David Stickle,122419,C,RICE,2,0,275,59.9,100.0,68,69.4,68,59.9,0,100.0,98,98,59.2,100.0,23,23.5,23
Luke Miller,190648,T,RICE,2,0,275,63.6,100.0,66,68.0,66,51.8,0,100.0,97,97,51.7,100.0,23,23.7,23
Reid Williams,129405,C,UNLV,3,0,325,63.1,100.0,54,56.3,54,69.7,0,100.0,96,96,70.9,100.0,31,32.3,31
Samari Howard,170984,FB,ARMY,2,0,114,59.8,100.0,36,37.9,36,64.1,0,100.0,95,95,54.8,100.0,18,18.9,18
Malik McGowan,122842,G,UNLV,3,0,325,66.7,100.0,52,55.3,52,66.0,1,100.0,94,94,61.8,100.0,30,31.9,30
Ben Purvis,162577,G,NAVY,2,0,237,62.0,100.0,53,57.0,53,63.9,0,100.0,93,93,62.5,100.0,12,12.9,12
Brendan Black,174658,G,IOWA STATE,3,0,193,71.4,100.0,39,41.9,39,61.7,0,100.0,93,93,52.1,100.0,46,49.5,46
Jim Bonifas,144544,C,IOWA STATE,3,0,193,66.1,100.0,37,39.8,37,61.6,0,100.0,93,93,57.7,100.0,48,51.6,48
