player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Justin Osborne,99071,G,SMU,1,100.0,0,287,62.0,84.8,55.5,0,0,41,100.0,100.0,97.6,0,1,1,78,0,0,0,78,46,46,77,1,32,0
Jakai Clark,97645,C,SMU,1,100.0,0,287,59.1,64.0,64.7,0,2,41,100.0,100.0,97.6,2,2,0,78,78,0,0,78,46,46,0,0,32,0
PJ Williams,158685,T,SMU,1,100.0,0,287,66.0,64.6,64.3,1,1,41,100.0,100.0,97.6,0,2,0,78,0,0,0,78,46,46,0,75,32,3
Kelvin Banks Jr.,163839,T,TEXAS,1,100.0,0,311,75.3,75.3,71.8,0,0,29,100.0,100.0,100.0,0,0,0,75,0,0,75,75,32,32,0,0,43,0
Hayden Conner,144723,G,TEXAS,1,100.0,0,311,65.8,83.8,61.0,0,0,29,100.0,100.0,100.0,0,0,0,75,46,29,0,75,32,32,0,0,43,0
Logan Parr,123125,G,SMU,1,100.0,0,287,62.3,78.1,57.4,1,0,40,100.0,100.0,98.7,1,1,0,75,0,75,0,75,45,45,0,0,30,0
Savion Byrd,144626,T,SMU,1,100.0,0,287,43.9,2.6,64.4,0,5,40,100.0,100.0,91.2,2,6,1,75,0,0,73,75,45,45,0,0,30,2
Cooper Mays,124289,C,TENNESSEE,1,100.0,0,307,64.8,72.1,65.3,0,0,44,100.0,100.0,97.7,1,1,1,71,71,0,0,71,45,45,0,0,26,0
Lance Heard,172477,T,TENNESSEE,1,100.0,0,307,47.1,66.6,37.4,1,0,44,100.0,100.0,96.6,0,2,1,71,0,0,71,71,45,45,0,0,26,0
Andrej Karic,123120,G,TENNESSEE,1,100.0,0,307,58.4,68.0,54.3,0,1,44,100.0,100.0,98.9,0,1,0,71,0,71,0,71,45,45,0,0,26,0
DJ Campbell,163844,G,TEXAS,1,100.0,0,311,67.0,85.0,63.7,0,0,27,100.0,100.0,100.0,0,0,0,69,0,0,0,69,30,30,69,0,39,0
Billy Schrauth,156979,G,NOTRE DAME,1,100.0,0,258,59.1,65.8,56.1,0,3,40,100.0,100.0,96.2,0,3,0,68,0,68,0,68,41,41,0,0,27,0
Marcus Tate,144140,G,CLEMSON,1,100.0,0,140,69.1,61.0,72.0,0,2,47,100.0,100.0,97.9,0,2,0,68,0,68,0,68,48,48,0,0,20,0
Ryan Linthicum,144122,C,CLEMSON,1,100.0,0,140,63.9,75.3,58.8,0,0,47,100.0,100.0,100.0,0,0,0,68,68,0,0,68,48,48,0,0,20,0
Tristan Leigh,144121,T,CLEMSON,1,100.0,0,140,53.4,38.6,61.3,3,1,47,100.0,100.0,95.7,0,4,0,68,0,0,68,68,48,48,0,0,20,0
Blake Miller,156248,T,CLEMSON,1,100.0,0,140,72.7,71.9,71.6,0,1,47,100.0,100.0,96.8,0,2,1,68,0,0,0,68,48,48,0,68,20,0
Aamil Wagner,156973,T,NOTRE DAME,1,100.0,0,258,72.0,79.0,66.2,0,1,40,100.0,100.0,98.7,0,1,0,68,0,0,0,68,41,41,0,68,27,0
Pat Coogan,147482,C,NOTRE DAME,1,100.0,0,258,54.4,70.5,50.1,0,1,40,100.0,100.0,98.7,0,1,0,68,68,0,0,68,41,41,0,0,27,0
Anthonie Knapp,184097,T,NOTRE DAME,1,100.0,0,258,46.3,29.7,52.9,0,6,40,100.0,100.0,92.5,0,6,0,68,0,0,68,68,41,41,0,0,27,0
Mike Katic,101575,C,INDIANA,1,100.0,0,190,65.4,86.1,58.1,0,0,37,100.0,100.0,100.0,0,0,0,67,67,0,0,67,42,42,0,0,25,0
Bray Lynch,156401,G,INDIANA,1,100.0,0,190,58.6,57.5,57.2,0,2,37,100.0,100.0,97.3,0,2,0,67,0,0,0,67,42,42,67,0,25,0
Carter Smith,156399,T,INDIANA,1,100.0,0,190,70.9,73.5,67.1,0,2,37,100.0,100.0,97.3,1,2,0,67,0,0,67,67,42,42,0,0,25,0
