player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Terrence Enos Jr.,144020,T,PITTSBURGH,1,100.0,1,268,39.1,57.3,46.7,0,2,40,100.0,100.0,97.5,3,2,0,104,0,0,0,104,45,45,0,104,59,0
Ryan Baer,156362,T,PITTSBURGH,1,100.0,0,268,66.9,64.8,64.9,2,0,40,100.0,100.0,95.0,0,3,1,104,0,0,104,104,45,45,0,0,59,0
Lyndon Cooper,143987,C,PITTSBURGH,1,100.0,0,268,72.2,75.7,68.0,0,0,40,100.0,100.0,100.0,0,0,0,104,104,0,0,104,45,45,0,0,59,0
Joseph Harbert,157842,C,S JOSE ST,1,100.0,0,285,38.0,28.0,42.6,1,3,60,100.0,100.0,96.7,1,4,0,103,103,0,0,103,68,68,0,0,35,0
Ben Coleman,100518,G,ARIZONA ST,1,100.0,0,110,64.8,75.2,61.6,0,2,54,100.0,100.0,98.1,0,2,0,103,0,102,0,103,58,58,0,0,45,0
Peseti Lapuaho,159070,T,S JOSE ST,1,100.0,0,285,40.0,8.6,58.7,1,5,60,100.0,100.0,95.0,0,6,0,103,0,0,0,103,68,68,0,103,35,0
Malik Williams,128441,T,S JOSE ST,1,100.0,0,285,60.7,43.3,69.2,1,2,60,100.0,100.0,97.5,0,3,0,103,0,0,103,103,68,68,0,0,35,0
Sione Nomani,188840,G,S JOSE ST,1,100.0,0,285,60.4,48.7,62.5,0,2,60,100.0,100.0,98.3,0,2,0,103,0,103,0,103,68,68,0,0,35,0
Leif Fautanu,101261,C,ARIZONA ST,1,100.0,0,110,60.9,46.8,63.0,0,2,53,100.0,100.0,98.1,0,2,0,102,102,0,0,102,57,57,0,0,45,0
Kyle Scott,171888,G,ARIZONA ST,1,100.0,0,110,60.4,65.5,57.8,0,3,53,100.0,100.0,97.2,0,3,0,102,0,0,0,102,57,57,102,0,45,0
Max Iheanachor,171881,T,ARIZONA ST,1,100.0,0,110,62.3,63.4,59.7,0,2,53,100.0,100.0,96.2,0,3,1,102,0,0,0,102,57,57,0,102,45,0
Josh Atkins,144243,T,ARIZONA ST,1,100.0,0,110,61.4,67.6,57.0,0,6,51,100.0,100.0,94.1,0,6,0,99,0,0,99,99,55,55,0,0,44,0
Ryan Jacoby,98405,G,PITTSBURGH,1,100.0,0,268,55.2,53.1,54.1,0,0,36,100.0,100.0,97.2,0,1,1,93,0,93,0,93,41,41,0,0,52,0
Ryan Lengyel,144516,G,BAYLOR,1,100.0,0,118,65.8,81.0,60.9,0,0,55,100.0,100.0,100.0,1,0,0,90,0,90,0,90,61,61,0,0,29,0
Coleton Price,158567,C,BAYLOR,1,100.0,1,118,57.7,58.4,60.6,0,0,55,100.0,100.0,100.0,1,0,0,90,90,0,0,90,61,61,0,0,29,0
