player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Pat Coogan,147482,C,NOTRE DAME,1,100.0,0,258,63.9,60.2,63.0,0,0,37,100.0,100.0,97.3,0,1,1,75,75,0,0,75,40,40,0,0,35,0
Aamil Wagner,156973,T,NOTRE DAME,1,100.0,0,258,65.9,58.3,66.8,1,3,37,100.0,100.0,91.9,0,5,1,75,0,0,0,75,40,40,0,75,35,0
Billy Schrauth,156979,G,NOTRE DAME,1,100.0,0,258,63.0,83.4,57.9,0,0,37,100.0,100.0,100.0,0,0,0,75,0,75,0,75,40,40,0,0,35,0
Kelvin Banks Jr.,163839,T,TEXAS,1,100.0,0,311,75.8,86.4,67.4,0,1,44,100.0,100.0,98.9,0,1,0,71,0,0,71,71,47,47,0,0,24,0
Cameron Williams,163867,T,TEXAS,1,100.0,0,311,50.1,38.4,62.3,1,2,44,100.0,100.0,92.0,1,5,2,71,0,0,0,71,47,47,0,71,24,0
Jake Majors,123123,C,TEXAS,1,100.0,0,311,60.8,72.9,60.5,0,1,44,100.0,100.0,98.9,1,1,0,71,71,0,0,71,47,47,0,0,24,0
Hayden Conner,144723,G,TEXAS,1,100.0,0,311,51.1,44.4,49.6,2,1,44,100.0,100.0,96.6,0,3,0,71,0,71,0,71,47,47,0,0,24,0
Nick Dawkins,129773,C,PENN STATE,1,100.0,0,266,64.1,71.4,61.2,0,0,28,100.0,100.0,100.0,0,0,0,67,67,0,0,67,30,30,0,0,37,0
Sal Wormley,101559,G,PENN STATE,1,100.0,0,266,74.4,60.9,76.0,0,1,28,100.0,100.0,98.2,0,1,0,67,0,1,0,67,30,30,66,0,37,0
Drew Shelton,164186,T,PENN STATE,1,100.0,0,266,64.9,64.4,63.0,0,1,28,100.0,100.0,98.2,0,1,0,67,0,0,66,67,30,30,0,0,37,1
Olaivavega Ioane,164174,G,PENN STATE,1,100.0,0,266,60.4,75.6,61.4,0,1,28,100.0,100.0,98.2,1,1,0,67,0,64,1,67,30,30,0,0,37,0
Nolan Rucci,145179,T,PENN STATE,1,100.0,0,266,70.6,72.2,67.3,0,0,28,100.0,100.0,100.0,0,0,0,67,0,0,0,67,30,30,1,66,37,0
Tosh Baker,122892,T,NOTRE DAME,1,100.0,0,258,41.5,21.3,49.9,0,4,31,100.0,100.0,90.3,0,5,1,61,0,0,61,61,34,34,0,0,27,0
Donovan Jackson,145064,T,OHIO STATE,1,100.0,0,260,74.1,86.2,65.6,0,1,36,100.0,100.0,98.6,0,1,0,60,0,0,60,60,38,38,0,0,22,0
Josh Fryar,129746,T,OHIO STATE,1,100.0,0,260,59.6,69.9,60.1,0,3,36,100.0,100.0,95.8,2,3,0,60,0,0,0,60,38,38,0,59,22,1
Luke Montgomery,170261,G,OHIO STATE,1,100.0,0,260,62.9,70.3,66.3,0,0,36,100.0,100.0,94.4,1,2,2,60,0,60,0,60,38,38,0,0,22,0
