player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Luke Montgomery,170261,G,OHIO STATE,1,100.0,0,260,56.2,35.0,57.9,0,0,25,100.0,100.0,100.0,0,0,0,64,0,64,0,64,27,27,0,0,37,0
Josh Fryar,129746,T,OHIO STATE,1,100.0,0,260,55.9,47.1,57.6,0,1,25,100.0,100.0,98.0,1,1,0,64,0,0,0,64,27,27,0,64,37,0
Donovan Jackson,145064,T,OHIO STATE,1,100.0,0,260,70.5,74.5,66.6,0,0,25,100.0,100.0,100.0,0,0,0,64,0,0,64,64,27,27,0,0,37,0
Carson Hinzman,162867,C,OHIO STATE,1,100.0,0,260,56.4,51.8,57.0,0,3,25,100.0,100.0,94.0,0,3,0,64,64,0,0,64,27,27,0,0,37,0
Rocco Spindler,147478,G,NOTRE DAME,1,100.0,0,258,64.7,81.9,60.0,0,1,35,100.0,100.0,98.6,0,1,0,63,0,0,0,63,41,41,63,0,22,0
Charles Jagusah,171087,G,NOTRE DAME,1,100.0,0,258,65.2,66.9,69.2,1,1,35,100.0,100.0,94.3,1,3,1,63,0,0,63,63,41,41,0,0,22,0
Billy Schrauth,156979,G,NOTRE DAME,1,100.0,0,258,51.2,49.1,49.0,0,0,35,100.0,100.0,100.0,0,0,0,63,0,63,0,63,41,41,0,0,22,0
Aamil Wagner,156973,T,NOTRE DAME,1,100.0,0,258,64.0,53.7,67.2,0,3,35,100.0,100.0,95.7,0,3,0,63,0,0,0,63,41,41,0,63,22,0
Pat Coogan,147482,C,NOTRE DAME,1,100.0,0,258,64.5,80.4,58.7,1,0,35,100.0,100.0,98.6,0,1,0,63,63,0,0,63,41,41,0,0,22,0
Tegra Tshabola,75288,G,OHIO STATE,1,100.0,0,260,65.1,57.9,65.2,0,1,15,100.0,100.0,96.7,0,1,0,37,0,0,0,37,15,15,37,0,22,0
Will Kacmarek,145896,TE,OHIO STATE,1,89.5,0,260,72.0,71.8,71.6,0,0,2,33.3,50.0,100.0,0,0,0,34,0,0,0,38,4,8,0,0,30,36
Jeremiah Smith,183710,WR,OHIO STATE,1,54.8,0,260,74.4,,73.7,0,0,0,0.0,0.0,,0,0,0,34,0,0,0,62,0,27,0,0,34,0
Emeka Egbuka,145055,WR,OHIO STATE,1,50.0,0,260,63.3,,49.2,0,0,0,0.0,0.0,,0,0,0,27,0,0,0,54,0,26,0,0,27,5
Austin Siereveld,170269,G,OHIO STATE,1,100.0,0,260,59.3,81.8,56.0,0,0,10,100.0,100.0,100.0,0,0,0,27,0,0,0,27,12,12,27,0,15,0
Will Howard,122599,QB,OHIO STATE,1,39.1,0,260,88.8,,60.0,0,0,0,0.0,0.0,,0,0,0,25,0,0,0,64,0,27,0,0,25,0
Carnell Tate,170273,WR,OHIO STATE,1,46.5,0,260,62.4,,54.7,0,0,0,0.0,0.0,,0,0,0,20,0,0,0,43,0,23,0,0,20,1
Jeremiyah Love,171090,HB,NOTRE DAME,1,48.8,0,258,59.9,80.1,53.8,0,0,8,33.3,32.0,100.0,0,0,0,20,0,0,0,41,8,25,0,0,12,0
