player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Logan Parr,123125,G,SMU,1,100.0,0,287,55.8,68.7,49.7,0,2,55,100.0,100.0,98.2,0,2,0,88,0,88,0,88,57,57,0,0,31,0
Savion Byrd,144626,T,SMU,1,100.0,0,287,60.0,57.1,59.5,1,3,55,100.0,100.0,94.5,1,5,1,88,0,0,88,88,57,57,0,0,31,0
Justin Osborne,99071,G,SMU,1,100.0,0,287,64.6,66.1,63.7,1,1,55,100.0,100.0,98.2,0,2,0,88,1,0,0,88,57,57,87,0,31,0
Jakai Clark,97645,C,SMU,1,100.0,0,287,61.6,85.1,57.0,0,0,55,100.0,100.0,100.0,1,0,0,87,87,0,0,87,57,57,0,0,30,0
PJ Williams,158685,T,SMU,1,100.0,0,287,64.9,75.9,56.3,0,3,53,100.0,100.0,97.2,0,3,0,85,0,0,0,85,55,55,0,84,30,1
Trevor Goosby,176177,T,TEXAS,1,100.0,0,311,55.3,63.8,49.1,0,3,52,100.0,100.0,97.1,0,3,0,78,0,0,78,78,55,55,0,0,23,0
Hayden Conner,144723,G,TEXAS,1,100.0,0,311,58.7,81.7,48.9,0,2,52,100.0,100.0,98.1,0,2,0,78,0,78,0,78,55,55,0,0,23,0
Jake Majors,123123,C,TEXAS,1,100.0,0,311,65.4,69.6,62.2,1,2,52,100.0,100.0,97.1,0,3,0,78,78,0,0,78,55,55,0,0,23,0
Cameron Williams,163867,T,TEXAS,1,100.0,0,311,50.3,66.7,43.4,0,4,52,100.0,100.0,94.2,2,5,1,77,0,0,0,77,55,55,0,76,22,1
Nick Dawkins,129773,C,PENN STATE,1,100.0,0,266,52.0,30.5,57.4,0,5,42,100.0,100.0,94.0,0,5,0,76,76,0,0,76,44,44,0,0,32,0
Sal Wormley,101559,G,PENN STATE,1,100.0,0,266,57.9,80.3,55.7,0,0,42,100.0,100.0,97.6,1,1,1,76,0,1,0,76,44,44,75,0,32,0
Nolan Rucci,145179,T,PENN STATE,1,100.0,0,266,71.2,68.8,69.7,0,1,42,100.0,100.0,98.8,0,1,0,76,0,0,1,76,44,44,0,74,32,0
Olaivavega Ioane,164174,G,PENN STATE,1,100.0,0,266,63.3,67.6,66.4,0,2,42,100.0,100.0,97.6,1,2,0,76,0,73,0,76,44,44,0,0,32,2
Drew Shelton,164186,T,PENN STATE,1,100.0,0,266,55.2,39.9,61.0,0,2,42,100.0,100.0,97.6,0,2,0,76,0,1,74,76,44,44,1,0,32,0
Ajani Cornelius,142968,T,OREGON,1,100.0,0,264,62.3,30.2,70.6,1,4,35,100.0,100.0,92.9,0,5,0,75,0,0,0,75,35,35,0,71,40,4
Josh Conerly Jr.,163291,T,OREGON,1,100.0,0,264,58.7,77.3,52.4,0,0,35,100.0,100.0,100.0,0,0,0,75,0,0,66,75,35,35,0,0,40,9
Iapani Laloulu,174128,C,OREGON,1,100.0,0,264,69.3,83.6,64.0,0,0,35,100.0,100.0,100.0,0,0,0,75,75,0,0,75,35,35,0,0,40,0
Tyler Miller,122526,T,IOWA STATE,1,100.0,0,193,52.6,61.1,46.2,1,3,44,100.0,100.0,95.5,0,4,0,74,0,0,0,74,47,47,0,74,27,0
Blake Miller,156248,T,CLEMSON,1,100.0,0,140,69.7,64.6,70.3,0,1,45,100.0,100.0,98.9,0,1,0,74,0,0,0,74,46,46,0,73,28,1
Tristan Leigh,144121,T,CLEMSON,1,100.0,0,140,45.7,31.5,51.9,0,3,45,100.0,100.0,94.4,0,4,1,74,0,0,73,74,46,46,0,1,28,0
Trevor Buhr,174661,G,IOWA STATE,1,100.0,0,193,59.9,78.8,53.8,0,0,44,100.0,100.0,100.0,0,0,0,74,0,74,0,74,47,47,0,0,27,0
Jarrod Hufford,99440,C,IOWA STATE,1,100.0,0,193,46.5,34.5,54.7,0,3,44,100.0,100.0,96.6,1,3,0,74,74,0,0,74,47,47,0,0,27,0
Ryan Linthicum,144122,C,CLEMSON,1,100.0,0,140,54.0,29.8,60.3,0,5,45,100.0,100.0,92.2,0,6,1,74,74,0,0,74,46,46,0,0,28,0
Brendan Black,174658,G,IOWA STATE,1,100.0,0,193,60.5,57.8,59.8,0,1,44,100.0,100.0,98.9,0,1,0,74,0,0,0,74,47,47,74,0,27,0
Jalen Travis,155412,T,IOWA STATE,1,100.0,0,193,74.0,86.1,65.4,0,1,44,100.0,100.0,98.9,1,1,0,74,0,0,74,74,47,47,0,0,27,0
Will O'Steen,125373,T,JVILLE ST,1,100.0,0,196,63.2,74.0,60.3,0,0,15,100.0,100.0,100.0,0,0,0,73,0,0,73,73,16,16,0,0,57,0
Daveion Harley,170423,C,JVILLE ST,1,100.0,0,196,68.3,79.1,64.7,0,0,15,100.0,100.0,100.0,0,0,0,73,73,0,0,73,16,16,0,0,57,0
Amare Grayson,189783,G,JVILLE ST,1,100.0,0,196,57.4,81.4,55.3,0,0,15,100.0,100.0,100.0,0,0,0,73,0,0,0,73,16,16,73,0,57,0
