player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Caleb Murphy,129449,C,INDIANA,1,0,190,14.2,4,5,71,100.0,100.0,90.8,0,11,2,74,74,20.0,1,2,27,100.0,100.0,90.7,4,1,30,30
Mike Katic,101575,G,INDIANA,1,0,190,68.7,1,2,71,100.0,100.0,96.5,0,4,1,74,74,49.7,1,1,27,100.0,100.0,92.6,3,1,30,30
Luke Haggard,129442,T,INDIANA,1,0,190,67.8,0,3,71,100.0,100.0,97.9,0,3,0,74,74,82.3,0,1,27,100.0,100.0,98.1,1,0,30,30
Dennis Wilburn,157314,C,TEXAS TECH,1,0,315,14.2,0,9,61,100.0,100.0,92.6,0,9,0,64,64,4.6,0,5,20,100.0,100.0,87.5,5,0,21,21
Max Banes,77433,G,AKRON,1,0,102,60.8,1,4,62,100.0,100.0,96.0,1,5,0,64,64,59.8,1,3,37,100.0,100.0,94.6,4,0,38,38
Monroe Mills,122977,T,TEXAS TECH,1,0,315,78.1,0,0,61,100.0,100.0,100.0,0,0,0,64,64,74.7,0,0,20,100.0,100.0,100.0,0,0,21,21
Caleb Rogers,123157,T,TEXAS TECH,1,0,315,65.1,0,5,61,100.0,100.0,95.9,0,5,0,64,64,59.7,0,3,20,100.0,100.0,92.5,3,0,21,21
Weston Wright,77494,G,TEXAS TECH,1,0,315,21.1,1,4,61,100.0,100.0,95.9,1,5,0,64,64,30.9,0,2,20,100.0,100.0,95.0,2,0,21,21
Davis Heinzen,145705,T,C MICHIGAN,1,0,134,7.0,4,5,58,100.0,100.0,88.8,0,11,2,63,63,3.8,4,2,21,100.0,100.0,81.0,7,1,23,23
Parker Titsworth,97656,C,OHIO,1,0,259,66.2,0,2,56,100.0,100.0,98.2,0,2,0,63,63,66.7,0,1,32,100.0,100.0,98.4,1,0,36,36
Deiyantei Powell-Woods,104183,G,C MICHIGAN,1,0,134,58.9,0,1,58,100.0,100.0,99.1,0,1,0,63,63,62.7,0,1,21,100.0,100.0,97.6,1,0,23,23
Hagen Meservy,59986,G,OHIO,1,0,259,82.6,0,1,56,100.0,100.0,99.1,0,1,0,63,63,88.3,0,0,32,100.0,100.0,100.0,0,0,36,36
