player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Marcus Tate,144140,G,CLEMSON,1,0,140,61.0,0,2,47,100.0,100.0,97.9,0,2,0,48,48,46.6,0,1,23,100.0,100.0,97.8,1,0,23,23
Blake Miller,156248,T,CLEMSON,1,0,140,71.9,0,1,47,100.0,100.0,96.8,0,2,1,48,48,64.0,0,1,23,100.0,100.0,93.5,2,1,23,23
Tristan Leigh,144121,T,CLEMSON,1,0,140,38.6,3,1,47,100.0,100.0,95.7,0,4,0,48,48,17.9,3,0,23,100.0,100.0,93.5,3,0,23,23
Ryan Linthicum,144122,C,CLEMSON,1,0,140,75.3,0,0,47,100.0,100.0,100.0,0,0,0,48,48,71.1,0,0,23,100.0,100.0,100.0,0,0,23,23
PJ Williams,158685,T,SMU,1,0,287,64.6,1,1,41,100.0,100.0,97.6,0,2,0,46,46,46.2,0,1,15,100.0,100.0,96.7,1,0,17,17
Jakai Clark,97645,C,SMU,1,0,287,64.0,0,2,41,100.0,100.0,97.6,0,2,0,46,46,38.5,0,2,15,100.0,100.0,93.3,2,0,17,17
Justin Osborne,99071,G,SMU,1,0,287,84.8,0,0,41,100.0,100.0,97.6,0,1,1,46,46,77.8,0,0,15,100.0,100.0,93.3,1,1,17,17
Cooper Mays,124289,C,TENNESSEE,1,0,307,72.1,0,0,44,100.0,100.0,97.7,0,1,1,45,45,61.9,0,0,22,100.0,100.0,95.5,1,1,23,23
Logan Parr,123125,G,SMU,1,0,287,78.1,1,0,40,100.0,100.0,98.7,0,1,0,45,45,85.9,0,0,14,100.0,100.0,100.0,0,0,16,16
Andrej Karic,123120,G,TENNESSEE,1,0,307,68.0,0,1,44,100.0,100.0,98.9,0,1,0,45,45,55.1,0,1,22,100.0,100.0,97.7,1,0,23,23
Lance Heard,172477,T,TENNESSEE,1,0,307,66.6,1,0,44,100.0,100.0,96.6,0,2,1,45,45,70.1,1,0,22,100.0,100.0,93.2,2,1,23,23
Savion Byrd,144626,T,SMU,1,0,287,2.6,0,5,40,100.0,100.0,91.2,2,6,1,45,45,0.0,0,4,14,100.0,100.0,78.6,5,1,16,16
Javontez Spraggins,124299,G,TENNESSEE,1,0,307,51.7,0,4,42,100.0,100.0,95.2,0,4,0,43,43,48.3,0,3,22,100.0,100.0,93.2,3,0,23,23
Trey Wedig,129935,T,INDIANA,1,0,190,46.8,0,1,37,100.0,100.0,95.9,0,2,1,42,42,50.6,0,0,21,100.0,100.0,95.2,1,1,25,25
Tyler Stephens,138468,G,INDIANA,1,0,190,65.3,0,1,37,100.0,100.0,98.6,0,1,0,42,42,52.7,0,1,21,100.0,100.0,97.6,1,0,25,25
Mike Katic,101575,C,INDIANA,1,0,190,86.1,0,0,37,100.0,100.0,100.0,0,0,0,42,42,83.9,0,0,21,100.0,100.0,100.0,0,0,25,25
Bray Lynch,156401,G,INDIANA,1,0,190,57.5,0,2,37,100.0,100.0,97.3,0,2,0,42,42,48.0,0,2,21,100.0,100.0,95.2,2,0,25,25
Carter Smith,156399,T,INDIANA,1,0,190,73.5,0,2,37,100.0,100.0,97.3,0,2,0,42,42,64.6,0,2,21,100.0,100.0,95.2,2,0,25,25
Aamil Wagner,156973,T,NOTRE DAME,1,0,258,79.0,0,1,40,100.0,100.0,98.7,0,1,0,41,41,79.2,0,0,19,100.0,100.0,100.0,0,0,20,20
Anthonie Knapp,184097,T,NOTRE DAME,1,0,258,29.7,0,6,40,100.0,100.0,92.5,0,6,0,41,41,26.8,0,4,19,100.0,100.0,89.5,4,0,20,20
Billy Schrauth,156979,G,NOTRE DAME,1,0,258,65.8,0,3,40,100.0,100.0,96.2,0,3,0,41,41,77.1,0,1,19,100.0,100.0,97.4,1,0,20,20
Pat Coogan,147482,C,NOTRE DAME,1,0,258,70.5,0,1,40,100.0,100.0,98.7,0,1,0,41,41,75.7,0,0,19,100.0,100.0,100.0,0,0,20,20
Walker Parks,122156,G,CLEMSON,1,0,140,61.8,0,1,39,100.0,100.0,96.2,0,2,1,40,40,64.1,0,1,17,100.0,100.0,97.1,1,0,17,17
Carson Hinzman,162867,C,OHIO STATE,1,0,260,61.5,0,0,31,100.0,100.0,100.0,0,0,0,34,34,79.7,0,0,10,100.0,100.0,100.0,0,0,11,11
Josh Fryar,129746,T,OHIO STATE,1,0,260,71.5,0,1,31,100.0,100.0,98.4,0,1,0,34,34,83.3,0,0,10,100.0,100.0,100.0,0,0,11,11
Donovan Jackson,145064,T,OHIO STATE,1,0,260,78.7,0,1,31,100.0,100.0,98.4,0,1,0,34,34,67.4,0,1,10,100.0,100.0,95.0,1,0,11,11
Hayden Conner,144723,G,TEXAS,1,0,311,83.8,0,0,29,100.0,100.0,100.0,0,0,0,32,32,79.8,0,0,9,100.0,100.0,100.0,0,0,10,10
Kelvin Banks Jr.,163839,T,TEXAS,1,0,311,75.3,0,0,29,100.0,100.0,100.0,0,0,0,32,32,57.7,0,0,9,100.0,100.0,100.0,0,0,10,10
Nick Dawkins,129773,C,PENN STATE,1,0,266,79.5,0,1,30,100.0,100.0,98.3,0,1,0,30,30,81.0,0,0,13,100.0,100.0,100.0,0,0,13,13
Sal Wormley,101559,G,PENN STATE,1,0,266,36.8,0,2,30,100.0,100.0,93.3,0,3,1,30,30,10.0,0,2,13,100.0,100.0,84.6,3,1,13,13
DJ Campbell,163844,G,TEXAS,1,0,311,85.0,0,0,27,100.0,100.0,100.0,0,0,0,30,30,81.0,0,0,8,100.0,100.0,100.0,0,0,9,9
Olaivavega Ioane,164174,G,PENN STATE,1,0,266,82.2,0,1,30,100.0,100.0,98.3,0,1,0,30,30,74.0,0,1,13,100.0,100.0,96.2,1,0,13,13
Drew Shelton,164186,T,PENN STATE,1,0,266,67.4,0,1,30,100.0,100.0,91.7,0,3,2,30,30,57.3,0,1,13,100.0,100.0,88.5,2,1,13,13
Dayne Davis,99049,T,TENNESSEE,1,0,307,29.5,0,1,27,100.0,100.0,90.7,0,3,2,28,28,39.0,0,1,14,100.0,100.0,89.3,2,1,15,15
Austin Siereveld,170269,G,OHIO STATE,1,0,260,57.0,0,2,27,100.0,100.0,96.3,0,2,0,28,28,53.2,0,1,10,100.0,100.0,95.0,1,0,11,11
Cole Hutson,157304,G,TEXAS,1,0,311,39.9,0,0,21,100.0,100.0,100.0,0,0,0,24,24,81.0,0,0,8,100.0,100.0,100.0,0,0,9,9
Trevor Goosby,176177,T,TEXAS,1,0,311,82.6,0,0,19,100.0,100.0,100.0,0,0,0,22,22,79.8,0,0,7,100.0,100.0,100.0,0,0,8,8
Nolan Rucci,145179,T,PENN STATE,1,0,266,67.0,0,1,22,100.0,100.0,97.7,0,1,0,22,22,53.3,0,1,10,100.0,100.0,95.0,1,0,10,10
Rocco Spindler,147478,G,NOTRE DAME,1,0,258,62.7,1,0,21,100.0,100.0,97.6,0,1,0,21,21,39.7,1,0,8,100.0,100.0,93.7,1,0,8,8
Tegra Tshabola,75288,G,OHIO STATE,1,0,260,22.3,0,1,18,100.0,100.0,97.2,0,1,0,21,21,0.0,0,1,5,100.0,100.0,90.0,1,0,6,6
Sam Pendleton,171096,G,NOTRE DAME,1,0,258,75.6,0,1,19,100.0,100.0,97.4,0,1,0,20,20,71.1,0,1,11,100.0,100.0,95.5,1,0,12,12
Luke Montgomery,170261,G,OHIO STATE,1,0,260,49.1,0,2,17,100.0,100.0,94.1,0,2,0,19,19,16.4,0,2,5,100.0,100.0,80.0,2,0,5,5
John Campbell Jr.,77383,T,TENNESSEE,1,0,307,40.3,0,4,17,100.0,100.0,82.4,0,5,1,17,17,18.0,0,3,8,100.0,100.0,68.7,4,1,8,8
Justice Ellison,123383,HB,INDIANA,1,0,190,26.7,0,0,9,32.1,32.3,88.9,0,1,1,10,31,26.7,0,0,9,50.0,50.0,88.9,1,1,10,20
DeSean Bishop,174717,HB,TENNESSEE,1,0,307,69.9,0,0,9,56.3,58.8,100.0,0,0,0,10,17,62.8,0,0,5,62.5,66.7,100.0,0,0,6,9
Cameron Williams,163867,T,TEXAS,1,0,311,77.7,0,0,10,100.0,100.0,100.0,0,0,0,10,10,73.1,0,0,2,100.0,100.0,100.0,0,0,2,2
