player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Peseti Lapuaho,159070,T,S JOSE ST,1,0,285,8.6,1,5,60,100.0,100.0,95.0,0,6,0,68,68,15.0,0,1,19,100.0,100.0,97.4,1,0,21,21
Joseph Harbert,157842,C,S JOSE ST,1,0,285,28.0,1,3,60,100.0,100.0,96.7,0,4,0,68,68,9.9,1,2,19,100.0,100.0,92.1,3,0,21,21
Malik Williams,128441,T,S JOSE ST,1,0,285,43.3,1,2,60,100.0,100.0,97.5,0,3,0,68,68,19.3,1,1,19,100.0,100.0,94.7,2,0,21,21
Sione Nomani,188840,G,S JOSE ST,1,0,285,48.7,0,2,60,100.0,100.0,98.3,0,2,0,68,68,27.4,0,2,19,100.0,100.0,94.7,2,0,21,21
Coleton Price,158567,C,BAYLOR,1,1,118,58.4,0,0,55,100.0,100.0,100.0,1,0,0,61,61,34.8,0,0,14,100.0,100.0,100.0,0,0,14,14
Ryan Lengyel,144516,G,BAYLOR,1,0,118,81.0,0,0,55,100.0,100.0,100.0,1,0,0,61,61,72.6,0,0,14,100.0,100.0,100.0,0,0,14,14
Campbell Barrington,147505,T,BAYLOR,1,1,118,61.5,0,1,55,100.0,100.0,99.1,1,1,0,61,61,65.0,0,1,14,100.0,100.0,96.4,1,0,14,14
Cole Rhett,171386,T,TOLEDO,1,0,316,8.0,2,5,54,100.0,100.0,93.5,0,7,0,60,60,0.0,1,3,15,100.0,100.0,86.7,4,0,17,17
Jakob James,52540,C,TOLEDO,1,0,316,83.2,0,0,54,100.0,100.0,100.0,0,0,0,60,60,75.0,0,0,15,100.0,100.0,100.0,0,0,17,17
Carter Fouty,156989,G,TOLEDO,1,0,316,48.1,1,1,54,100.0,100.0,96.3,0,3,1,60,60,12.7,1,0,15,100.0,100.0,90.0,2,1,17,17
