player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Hayden Conner,144723,G,TEXAS,1,0,311,44.4,2,1,44,100.0,100.0,96.6,0,3,0,47,47,23.8,1,1,19,100.0,100.0,94.7,2,0,20,20
Kelvin Banks Jr.,163839,T,TEXAS,1,0,311,86.4,0,1,44,100.0,100.0,98.9,0,1,0,47,47,81.2,0,1,19,100.0,100.0,97.4,1,0,20,20
Cameron Williams,163867,T,TEXAS,1,0,311,38.4,1,2,44,100.0,100.0,92.0,0,5,2,47,47,6.7,1,1,19,100.0,100.0,84.2,4,2,20,20
Jake Majors,123123,C,TEXAS,1,0,311,72.9,0,1,44,100.0,100.0,98.9,0,1,0,47,47,76.0,0,0,19,100.0,100.0,100.0,0,0,20,20
Aamil Wagner,156973,T,NOTRE DAME,1,0,258,58.3,1,3,37,100.0,100.0,91.9,0,5,1,40,40,46.6,1,3,23,100.0,100.0,87.0,5,1,25,25
Billy Schrauth,156979,G,NOTRE DAME,1,0,258,83.4,0,0,37,100.0,100.0,100.0,0,0,0,40,40,79.1,0,0,23,100.0,100.0,100.0,0,0,25,25
Pat Coogan,147482,C,NOTRE DAME,1,0,258,60.2,0,0,37,100.0,100.0,97.3,0,1,1,40,40,53.2,0,0,23,100.0,100.0,100.0,0,0,25,25
Donovan Jackson,145064,T,OHIO STATE,1,0,260,86.2,0,1,36,100.0,100.0,98.6,0,1,0,38,38,87.4,0,0,13,100.0,100.0,100.0,0,0,13,13
Carson Hinzman,162867,C,OHIO STATE,1,0,260,53.1,1,1,36,100.0,100.0,97.2,0,2,0,38,38,30.8,1,1,13,100.0,100.0,92.3,2,0,13,13
Luke Montgomery,170261,G,OHIO STATE,1,0,260,70.3,0,0,36,100.0,100.0,94.4,0,2,2,38,38,73.9,0,0,13,100.0,100.0,92.3,1,1,13,13
Josh Fryar,129746,T,OHIO STATE,1,0,260,69.9,0,3,36,100.0,100.0,95.8,0,3,0,38,38,78.5,0,1,13,100.0,100.0,96.2,1,0,13,13
Tosh Baker,122892,T,NOTRE DAME,1,0,258,21.3,0,4,31,100.0,100.0,90.3,0,5,1,34,34,30.0,0,3,20,100.0,100.0,87.5,4,1,22,22
Nick Dawkins,129773,C,PENN STATE,1,0,266,71.4,0,0,28,100.0,100.0,100.0,0,0,0,30,30,54.7,0,0,11,100.0,100.0,100.0,0,0,12,12
Drew Shelton,164186,T,PENN STATE,1,0,266,64.4,0,1,28,100.0,100.0,98.2,0,1,0,30,30,54.3,0,1,11,100.0,100.0,95.5,1,0,12,12
Olaivavega Ioane,164174,G,PENN STATE,1,0,266,75.6,0,1,28,100.0,100.0,98.2,0,1,0,30,30,71.9,0,0,11,100.0,100.0,100.0,0,0,12,12
Sal Wormley,101559,G,PENN STATE,1,0,266,60.9,0,1,28,100.0,100.0,98.2,0,1,0,30,30,43.7,0,1,11,100.0,100.0,95.5,1,0,12,12
Nolan Rucci,145179,T,PENN STATE,1,0,266,72.2,0,0,28,100.0,100.0,100.0,0,0,0,30,30,56.7,0,0,11,100.0,100.0,100.0,0,0,12,12
Charles Jagusah,171087,G,NOTRE DAME,1,0,258,86.9,0,0,25,100.0,100.0,100.0,0,0,0,28,28,84.3,0,0,18,100.0,100.0,100.0,0,0,20,20
Tegra Tshabola,75288,G,OHIO STATE,1,0,260,42.7,0,2,24,100.0,100.0,95.8,0,2,0,25,25,3.3,0,2,7,100.0,100.0,85.7,2,0,7,7
DJ Campbell,163844,G,TEXAS,1,0,311,62.7,0,3,24,100.0,100.0,93.7,0,3,0,24,24,46.1,0,3,11,100.0,100.0,86.4,3,0,11,11
Cole Hutson,157304,G,TEXAS,1,0,311,29.9,1,0,20,100.0,100.0,97.5,0,1,0,23,23,46.0,0,0,8,100.0,100.0,100.0,0,0,9,9
Austin Siereveld,170269,G,OHIO STATE,1,0,260,54.4,0,0,12,100.0,100.0,91.7,1,1,1,13,13,33.3,0,0,6,100.0,100.0,83.3,1,1,6,6
Rocco Spindler,147478,G,NOTRE DAME,1,0,258,49.8,1,0,12,100.0,100.0,95.8,0,1,0,12,12,25.1,1,0,5,100.0,100.0,90.0,1,0,5,5
Aneyas Williams,184108,HB,NOTRE DAME,1,0,258,5.2,0,2,7,29.2,29.2,85.7,0,2,0,7,24,6.1,0,2,4,25.0,25.0,75.0,2,0,4,16
Quintrevion Wisner,176190,HB,TEXAS,1,0,311,27.5,0,1,6,20.7,21.9,91.7,0,1,0,7,32,29.7,0,0,5,35.7,33.3,100.0,0,0,5,15
Gunnar Helm,144726,TE,TEXAS,1,0,311,32.7,0,1,6,14.0,13.0,91.7,1,1,0,6,46,37.3,0,1,3,15.8,15.0,83.3,1,0,3,20
Anthonie Knapp,184097,T,NOTRE DAME,1,0,258,80.7,0,0,6,100.0,100.0,100.0,0,0,0,6,6,78.7,0,0,3,100.0,100.0,100.0,0,0,3,3
Nicholas Singleton,164188,HB,PENN STATE,1,0,266,81.9,0,0,5,23.8,23.8,100.0,0,0,0,5,21,76.9,0,0,2,25.0,25.0,100.0,0,0,2,8
Quinshon Judkins,157128,HB,OHIO STATE,1,0,260,23.6,0,0,4,26.7,25.0,100.0,0,0,0,4,16,72.9,0,0,1,25.0,25.0,100.0,0,0,1,4
Will Kacmarek,145896,TE,OHIO STATE,1,0,260,54.3,0,0,3,21.4,25.0,100.0,0,0,0,4,16,,0,0,0,0.0,0.0,,0,0,0,2
Khalil Dinkins,145087,TE,PENN STATE,1,0,266,69.7,0,0,2,16.7,23.1,100.0,0,0,0,3,13,,0,0,0,0.0,0.0,,0,0,0,4
Kaytron Allen,164158,HB,PENN STATE,1,0,266,14.0,0,0,1,9.1,15.4,100.0,0,0,0,2,13,2.1,0,0,0,0.0,20.0,,0,0,1,5
TreVeyon Henderson,145059,HB,OHIO STATE,1,0,260,34.1,0,1,1,4.8,9.1,50.0,0,1,0,2,22,26.4,0,1,1,11.1,11.1,50.0,1,0,1,9
Bennett Christian,156482,TE,OHIO STATE,1,0,260,43.4,1,0,2,100.0,100.0,75.0,0,1,0,2,2,,0,0,0,,,,0,0,0,0
Juan Davis,144725,TE,TEXAS,1,0,311,47.0,0,0,2,18.2,15.4,100.0,0,0,0,2,13,,0,0,0,0.0,0.0,,0,0,0,3
Jeremiyah Love,171090,HB,NOTRE DAME,1,0,258,30.2,0,0,2,25.0,22.2,100.0,0,0,0,2,9,,0,0,0,0.0,0.0,,0,0,0,4
Eli Raridon,156970,TE,NOTRE DAME,1,0,258,65.4,0,0,1,20.0,16.7,100.0,0,0,0,1,6,,0,0,0,0.0,0.0,,0,0,0,3
Jadarian Price,156985,HB,NOTRE DAME,1,0,258,70.0,0,0,0,0.0,14.3,,0,0,0,1,7,70.0,0,0,0,0.0,20.0,,0,0,1,5
Luke Reynolds,183611,TE,PENN STATE,1,0,266,29.9,0,1,1,8.3,8.3,50.0,0,1,0,1,12,,0,0,0,0.0,0.0,,0,0,0,5
Mitchell Evans,147486,TE,NOTRE DAME,1,0,258,65.4,0,0,1,2.9,2.8,100.0,0,0,0,1,36,,0,0,0,0.0,0.0,,0,0,0,22
Gee Scott Jr.,129756,TE,OHIO STATE,1,0,260,63.9,0,0,1,4.8,4.3,100.0,1,0,0,1,23,,0,0,0,0.0,0.0,,0,0,0,10
