player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Jakai Clark,97645,C,SMU,1,0,287,85.1,0,0,55,100.0,100.0,100.0,0,0,0,57,57,84.5,0,0,23,100.0,100.0,100.0,0,0,25,25
Savion Byrd,144626,T,SMU,1,0,287,57.1,1,3,55,100.0,100.0,94.5,1,5,1,57,57,54.0,1,2,23,100.0,100.0,93.5,3,0,25,25
Justin Osborne,99071,G,SMU,1,0,287,66.1,1,1,55,100.0,100.0,98.2,0,2,0,57,57,42.3,1,1,23,100.0,100.0,95.7,2,0,25,25
Logan Parr,123125,G,SMU,1,0,287,68.7,0,2,55,100.0,100.0,98.2,0,2,0,57,57,59.5,0,1,23,100.0,100.0,97.8,1,0,25,25
Cameron Williams,163867,T,TEXAS,1,0,311,66.7,0,4,52,100.0,100.0,94.2,1,5,1,55,55,62.1,0,0,14,100.0,100.0,92.9,1,1,16,16
Jake Majors,123123,C,TEXAS,1,0,311,69.6,1,2,52,100.0,100.0,97.1,0,3,0,55,55,73.7,0,0,14,100.0,100.0,100.0,0,0,16,16
Trevor Goosby,176177,T,TEXAS,1,0,311,63.8,0,3,52,100.0,100.0,97.1,0,3,0,55,55,53.2,0,1,14,100.0,100.0,96.4,1,0,16,16
Hayden Conner,144723,G,TEXAS,1,0,311,81.7,0,2,52,100.0,100.0,98.1,0,2,0,55,55,66.2,0,2,14,100.0,100.0,92.9,2,0,16,16
PJ Williams,158685,T,SMU,1,0,287,75.9,0,3,53,100.0,100.0,97.2,0,3,0,55,55,68.1,0,2,23,100.0,100.0,95.7,2,0,25,25
Jalen Travis,155412,T,IOWA STATE,1,0,193,86.1,0,1,44,100.0,100.0,98.9,0,1,0,47,47,80.4,0,1,16,100.0,100.0,96.9,1,0,18,18
Tyler Miller,122526,T,IOWA STATE,1,0,193,61.1,1,3,44,100.0,100.0,95.5,0,4,0,47,47,73.7,0,0,16,100.0,100.0,100.0,0,0,18,18
Trevor Buhr,174661,G,IOWA STATE,1,0,193,78.8,0,0,44,100.0,100.0,100.0,0,0,0,47,47,84.5,0,0,16,100.0,100.0,100.0,0,0,18,18
Brendan Black,174658,G,IOWA STATE,1,0,193,57.8,0,1,44,100.0,100.0,98.9,0,1,0,47,47,76.2,0,0,16,100.0,100.0,100.0,0,0,18,18
Jarrod Hufford,99440,C,IOWA STATE,1,0,193,34.5,0,3,44,100.0,100.0,96.6,0,3,0,47,47,35.7,0,1,16,100.0,100.0,96.9,1,0,18,18
Tristan Leigh,144121,T,CLEMSON,1,0,140,31.5,0,3,45,100.0,100.0,94.4,0,4,1,46,46,13.8,0,1,21,100.0,100.0,92.9,2,1,22,22
Blake Miller,156248,T,CLEMSON,1,0,140,64.6,0,1,45,100.0,100.0,98.9,0,1,0,46,46,65.3,0,1,21,100.0,100.0,97.6,1,0,22,22
Ryan Linthicum,144122,C,CLEMSON,1,0,140,29.8,0,5,45,100.0,100.0,92.2,0,6,1,46,46,39.7,0,2,21,100.0,100.0,90.5,3,1,22,22
Drew Shelton,164186,T,PENN STATE,1,0,266,39.9,0,2,42,100.0,100.0,97.6,0,2,0,44,44,58.6,0,0,13,100.0,100.0,100.0,0,0,13,13
Olaivavega Ioane,164174,G,PENN STATE,1,0,266,67.6,0,2,42,100.0,100.0,97.6,0,2,0,44,44,57.4,0,1,13,100.0,100.0,96.2,1,0,13,13
Nolan Rucci,145179,T,PENN STATE,1,0,266,68.8,0,1,42,100.0,100.0,98.8,0,1,0,44,44,66.9,0,1,13,100.0,100.0,96.2,1,0,13,13
Nick Dawkins,129773,C,PENN STATE,1,0,266,30.5,0,5,42,100.0,100.0,94.0,0,5,0,44,44,33.3,0,2,13,100.0,100.0,92.3,2,0,13,13
Sal Wormley,101559,G,PENN STATE,1,0,266,80.3,0,0,42,100.0,100.0,97.6,0,1,1,44,44,57.4,0,0,13,100.0,100.0,92.3,1,1,13,13
Jax Harrington,98255,G,LA LAFAYET,1,0,207,69.2,0,2,40,100.0,100.0,97.5,0,2,0,42,42,84.0,0,0,15,100.0,100.0,100.0,0,0,16,16
AJ Gillie,98043,G,LA LAFAYET,1,0,207,81.1,0,1,40,100.0,100.0,98.7,0,1,0,42,42,75.1,0,1,15,100.0,100.0,96.7,1,0,16,16
Marcus Tate,144140,G,CLEMSON,1,0,140,43.5,0,2,41,100.0,100.0,95.1,0,3,1,42,42,28.5,0,1,19,100.0,100.0,92.1,2,1,20,20
Landon Burton,102820,C,LA LAFAYET,1,0,207,79.5,0,0,40,100.0,100.0,100.0,0,0,0,42,42,81.7,0,0,15,100.0,100.0,100.0,0,0,16,16
Anton Ambuehl,146200,G,UNLV,1,0,325,47.4,0,2,38,100.0,100.0,97.4,0,2,0,39,39,44.4,0,2,20,100.0,100.0,95.0,2,0,21,21
Jared Wilson,146717,C,GEORGIA,1,0,173,72.8,0,0,34,100.0,100.0,100.0,1,0,0,39,39,81.6,0,0,11,100.0,100.0,100.0,0,0,14,14
Jack Hasz,145666,C,UNLV,1,0,325,76.7,0,0,38,100.0,100.0,100.0,0,0,0,39,39,71.1,0,0,20,100.0,100.0,100.0,0,0,21,21
Tate Ratledge,124034,G,GEORGIA,1,0,173,75.5,0,2,34,100.0,100.0,97.1,0,2,0,39,39,74.1,0,1,11,100.0,100.0,95.5,1,0,14,14
Dylan Fairchild,146716,G,GEORGIA,1,0,173,72.9,0,0,34,100.0,100.0,97.1,0,1,1,39,39,59.0,0,0,11,100.0,100.0,90.9,1,1,14,14
