player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Joshua Pena,121864,G,NAVY,1,0,237,54.7,100.0,44,67.7,44,56.6,0,100.0,65,65,59.4,100.0,4,6.2,4
Connor McMahon,144330,G,NAVY,1,0,237,67.1,100.0,41,67.2,41,61.2,0,100.0,61,61,58.5,100.0,4,6.6,4
David Hixon,144315,C,NAVY,1,0,237,56.9,100.0,41,71.9,41,54.0,0,100.0,57,57,58.7,100.0,4,7.0,4
Kip Frankland,100901,T,NAVY,1,0,237,72.3,100.0,35,63.6,35,67.3,0,100.0,55,55,64.0,100.0,4,7.3,4
Isaac Cochran,101273,G,AIR FORCE,1,0,101,80.1,100.0,27,50.0,27,84.9,0,100.0,54,54,58.6,100.0,5,9.3,5
Everett Smalley,131512,T,AIR FORCE,1,0,101,63.6,100.0,27,50.9,27,77.2,0,100.0,53,53,68.7,100.0,5,9.4,5
Tai Lavatai,121854,QB,NAVY,1,0,237,60.0,89.2,33,63.5,37,60.0,0,89.7,52,58,60.0,100.0,4,7.7,4
Mason Randolph,145991,G,BOISE ST,1,0,120,73.5,100.0,24,49.0,24,72.3,0,100.0,49,49,65.8,100.0,24,49.0,24
Connor Bishop,102830,C,ARMY,1,0,114,58.6,100.0,17,34.7,17,67.9,0,100.0,49,49,70.4,100.0,9,18.4,9
Caleb Rillos,155838,TE,AIR FORCE,1,0,101,57.9,100.0,26,53.1,26,67.3,0,100.0,49,49,71.5,100.0,5,10.2,5
Sam Glover,121844,T,NAVY,1,0,237,62.1,100.0,33,67.3,33,60.5,0,100.0,49,49,58.2,100.0,3,6.1,3
Garrett Curran,81596,G,BOISE ST,1,0,120,82.2,100.0,24,49.0,24,80.5,0,100.0,49,49,70.5,100.0,24,49.0,24
Cade Beresford,81934,T,BOISE ST,1,0,120,58.0,100.0,24,49.0,24,83.8,0,100.0,49,49,92.7,100.0,24,49.0,24
John Ojukwu,58530,T,BOISE ST,1,0,120,84.5,100.0,24,49.0,24,83.8,0,100.0,49,49,73.5,100.0,24,49.0,24
Will Farrar,60132,C,BOISE ST,1,0,120,71.8,100.0,24,49.0,24,78.0,0,100.0,49,49,75.6,100.0,24,49.0,24
Connor Finucane,121569,G,ARMY,1,0,114,40.5,100.0,17,34.7,17,45.2,0,100.0,49,49,65.7,100.0,9,18.4,9
Rusty Feth,53571,C,MIAMI OH,1,0,221,58.6,100.0,20,42.6,20,55.5,0,100.0,47,47,54.1,100.0,21,44.7,21
Will Jados,145817,T,MIAMI OH,1,0,221,60.8,100.0,20,42.6,20,72.7,0,100.0,47,47,78.6,100.0,21,44.7,21
Bru McCoy,71345,WR,TENNESSEE,1,0,307,60.7,100.0,24,51.1,24,68.7,0,100.0,47,47,61.4,100.0,17,36.2,17
Simon Dellinger,121566,T,ARMY,1,0,114,57.9,100.0,17,36.2,17,63.8,0,100.0,47,47,74.5,100.0,8,17.0,8
Reid Holskey,130520,T,MIAMI OH,1,0,221,66.5,100.0,20,42.6,20,64.7,0,100.0,47,47,64.8,100.0,21,44.7,21
Jamezz Kimbrough,55052,C,C MICHIGAN,1,0,134,63.1,100.0,26,56.5,26,69.4,1,100.0,46,46,72.5,100.0,16,34.8,16
Jerome Carvin,81852,G,TENNESSEE,1,0,307,52.4,100.0,24,52.2,24,44.8,1,100.0,46,46,43.0,100.0,17,37.0,17
Cooper Mays,124289,C,TENNESSEE,1,0,307,64.0,100.0,24,52.2,24,64.8,0,100.0,46,46,63.4,100.0,17,37.0,17
Javontez Spraggins,124299,G,TENNESSEE,1,0,307,45.2,100.0,24,52.2,24,42.3,0,100.0,46,46,45.8,100.0,17,37.0,17
Brayden Swartout,145732,T,C MICHIGAN,1,0,134,65.3,100.0,26,56.5,26,67.6,0,100.0,46,46,68.0,100.0,16,34.8,16
Jack Hasz,145666,C,BUFFALO,1,0,126,60.5,100.0,11,23.9,11,64.7,0,100.0,46,46,66.9,100.0,33,71.7,33
Deiyantei Powell-Woods,104183,G,C MICHIGAN,1,0,134,48.2,100.0,26,56.5,26,57.0,0,100.0,46,46,70.1,100.0,16,34.8,16
Davis Heinzen,145705,T,C MICHIGAN,1,0,134,76.6,100.0,26,56.5,26,66.0,0,100.0,46,46,61.7,100.0,16,34.8,16
Darnell Wright,98480,T,TENNESSEE,1,0,307,43.3,100.0,24,52.2,24,43.7,0,100.0,46,46,55.1,100.0,17,37.0,17
Joe Alt,147481,T,NOTRE DAME,1,0,258,46.2,100.0,29,64.4,29,52.9,0,100.0,45,45,66.6,100.0,14,31.1,14
Blake Fisher,147479,T,NOTRE DAME,1,0,258,82.1,100.0,29,64.4,29,78.8,0,100.0,45,45,63.5,100.0,14,31.1,14
Zeke Correll,53431,C,NOTRE DAME,1,0,258,72.0,100.0,29,64.4,29,67.4,0,100.0,45,45,56.7,100.0,14,31.1,14
Jarrett Patterson,81775,G,NOTRE DAME,1,0,258,50.6,100.0,29,64.4,29,54.4,0,100.0,45,45,62.9,100.0,14,31.1,14
Bryan Hudson,98241,C,LOUISVILLE,1,0,210,71.2,100.0,18,40.0,18,79.0,0,100.0,45,45,68.7,100.0,24,53.3,24
Michael Mayer,122906,TE,NOTRE DAME,1,0,258,58.1,100.0,29,64.4,29,58.7,0,100.0,45,45,60.3,100.0,14,31.1,14
