player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Kelvin Banks Jr.,163839,T,TEXAS,1,0,311,67.9,100.0,11,25.6,11,71.8,0,100.0,43,43,72.5,100.0,26,60.5,26
Hayden Conner,144723,G,TEXAS,1,0,311,50.7,100.0,11,25.6,11,61.0,0,100.0,43,43,62.8,100.0,26,60.5,26
Gunnar Helm,144726,TE,TEXAS,1,0,311,53.2,100.0,11,26.2,11,63.4,0,100.0,42,42,68.8,100.0,25,59.5,25
DJ Campbell,163844,G,TEXAS,1,0,311,52.9,100.0,10,25.6,10,63.7,0,100.0,39,39,63.7,100.0,24,61.5,24
Quinn Ewers,127253,QB,TEXAS,1,0,311,60.0,100.0,9,23.7,9,60.0,0,95.0,38,40,60.0,100.0,26,68.4,26
Matthew Golden,156165,WR,TEXAS,1,0,311,60.3,100.0,9,24.3,9,56.0,0,100.0,37,37,55.6,100.0,22,59.5,22
Ryan Wingo,184520,WR,TEXAS,1,0,311,60.5,100.0,9,25.0,9,71.6,0,97.3,36,37,59.7,100.0,23,63.9,23
Sal Wormley,101559,G,PENN STATE,1,0,266,62.9,100.0,14,43.8,14,70.5,0,100.0,32,32,74.6,100.0,16,50.0,16
Nick Dawkins,129773,C,PENN STATE,1,0,266,62.9,100.0,14,43.8,14,63.7,0,100.0,32,32,62.8,100.0,16,50.0,16
Olaivavega Ioane,164174,G,PENN STATE,1,0,266,62.7,100.0,14,43.8,14,57.6,0,100.0,32,32,54.6,100.0,16,50.0,16
PJ Williams,158685,T,SMU,1,0,287,61.4,100.0,8,25.0,8,64.3,0,100.0,32,32,71.5,100.0,19,59.4,19
Justin Osborne,99071,G,SMU,1,0,287,58.6,100.0,8,25.0,8,55.5,0,100.0,32,32,54.7,100.0,19,59.4,19
Drew Shelton,164186,T,PENN STATE,1,0,266,51.5,100.0,14,43.8,14,45.1,0,100.0,32,32,51.3,100.0,16,50.0,16
Jakai Clark,97645,C,SMU,1,0,287,59.3,100.0,8,25.0,8,64.7,0,100.0,32,32,66.9,100.0,19,59.4,19
Savion Byrd,144626,T,SMU,1,0,287,60.2,100.0,8,26.7,8,64.4,0,100.0,30,30,73.5,100.0,18,60.0,18
Logan Parr,123125,G,SMU,1,0,287,57.7,100.0,8,26.7,8,57.4,0,100.0,30,30,58.7,100.0,18,60.0,18
Cole Hutson,157304,G,TEXAS,1,0,311,68.5,100.0,7,25.0,7,72.7,0,100.0,28,28,69.9,100.0,17,60.7,17
Nolan Rucci,145179,T,PENN STATE,1,0,266,83.1,100.0,13,48.1,13,76.2,0,100.0,27,27,61.2,100.0,14,51.9,14
Aamil Wagner,156973,T,NOTRE DAME,1,0,258,56.1,100.0,11,40.7,11,66.2,0,100.0,27,27,72.3,100.0,14,51.9,14
Billy Schrauth,156979,G,NOTRE DAME,1,0,258,59.0,100.0,11,40.7,11,56.1,0,100.0,27,27,61.3,100.0,14,51.9,14
Pat Coogan,147482,C,NOTRE DAME,1,0,258,58.0,100.0,11,40.7,11,50.1,0,100.0,27,27,48.1,100.0,14,51.9,14
Anthonie Knapp,184097,T,NOTRE DAME,1,0,258,57.3,100.0,11,40.7,11,52.9,0,100.0,27,27,59.2,100.0,14,51.9,14
Khalil Dinkins,145087,TE,PENN STATE,1,0,266,71.1,100.0,12,46.2,12,64.1,0,100.0,26,26,55.5,100.0,13,50.0,13
Kevin Jennings,158272,QB,SMU,1,0,287,60.0,100.0,8,30.8,8,60.0,0,86.7,26,30,60.0,83.3,15,57.7,18
Andrej Karic,123120,G,TENNESSEE,1,0,307,50.6,100.0,7,26.9,7,54.3,0,100.0,26,26,59.5,100.0,17,65.4,17
Cooper Mays,124289,C,TENNESSEE,1,0,307,63.9,100.0,7,26.9,7,65.3,0,100.0,26,26,64.2,100.0,17,65.4,17
Lance Heard,172477,T,TENNESSEE,1,0,307,49.1,100.0,7,26.9,7,37.4,0,100.0,26,26,43.5,100.0,17,65.4,17
Mike Katic,101575,C,INDIANA,1,0,190,56.4,100.0,13,52.0,13,58.1,0,100.0,25,25,60.8,100.0,11,44.0,11
Trey Wedig,129935,T,INDIANA,1,0,190,57.8,100.0,13,52.0,13,66.8,0,100.0,25,25,73.3,100.0,11,44.0,11
Bray Lynch,156401,G,INDIANA,1,0,190,60.1,100.0,13,52.0,13,57.2,0,100.0,25,25,55.4,100.0,11,44.0,11
Tyler Stephens,138468,G,INDIANA,1,0,190,49.5,100.0,13,52.0,13,46.8,0,100.0,25,25,56.6,100.0,11,44.0,11
Carter Smith,156399,T,INDIANA,1,0,190,63.7,100.0,13,52.0,13,67.1,1,100.0,25,25,67.4,100.0,11,44.0,11
Kurtis Rourke,97998,QB,INDIANA,1,0,190,60.0,92.3,12,50.0,13,60.0,0,96.0,24,25,60.0,100.0,11,45.8,11
Donovan Jackson,145064,T,OHIO STATE,1,0,260,58.7,100.0,18,75.0,18,62.8,0,100.0,24,24,68.8,100.0,6,25.0,6
Drew Allar,164157,QB,PENN STATE,1,0,266,60.0,100.0,11,45.8,11,60.0,0,92.3,24,26,60.0,100.0,13,54.2,13
Carson Hinzman,162867,C,OHIO STATE,1,0,260,57.6,100.0,18,75.0,18,53.7,0,100.0,24,24,52.8,100.0,6,25.0,6
