player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Brady Small,171015,C,ARMY,1,0,114,59.8,100.0,15,23.4,15,88.0,0,100.0,64,64,71.5,100.0,19,29.7,19
Lyndon Cooper,143987,C,PITTSBURGH,1,0,268,53.6,100.0,26,44.1,26,68.0,0,100.0,59,59,76.2,100.0,31,52.5,31
Terrence Enos Jr.,144020,T,PITTSBURGH,1,0,268,53.8,100.0,26,44.1,26,46.7,0,100.0,59,59,46.3,100.0,31,52.5,31
Ryan Baer,156362,T,PITTSBURGH,1,0,268,55.7,100.0,26,44.1,26,64.9,0,100.0,59,59,77.7,100.0,31,52.5,31
Paolo Gennarelli,170976,G,ARMY,1,0,114,57.6,100.0,14,24.1,14,75.6,0,100.0,58,58,72.4,100.0,15,25.9,15
Raphael Williams Jr.,149997,WR,PITTSBURGH,1,0,268,59.1,100.0,26,44.8,26,69.6,0,100.0,58,58,62.8,100.0,30,51.7,30
Bill Katsigiannis,147319,G,ARMY,1,0,114,70.1,100.0,14,25.0,14,92.4,0,100.0,56,56,92.7,100.0,15,26.8,15
Lucas Scott,147358,T,ARMY,1,0,114,74.7,100.0,12,22.2,12,83.2,0,100.0,54,54,71.9,100.0,15,27.8,15
Trevor Brock,171197,G,BUFFALO,1,0,126,52.5,100.0,8,15.1,8,68.3,0,100.0,53,53,72.4,100.0,41,77.4,41
Caelan Shepard,98489,T,BUFFALO,1,0,126,59.0,100.0,8,15.1,8,66.9,0,100.0,53,53,68.6,100.0,41,77.4,41
Henry Tabansi,171215,T,BUFFALO,1,0,126,50.1,100.0,8,15.1,8,63.9,1,100.0,53,53,68.3,100.0,41,77.4,41
Tyler Doty,130407,G,BUFFALO,1,0,126,64.3,100.0,8,15.1,8,76.2,0,100.0,53,53,73.6,100.0,41,77.4,41
Dom Polizzi,97651,C,BUFFALO,1,0,126,60.3,100.0,8,15.1,8,66.3,0,100.0,53,53,66.7,100.0,41,77.4,41
Kenny Johnson,175419,WR,PITTSBURGH,1,0,268,57.2,96.2,25,48.1,26,59.4,0,94.5,52,55,62.0,96.3,26,50.0,27
Ryan Jacoby,98405,G,PITTSBURGH,1,0,268,56.4,100.0,25,48.1,25,54.1,0,100.0,52,52,50.3,100.0,25,48.1,25
Connor Finucane,121569,T,ARMY,1,0,114,71.8,100.0,11,21.6,11,89.9,0,100.0,51,51,88.8,100.0,15,29.4,15
Evan Link,176292,T,MICHIGAN,1,0,222,58.7,100.0,24,51.1,24,49.0,0,100.0,47,47,41.2,100.0,18,38.3,18
Giovanni El-Hadi,144925,G,MICHIGAN,1,0,222,44.8,100.0,24,51.1,24,46.9,0,100.0,47,47,54.9,100.0,18,38.3,18
Greg Crippen,144924,C,MICHIGAN,1,0,222,56.3,100.0,24,51.1,24,47.9,0,100.0,47,47,44.0,100.0,18,38.3,18
Josh Priebe,129733,G,MICHIGAN,1,0,222,59.6,100.0,24,51.1,24,53.5,0,100.0,47,47,48.5,100.0,18,38.3,18
Andrew Sprague,190841,T,MICHIGAN,1,0,222,61.9,100.0,24,51.1,24,63.1,0,100.0,47,47,62.4,100.0,18,38.3,18
Leif Fautanu,101261,C,ARIZONA ST,1,0,110,53.1,100.0,15,33.3,15,63.0,0,100.0,45,45,69.1,100.0,26,57.8,26
Max Iheanachor,171881,T,ARIZONA ST,1,0,110,54.9,100.0,15,33.3,15,59.7,0,100.0,45,45,69.1,100.0,26,57.8,26
Ben Coleman,100518,G,ARIZONA ST,1,0,110,50.3,100.0,15,33.3,15,61.6,0,100.0,45,45,69.1,100.0,26,57.8,26
Kyle Scott,171888,G,ARIZONA ST,1,0,110,61.7,100.0,15,33.3,15,57.8,0,100.0,45,45,58.8,100.0,26,57.8,26
Josh Atkins,144243,T,ARIZONA ST,1,0,110,59.8,100.0,14,31.8,14,57.0,0,100.0,44,44,67.0,100.0,26,59.1,26
Jake Overman,131748,TE,PITTSBURGH,1,0,268,74.6,100.0,19,45.2,19,72.5,0,100.0,42,42,64.9,100.0,22,52.4,22
Carsten Casady,171035,C,UCONN,1,0,146,56.5,100.0,10,24.4,10,61.7,0,100.0,41,41,63.8,100.0,30,73.2,30
Wes Hoeh,144049,C,UCONN,1,0,146,60.4,100.0,10,24.4,10,65.3,0,100.0,41,41,65.9,100.0,30,73.2,30
