player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Nick Dawkins,129773,C,PENN STATE,1,0,266,60.1,100.0,13,35.1,13,61.2,0,100.0,37,37,58.4,100.0,23,62.2,23
Nolan Rucci,145179,T,PENN STATE,1,0,266,54.6,100.0,13,35.1,13,67.3,0,100.0,37,37,73.6,100.0,23,62.2,23
Drew Shelton,164186,T,PENN STATE,1,0,266,57.4,100.0,13,35.1,13,63.0,0,100.0,37,37,65.4,100.0,23,62.2,23
Olaivavega Ioane,164174,G,PENN STATE,1,0,266,61.0,100.0,13,35.1,13,61.4,0,100.0,37,37,67.2,100.0,23,62.2,23
Sal Wormley,101559,G,PENN STATE,1,0,266,62.6,100.0,13,35.1,13,76.0,0,100.0,37,37,72.5,100.0,23,62.2,23
Aamil Wagner,156973,T,NOTRE DAME,1,0,258,67.6,100.0,14,40.0,14,66.8,0,100.0,35,35,62.9,100.0,16,45.7,16
Drew Allar,164157,QB,PENN STATE,1,0,266,60.3,100.0,13,37.1,13,60.5,0,94.6,35,37,60.0,95.7,22,62.9,23
Pat Coogan,147482,C,NOTRE DAME,1,0,258,61.7,100.0,14,40.0,14,63.0,0,100.0,35,35,63.1,100.0,16,45.7,16
Billy Schrauth,156979,G,NOTRE DAME,1,0,258,58.9,100.0,14,40.0,14,57.9,0,100.0,35,35,57.4,100.0,16,45.7,16
Tyler Warren,129798,TE,PENN STATE,1,0,266,50.7,92.3,12,36.4,13,60.5,0,97.1,33,34,57.8,100.0,20,60.6,20
Jaden Greathouse,171085,WR,NOTRE DAME,1,0,258,58.6,100.0,13,43.3,13,56.8,0,100.0,30,30,59.5,100.0,13,43.3,13
Harrison Wallace III,145090,WR,PENN STATE,1,0,266,60.4,100.0,5,18.5,5,57.4,0,100.0,27,27,56.8,100.0,21,77.8,21
Khalil Dinkins,145087,TE,PENN STATE,1,0,266,57.7,100.0,8,29.6,8,55.2,0,100.0,27,27,55.5,100.0,19,70.4,19
Tosh Baker,122892,T,NOTRE DAME,1,0,258,62.3,100.0,12,44.4,12,49.9,0,100.0,27,27,41.6,100.0,11,40.7,11
Jayden Thomas,147485,WR,NOTRE DAME,1,0,258,54.8,100.0,10,40.0,10,56.8,0,96.2,25,26,61.5,100.0,12,48.0,12
Charles Jagusah,171087,G,NOTRE DAME,1,0,258,70.3,100.0,11,44.0,11,61.6,0,100.0,25,25,51.0,100.0,11,44.0,11
Kelvin Banks Jr.,163839,T,TEXAS,1,0,311,56.2,100.0,10,41.7,10,67.4,0,100.0,24,24,74.5,100.0,11,45.8,11
Jake Majors,123123,C,TEXAS,1,0,311,57.9,100.0,10,41.7,10,60.5,0,100.0,24,24,58.2,100.0,11,45.8,11
Hayden Conner,144723,G,TEXAS,1,0,311,49.9,100.0,10,41.7,10,49.6,0,100.0,24,24,55.7,100.0,11,45.8,11
Gunnar Helm,144726,TE,TEXAS,1,0,311,42.1,100.0,10,41.7,10,45.7,0,100.0,24,24,63.9,100.0,11,45.8,11
Cameron Williams,163867,T,TEXAS,1,0,311,59.2,100.0,10,41.7,10,62.3,0,100.0,24,24,66.0,100.0,11,45.8,11
Quinn Ewers,127253,QB,TEXAS,1,0,311,60.0,100.0,10,43.5,10,60.0,0,100.0,23,23,60.0,100.0,11,47.8,11
Luke Montgomery,170261,G,OHIO STATE,1,0,260,59.0,100.0,12,54.5,12,66.3,0,100.0,22,22,64.7,100.0,8,36.4,8
Carson Hinzman,162867,C,OHIO STATE,1,0,260,58.2,100.0,12,54.5,12,66.6,0,100.0,22,22,59.8,100.0,8,36.4,8
Donovan Jackson,145064,T,OHIO STATE,1,0,260,54.7,100.0,12,54.5,12,65.6,0,100.0,22,22,74.5,100.0,8,36.4,8
Josh Fryar,129746,T,OHIO STATE,1,0,260,67.6,100.0,12,54.5,12,60.1,1,100.0,22,22,50.6,100.0,8,36.4,8
Julian Fleming,129745,WR,PENN STATE,1,0,266,76.4,100.0,9,42.9,9,84.7,0,100.0,21,21,61.1,100.0,11,52.4,11
Riley Leonard,143862,QB,NOTRE DAME,1,0,258,60.0,57.1,8,38.1,14,60.0,0,60.0,21,35,60.0,75.0,12,57.1,16
Ryan Wingo,184520,WR,TEXAS,1,0,311,55.3,100.0,9,42.9,9,68.1,0,95.5,21,22,59.1,100.0,10,47.6,10
Mitchell Evans,147486,TE,NOTRE DAME,1,0,258,44.0,100.0,8,38.1,8,46.3,0,100.0,21,21,54.6,100.0,9,42.9,9
Will Kacmarek,145896,TE,OHIO STATE,1,0,260,61.6,100.0,11,55.0,11,57.6,0,100.0,20,20,52.6,100.0,7,35.0,7
Jeremiah Smith,183710,WR,OHIO STATE,1,0,260,59.9,100.0,10,55.6,10,60.0,0,100.0,18,18,60.7,100.0,7,38.9,7
Tegra Tshabola,75288,G,OHIO STATE,1,0,260,61.8,100.0,9,50.0,9,49.7,0,100.0,18,18,50.0,100.0,7,38.9,7
Jordan Faison,171081,WR,NOTRE DAME,1,0,258,60.6,100.0,7,38.9,7,45.5,0,100.0,18,18,60.0,100.0,7,38.9,7
Kris Mitchell,97659,WR,NOTRE DAME,1,0,258,60.1,100.0,7,41.2,7,60.4,0,100.0,17,17,60.3,100.0,9,52.9,9
