player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Donovan Jackson,145064,T,OHIO STATE,1,0,260,61.0,100.0,20,54.1,20,66.6,0,100.0,37,37,61.8,100.0,14,37.8,14
Josh Fryar,129746,T,OHIO STATE,1,0,260,58.5,100.0,20,54.1,20,57.6,0,100.0,37,37,57.7,100.0,14,37.8,14
Carson Hinzman,162867,C,OHIO STATE,1,0,260,57.3,100.0,20,54.1,20,57.0,0,100.0,37,37,58.5,100.0,14,37.8,14
Luke Montgomery,170261,G,OHIO STATE,1,0,260,62.5,100.0,20,54.1,20,57.9,0,100.0,37,37,53.3,100.0,14,37.8,14
Jeremiah Smith,183710,WR,OHIO STATE,1,0,260,61.0,94.4,17,50.0,18,73.7,0,97.1,34,35,61.5,100.0,14,41.2,14
Will Kacmarek,145896,TE,OHIO STATE,1,0,260,65.7,100.0,18,60.0,18,71.6,0,100.0,30,30,75.2,100.0,10,33.3,10
Emeka Egbuka,145055,WR,OHIO STATE,1,0,260,59.8,100.0,14,51.9,14,49.2,0,96.4,27,28,61.0,100.0,12,44.4,12
Will Howard,122599,QB,OHIO STATE,1,0,260,60.0,60.0,12,48.0,20,60.0,0,67.6,25,37,60.0,85.7,12,48.0,14
Tegra Tshabola,75288,G,OHIO STATE,1,0,260,61.3,100.0,13,59.1,13,65.2,0,100.0,22,22,58.9,100.0,7,31.8,7
Charles Jagusah,171087,G,NOTRE DAME,1,0,258,50.4,100.0,12,54.5,12,69.2,0,100.0,22,22,76.5,100.0,7,31.8,7
Rocco Spindler,147478,G,NOTRE DAME,1,0,258,60.0,100.0,12,54.5,12,60.0,0,100.0,22,22,53.0,100.0,7,31.8,7
Pat Coogan,147482,C,NOTRE DAME,1,0,258,61.8,100.0,12,54.5,12,58.7,0,100.0,22,22,64.1,100.0,7,31.8,7
Billy Schrauth,156979,G,NOTRE DAME,1,0,258,57.7,100.0,12,54.5,12,49.0,0,100.0,22,22,51.4,100.0,7,31.8,7
Aamil Wagner,156973,T,NOTRE DAME,1,0,258,75.2,100.0,12,54.5,12,67.2,0,100.0,22,22,51.9,100.0,7,31.8,7
Carnell Tate,170273,WR,OHIO STATE,1,0,260,57.0,100.0,10,50.0,10,54.7,0,100.0,20,20,55.7,100.0,10,50.0,10
Beaux Collins,144112,WR,NOTRE DAME,1,0,258,60.2,100.0,9,50.0,9,61.0,0,100.0,18,18,61.4,100.0,7,38.9,7
Jaden Greathouse,171085,WR,NOTRE DAME,1,0,258,60.1,100.0,9,56.3,9,77.3,0,100.0,16,16,60.7,100.0,5,31.3,5
Mitchell Evans,147486,TE,NOTRE DAME,1,0,258,57.0,100.0,7,46.7,7,76.5,0,93.8,15,16,73.1,100.0,7,46.7,7
Austin Siereveld,170269,G,OHIO STATE,1,0,260,54.7,100.0,7,46.7,7,56.0,0,100.0,15,15,59.7,100.0,7,46.7,7
Bennett Christian,156482,TE,OHIO STATE,1,0,260,59.8,100.0,7,58.3,7,58.2,0,100.0,12,12,59.2,100.0,3,25.0,3
Jeremiyah Love,171090,HB,NOTRE DAME,1,0,258,53.1,88.9,8,66.7,9,53.8,0,75.0,12,16,60.0,50.0,3,25.0,6
Jordan Faison,171081,WR,NOTRE DAME,1,0,258,60.5,85.7,6,54.5,7,61.6,0,91.7,11,12,60.3,100.0,4,36.4,4
Gee Scott Jr.,129756,TE,OHIO STATE,1,0,260,53.0,100.0,5,45.5,5,70.9,0,100.0,11,11,56.2,100.0,4,36.4,4
Kris Mitchell,97659,WR,NOTRE DAME,1,0,258,60.1,100.0,5,50.0,5,79.1,0,100.0,10,10,60.0,100.0,3,30.0,3
Riley Leonard,143862,QB,NOTRE DAME,1,0,258,60.0,33.3,4,44.4,12,60.0,0,40.9,9,22,60.0,57.1,4,44.4,7
Eli Raridon,156970,TE,NOTRE DAME,1,0,258,73.0,100.0,6,75.0,6,70.7,0,100.0,8,8,60.0,100.0,1,12.5,1
TreVeyon Henderson,145059,HB,OHIO STATE,1,0,260,63.2,37.5,3,37.5,8,65.0,0,40.0,8,20,60.0,22.2,2,25.0,9
Jelani Thurman,170274,TE,OHIO STATE,1,0,260,60.4,100.0,6,85.7,6,60.2,0,100.0,7,7,,,0,0.0,0
Quinshon Judkins,157128,HB,OHIO STATE,1,0,260,56.7,45.5,5,100.0,11,56.7,0,31.3,5,16,,0.0,0,0.0,5
Jayden Thomas,147485,WR,NOTRE DAME,1,0,258,60.1,100.0,3,75.0,3,60.4,0,100.0,4,4,,,0,0.0,0
Patrick Gurd,129747,TE,OHIO STATE,1,0,260,42.1,100.0,3,100.0,3,42.1,0,100.0,3,3,,,0,0.0,0
Brandon Inniss,170255,WR,OHIO STATE,1,0,260,,,0,0.0,0,59.6,0,100.0,3,3,59.6,100.0,3,100.0,3
Jadarian Price,156985,HB,NOTRE DAME,1,0,258,59.8,50.0,2,66.7,4,58.9,0,50.0,3,6,,0.0,0,0.0,1
Deion Colzie,147473,WR,NOTRE DAME,1,0,258,60.0,100.0,1,50.0,1,60.0,0,100.0,2,2,60.0,100.0,1,50.0,1
Aneyas Williams,184108,HB,NOTRE DAME,1,0,258,,,0,0.0,0,60.0,0,100.0,1,1,,,0,0.0,0
Jayden Harrison,98556,WR,NOTRE DAME,1,0,258,,,0,0.0,0,60.0,0,100.0,1,1,,,0,0.0,0
