player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Amare Grayson,189783,G,JVILLE ST,1,0,196,51.6,100.0,21,36.8,21,55.3,0,100.0,57,57,59.8,100.0,35,61.4,35
Daveion Harley,170423,C,JVILLE ST,1,0,196,60.3,100.0,21,36.8,21,64.7,0,100.0,57,57,66.3,100.0,35,61.4,35
Will O'Steen,125373,T,JVILLE ST,1,0,196,51.9,100.0,21,36.8,21,60.3,0,100.0,57,57,66.6,100.0,35,61.4,35
Brady Small,171015,C,ARMY,1,0,114,63.3,100.0,15,27.8,15,80.6,0,100.0,54,54,74.4,100.0,23,42.6,23
Bill Katsigiannis,147319,G,ARMY,1,0,114,74.7,100.0,15,27.8,15,77.7,0,100.0,54,54,66.9,100.0,23,42.6,23
Lucas Scott,147358,T,ARMY,1,0,114,58.9,100.0,15,27.8,15,52.3,0,100.0,54,54,51.7,100.0,23,42.6,23
Connor Finucane,121569,T,ARMY,1,0,114,59.2,100.0,15,27.8,15,67.7,0,100.0,54,54,70.7,100.0,23,42.6,23
Paolo Gennarelli,170976,G,ARMY,1,0,114,65.3,100.0,14,26.4,14,65.5,0,100.0,53,53,67.9,100.0,23,43.4,23
Hayden Reed,163213,HB,ARMY,1,0,114,58.3,100.0,12,25.5,12,51.4,0,100.0,47,47,51.3,100.0,21,44.7,21
Cam Jones,101050,T,JVILLE ST,1,0,196,63.7,100.0,19,40.4,19,71.3,0,100.0,47,47,73.2,100.0,27,57.4,27
Clay Webb,99076,G,JVILLE ST,1,0,196,62.9,100.0,19,40.4,19,75.8,0,100.0,47,47,80.5,100.0,27,57.4,27
Jeremy Jones,98414,T,MARSHALL,1,0,214,47.5,100.0,12,29.3,12,63.5,0,100.0,41,41,72.2,100.0,26,63.4,26
Christophe Atkinson,98064,G,OHIO,1,0,259,60.4,100.0,17,41.5,17,53.7,1,100.0,41,41,50.4,100.0,22,53.7,22
Carson Heidecker,188457,T,OHIO,1,0,259,62.0,100.0,17,41.5,17,71.9,0,100.0,41,41,76.4,100.0,22,53.7,22
