player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Dru Prox,23093,LB,UTSA,4,1,0,66.7,0,0,331,0,0,58.0,66.8,76.4,55.0,76.3,65.4,0,0,0,0,16,10.0,1,0,0,92.4,2,0,0,54,0,28,57,3,0,0,3,0,0,54,4,25,0,4,8,2,3,0,0,25,13,12.5
John Porchivina,28202,LB,OLE MISS,1,0,0,,0,0,226,0,0,60.3,47.4,67.2,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,3,0,2,3,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,
Colby Reeder,30285,LB,IOWA STATE,8,8,1,61.1,0,0,193,1,0,73.9,80.1,38.2,75.7,84.0,77.2,5,2,0,2,18,8.3,3,1,1,70.6,11,2,0,164,2,148,361,56,0,0,56,0,0,305,49,164,139,19,25,3,18,9,2,87,34,7.9
Kyle Pugh,35900,LB,N ILLINOIS,12,20,0,33.3,0,0,254,0,0,77.8,72.9,82.0,53.6,68.3,86.7,1,4,0,0,11,5.1,3,2,0,43.1,2,0,0,348,0,139,366,10,0,0,10,0,1,356,28,199,5,17,36,2,6,5,0,19,12,9.5
Jordan Carmouche,39951,LB,ARK STATE,12,28,0,72.7,0,0,113,0,0,56.2,58.4,59.3,52.3,62.3,79.7,2,5,0,0,51,7.1,6,0,1,130.5,16,1,0,706,0,325,733,21,0,0,21,0,0,712,46,362,6,26,50,4,22,8,2,198,130,12.4
Monte McGary,42477,CB,KANSAS,7,1,0,100.0,0,0,198,0,0,63.4,63.7,76.2,69.5,54.7,53.8,1,0,0,0,12,33.3,1,0,0,116.7,1,0,0,9,18,22,44,0,0,0,0,0,0,44,2,20,17,0,1,0,1,1,0,12,3,12.0
Bricen Garner,42520,S,W MICHIGAN,12,21,1,63.4,0,0,347,0,0,69.2,67.7,87.6,64.6,61.6,73.8,1,1,0,2,37,13.9,14,3,0,67.2,26,0,0,313,1,390,752,0,0,0,0,0,331,752,10,352,107,19,66,2,41,2,0,321,112,12.3
Brandon Moore,42620,CB,NEBRASKA,7,1,0,55.6,0,0,238,0,0,75.5,73.4,0.0,60.0,66.2,61.8,0,0,0,1,13,16.7,1,0,1,28.7,5,0,0,3,127,83,137,4,0,0,4,0,2,133,1,53,1,1,4,0,9,0,0,43,19,8.6
Brandon Bouyer-Randle,42637,LB,UCONN,13,30,1,85.2,0,0,146,0,0,66.6,65.8,87.1,64.2,62.7,84.8,3,11,0,2,30,6.8,7,0,0,65.1,23,1,0,491,2,226,760,240,0,0,240,0,0,520,162,372,26,32,66,7,27,15,0,190,162,8.3
Clifford Chattman,42657,S,UTSA,14,15,0,45.5,0,0,331,0,0,62.7,67.3,59.2,74.9,74.4,67.9,1,3,0,5,56,14.6,13,7,4,45.1,25,0,0,218,8,467,822,7,0,0,7,0,326,815,7,348,263,20,61,3,55,4,2,408,178,16.3
Anthony Watts,42807,DI,MARSHALL,13,8,0,100.0,0,0,214,0,0,50.3,57.9,62.5,58.8,63.6,56.1,0,7,0,0,49,10.3,3,0,1,118.8,1,1,0,1,0,10,393,392,65,287,9,31,0,1,230,153,0,16,18,4,1,8,0,49,32,49.0
Justin Clark,43185,CB,WISCONSIN,9,1,0,61.5,0,0,349,0,0,61.2,61.2,81.8,,59.3,62.7,0,0,0,0,29,16.7,2,0,2,85.7,8,0,0,15,204,125,229,3,0,0,3,0,0,226,0,104,7,3,9,1,13,0,0,101,19,12.6
Ryan McWood,43189,LB,MIAMI OH,12,34,0,90.9,0,1,221,1,0,71.3,66.4,83.9,54.6,63.5,52.9,2,7,0,1,23,16.9,24,4,0,101.3,30,1,0,773,0,391,821,15,0,0,15,0,0,806,62,368,32,44,84,5,33,10,1,294,205,9.8
Jaydon Grant,43354,S,OREGON ST,12,8,0,59.4,0,1,265,0,0,79.8,78.3,55.2,51.0,78.4,79.5,1,6,0,3,60,10.0,7,3,2,49.3,19,1,0,151,5,459,748,14,0,0,14,0,358,734,22,267,220,22,55,4,32,8,0,283,123,14.9
Jon-Michael Terry,43635,LB,TULSA,12,24,0,71.4,1,0,320,2,0,57.4,60.3,46.4,59.0,63.2,72.9,2,14,0,0,26,12.4,11,0,2,101.6,20,2,0,562,0,289,803,183,0,0,181,2,0,620,91,423,57,36,54,3,28,18,1,189,82,9.5
Tyrone Hopper,43714,ED,MISSOURI,11,2,0,0.0,1,0,229,0,0,50.2,48.5,0.0,57.0,57.1,31.6,0,0,0,0,,33.3,2,0,3,39.6,0,0,0,2,0,6,128,125,0,4,106,15,0,3,69,53,1,1,2,0,1,0,0,0,0,
Sione Tupou,44093,LB,TEXAS ST,12,23,0,78.8,0,1,314,2,0,61.2,75.1,85.2,78.5,78.6,77.1,1,9,0,2,74,9.2,8,3,0,111.1,41,2,0,708,2,386,757,8,0,0,8,0,3,749,60,311,36,32,56,2,52,12,3,515,370,12.6
Semisi Fakasiieiki,44340,LB,PURDUE,11,7,0,50.0,0,0,273,0,0,67.3,62.9,8.2,77.8,57.2,55.2,0,1,0,0,11,16.2,6,0,1,89.6,5,0,0,190,1,102,214,4,0,0,4,0,0,210,5,107,19,18,24,1,10,1,1,17,35,3.4
Antwaine Richardson,49364,S,KENT STATE,7,9,0,69.2,0,0,201,0,0,52.6,60.7,85.4,,79.2,72.3,0,0,0,0,71,11.1,5,1,0,127.9,18,0,0,89,2,225,418,2,0,0,2,0,154,416,0,193,171,10,31,2,26,0,2,265,90,14.7
Todd Bradley-Glenn,49811,LB,GA SOUTHRN,4,5,0,80.0,0,0,174,0,0,31.2,43.2,78.3,55.9,57.4,35.3,0,2,0,0,21,27.3,6,0,0,143.8,4,0,0,110,0,47,129,11,0,0,11,0,0,118,11,71,8,6,11,2,5,2,1,45,19,11.3
Penei Pavihi,52079,LB,HAWAII,13,21,0,84.1,0,0,180,0,0,58.4,44.2,59.8,60.1,35.9,48.8,1,5,1,1,35,21.9,21,1,1,102.1,37,1,0,719,1,364,803,14,0,0,14,0,4,789,38,401,65,36,54,3,44,7,1,394,347,10.6
Jared Reed,52173,CB,BOISE ST,1,0,0,,0,0,120,0,0,,60.0,61.7,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
George Nyakwol,52203,S,RICE,10,7,0,58.3,1,2,275,2,0,54.4,60.9,84.5,72.6,67.2,57.1,3,1,0,1,28,17.3,9,1,1,93.4,7,0,0,156,8,209,427,8,0,0,8,0,216,419,14,204,39,10,36,1,12,4,2,109,15,15.6
Kenneth Orji,52209,ED,RICE,10,9,0,0.0,0,0,275,0,0,65.0,62.7,85.5,53.0,67.0,59.7,0,6,0,0,,16.7,3,0,0,39.6,0,0,0,16,0,18,214,189,0,0,179,10,0,25,91,105,9,3,6,1,1,6,0,0,0,
Trey Schuman,52216,ED,RICE,13,4,0,,0,0,275,0,0,63.2,72.7,8.0,78.3,66.2,63.9,8,12,0,0,,12.5,3,0,3,0.0,0,5,0,0,0,4,264,264,0,8,176,80,0,0,139,121,0,18,17,2,0,25,0,0,0,
