player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Mason White,43872,S,OREGON ST,1,0,,,100.0,,,0,0,0,,265,62.9,51.7,70.3,,60.0,76.4,0,,0.0,0,0,0,0.0,0,1,1,0,1,0,0,0,0,0.0,
James Camden,53418,LB,W MICHIGAN,2,1,-1.7,66.7,73.4,21.0,14.0,0,0,0,0.0,347,81.0,74.6,78.1,68.6,59.7,58.4,0,0,0.0,0,0,0,70.1,2,47,64,3,2,3,0,-5,3,-0.1,-2.5
Iesa Jarmon,53981,CB,AKRON,1,0,17.0,100.0,100.0,4.0,4.0,0,0,0,0.0,102,49.4,49.5,71.0,,60.0,21.7,0,37,100.0,1,0,0,158.3,2,8,8,0,0,2,2,49,21,6.1,24.5
Shaun Myers,62235,LB,COLORADO,2,0,1.6,100.0,95.7,4.4,4.4,0,0,0,0.0,143,58.1,64.2,76.4,59.5,71.3,78.8,0,18,0.0,0,0,0,132.9,5,22,23,1,2,5,1,32,24,1.5,6.4
Mister Williams,70521,LB,S DIEGO ST,2,0,4.0,0.0,88.5,,21.0,0,0,0,0.0,284,67.4,71.3,75.8,57.3,71.7,58.0,0,,,0,0,0,39.6,0,23,26,0,0,1,0,0,0,0.0,
Korey Foreman,70831,ED,FRESNO ST,3,0,11.5,100.0,7.8,2.0,2.0,0,0,0,0.0,169,40.1,45.3,81.4,51.8,57.5,65.2,0,17,100.0,1,0,0,118.8,2,4,51,0,0,2,0,33,10,8.3,16.5
Calvin Pitcher,70877,LB,UAB,2,0,6.0,100.0,75.0,12.0,12.0,0,0,0,0.0,321,49.1,65.8,79.7,56.6,74.8,72.4,0,65,100.0,1,0,0,118.8,1,12,16,1,0,1,0,65,59,5.4,65.0
Tate Romney,70946,LB,ARIZONA ST,2,0,6.0,0.0,100.0,,7.0,0,0,1,100.0,110,77.2,65.6,70.7,,47.2,76.4,0,,,0,1,0,39.6,0,8,8,0,0,1,0,0,0,0.0,
Domani Jackson,71370,CB,ALABAMA,2,0,6.0,0.0,97.0,,30.0,0,0,0,0.0,103,63.6,64.8,0.0,71.1,69.2,83.8,0,,0.0,0,0,2,39.6,0,32,33,2,4,1,0,0,0,0.0,
Aaron Smith,71596,CB,NEW MEXICO,1,0,0.7,100.0,100.0,4.3,4.3,0,0,0,0.0,241,53.3,49.9,76.1,,47.7,27.8,0,7,0.0,0,0,0,90.3,3,13,13,0,1,3,0,17,15,1.3,5.7
DJ Harvey,72089,CB,USC,2,0,12.4,60.0,100.0,10.7,6.4,0,0,1,20.0,326,55.4,57.3,76.1,,66.3,40.1,0,33,50.0,1,0,0,135.0,3,32,32,0,1,5,1,52,6,1.6,17.3
Raider Damuni,72338,S,BYU,2,0,5.0,0.0,92.9,,26.0,0,0,0,0.0,128,70.2,69.9,74.8,65.8,63.8,68.8,1,,0.0,0,0,0,0.0,0,26,28,0,1,1,0,0,0,0.0,
Justin Flowe,72388,LB,UNLV,3,0,2.0,50.0,76.5,22.0,11.0,0,0,1,50.0,325,72.3,77.5,0.0,59.8,86.5,61.4,0,5,33.3,1,1,1,56.3,1,26,34,1,2,2,0,5,8,0.2,5.0
Ian Shewell,72474,DI,ARIZONA ST,1,0,,,16.7,,,0,0,0,,110,60.2,62.2,70.3,58.1,60.9,71.3,0,,0.0,0,0,0,0.0,0,1,6,0,1,0,0,0,0,0.0,
Jadon Pearson,72538,LB,FRESNO ST,3,3,1.2,80.0,84.5,10.5,8.4,0,0,1,10.0,169,64.9,55.1,80.4,51.5,46.7,85.1,0,15,0.0,0,1,0,89.2,8,87,103,3,12,10,0,54,39,0.6,6.8
Marco Notarainni,73389,LB,BOISE ST,2,0,0.8,50.0,78.2,20.5,10.3,0,0,0,0.0,120,58.0,71.9,79.6,60.9,82.9,75.0,0,4,33.3,1,0,0,56.3,2,43,55,1,2,4,0,6,11,0.1,3.0
Trent Whalen,73609,LB,ARKANSAS,1,0,2.5,100.0,100.0,3.0,3.0,0,0,0,0.0,111,54.9,61.3,69.4,63.1,60.0,75.3,0,18,0.0,0,0,0,114.6,2,6,6,1,1,2,0,23,18,3.8,11.5
Gio De Leon,73658,ED,BUFFALO,2,0,,,50.0,,,0,0,0,,126,63.2,62.8,71.9,58.1,60.0,73.0,0,,0.0,0,0,0,0.0,0,3,6,1,1,0,0,0,0,0.0,
Taariq Al-Uqdah,74119,LB,WASHINGTON,2,0,8.0,40.0,81.3,23.5,9.4,0,0,0,0.0,340,56.6,56.6,78.8,62.4,55.8,74.7,0,25,0.0,0,0,0,62.1,2,52,64,1,2,5,0,32,10,0.7,16.0
Ryan Quintanar,74152,LB,USC,1,0,,,100.0,,,0,0,0,,326,60.0,50.8,69.1,,51.5,20.0,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Justin Sinclair,74258,S,HAWAII,1,0,8.0,100.0,80.0,4.0,4.0,0,0,0,0.0,180,62.1,64.5,71.7,60.0,65.0,80.7,0,8,,0,0,0,100.0,1,4,5,0,0,1,0,8,0,2.0,8.0
Zion Branch,74395,S,GEORGIA,1,0,,,100.0,,,0,0,0,,173,78.1,77.6,75.2,,69.3,84.1,0,,0.0,0,0,0,0.0,0,10,10,2,4,0,0,0,0,0.0,
Jaymar Mundy,75041,CB,OHIO,2,0,24.0,50.0,100.0,15.0,7.5,0,0,1,50.0,259,65.3,62.6,73.6,,52.8,43.3,0,14,0.0,0,0,0,72.9,1,15,15,0,1,2,0,14,0,0.9,14.0
Silas Walters,75263,S,MIAMI OH,2,0,10.2,50.0,95.4,11.0,5.5,0,1,2,14.3,221,56.9,58.2,79.5,48.6,64.1,48.0,1,13,28.6,2,2,1,53.9,7,83,87,2,5,14,1,54,15,0.7,7.7
