player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Mason White,43872,S,OREGON ST,9,0,0,265,63.6,0,0,2,4.4,50.0,1,0,0.0,0,68,3,0,0,59.6,0,0,0,3.7,,0,,0,27,1,0
James Camden,53418,LB,W MICHIGAN,9,0,0,347,74.7,1,3,40,20.3,10.0,4,0,12.5,3,212,43,7,0,76.2,1,2,10,14.0,20.0,2,25.0,1,86,12,4
Malik Denkins,55516,ED,C MICHIGAN,5,0,0,134,53.8,0,0,20,100.0,0.0,0,0,0.0,0,21,21,0,0,55.6,0,0,6,100.0,0.0,0,0.0,0,6,6,0
Shaun Myers,62235,LB,COLORADO,8,0,0,143,55.5,0,2,15,20.9,6.7,1,0,6.7,0,86,18,2,0,53.0,0,0,5,20.6,0.0,0,0.0,0,34,7,0
Will Whitson,64470,ED,MISS STATE,2,0,0,227,74.8,0,4,25,100.0,20.0,5,0,16.0,2,28,28,6,0,66.1,0,2,8,100.0,25.0,2,12.5,0,9,9,2
Mister Williams,70521,LB,S DIEGO ST,9,0,0,284,62.2,1,3,23,11.4,13.0,3,0,8.7,0,202,23,4,0,71.0,1,0,10,11.4,30.0,3,5.0,0,88,10,1
Ben Florentine,70644,DI,WYOMING,9,1,0,351,70.2,4,7,197,99.1,8.6,17,0,4.8,4,211,209,15,1,68.2,2,4,55,100.0,10.9,6,9.1,2,59,59,8
Korey Foreman,70831,ED,FRESNO ST,9,1,0,169,64.8,2,7,124,91.4,11.3,14,0,6.0,3,140,128,12,0,63.0,0,6,44,92.2,18.2,8,13.6,3,51,47,9
Calvin Pitcher,70877,LB,UAB,9,0,0,321,53.4,0,1,12,15.2,0.0,0,0,12.5,1,79,12,2,0,53.9,0,1,8,22.2,0.0,0,18.8,1,36,8,2
Tate Romney,70946,LB,ARIZONA ST,7,0,0,110,55.6,0,0,2,9.5,0.0,0,1,0.0,0,42,4,0,0,59.2,0,0,0,7.7,,0,,0,13,1,0
Domani Jackson,71370,CB,ALABAMA,9,0,0,103,67.2,0,1,3,1.5,0.0,0,4,16.7,0,194,3,1,0,,0,0,0,0.0,,0,,0,84,0,0
Keanu Tanuvasa,71398,DI,BYU,9,1,0,128,64.3,1,8,177,100.0,7.9,14,2,3.1,1,190,190,10,0,61.1,1,4,60,100.0,8.3,5,5.8,1,65,65,6
Solomone Langi,72318,DI,S JOSE ST,8,0,0,285,63.7,2,0,50,98.1,4.0,2,0,4.0,1,54,53,3,0,61.1,1,0,10,91.7,10.0,1,5.0,0,12,11,1
Raider Damuni,72338,S,BYU,7,0,0,128,64.5,0,2,3,2.4,33.3,1,0,33.3,0,124,3,2,0,60.0,0,1,1,2.5,0.0,0,50.0,0,40,1,1
Justin Flowe,72388,LB,UNLV,4,0,0,325,56.9,0,2,11,26.1,0.0,0,1,9.1,0,46,12,2,0,55.0,0,1,4,26.7,0.0,0,12.5,0,15,4,1
Ian Shewell,72474,DI,ARIZONA ST,1,0,0,110,58.1,0,0,5,83.3,0.0,0,0,0.0,0,6,5,0,0,60.0,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Jadon Pearson,72538,LB,FRESNO ST,9,0,0,169,54.4,0,3,36,13.5,2.8,1,0,4.2,0,275,37,3,0,51.9,0,1,12,13.8,0.0,0,4.2,0,87,12,1
Marco Notarainni,73389,LB,BOISE ST,9,0,0,120,67.7,8,13,64,28.9,12.5,8,1,18.0,1,235,68,22,0,67.3,3,4,22,32.4,9.1,2,15.9,0,68,22,7
Trent Whalen,73609,LB,ARKANSAS,6,0,0,111,64.6,1,2,3,13.6,33.3,1,0,50.0,0,22,3,3,0,63.1,0,1,0,0.0,,1,,0,9,0,1
Gio De Leon,73658,LB,BUFFALO,3,0,0,126,58.1,0,0,3,30.0,0.0,0,0,0.0,0,10,3,0,0,,0,0,0,0.0,,0,,0,3,0,0
Cory Hall,73699,DI,UNLV,1,0,0,325,58.0,0,0,4,100.0,0.0,0,0,0.0,0,5,5,0,0,60.0,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Taariq Al-Uqdah,74119,LB,WASHINGTON,3,0,0,340,68.8,0,2,15,16.7,20.0,3,0,13.3,1,96,16,3,0,60.5,0,1,5,21.4,20.0,1,10.0,0,28,6,1
Justin Sinclair,74258,S,HAWAII,5,0,0,180,60.0,0,0,0,2.7,,0,1,,0,37,1,0,0,,0,0,0,0.0,,0,,0,17,0,0
Silas Walters,75263,S,MIAMI OH,7,0,0,221,61.9,0,4,8,3.0,25.0,2,2,25.0,0,269,8,4,0,,0,1,0,0.0,,0,,0,102,0,1
Aneesh Vyas,75285,DI,WYOMING,7,0,0,351,49.9,1,1,116,100.0,1.7,2,0,0.9,0,123,123,2,0,47.7,0,1,34,100.0,0.0,0,1.5,0,36,36,1
Bam Booker,76122,ED,BOWL GREEN,10,1,0,122,56.0,0,5,143,100.0,3.5,5,0,1.7,0,155,155,5,0,59.3,0,4,30,100.0,6.7,2,6.7,0,35,35,4
