player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Mason White,43872,S,OREGON ST,6,2,7.5,0,0,265,67.2,56.6,78.3,56.7,40.2,64.8,25.0,2,0,47,49,2.1,1,4
James Camden,53418,LB,W MICHIGAN,7,8,5.1,0,0,347,75.5,76.6,81.8,74.1,69.6,64.3,14.3,4,0,138,139,5.8,8,16
Iesa Jarmon,53981,CB,AKRON,1,0,,0,0,102,49.4,49.5,71.0,,60.0,21.7,,0,0,4,4,0.0,0,0
Malik Denkins,55516,ED,C MICHIGAN,4,2,1.3,0,0,134,61.2,64.5,77.6,56.0,61.4,77.9,0.0,0,0,30,31,10.0,3,3
Shaun Myers,62235,LB,COLORADO,7,3,3.0,0,0,143,66.8,68.0,80.3,61.8,65.1,83.2,0.0,0,0,51,51,2.0,1,2
Will Whitson,64470,ED,MISS STATE,2,2,-2.0,0,0,227,,81.1,76.9,74.8,75.4,78.8,0.0,0,0,18,18,16.7,3,3
Mister Williams,70521,LB,S DIEGO ST,6,6,2.9,0,0,284,58.9,70.3,80.8,68.8,81.4,71.5,0.0,0,0,89,91,13.5,12,13
Ben Florentine,70644,DI,WYOMING,6,7,1.3,0,0,351,60.3,71.6,83.4,62.4,75.4,80.1,0.0,0,0,112,115,4.5,5,6
Korey Foreman,70831,ED,FRESNO ST,7,3,4.0,0,0,169,50.0,66.2,84.6,64.6,69.8,66.4,0.0,0,0,69,71,8.7,6,9
Calvin Pitcher,70877,LB,UAB,6,8,5.1,0,0,321,51.4,68.9,83.7,54.2,78.0,67.3,7.7,2,0,133,136,6.8,9,16
Tate Romney,70946,LB,ARIZONA ST,6,1,4.8,0,0,110,63.2,57.1,0.0,55.6,58.4,41.8,22.2,2,1,30,30,6.7,2,6
Domani Jackson,71370,CB,ALABAMA,6,2,13.7,0,0,103,60.7,59.6,2.9,67.2,57.8,85.9,6.7,1,2,105,107,2.9,3,12
Keanu Tanuvasa,71398,DI,BYU,6,4,0.5,0,0,128,67.6,60.7,7.9,63.9,60.1,62.1,0.0,0,2,81,82,2.5,2,2
