player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Cameron Hollobaugh,205295,LB,OHIO,2,6,,6.0,259,1,0.0,0,1,0,0,0,0.0
Will Gerig,163161,ED,W MICHIGAN,1,1,,1.0,347,0,39.6,0,1,0,0,0,0.0
TJ Banks,193233,S,OLE MISS,2,3,,3.0,226,0,39.6,0,1,0,0,0,0.0
Darius Lorfils,163110,S,BOWL GREEN,3,25,,25.0,122,0,39.6,0,1,0,0,0,0.0
Jordan Coleman,163079,S,ILL STATE,2,11,,11.0,188,0,39.6,0,1,0,0,0,0.0
Bryce Llewellyn,162120,S,E MICHIGAN,3,7,,7.0,160,0,39.6,0,1,0,0,0,0.0
Anthony Brackenridge,163039,LB,W KENTUCKY,3,7,,7.0,346,0,39.6,0,1,0,0,0,0.0
Joshua Cobbs,162955,S,LA TECH,3,13,,13.0,208,0,39.6,0,1,0,0,0,0.0
Carter Hanberry,192894,S,SE LA,2,2,,2.0,294,0,39.6,0,1,0,0,0,0.0
Jaiden Patterson,183336,S,N CAROLINA,3,8,,8.0,245,1,0.0,0,1,0,0,0,0.0
Javin Wright,101373,LB,NEBRASKA,2,6,,3.0,238,0,39.6,0,2,0,0,0,0.0
Zeke Berry,162810,CB,MICHIGAN,2,2,,2.0,222,0,39.6,0,1,0,0,0,0.0
Sam Owens,192817,CB,LNDNWD,2,2,,2.0,949,0,39.6,0,1,0,0,0,0.0
Michael Woods,192643,LB,STF AUSTIN,2,2,,2.0,301,0,39.6,0,1,0,0,0,0.0
Marcus Allen,162743,CB,N CAROLINA,2,4,,2.0,245,0,39.6,0,2,0,0,0,0.0
Ezra Carter,192735,S,BRYANT,2,5,,5.0,124,0,39.6,0,1,0,0,0,0.0
Kenneth McShan,162567,S,NAVY,3,14,,14.0,237,0,39.6,0,1,0,0,0,0.0
Justice Ugo,162517,CB,TEXAS STHN,1,2,,2.0,313,0,39.6,0,1,0,0,0,0.0
Sione Laulea,184853,CB,OREGON,1,2,,2.0,264,0,39.6,0,1,0,0,0,0.0
DJ Cerisier,178201,CB,DUQUESNE,1,2,,2.0,155,0,39.6,0,1,0,0,0,0.0
Aaron Flowers,184845,S,OREGON,2,9,,9.0,264,0,39.6,0,1,0,0,0,0.0
