player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Kalib Perry,86267,LB,TENNESSEE,1,0,-1.0,100.0,100.0,4.5,4.5,0,0,0,0.0,307,49.7,34.6,72.0,,35.0,56.7,0,10,33.3,1,0,0,100.0,2,9,9,0,2,2,0,16,18,1.8,8.0
Brandon Crossley,97225,CB,SMU,1,0,11.0,0.0,100.0,,7.5,0,0,1,25.0,287,72.6,69.4,77.0,,55.4,54.8,1,,0.0,0,1,0,0.0,0,30,30,0,1,4,0,0,0,0.0,
Rod Heard II,97237,S,NOTRE DAME,1,0,13.0,50.0,100.0,22.0,11.0,0,0,0,0.0,258,48.7,50.9,73.1,,61.9,77.4,0,4,0.0,0,0,0,56.3,1,24,24,0,1,2,0,4,-1,0.2,4.0
Jordan Clark,97324,CB,NOTRE DAME,1,0,7.0,63.6,95.2,5.3,3.4,0,0,1,9.1,258,67.6,71.7,79.8,73.5,73.2,45.7,0,17,33.3,2,1,1,109.3,7,40,42,1,4,11,1,63,44,1.7,9.0
Terry Jones,97675,CB,INDIANA,1,2,1.7,100.0,96.4,8.7,8.7,0,0,0,0.0,190,56.7,52.3,78.1,59.6,43.0,29.7,0,8,25.0,1,0,0,90.3,3,27,28,0,1,3,0,17,12,0.7,5.7
Jack Kiser,97889,LB,NOTRE DAME,1,0,12.5,100.0,70.8,8.0,8.0,0,0,0,0.0,258,47.5,60.2,74.6,58.8,76.1,81.1,0,16,,0,0,0,118.8,2,17,24,0,0,2,0,32,7,2.0,16.0
Jahfari Harvey,98118,ED,SMU,1,1,,,5.6,,,0,0,0,,287,61.2,53.4,79.2,62.0,47.1,51.0,0,,0.0,0,0,0,0.0,0,1,18,1,0,0,0,0,0,0.0,
Jared Harrison-Hunte,98331,DI,SMU,1,0,,,5.0,,,0,0,0,,287,59.8,46.1,0.0,52.8,52.8,49.5,0,,100.0,1,0,1,0.0,0,1,20,1,0,0,0,0,0,0.0,
R.J. Oben,98342,ED,NOTRE DAME,1,0,,,5.6,,,0,0,0,,258,60.5,57.9,76.8,57.9,56.4,71.5,0,,0.0,0,0,0,0.0,0,1,18,0,1,0,0,0,0,0.0,
David Gbenda,99370,LB,TEXAS,1,0,,,100.0,,,0,0,0,,311,61.6,76.8,67.8,,75.7,73.6,0,,,0,0,0,0.0,0,3,3,0,0,0,0,0,0,0.0,
Jonathan McGill,100607,S,SMU,1,0,3.5,50.0,93.3,28.0,14.0,0,0,1,50.0,287,70.1,66.9,77.5,57.1,60.1,50.6,0,6,50.0,1,0,0,56.3,1,28,30,1,1,2,0,6,6,0.2,6.0
Smith Vilbert,101408,ED,PENN STATE,1,0,,,6.3,,,0,0,0,,266,60.0,66.4,76.9,64.7,62.6,71.5,0,,,0,0,0,0.0,0,1,16,0,0,0,0,0,0,0.0,
R.J. Mickens,122153,S,CLEMSON,1,0,14.0,66.7,96.9,14.0,9.3,0,0,1,33.3,140,59.3,63.0,76.9,63.0,64.3,57.2,1,19,0.0,0,0,0,92.4,2,31,32,0,2,3,1,25,2,0.9,12.5
