player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Alex Howard,62494,LB,DUKE,1,0,7.2,80.0,81.8,6.8,5.4,0,1,1,20.0,154,78.7,67.8,75.7,72.3,43.0,60.8,0,18,0.0,0,1,0,91.7,4,27,33,3,3,5,0,30,8,1.1,7.5
Barry Brown,62724,LB,COAST CAR,1,0,2.3,66.7,78.4,7.3,4.8,1,0,0,0.0,141,54.6,49.7,0.0,69.1,49.5,29.0,0,28,33.3,1,0,1,84.7,4,29,37,1,2,6,0,39,38,1.3,9.8
Korey Foreman,70831,ED,FRESNO ST,1,0,,,4.3,,,0,0,0,,169,65.8,66.3,0.0,64.7,65.2,76.6,0,,0.0,0,0,1,0.0,0,1,23,1,1,0,0,0,0,0.0,
Tuasivi Nomura,70879,LB,FRESNO ST,1,0,5.7,100.0,86.0,11.0,11.0,0,0,0,0.0,169,67.1,74.0,77.3,53.3,78.2,77.0,0,20,0.0,0,0,0,109.7,3,37,43,2,3,3,0,31,14,0.9,10.3
Domani Jackson,71370,CB,ALABAMA,1,0,3.7,100.0,95.0,6.3,6.3,0,0,0,0.0,103,49.4,43.1,76.6,58.3,36.7,22.0,0,15,33.3,1,0,0,104.2,3,19,20,2,2,3,0,27,16,1.4,9.0
Akili Arnold,71406,S,USC,1,1,9.3,100.0,100.0,10.5,10.5,0,0,0,0.0,326,54.8,55.8,77.1,,59.6,50.5,1,36,20.0,1,0,0,118.8,4,43,43,0,3,4,1,57,28,1.4,14.3
Easton Mascarenas-Arnold,71410,LB,USC,1,1,6.0,66.7,100.0,14.0,9.3,0,1,1,33.3,326,57.8,66.1,76.5,,76.5,58.2,0,15,33.3,1,1,0,86.8,2,28,28,0,1,3,0,21,22,0.8,10.5
Silas Bolden,71674,WR,TEXAS,1,0,,,100.0,,,0,0,0,,311,60.0,62.4,60.0,,,,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Kamren Fabiculanan,72332,S,WASHINGTON,1,0,6.5,50.0,90.9,20.0,10.0,0,0,0,0.0,340,58.8,55.8,77.7,56.9,53.1,26.9,0,9,50.0,1,0,0,102.1,1,20,22,1,1,2,1,9,7,0.5,9.0
Raider Damuni,72338,S,BYU,1,0,12.7,66.7,96.2,11.5,7.7,0,0,0,0.0,128,48.9,44.0,74.4,70.3,32.4,26.0,0,2,100.0,1,0,0,70.1,2,25,26,1,0,3,0,4,9,0.2,2.0
Lavario Wiley,72769,CB,UNLV,1,0,8.0,100.0,100.0,14.0,14.0,0,0,0,0.0,325,68.6,63.9,73.6,,46.3,77.9,0,8,0.0,0,0,0,100.0,1,15,15,0,2,1,0,8,0,0.6,8.0
Marco Notarainni,73389,LB,BOISE ST,1,0,,,53.8,,,0,0,0,,120,72.5,57.0,76.1,64.1,43.7,79.9,0,,0.0,0,0,0,0.0,0,7,13,2,1,0,0,0,0,0.0,
Silas Walters,75263,S,MIAMI OH,1,1,10.5,100.0,100.0,19.0,19.0,0,0,0,0.0,221,65.5,64.3,78.5,,59.9,73.7,0,12,0.0,0,0,0,110.4,2,38,38,0,2,2,0,21,0,0.6,10.5
Antonio Colclough,76813,ED,BUFFALO,1,0,,,5.9,,,0,0,0,,126,60.0,54.1,75.8,47.1,63.9,23.1,0,,100.0,1,0,0,0.0,0,1,17,0,0,0,0,0,0,0.0,
Daniel Bolden,77252,LB,TOLEDO,1,0,0.0,0.0,72.4,,18.0,0,0,0,0.0,316,65.7,66.7,76.1,61.5,64.6,81.1,0,,100.0,1,0,0,39.6,0,21,29,1,0,1,0,0,0,0.0,
Jace Ruder,77680,LB,N TEXAS,1,0,,,36.4,,,0,0,0,,251,61.8,59.6,74.0,55.1,61.4,,0,,,0,0,0,0.0,0,4,11,0,0,0,0,0,0,0.0,
Tory Spears,78134,S,TEXAS ST,1,0,23.0,100.0,100.0,7.0,7.0,0,0,0,0.0,314,37.2,41.4,70.8,,60.0,,0,57,,0,0,0,118.8,1,7,7,0,0,1,0,57,34,8.1,57.0
DaShon Bussell,78169,CB,W MICHIGAN,1,0,41.0,100.0,100.0,15.0,15.0,0,0,0,0.0,347,57.1,59.2,73.8,,65.3,73.5,0,45,,0,0,0,158.3,1,15,15,0,0,1,1,45,4,3.0,45.0
Marque Collins,78999,CB,BYU,1,1,20.0,0.0,100.0,,23.0,0,0,1,100.0,128,80.7,76.6,0.0,,60.0,76.2,0,,0.0,0,1,1,39.6,0,25,25,1,1,1,0,0,0,0.0,
Jayden McDonald,81249,LB,UCONN,1,1,6.0,100.0,65.0,12.0,12.0,0,0,0,0.0,146,71.7,64.3,75.6,67.9,52.8,65.9,0,8,0.0,0,0,0,100.0,1,13,20,1,1,1,0,8,2,0.7,8.0
Raymond Scott,82560,LB,JAMES MAD,1,0,,,66.7,,,0,0,0,,197,61.7,66.7,70.8,57.2,67.3,74.3,0,,,0,0,0,0.0,0,4,6,0,0,0,0,0,0,0.0,
Dustin Johnson,83197,S,OHIO,1,1,5.0,0.0,96.4,,25.0,0,0,0,0.0,259,53.3,62.0,77.0,60.0,78.8,87.2,0,,0.0,0,0,1,39.6,0,27,28,1,3,1,0,0,0,0.0,
Jarvis Ware,83314,CB,UNLV,1,0,8.4,28.6,93.9,21.5,6.1,0,0,1,14.3,325,69.5,67.4,77.6,54.1,57.4,78.2,0,12,0.0,0,1,0,39.6,2,46,49,0,1,7,0,15,20,0.3,7.5
Chris Mills,83315,CB,TEXAS ST,1,0,14.0,50.0,100.0,19.5,9.8,0,0,1,25.0,314,56.7,57.4,77.3,,62.6,78.7,0,22,0.0,0,1,1,75.0,2,41,41,0,3,4,0,30,0,0.8,15.0
Armani-Eli Adams,83838,S,W MICHIGAN,1,0,,,100.0,,,0,0,0,,347,60.0,65.1,63.4,,61.5,73.1,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Rodney Robinson,86527,S,BOISE ST,1,0,3.0,100.0,83.3,9.0,9.0,0,0,0,0.0,120,63.8,56.8,72.5,56.8,50.2,27.0,0,8,,0,0,0,100.0,1,10,12,0,0,1,0,8,5,0.9,8.0
Ozzie Nicholas,86729,LB,DUKE,1,6,13.5,50.0,92.3,36.0,18.0,0,0,0,0.0,154,61.0,62.2,75.6,56.0,64.5,53.1,0,30,12.5,1,0,0,95.8,1,36,39,0,1,2,0,30,9,0.8,30.0
Ceyair Wright,86877,CB,NEBRASKA,1,0,8.8,66.7,97.8,10.8,7.2,0,1,1,16.7,238,66.4,67.8,76.6,60.0,70.4,46.5,0,15,33.3,1,1,0,86.8,4,45,46,0,2,6,0,42,12,1.0,10.5
David Reese,90079,ED,CAL,1,0,,,8.3,,,0,0,0,,130,60.0,67.3,78.3,53.4,73.0,76.6,0,,,0,0,0,0.0,0,1,12,0,0,0,0,0,0,0.0,
Amir McDaniel,97087,CB,LA LAFAYET,1,1,6.7,33.3,87.5,20.0,6.7,0,0,0,0.0,207,51.9,55.2,78.7,70.1,57.1,37.9,0,6,50.0,1,0,0,42.4,1,21,24,1,0,3,0,6,2,0.3,6.0
Anthony Wilson,97220,S,W VIRGINIA,1,0,18.0,100.0,100.0,32.0,32.0,0,0,0,0.0,343,45.4,51.7,76.9,,66.4,68.6,0,89,0.0,0,0,0,118.8,1,33,33,0,3,1,0,89,71,2.8,89.0
Marcus Harris,97230,CB,CAL,1,0,19.7,0.0,100.0,,5.0,0,0,1,33.3,130,78.9,80.5,74.7,,70.1,76.2,0,,0.0,0,1,0,39.6,0,15,15,0,1,3,0,0,0,0.0,
Rod Heard II,97237,S,NOTRE DAME,1,0,5.0,50.0,94.4,15.0,7.5,0,0,0,0.0,258,76.1,76.3,74.3,67.3,58.4,53.0,0,2,0.0,0,0,0,56.3,1,17,18,1,2,2,0,2,1,0.1,2.0
Isaiah Essissima,97243,CB,COLO STATE,1,1,,,100.0,,,0,0,0,,144,68.3,64.9,75.5,,52.4,38.8,0,,0.0,0,0,0,0.0,0,20,20,0,0,0,0,0,0,0.0,
Jordan Clark,97324,CB,NOTRE DAME,1,0,9.0,75.0,100.0,10.3,7.8,0,0,1,25.0,258,62.3,62.8,78.6,,61.8,78.0,0,19,0.0,0,1,0,102.1,3,33,33,0,2,4,0,36,10,1.2,12.0
Juan Powell,97330,CB,COAST CAR,1,0,3.3,100.0,86.7,6.5,6.5,0,0,0,0.0,141,56.1,48.1,0.0,55.5,47.7,49.0,0,38,0.0,0,0,1,118.8,4,26,30,2,3,4,0,68,55,2.6,17.0
AJ Williams,97343,S,COAST CAR,1,0,,,100.0,,,0,0,0,,141,61.5,64.7,71.4,,64.7,78.7,0,,,0,0,0,0.0,0,3,3,0,0,0,0,0,0,0.0,
Jakeen Harris,97351,S,N CAROLINA,1,1,0.0,100.0,100.0,21.0,21.0,0,0,0,0.0,245,66.4,69.9,77.0,,72.2,83.9,0,6,0.0,0,0,0,91.7,1,23,23,1,1,1,0,6,6,0.3,6.0
Woodi Washington,97379,CB,OKLAHOMA,1,0,22.5,100.0,80.0,2.0,2.0,0,0,0,0.0,261,29.3,36.0,72.9,60.0,63.0,,0,32,,0,0,0,118.8,2,4,5,0,0,2,0,53,8,13.3,26.5
Solomon Brown,97386,S,BUFFALO,1,0,9.7,66.7,100.0,11.0,7.3,0,0,0,0.0,126,64.5,65.6,78.3,,65.3,58.2,0,18,25.0,1,0,0,91.0,2,23,23,2,3,3,0,24,0,1.1,12.0
Roderick Roberson,97471,S,LA TECH,1,0,,,20.0,,,0,0,0,,208,60.0,41.1,78.1,57.9,39.1,,0,,,0,0,0,0.0,0,1,5,0,0,0,0,0,0,0.0,
Dallas Gamble,97483,CB,S ALABAMA,1,0,11.3,33.3,100.0,5.0,1.7,0,0,1,33.3,288,49.0,43.8,72.9,,53.4,26.9,0,7,,0,0,0,81.9,1,5,5,0,0,3,1,7,0,1.4,7.0
Dean Clark,97495,S,FRESNO ST,1,0,12.6,40.0,95.6,19.0,7.6,0,1,2,40.0,169,56.7,66.8,78.8,68.3,79.3,84.0,0,21,100.0,1,1,0,54.6,2,43,45,0,0,5,0,23,0,0.6,11.5
Jaden Voisin,97506,S,S ALABAMA,1,0,10.0,50.0,90.6,28.0,14.0,0,0,0,0.0,288,65.5,69.9,77.8,66.0,70.5,71.2,0,5,0.0,0,0,0,56.3,1,29,32,1,1,2,0,5,1,0.2,5.0
Malik Dixon-Williams,97520,S,UCONN,1,1,2.0,0.0,95.0,,18.0,0,0,1,100.0,146,80.9,81.5,76.1,58.9,76.2,85.1,0,,0.0,0,1,0,39.6,0,19,20,1,2,1,0,0,0,0.0,
Malachi Langley,97532,LB,FRESNO ST,1,1,,,91.1,,,0,0,0,,169,75.1,78.2,76.4,54.9,76.6,83.2,0,,0.0,0,0,0,0.0,0,41,45,1,1,0,0,0,0,0.0,
Chad Stephens,97541,ED,E CAROLINA,1,0,,,12.5,,,0,0,0,,156,60.1,65.2,75.5,68.2,60.2,,0,,,0,0,0,0.0,0,2,16,0,0,0,0,0,0,0.0,
Jett Elad,97543,S,UNLV,1,1,18.5,25.0,93.0,50.0,12.5,1,0,1,25.0,325,77.6,75.6,0.0,83.9,60.0,66.5,0,0,20.0,1,1,1,39.6,1,53,57,2,3,4,0,0,0,0.0,0.0
Jackson Barrow,97545,LB,TOLEDO,1,0,,,77.4,,,0,0,0,,316,67.3,69.0,75.7,74.9,61.6,66.1,0,,0.0,0,0,0,0.0,0,24,31,0,2,0,0,0,0,0.0,
Marcus Fuqua,97563,S,BUFFALO,1,0,40.0,0.0,100.0,,28.0,0,0,1,100.0,126,62.7,66.8,77.5,,71.4,81.1,0,,,0,1,1,39.6,0,29,29,0,0,1,0,0,0,0.0,
Damari Roberson,97609,S,W MICHIGAN,1,0,27.0,100.0,86.4,19.0,19.0,0,0,0,0.0,347,59.2,58.9,0.0,54.8,67.5,83.4,0,28,0.0,0,0,1,118.8,1,19,22,2,3,1,0,28,1,1.5,28.0
M.J. Griffin,97703,S,LOUISVILLE,1,0,10.2,100.0,100.0,8.4,8.4,0,0,0,0.0,210,46.6,55.4,77.4,71.2,77.1,59.9,0,31,33.3,1,0,0,149.6,5,44,44,1,2,5,2,52,12,1.2,10.4
