player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
DeShawn Pace,53549,LB,UCF,1,0,3.0,90.0,87.0,5.0,4.5,0,0,0,0.0,323,69.3,66.1,75.6,56.3,56.0,75.6,0,18,9.1,1,0,0,88.3,9,47,54,4,10,10,0,52,24,1.2,5.8
Iesa Jarmon,53981,CB,AKRON,1,0,,,100.0,,,0,0,0,,102,65.2,69.5,71.3,,69.7,73.5,0,,,0,0,0,0.0,0,9,9,0,0,0,0,0,0,0.0,
Jaheim Thomas,54193,LB,WISCONSIN,1,2,,,69.6,,,0,0,0,,349,73.0,66.3,75.8,53.8,61.1,83.0,0,,0.0,0,0,0,0.0,0,16,23,0,0,0,0,0,0,0.0,
Alex Howard,62494,LB,DUKE,1,0,,,79.3,,,0,0,0,,154,52.2,42.1,76.8,64.3,35.8,28.8,0,,100.0,1,0,0,0.0,0,23,29,0,0,0,0,0,0,0.0,
Barry Brown,62724,LB,COAST CAR,1,0,2.7,100.0,87.5,2.3,2.3,0,0,0,0.0,141,42.8,30.9,71.6,62.3,31.9,26.8,0,14,50.0,1,0,0,100.0,3,7,8,1,1,3,0,24,16,3.4,8.0
Kam Butler,63872,ED,VIRGINIA,1,0,,,7.7,,,0,0,0,,335,62.3,82.8,79.4,84.8,70.2,48.2,0,,0.0,0,0,0,0.0,0,3,39,0,1,0,0,0,0,0.0,
Korey Foreman,70831,ED,FRESNO ST,1,0,,,20.0,,,0,0,0,,169,60.3,82.8,74.2,84.2,60.1,73.4,0,,,0,0,0,0.0,0,2,10,2,0,0,0,0,0,0.0,
Tuasivi Nomura,70879,LB,FRESNO ST,1,1,10.0,100.0,74.1,18.0,18.0,0,0,0,0.0,169,58.3,66.0,75.3,77.2,62.5,64.7,0,10,0.0,0,0,0,108.3,1,20,27,0,0,1,0,10,0,0.6,10.0
Domani Jackson,71370,CB,ALABAMA,1,0,8.0,0.0,96.3,,7.7,0,0,0,0.0,103,59.8,60.4,76.3,58.3,63.8,,0,,,0,0,1,39.6,0,26,27,0,0,3,0,0,0,0.0,
William Nimmo Jr.,71391,S,S DIEGO ST,1,0,20.0,0.0,100.0,,14.0,0,0,0,0.0,284,41.5,47.0,74.3,,62.4,82.9,0,,0.0,0,0,0,39.6,0,15,15,0,1,1,0,0,0,0.0,
DJ Harvey,72089,CB,S JOSE ST,1,0,4.8,50.0,95.7,9.0,4.5,0,0,0,0.0,285,66.1,66.1,75.5,59.0,63.7,28.0,0,3,50.0,1,0,0,56.3,2,22,23,1,1,4,0,0,3,0.0,0.0
Kamren Fabiculanan,72332,S,WASHINGTON,1,0,2.5,100.0,88.9,17.5,17.5,0,0,0,0.0,340,64.7,55.5,0.0,61.6,45.0,29.3,0,19,33.3,1,0,1,114.6,2,40,45,1,2,2,0,23,18,0.7,11.5
