player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Rod Heard II,97237,S,NOTRE DAME,1,0,-2.0,100.0,93.8,14.0,14.0,0,0,0,0.0,258,62.7,69.5,74.6,75.4,68.7,65.7,0,13,100.0,1,0,0,118.8,1,15,16,1,0,1,0,13,15,0.9,13.0
Jordan Clark,97324,CB,NOTRE DAME,1,0,6.0,0.0,100.0,,8.0,0,0,1,100.0,258,75.1,76.1,75.5,,64.0,74.8,0,,,0,1,0,39.6,0,9,9,0,0,1,0,0,0,0.0,
Jack Kiser,97889,LB,NOTRE DAME,1,2,2.0,100.0,78.3,8.5,8.5,0,0,0,0.0,258,74.9,73.0,73.6,64.5,63.7,73.9,0,10,0.0,0,0,0,87.5,2,18,23,1,4,2,0,10,6,0.6,5.0
David Gbenda,99370,LB,TEXAS,1,0,4.0,100.0,100.0,6.0,6.0,0,0,0,0.0,311,76.9,71.9,69.6,,55.8,32.1,1,4,,0,0,0,43.8,1,7,7,0,0,1,0,4,0,0.7,4.0
Xavier Watts,122914,S,NOTRE DAME,1,0,0.0,100.0,100.0,14.0,14.0,0,0,0,0.0,258,60.8,65.0,77.8,,70.5,86.4,0,23,0.0,0,0,0,118.8,2,30,30,0,3,2,0,29,29,1.0,14.5
Jahdae Barron,123105,CB,TEXAS,1,1,5.7,66.7,97.4,17.5,11.7,0,0,0,0.0,311,57.9,59.1,77.2,58.8,65.1,55.3,0,7,33.3,2,0,0,74.3,2,37,38,0,3,3,0,12,4,0.3,6.0
Gavin Holmes,123389,CB,TEXAS,1,0,7.0,100.0,100.0,5.0,5.0,0,0,0,0.0,311,65.7,66.1,71.7,,60.0,79.3,0,18,0.0,0,0,0,114.6,2,10,10,2,3,2,0,23,9,2.3,11.5
Jalen Kimber,124026,CB,PENN STATE,1,0,4.0,100.0,100.0,26.0,26.0,0,0,0,0.0,266,68.5,70.5,75.5,,70.0,77.0,0,6,0.0,0,0,0,91.7,1,26,26,0,1,1,0,6,2,0.2,6.0
Christian Gray,128036,CB,NOTRE DAME,1,0,6.3,50.0,100.0,14.0,7.0,0,0,0,0.0,258,66.1,65.1,78.4,,59.8,47.6,1,20,0.0,0,0,1,29.2,2,30,30,0,2,4,0,24,22,0.9,12.0
Lathan Ransom,129755,S,OHIO STATE,1,1,11.5,100.0,97.9,21.5,21.5,0,0,0,0.0,260,38.1,48.2,78.2,60.0,74.7,36.2,0,27,66.7,2,0,1,118.8,2,46,47,0,0,2,0,41,18,1.0,20.5
