player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Rod Heard II,97237,S,NOTRE DAME,1,0,7.0,100.0,100.0,5.0,5.0,0,0,0,0.0,258,54.6,54.8,70.0,,60.0,73.4,0,19,0.0,0,0,0,118.8,1,5,5,0,1,1,0,19,12,3.8,19.0
Jordan Clark,97324,CB,NOTRE DAME,1,0,1.8,100.0,95.5,5.0,5.0,0,0,0,0.0,258,71.0,66.8,78.3,59.9,51.0,54.7,0,6,25.0,1,0,0,82.3,4,21,22,2,3,4,0,15,8,0.8,3.8
Jack Kiser,97889,LB,NOTRE DAME,1,0,11.0,100.0,77.8,6.0,6.0,0,0,0,0.0,258,41.8,69.1,73.8,56.5,84.1,60.0,0,12,100.0,1,0,0,116.7,1,7,9,0,0,1,0,12,1,2.0,12.0
Xavier Watts,122914,S,NOTRE DAME,1,0,14.0,0.0,100.0,,25.0,0,0,1,100.0,258,74.3,75.2,75.8,,72.3,71.6,0,,0.0,0,1,0,39.6,0,27,27,0,1,1,0,0,0,0.0,
Christian Gray,128036,CB,NOTRE DAME,1,0,13.8,75.0,100.0,4.2,3.1,0,0,0,0.0,258,28.1,29.3,76.8,,65.3,28.9,0,56,50.0,2,0,0,156.3,6,27,27,0,2,8,1,126,49,5.0,21.0
Lathan Ransom,129755,S,OHIO STATE,1,0,10.5,50.0,100.0,36.0,18.0,0,0,0,0.0,260,60.1,62.2,78.8,,67.2,78.8,0,14,0.0,0,0,0,72.9,1,42,42,0,1,2,0,14,5,0.4,14.0
Cody Simon,129757,LB,OHIO STATE,1,1,5.5,100.0,85.7,8.0,8.0,0,0,0,0.0,260,49.5,56.6,75.2,46.9,77.1,73.6,0,30,0.0,0,0,0,102.1,4,36,42,1,3,4,0,34,12,1.1,8.5
Jordan Hancock,145067,S,OHIO STATE,1,3,11.3,75.0,100.0,11.3,8.5,1,0,1,25.0,260,50.8,53.1,79.5,,64.0,81.4,0,30,0.0,0,1,2,156.3,3,38,38,0,1,4,1,53,11,1.6,17.7
Denzel Burke,145070,CB,OHIO STATE,1,0,7.0,42.9,100.0,10.7,4.6,0,0,1,14.3,260,63.9,64.4,77.8,,62.7,77.9,0,10,0.0,0,0,0,50.3,3,37,37,2,3,7,0,19,12,0.6,6.3
Jack Sawyer,145071,ED,OHIO STATE,1,0,,,5.7,,,0,0,0,,260,62.3,57.4,77.9,68.1,41.9,35.2,0,,0.0,0,0,0,0.0,0,2,35,0,1,0,0,0,0,0.0,
JT Tuimoloau,145074,ED,OHIO STATE,1,0,,,15.2,,,0,0,0,,260,62.4,68.4,78.7,65.2,66.3,78.8,0,,50.0,1,0,0,0.0,0,5,33,1,1,0,0,0,0,0.0,
Lorenzo Styles Jr.,147474,CB,OHIO STATE,1,0,5.0,100.0,100.0,5.0,5.0,0,0,0,0.0,260,53.8,53.8,69.0,,,74.8,0,11,0.0,0,0,0,112.5,1,5,5,0,1,1,0,11,6,2.2,11.0
Caden Curry,156488,ED,OHIO STATE,1,0,,,25.0,,,0,0,0,,260,60.0,60.3,71.8,58.7,60.1,,0,,,0,0,0,0.0,0,1,4,0,0,0,0,0,0,0.0,
Jaylen Sneed,156972,LB,NOTRE DAME,1,0,,,42.9,,,0,0,0,,258,61.6,68.3,70.3,63.1,65.3,75.8,0,,,0,0,0,0.0,0,3,7,0,0,0,0,0,0,0.0,
