player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Mason White,43872,CB,OREGON ST,1,2,0,265,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,28.0,100.0,100.0,2.0,2.0,0,0,0.0,47.8,0,31,,0,0,118.8,1,2,100.0,2,0,0,1,0,31,3,15.5,31.0
DeShawn Pace,53549,LB,UCF,1,20,0,323,0,8.5,100.0,100.0,1.5,1.5,0,0,0.0,34.7,0,12,100.0,1,0,152.1,2,3,15.0,3,0,0,2,1,22,9,7.3,11.0,0,0,-3.0,100.0,75.0,11.0,11.0,0,0,0.0,57.2,0,1,100.0,1,0,79.2,1,12,60.0,16,0,0,1,0,1,4,0.1,1.0
Iesa Jarmon,53981,CB,AKRON,1,2,0,102,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,50.0,1,0,0,0,0,0,0,0.0,
Alex Howard,62494,LB,DUKE,1,17,0,154,0,5.0,100.0,62.5,5.0,5.0,0,0,0.0,52.5,0,9,0.0,0,0,104.2,1,5,29.4,8,0,1,1,0,9,4,1.8,9.0,0,0,15.0,100.0,58.3,7.0,7.0,0,0,0.0,46.9,0,21,50.0,1,0,118.8,1,7,41.2,12,1,1,1,0,21,6,3.0,21.0
Barry Brown,62724,LB,COAST CAR,1,36,0,141,0,,,87.5,,,0,0,,63.7,0,,0.0,0,0,0.0,0,7,19.4,8,0,1,0,0,0,0,0.0,,0,1,10.0,100.0,86.2,12.5,12.5,0,0,0.0,47.9,0,15,50.0,1,0,118.8,2,25,69.4,29,0,0,2,0,28,8,1.1,14.0
Kam Butler,63872,ED,VIRGINIA,1,1,0,335,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,7,0,0,0,0,0,0,,,0,0,,,4.2,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,24,0,0,0,0,0,0,0.0,
Josh Minkins,66051,S,CINCINNATI,1,13,0,138,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,7.7,1,0,0,0,0,0,0,0.0,,0,0,7.0,100.0,100.0,9.0,9.0,0,0,0.0,63.0,0,9,,0,0,104.2,1,9,69.2,9,0,0,1,0,9,2,1.0,9.0
Korey Foreman,70831,ED,FRESNO ST,1,4,0,169,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,11,0,0,0,0,0,0,,,0,0,,,11.1,,,0,0,,61.7,0,,,0,0,0.0,0,3,75.0,27,1,0,0,0,0,0,0.0,
Tuasivi Nomura,70879,LB,FRESNO ST,1,39,0,169,0,,,50.0,,,0,0,,63.3,0,,,0,0,0.0,0,5,12.8,10,0,0,0,0,0,0,0.0,,0,1,9.0,0.0,78.1,,24.0,0,0,0.0,55.6,0,,0.0,0,0,39.6,0,25,64.1,32,0,0,1,0,0,0,0.0,
Domani Jackson,71370,CB,ALABAMA,1,17,0,103,0,12.5,50.0,100.0,10.0,5.0,0,0,0.0,44.1,0,19,,0,0,83.3,1,10,58.8,10,0,0,2,0,19,13,1.9,19.0,0,0,,,80.0,,,0,0,,63.2,0,,,0,0,0.0,0,4,23.5,5,0,0,0,0,0,0,0.0,
William Nimmo Jr.,71391,S,S DIEGO ST,1,6,0,284,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,16.7,1,0,0,0,0,0,0,0.0,,0,0,,,100.0,,,0,0,,44.1,0,,0.0,0,0,0.0,0,2,33.3,2,0,1,0,0,0,0,0.0,
