player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Kalib Perry,86267,LB,TENNESSEE,1,9,0,307,0,,,100.0,,,0,0,,60.9,0,,,0,0,0.0,0,3,33.3,3,0,0,0,0,0,0,0.0,,0,0,-1.0,100.0,100.0,3.0,3.0,0,0,0.0,47.5,0,10,33.3,1,0,100.0,2,6,66.7,6,0,2,2,0,16,18,2.7,8.0
Brandon Crossley,97225,CB,SMU,1,30,0,287,0,13.0,0.0,100.0,,3.0,0,1,50.0,66.2,0,,,0,1,39.6,0,6,20.0,6,0,0,2,0,0,0,0.0,,0,0,9.0,0.0,100.0,,12.0,0,0,0.0,71.4,1,,0.0,0,0,0.0,0,24,80.0,24,0,1,2,0,0,0,0.0,
Rod Heard II,97237,S,NOTRE DAME,1,24,0,258,0,5.0,100.0,100.0,13.0,13.0,0,0,0.0,58.9,0,4,0.0,0,0,83.3,1,14,58.3,14,0,1,1,0,4,-1,0.3,4.0,0,0,21.0,0.0,100.0,,6.0,0,0,0.0,49.5,0,,,0,0,39.6,0,6,25.0,6,0,0,1,0,0,0,0.0,
Jordan Clark,97324,CB,NOTRE DAME,1,40,0,258,0,9.9,50.0,100.0,6.3,3.1,0,1,12.5,68.4,0,17,0.0,0,1,65.6,4,27,67.5,27,0,3,8,0,42,21,1.7,10.5,0,0,-0.5,100.0,90.0,4.5,4.5,0,0,0.0,58.5,0,7,50.0,1,0,95.8,2,9,22.5,10,1,1,2,0,14,15,1.6,7.0
Terry Jones,97675,CB,INDIANA,1,27,0,190,0,,,100.0,,,0,0,,61.0,0,,,0,0,0.0,0,2,7.4,2,0,0,0,0,0,0,0.0,,0,2,1.7,100.0,95.7,7.0,7.0,0,0,0.0,55.1,0,8,25.0,1,0,90.3,3,22,81.5,23,0,1,3,0,17,12,0.8,5.7
Jack Kiser,97889,LB,NOTRE DAME,1,17,0,258,0,,,60.0,,,0,0,,62.4,0,,,0,0,0.0,0,9,52.9,15,0,0,0,0,0,0,0.0,,0,0,12.5,100.0,100.0,2.5,2.5,0,0,0.0,36.8,0,16,,0,0,118.8,2,5,29.4,5,0,0,2,0,32,7,6.4,16.0
Jahfari Harvey,98118,ED,SMU,1,1,0,287,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,4,0,0,0,0,0,0,,,0,1,,,7.1,,,0,0,,61.2,0,,0.0,0,0,0.0,0,1,100.0,14,1,0,0,0,0,0,0.0,
Jared Harrison-Hunte,98331,DI,SMU,1,1,0,287,0,,,25.0,,,0,0,,59.8,0,,,0,0,0.0,0,1,100.0,4,1,0,0,0,0,0,0.0,,0,0,,,0.0,,,0,0,,,0,,100.0,1,0,0.0,0,0,0.0,16,0,0,0,0,0,0,,
R.J. Oben,98342,ED,NOTRE DAME,1,1,0,258,0,,,7.1,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,14,0,0,0,0,0,0,0.0,,0,0,,,0.0,,,0,0,,60.0,0,,0.0,0,0,0.0,0,0,0.0,4,0,1,0,0,0,0,,
David Gbenda,99370,LB,TEXAS,1,3,0,311,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,,,100.0,,,0,0,,61.6,0,,,0,0,0.0,0,3,100.0,3,0,0,0,0,0,0,0.0,
