player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Rod Heard II,97237,S,NOTRE DAME,1,15,0,258,0,-2.0,100.0,91.7,10.0,10.0,0,0,0.0,61.6,0,13,100.0,1,0,118.8,1,11,73.3,12,1,0,1,0,13,15,1.3,13.0,0,0,,,100.0,,,0,0,,61.0,0,,,0,0,0.0,0,2,13.3,2,0,0,0,0,0,0,0.0,
Jordan Clark,97324,CB,NOTRE DAME,1,9,0,258,0,6.0,0.0,100.0,,4.0,0,1,100.0,76.5,0,,,0,1,39.6,0,5,55.6,5,0,0,1,0,0,0,0.0,,0,0,,,100.0,,,0,0,,61.0,0,,,0,0,0.0,0,2,22.2,2,0,0,0,0,0,0,0.0,
Jack Kiser,97889,LB,NOTRE DAME,1,18,0,258,2,-3.0,100.0,87.5,14.0,14.0,0,0,0.0,68.6,0,10,0.0,0,0,108.3,1,14,77.8,16,0,2,1,0,10,13,0.7,10.0,0,0,,,40.0,,,0,0,,73.9,0,,0.0,0,0,0.0,0,2,11.1,5,1,2,0,0,0,0,0.0,
David Gbenda,99370,LB,TEXAS,1,7,0,311,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,4.0,100.0,100.0,6.0,6.0,0,0,0.0,76.9,1,4,,0,0,43.8,1,7,100.0,7,0,0,1,0,4,0,0.7,4.0
Xavier Watts,122914,S,NOTRE DAME,1,30,0,258,0,3.0,100.0,100.0,20.0,20.0,0,0,0.0,64.2,0,6,0.0,0,0,91.7,1,21,70.0,21,0,3,1,0,6,3,0.3,6.0,0,0,-3.0,100.0,100.0,6.0,6.0,0,0,0.0,52.4,0,23,,0,0,118.8,1,7,23.3,7,0,0,1,0,23,26,3.8,23.0
Jahdae Barron,123105,CB,TEXAS,1,37,0,311,0,9.0,0.0,100.0,,2.0,0,0,0.0,51.7,0,,,0,0,39.6,0,2,5.4,2,0,0,1,0,0,0,0.0,,0,1,5.0,100.0,96.9,29.0,29.0,0,0,0.0,63.8,0,5,20.0,1,0,87.5,1,31,83.8,32,0,3,1,0,5,0,0.2,5.0
Gavin Holmes,123389,CB,TEXAS,1,10,0,311,0,13.0,100.0,100.0,1.0,1.0,0,0,0.0,53.7,0,18,0.0,0,0,118.8,1,1,10.0,1,0,1,1,0,18,5,18.0,18.0,0,0,,,100.0,,,0,0,,63.2,0,,,0,0,0.0,0,6,60.0,6,0,0,0,0,0,0,0.0,
Jalen Kimber,124026,CB,PENN STATE,1,26,0,266,0,4.0,100.0,100.0,15.0,15.0,0,0,0.0,67.4,0,6,0.0,0,0,91.7,1,15,57.7,15,0,1,1,0,6,2,0.4,6.0,0,0,,,100.0,,,0,0,,65.1,0,,,0,0,0.0,0,11,42.3,11,0,0,0,0,0,0,0.0,
Christian Gray,128036,CB,NOTRE DAME,1,30,0,258,0,6.3,50.0,100.0,10.0,5.0,0,0,0.0,68.9,1,20,0.0,0,0,29.2,2,21,70.0,21,0,1,4,0,24,22,1.2,12.0,0,0,,,100.0,,,0,0,,56.4,0,,0.0,0,0,0.0,0,7,23.3,7,0,1,0,0,0,0,0.0,
Lathan Ransom,129755,S,OHIO STATE,1,46,0,260,0,-3.0,100.0,100.0,7.0,7.0,0,0,0.0,45.4,0,14,100.0,2,0,118.8,1,9,19.6,9,0,0,1,0,14,17,2.0,14.0,0,1,26.0,100.0,96.2,25.0,25.0,0,0,0.0,45.1,0,27,0.0,0,0,118.8,1,25,54.3,26,0,0,1,0,27,1,1.1,27.0
