player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Rod Heard II,97237,S,NOTRE DAME,1,5,0,258,0,7.0,100.0,100.0,4.0,4.0,0,0,0.0,53.4,0,19,0.0,0,0,118.8,1,4,80.0,4,0,1,1,0,19,12,4.8,19.0,0,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,
Jordan Clark,97324,CB,NOTRE DAME,1,21,0,258,0,4.5,100.0,92.3,5.5,5.5,0,0,0.0,72.0,0,6,0.0,0,0,85.4,2,12,57.1,13,1,2,2,0,9,0,0.8,4.5,0,0,-1.0,100.0,100.0,3.5,3.5,0,0,0.0,63.0,0,4,50.0,1,0,79.2,2,7,33.3,7,1,1,2,0,6,8,0.9,3.0
Jack Kiser,97889,LB,NOTRE DAME,1,7,0,258,0,,,60.0,,,0,0,,61.2,0,,,0,0,0.0,0,3,42.9,5,0,0,0,0,0,0,0.0,,0,0,11.0,100.0,100.0,3.0,3.0,0,0,0.0,38.8,0,12,100.0,1,0,116.7,1,4,57.1,4,0,0,1,0,12,1,4.0,12.0
Xavier Watts,122914,S,NOTRE DAME,1,27,0,258,0,14.0,0.0,100.0,,14.0,0,1,100.0,74.4,0,,,0,1,39.6,0,15,55.6,15,0,0,1,0,0,0,0.0,,0,0,,,100.0,,,0,0,,66.0,0,,0.0,0,0,0.0,0,10,37.0,10,0,1,0,0,0,0,0.0,
Christian Gray,128036,CB,NOTRE DAME,1,27,0,258,0,15.8,60.0,100.0,4.7,2.8,0,0,0.0,27.2,0,56,0.0,0,0,143.8,3,15,55.6,15,0,1,5,1,79,33,5.6,26.3,0,0,5.5,100.0,100.0,4.5,4.5,0,0,0.0,47.8,0,15,66.7,2,0,118.8,2,10,37.0,10,0,1,2,0,27,16,3.0,13.5
Lathan Ransom,129755,S,OHIO STATE,1,42,0,260,0,12.0,0.0,100.0,,10.0,0,0,0.0,71.2,0,,,0,0,39.6,0,12,28.6,12,0,0,1,0,0,0,0.0,,0,0,9.0,100.0,100.0,17.0,17.0,0,0,0.0,48.3,0,14,0.0,0,0,118.8,1,19,45.2,19,0,1,1,0,14,5,0.8,14.0
Cody Simon,129757,LB,OHIO STATE,1,36,0,260,0,,,66.7,,,0,0,,62.4,0,,,0,0,0.0,0,8,22.2,12,0,0,0,0,0,0,0.0,,0,0,3.0,100.0,94.7,17.0,17.0,0,0,0.0,40.7,0,10,0.0,0,0,108.3,1,18,50.0,19,0,1,1,0,10,7,0.6,10.0
Jordan Hancock,145067,S,OHIO STATE,1,38,0,260,0,29.0,100.0,100.0,9.0,9.0,0,0,0.0,28.7,0,30,,0,0,158.3,1,11,28.9,11,0,0,1,1,30,1,3.3,30.0,0,3,-1.0,100.0,100.0,17.0,17.0,0,0,0.0,63.4,0,6,0.0,0,0,91.7,1,18,47.4,18,0,0,1,0,6,7,0.4,6.0
Denzel Burke,145070,CB,OHIO STATE,1,37,0,260,0,11.3,33.3,100.0,8.0,2.7,0,1,33.3,79.0,0,6,0.0,0,0,42.4,1,9,24.3,9,1,1,3,0,6,3,0.8,6.0,0,0,3.3,66.7,100.0,7.5,5.0,0,0,0.0,66.5,0,10,0.0,0,0,75.7,2,17,45.9,17,1,2,3,0,13,9,0.9,6.5
Jack Sawyer,145071,ED,OHIO STATE,1,2,0,260,0,,,12.5,,,0,0,,60.0,0,,,0,0,0.0,0,1,50.0,8,0,0,0,0,0,0,0.0,,0,0,,,5.9,,,0,0,,61.1,0,,0.0,0,0,0.0,0,1,50.0,17,0,1,0,0,0,0,0.0,
JT Tuimoloau,145074,ED,OHIO STATE,1,5,0,260,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,7,0,0,0,0,0,0,,,0,0,,,18.8,,,0,0,,61.8,0,,0.0,0,0,0.0,0,3,60.0,16,0,1,0,0,0,0,0.0,
