player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Tate Romney,70946,LB,ARIZONA ST,1,8,0,110,0,,,100.0,,,0,0,,62.0,0,,,0,0,0.0,0,5,62.5,5,0,0,0,0,0,0,0.0,,0,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,12.5,1,0,0,0,0,0,0,0.0,
Sheldon Newton,71957,DI,BOISE ST,1,1,0,120,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,1,0,0,0,0,0,0,,,0,0,,,10.0,,,0,0,,59.4,0,,,0,0,0.0,0,1,100.0,10,1,0,0,0,0,0,0.0,
Lavario Wiley,72769,CB,UNLV,1,2,0,325,0,12.0,100.0,100.0,1.0,1.0,0,0,0.0,53.0,0,12,0.0,0,0,116.7,1,1,50.0,1,0,1,1,0,12,0,12.0,12.0,0,0,1.0,100.0,50.0,1.0,1.0,0,0,0.0,51.9,0,12,100.0,1,0,116.7,1,1,50.0,2,0,0,1,0,12,11,12.0,12.0
Marco Notarainni,73389,LB,BOISE ST,1,12,0,120,0,,,100.0,,,0,0,,53.8,0,,100.0,1,0,0.0,0,3,25.0,3,0,0,0,0,0,0,0.0,,0,0,,,70.0,,,0,0,,50.1,0,,,0,0,0.0,0,7,58.3,10,2,0,0,0,0,0,0.0,
Silas Walters,75263,S,MIAMI OH,1,31,0,221,0,16.0,50.0,100.0,3.3,1.7,0,1,16.7,65.1,0,25,0.0,0,1,111.8,3,11,35.5,11,0,2,6,1,41,6,4.1,13.7,0,0,-4.0,100.0,100.0,20.0,20.0,0,0,0.0,72.8,0,7,0.0,0,0,95.8,1,20,64.5,20,1,2,1,0,7,11,0.4,7.0
Dustin Johnson,83197,S,OHIO,1,26,0,259,0,34.0,0.0,75.0,,3.0,0,0,0.0,62.4,0,,,0,0,39.6,0,3,11.5,4,0,0,1,0,0,0,0.0,,0,0,7.0,0.0,100.0,,22.0,0,1,100.0,73.8,0,,,0,1,39.6,0,22,84.6,22,0,0,1,0,0,0,0.0,
Jarvis Ware,83314,CB,UNLV,1,15,0,325,0,14.0,100.0,100.0,3.0,3.0,0,0,0.0,56.3,0,22,0.0,0,0,158.3,2,6,40.0,6,0,1,2,1,26,3,4.3,13.0,0,0,,,100.0,,,0,0,,64.5,0,,,0,0,0.0,0,7,46.7,7,0,0,0,0,0,0,0.0,
Rodney Robinson,86527,S,BOISE ST,1,34,0,120,0,3.0,100.0,100.0,10.0,10.0,0,0,0.0,71.7,0,3,0.0,0,0,79.2,1,10,29.4,10,1,1,1,0,3,0,0.3,3.0,0,1,4.0,100.0,80.8,21.0,21.0,0,0,0.0,62.0,0,10,0.0,0,0,108.3,1,21,61.8,26,1,1,1,0,10,6,0.5,10.0
Amir McDaniel,97087,CB,LA LAFAYET,1,27,0,207,0,,,100.0,,,0,0,,64.0,0,,0.0,0,0,0.0,0,3,11.1,3,0,1,0,0,0,0,0.0,,0,0,0.7,100.0,100.0,7.7,7.7,0,0,0.0,65.4,0,9,20.0,1,0,88.9,3,24,88.9,24,1,4,3,0,16,14,0.7,5.3
Brandon Crossley,97225,CB,SMU,1,46,0,287,0,8.0,100.0,100.0,12.0,12.0,0,0,0.0,66.7,0,8,0.0,0,0,100.0,1,12,26.1,12,0,1,1,0,8,0,0.7,8.0,0,0,18.8,50.0,100.0,8.3,4.1,0,1,12.5,47.7,0,35,0.0,0,1,121.9,4,34,73.9,34,0,1,8,1,74,21,2.2,18.5
