player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Jaylan Foster,13095,S,S CAROLINA,1,0,0,0.0,0,0,289,0,0,70.5,71.9,78.1,63.8,67.4,51.9,0,1,0,0,,28.6,2,1,0,39.6,0,0,0,12,1,35,67,0,0,0,0,0,42,67,1,31,12,0,5,0,1,1,0,0,0,
Devin Taylor,22317,CB,BOWL GREEN,1,1,0,100.0,0,0,122,0,0,58.5,66.9,77.7,,86.6,80.9,0,0,0,0,83,0.0,0,0,0,158.3,2,0,0,0,55,25,57,2,0,0,2,0,0,55,0,32,0,4,5,0,2,0,1,84,61,42.0
Cortez Davis,22974,CB,HAWAII,1,1,0,100.0,0,0,180,0,0,66.2,66.7,77.7,,65.1,38.5,0,0,0,0,17,33.3,1,1,0,118.8,2,0,0,16,65,59,87,5,0,0,5,0,0,82,0,28,1,1,1,0,2,0,0,26,7,13.0
Reggie Stubblefield,23441,S,KANSAS ST,1,0,0,83.3,0,0,199,0,0,66.3,70.0,76.8,62.5,70.7,78.8,0,1,0,0,7,0.0,0,0,0,81.9,5,0,0,39,0,30,71,12,0,0,12,0,0,59,5,36,20,3,4,1,6,1,0,22,12,4.4
Mikel Horton,23509,DI,CHARLOTTE,1,0,0,,0,0,136,0,0,,62.0,76.5,56.0,64.1,73.6,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,49,49,7,42,0,0,0,0,24,25,0,2,3,0,0,0,0,0,0,
Colby Burton,23898,CB,HAWAII,1,0,0,100.0,0,0,180,0,0,60.0,52.8,67.4,,,,0,0,0,0,12,,0,0,0,116.7,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,12,3,12.0
Darion Dunn,23963,CB,TEXAS,1,0,0,66.7,0,0,311,0,0,61.7,57.4,0.0,60.0,62.7,78.5,0,0,0,0,20,0.0,0,0,1,109.7,2,0,0,0,34,17,36,1,0,0,1,0,0,35,1,18,1,0,3,0,3,0,0,39,7,19.5
Darren Evans,24171,CB,LSU,1,0,0,83.3,0,0,211,0,0,54.6,57.3,76.8,,66.7,81.3,0,0,0,0,16,0.0,0,0,0,91.7,5,0,0,3,51,28,61,0,0,0,0,0,3,61,0,33,4,0,5,0,6,0,0,36,24,7.2
Alvinoski LaFleur,24504,S,E MICHIGAN,1,1,0,100.0,0,0,160,0,0,62.5,55.5,77.4,55.1,42.3,35.5,0,0,0,0,4,33.3,2,0,0,83.3,1,0,0,22,1,24,43,0,0,0,0,0,3,43,2,17,17,2,3,0,1,0,0,4,2,4.0
Luc Bequette,25776,DI,CAL,1,0,1,,0,0,130,0,0,58.1,56.9,75.2,61.7,56.9,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,2,44,44,1,39,0,4,0,0,29,13,0,0,0,0,0,0,0,0,0,
Demario McCall,28012,CB,OHIO STATE,1,0,0,0.0,0,0,260,0,0,57.5,58.1,71.0,,60.3,,0,0,0,0,,,0,0,0,39.6,0,0,0,3,12,11,15,0,0,0,0,0,0,15,0,4,0,0,0,0,1,0,0,0,0,
Brenden Schooler,28253,S,TEXAS,1,1,0,33.3,0,0,311,0,0,69.4,72.3,77.3,,73.2,59.8,0,0,0,0,11,16.7,1,1,0,45.1,1,0,0,14,1,32,55,0,0,0,0,0,33,55,0,23,7,1,4,0,3,0,0,11,6,11.0
Richard Moore,28853,LB,SMU,1,1,0,,0,0,287,0,0,52.1,52.8,70.2,56.6,58.8,75.8,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,25,0,9,26,0,0,0,0,0,0,26,3,14,1,1,1,0,0,0,0,0,0,
Jack Jones,29050,CB,ARIZONA ST,1,0,0,100.0,0,1,110,0,0,60.4,64.9,76.2,,72.0,58.6,0,0,0,0,10,16.7,1,0,0,131.3,4,0,0,9,55,22,67,0,0,0,0,0,0,67,0,45,3,2,5,0,4,0,1,24,21,6.0
Marshaun Cameron,30624,CB,COLO STATE,1,1,0,66.7,0,0,144,0,0,45.2,49.4,76.9,60.0,74.3,80.6,0,0,0,0,93,0.0,0,1,0,149.3,4,0,0,5,45,39,56,2,0,0,2,0,0,54,1,16,4,1,4,0,6,0,2,154,81,38.5
Brian Cavicante,33444,LB,MARSHALL,1,1,0,,0,0,214,0,0,63.3,70.3,70.7,60.0,58.8,32.1,0,0,0,0,,50.0,1,0,0,0.0,0,0,0,8,0,4,8,0,0,0,0,0,0,8,1,3,0,0,0,0,0,0,0,0,0,
Denzel Feaster,34561,LB,UTSA,1,0,0,,0,1,331,0,0,,61.0,65.8,,60.7,38.2,0,0,0,0,,50.0,1,0,0,0.0,0,0,0,4,0,0,4,0,0,0,0,0,0,4,0,4,0,0,1,0,0,0,0,0,0,
Ferrod Gardner,34595,LB,LA LAFAYET,1,1,0,66.7,0,0,207,0,0,58.8,52.3,72.7,55.5,44.9,26.7,0,5,0,0,9,60.0,3,0,0,75.7,2,0,0,46,0,29,55,1,0,0,1,0,0,54,10,16,8,1,1,0,3,5,0,13,8,6.5
John Petrishen,35069,LB,PITTSBURGH,1,2,0,66.7,0,0,268,0,0,62.4,63.4,73.2,58.1,65.9,83.1,0,0,0,0,8,0.0,0,0,0,78.5,2,0,0,26,0,37,49,0,0,0,0,0,1,49,3,9,22,0,4,0,3,0,0,15,2,7.5
Cristian Williams,36151,S,TULSA,1,3,1,,0,0,320,0,0,62.0,67.0,75.9,66.8,68.9,45.1,0,0,0,0,,28.6,2,0,0,0.0,0,0,0,9,0,25,48,0,0,0,0,0,30,48,1,22,9,0,2,0,0,0,0,0,0,
Scott Patchan,36449,ED,COLO STATE,1,0,0,,0,1,144,0,0,61.8,75.3,78.7,67.8,70.5,77.3,0,7,0,0,,0.0,0,0,0,0.0,0,2,0,0,0,0,60,60,0,0,59,1,0,0,39,21,0,4,2,1,0,9,0,0,0,
Elijah Taylor,36723,ED,TULSA,1,0,0,,0,0,320,0,0,60.0,58.4,0.0,55.9,75.0,76.6,0,0,0,0,,0.0,0,0,1,0.0,0,0,0,0,0,0,31,31,0,10,21,0,0,0,15,16,0,5,5,0,0,0,0,0,0,
