player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Ty Hamilton,66298,DI,OHIO STATE,1,3,0,,0,0,260,0,0,,59.3,75.9,61.6,56.4,74.6,0,2,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,0,42,42,3,38,0,1,0,0,27,15,0,0,0,0,0,3,0,0,0,
Jermayne Lole,82212,DI,TEXAS,1,0,0,,0,0,311,0,0,,58.9,74.7,59.0,58.7,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,30,30,7,17,0,6,0,0,20,10,0,0,0,0,0,0,0,0,0,
Jacob Mangum-Farrar,82557,ED,INDIANA,1,0,0,,0,0,190,0,0,,60.0,65.7,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
Kalib Perry,86267,LB,TENNESSEE,1,1,0,100.0,0,0,307,0,0,49.7,34.6,72.0,,35.0,56.7,0,0,0,0,10,20.0,1,0,0,100.0,2,0,0,14,0,9,17,1,0,0,1,0,0,16,0,8,2,0,3,0,2,0,0,16,18,8.0
Brandon Crossley,97225,CB,SMU,1,0,0,0.0,0,0,287,0,0,72.6,69.4,77.0,,55.4,54.8,0,0,0,1,,33.3,1,1,0,0.0,0,0,0,6,54,30,63,0,0,0,0,0,3,63,0,33,0,0,2,0,4,0,0,0,0,
Rod Heard II,97237,S,NOTRE DAME,1,0,0,50.0,0,0,258,0,0,48.7,50.9,73.1,,61.9,77.4,0,0,0,0,4,0.0,0,0,0,56.3,1,0,0,12,0,24,27,1,0,0,1,0,4,26,0,3,10,0,2,0,2,0,0,4,-1,4.0
Jordan Clark,97324,CB,NOTRE DAME,1,0,0,63.6,0,0,258,0,0,67.6,71.7,79.8,73.5,73.2,45.7,0,0,0,0,17,25.0,2,1,1,109.3,7,0,0,2,3,40,67,0,0,0,0,0,0,67,2,25,62,2,6,1,11,0,1,63,44,9.0
Terry Jones,97675,CB,INDIANA,1,2,0,100.0,0,0,190,0,0,56.7,52.3,78.1,59.6,43.0,29.7,0,0,0,0,8,42.9,3,0,0,90.3,3,0,0,3,0,27,41,3,0,0,3,0,2,38,1,13,33,0,2,0,3,0,0,17,12,5.7
Jack Kiser,97889,LB,NOTRE DAME,1,1,0,100.0,0,0,258,0,0,47.5,60.2,74.6,58.8,76.1,81.1,0,0,0,0,16,0.0,0,0,0,118.8,2,0,0,37,0,17,37,0,0,0,0,0,0,37,7,13,0,2,4,0,2,0,0,32,7,16.0
Jahfari Harvey,98118,ED,SMU,1,3,0,,0,0,287,0,0,61.2,53.4,79.2,62.0,47.1,51.0,0,2,0,0,,20.0,1,0,0,0.0,0,1,0,0,0,1,37,37,0,0,36,1,0,0,17,19,0,2,1,0,0,3,0,0,0,
