player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Cheikhsaliou Fall,54240,ED,CAL,1,2,0,,0,0,130,0,0,,56.8,77.3,55.8,57.9,74.5,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,30,30,0,0,23,7,0,0,9,21,0,0,0,0,0,0,0,0,0,
Alex Howard,62494,LB,DUKE,1,0,0,80.0,0,0,154,0,0,78.7,67.8,75.7,72.3,43.0,60.8,2,1,0,0,18,12.5,1,1,0,91.7,4,0,0,46,0,27,53,5,0,0,5,0,0,48,6,20,2,4,7,1,5,3,0,30,8,7.5
Barry Brown,62724,LB,COAST CAR,1,0,0,66.7,1,0,141,0,0,54.6,49.7,0.0,69.1,49.5,29.0,0,0,0,0,28,37.5,3,0,1,84.7,4,0,0,56,0,29,64,2,0,0,2,0,0,62,8,27,6,3,5,0,6,0,0,39,38,9.8
Ty Hamilton,66298,DI,OHIO STATE,1,1,0,,0,0,260,0,0,,57.8,76.3,52.4,64.8,71.9,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,54,54,5,45,0,4,0,0,38,16,0,1,1,1,0,1,0,0,0,
Korey Foreman,70831,ED,FRESNO ST,1,0,0,,0,0,169,0,0,65.8,66.3,0.0,64.7,65.2,76.6,1,2,0,0,,0.0,0,0,1,0.0,0,0,0,0,0,1,38,38,0,0,38,0,0,0,22,15,0,3,4,1,0,3,0,0,0,
Tuasivi Nomura,70879,LB,FRESNO ST,1,1,0,100.0,0,0,169,0,0,67.1,74.0,77.3,53.3,78.2,77.0,0,1,0,0,20,7.1,1,0,0,109.7,3,0,0,70,0,37,79,6,0,0,6,0,0,73,6,36,3,8,12,1,3,1,0,31,14,10.3
Keyon Ware-Hudson,71322,DI,OREGON,1,0,0,,0,0,264,0,0,,65.5,71.1,59.5,64.6,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,9,9,1,8,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,
Domani Jackson,71370,CB,ALABAMA,1,0,0,100.0,0,0,103,0,0,49.4,43.1,76.6,58.3,36.7,22.0,0,0,0,0,15,71.4,5,0,0,104.2,3,0,0,10,51,19,67,1,0,0,1,0,4,66,1,47,1,2,2,0,3,0,0,27,16,9.0
Akili Arnold,71406,S,USC,1,2,0,100.0,0,0,326,0,0,54.8,55.8,77.1,,59.6,50.5,0,0,0,1,36,28.6,2,0,0,118.8,4,0,0,16,1,43,66,0,0,0,0,0,31,66,0,23,18,0,3,0,4,0,1,57,28,14.3
Easton Mascarenas-Arnold,71410,LB,USC,1,1,0,66.7,0,0,326,0,0,57.8,66.1,76.5,,76.5,58.2,0,0,0,0,15,14.3,1,1,0,86.8,2,0,0,38,0,28,43,2,0,0,2,0,1,41,0,15,2,3,5,0,3,0,0,21,22,10.5
Mavin Anderson,71443,WR,CAL,1,0,0,,0,0,130,0,0,,60.0,60.0,60.0,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,
Silas Bolden,71674,WR,TEXAS,1,0,0,,0,0,311,0,0,60.0,62.4,60.0,,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Sheldon Newton,71957,DI,BOISE ST,1,0,0,,0,0,120,0,0,,30.1,73.4,56.6,29.4,69.7,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,1,0,0,17,16,3,13,0,0,0,1,8,9,0,1,1,0,0,0,0,0,0,
Kamren Fabiculanan,72332,S,WASHINGTON,1,1,0,50.0,0,0,340,0,0,58.8,55.8,77.7,56.9,53.1,26.9,0,1,0,0,9,50.0,3,0,0,102.1,1,0,0,11,0,20,47,2,0,0,2,0,19,45,2,25,15,2,2,0,2,1,1,9,7,9.0
Raider Damuni,72338,S,BYU,1,0,0,66.7,0,0,128,0,0,48.9,44.0,74.4,70.3,32.4,26.0,0,0,0,0,2,75.0,3,0,0,70.1,2,1,0,12,0,25,35,0,0,0,0,0,17,35,1,9,6,1,1,0,3,1,0,4,9,2.0
Lavario Wiley,72769,CB,UNLV,1,0,0,100.0,0,0,325,0,0,68.6,63.9,73.6,,46.3,77.9,0,0,0,0,8,0.0,0,0,0,100.0,1,0,0,0,22,15,22,0,0,0,0,0,0,22,0,7,0,0,3,0,1,0,0,8,0,8.0
Keith Conley Jr.,72821,ED,UNLV,1,0,0,,0,0,325,0,0,,43.1,73.4,55.1,55.3,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,11,11,0,3,7,1,0,0,9,2,0,0,0,0,0,0,0,0,0,
Marco Notarainni,73389,LB,BOISE ST,1,2,0,,0,0,120,0,0,72.5,57.0,76.1,64.1,43.7,79.9,0,0,0,0,,0.0,0,0,0,0.0,0,1,0,37,0,7,37,0,0,0,0,0,0,37,6,24,0,2,2,0,0,1,0,0,0,
Treven Ma'ae,74498,DI,BAYLOR,1,3,0,,0,0,118,0,0,64.6,69.8,75.7,56.6,67.9,76.4,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,52,52,2,16,13,21,0,0,28,24,0,2,2,1,0,0,0,0,0,
Silas Walters,75263,S,MIAMI OH,1,3,0,100.0,0,0,221,1,0,65.5,64.3,78.5,,59.9,73.7,0,0,0,0,12,12.5,1,0,0,110.4,2,0,0,14,2,38,70,0,0,0,0,0,36,70,0,32,18,1,4,0,2,0,0,21,0,10.5
Dennis Briggs Jr.,76792,DI,ILLINOIS,1,1,0,,0,0,187,0,0,,74.8,74.0,72.3,67.7,72.9,0,2,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,0,29,29,0,15,0,14,0,0,18,11,0,1,0,0,0,3,0,0,0,
Antonio Colclough,76813,ED,BUFFALO,1,0,0,,0,0,126,0,0,60.0,54.1,75.8,47.1,63.9,23.1,0,1,0,0,,100.0,1,0,0,0.0,0,0,0,3,0,1,30,27,0,6,8,13,0,3,16,13,0,0,0,0,0,1,0,0,0,
Daniel Bolden,77252,LB,TOLEDO,1,3,0,0.0,0,0,316,0,0,65.7,66.7,76.1,61.5,64.6,81.1,0,1,0,0,,16.7,1,0,0,39.6,0,1,0,66,3,21,75,2,0,0,2,0,0,73,8,46,4,1,2,0,1,2,0,0,0,
Jace Ruder,77680,LB,N TEXAS,1,0,0,,0,0,251,0,0,61.8,59.6,74.0,55.1,61.4,,0,0,0,0,,,0,0,0,0.0,0,0,0,7,0,4,17,7,0,0,7,0,0,10,7,6,3,0,0,0,0,0,0,0,0,
Tory Spears,78134,S,TEXAS ST,1,0,0,100.0,0,0,314,0,0,37.2,41.4,70.8,,60.0,,0,0,0,0,57,,0,0,0,118.8,1,0,0,1,0,7,9,0,0,0,0,0,8,9,0,2,0,0,0,0,1,0,0,57,34,57.0
DaShon Bussell,78169,CB,W MICHIGAN,1,0,0,100.0,0,0,347,0,0,57.1,59.2,73.8,,65.3,73.5,0,0,0,0,45,0.0,0,0,0,158.3,1,0,0,1,26,15,27,0,0,0,0,0,0,27,0,12,0,0,1,0,1,0,1,45,4,45.0
Marque Collins,78999,CB,BYU,1,1,0,0.0,0,0,128,0,0,80.7,76.6,0.0,,60.0,76.2,0,0,0,0,,0.0,0,1,1,39.6,0,0,0,0,29,25,30,0,0,0,0,0,0,30,0,5,1,1,1,0,1,0,0,0,0,
