player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Ty Hamilton,66298,DI,OHIO STATE,1,0,0,,0,0,260,0,0,60.0,60.3,76.1,57.5,61.6,72.2,0,0,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,0,47,46,4,40,0,2,0,1,33,14,0,0,1,0,0,1,0,0,0,
Rod Heard II,97237,S,NOTRE DAME,1,0,0,100.0,0,0,258,0,0,54.6,54.8,70.0,,60.0,73.4,0,0,0,0,19,0.0,0,0,0,118.8,1,0,0,2,0,5,8,0,0,0,0,0,2,8,0,3,4,0,1,0,1,0,0,19,12,19.0
Jordan Clark,97324,CB,NOTRE DAME,1,1,0,100.0,0,0,258,0,0,71.0,66.8,78.3,59.9,51.0,54.7,0,0,0,0,6,20.0,1,0,0,82.3,4,0,0,3,0,21,42,0,0,0,0,0,0,42,1,20,39,2,3,0,4,0,0,15,8,3.8
Jack Kiser,97889,LB,NOTRE DAME,1,1,0,100.0,0,0,258,0,0,41.8,69.1,73.8,56.5,84.1,60.0,0,0,0,0,12,14.3,1,0,0,116.7,1,0,0,27,0,7,30,2,0,0,2,0,0,28,2,21,1,4,5,1,1,0,0,12,1,12.0
R.J. Oben,98342,ED,NOTRE DAME,1,0,0,,0,0,258,0,0,,65.7,0.0,65.6,70.9,73.0,0,1,0,0,,0.0,0,0,1,0.0,0,0,0,0,0,0,36,36,0,1,30,5,0,0,13,23,0,1,1,0,0,1,0,0,0,
Howard Cross III,102726,DI,NOTRE DAME,1,0,0,,0,0,258,0,0,56.1,62.0,77.4,69.8,63.1,69.7,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,59,59,13,46,0,0,0,0,24,35,0,1,1,0,0,1,0,0,0,
Xavier Watts,122914,S,NOTRE DAME,1,3,0,0.0,0,0,258,0,0,74.3,75.2,75.8,,72.3,71.6,0,0,0,0,,9.1,1,1,0,39.6,0,0,0,27,1,27,64,0,0,0,0,0,27,64,0,37,9,2,7,1,1,0,0,0,0,
Christian Gray,128036,CB,NOTRE DAME,1,0,0,75.0,0,0,258,0,0,28.1,29.3,76.8,,65.3,28.9,0,0,0,0,56,50.0,2,0,0,156.3,6,0,0,2,59,27,63,0,0,0,0,0,0,63,0,36,2,0,2,0,8,0,1,126,49,21.0
Mitchell Melton,129753,ED,OHIO STATE,1,0,0,,0,0,260,0,0,,70.2,72.3,63.9,64.5,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,8,8,0,0,8,0,0,0,5,3,0,0,0,0,0,0,0,0,0,
Lathan Ransom,129755,S,OHIO STATE,1,0,0,50.0,0,0,260,0,0,60.1,62.2,78.8,,67.2,78.8,0,0,0,0,14,0.0,0,0,0,72.9,1,0,0,14,1,42,64,2,0,0,2,0,35,62,0,22,11,0,2,0,2,0,0,14,5,14.0
Cody Simon,129757,LB,OHIO STATE,1,2,0,100.0,0,0,260,0,0,49.5,56.6,75.2,46.9,77.1,73.6,0,1,0,0,30,0.0,0,0,0,102.1,4,0,0,54,0,36,64,0,0,0,0,0,0,64,6,22,9,4,7,1,4,1,0,34,12,8.5
Jordan Hancock,145067,S,OHIO STATE,1,3,0,75.0,1,0,260,0,0,50.8,53.1,79.5,,64.0,81.4,0,0,0,0,30,0.0,0,1,2,156.3,3,0,0,3,0,38,58,2,0,0,2,0,12,56,0,20,41,0,1,0,4,0,1,53,11,17.7
Denzel Burke,145070,CB,OHIO STATE,1,0,0,42.9,0,0,260,0,0,63.9,64.4,77.8,,62.7,77.9,0,0,0,0,10,0.0,0,0,0,50.3,3,0,0,0,54,37,55,0,0,0,0,0,0,55,0,18,0,2,3,0,7,0,0,19,12,6.3
Jack Sawyer,145071,ED,OHIO STATE,1,2,0,,0,0,260,0,0,62.3,57.4,77.9,68.1,41.9,35.2,0,4,0,0,,25.0,1,0,0,0.0,0,0,0,0,0,2,51,50,0,0,48,2,0,1,33,16,0,0,1,0,0,4,0,0,0,
JT Tuimoloau,145074,ED,OHIO STATE,1,0,0,,0,0,260,0,0,62.4,68.4,78.7,65.2,66.3,78.8,1,1,0,0,,16.7,1,0,0,0.0,0,1,0,0,0,5,50,49,0,0,47,2,0,1,28,17,0,2,5,1,0,3,0,0,0,
Tyleik Williams,145080,DI,OHIO STATE,1,1,0,,0,0,260,0,0,67.9,67.6,75.3,56.0,68.8,76.3,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,48,47,3,19,0,25,0,1,30,18,0,1,3,1,0,1,0,0,0,
Tywone Malone Jr.,146832,DI,OHIO STATE,1,0,0,,0,0,260,0,0,,59.7,66.5,59.6,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,2,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,
Lorenzo Styles Jr.,147474,CB,OHIO STATE,1,0,0,100.0,0,0,260,0,0,53.8,53.8,69.0,,,74.8,0,0,0,0,11,0.0,0,0,0,112.5,1,0,0,0,0,5,5,0,0,0,0,0,3,5,0,0,2,0,1,0,1,0,0,11,6,11.0
Gabriel Rubio,147499,DI,NOTRE DAME,1,1,0,,0,0,258,0,0,,61.2,75.6,61.3,60.1,23.4,0,0,0,0,,50.0,2,0,0,0.0,0,0,0,0,0,0,43,43,0,41,0,2,0,0,14,29,0,1,1,0,0,0,0,0,0,
Caden Curry,156488,ED,OHIO STATE,1,0,0,,0,0,260,0,0,60.0,60.3,71.8,58.7,60.1,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,1,6,6,0,0,6,0,0,0,3,2,0,0,0,0,0,0,0,0,0,
Donovan Hinish,156961,DI,NOTRE DAME,1,0,0,,0,0,258,0,0,,65.4,73.7,72.4,55.9,,0,3,0,0,,,0,0,0,0.0,0,0,0,0,0,0,23,23,2,17,0,4,0,0,12,11,0,0,0,0,0,3,0,0,0,
Jaylen Sneed,156972,LB,NOTRE DAME,1,1,0,,0,0,258,0,0,61.6,68.3,70.3,63.1,65.3,75.8,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,10,0,3,13,3,0,0,3,0,0,10,4,6,0,0,1,0,0,1,0,0,0,
Joshua Burnham,156977,ED,NOTRE DAME,1,0,0,,0,0,258,0,0,60.0,70.9,77.5,65.3,69.5,76.4,0,0,0,0,,0.0,0,0,0,0.0,0,2,0,0,0,1,38,38,0,1,34,3,0,0,13,24,0,4,2,0,0,2,0,0,0,
Junior Tuihalamaka,156982,ED,NOTRE DAME,1,0,0,,0,0,258,0,0,50.2,29.5,78.0,55.0,28.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,4,29,29,0,0,29,0,0,0,9,16,0,0,0,0,0,0,0,0,0,
