player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Colby Reeder,30285,LB,IOWA STATE,1,0,0,193,64.6,0,1,8,34.8,12.5,1,0,18.8,1,23,8,2,0,61.4,0,1,3,60.0,33.3,1,16.7,0,5,3,1
Jordan Carmouche,39951,LB,ARK STATE,1,0,0,113,52.9,0,0,7,17.5,0.0,0,0,0.0,0,40,7,0,0,59.4,0,0,1,7.7,0.0,0,0.0,0,13,1,0
Monte McGary,42477,CB,KANSAS,1,0,0,198,59.0,0,0,1,50.0,0.0,0,0,0.0,0,2,1,0,0,59.0,0,0,1,50.0,0.0,0,0.0,0,2,1,0
Bricen Garner,42520,S,W MICHIGAN,1,1,0,347,66.6,0,0,2,5.4,0.0,0,0,0.0,0,37,2,0,0,,0,0,0,0.0,,0,,0,16,0,0
Brandon Bouyer-Randle,42637,LB,UCONN,1,1,0,146,62.1,0,1,14,32.6,7.1,1,0,3.6,0,43,14,1,0,55.3,0,0,5,41.7,0.0,0,0.0,0,12,5,0
Ryan McWood,43189,LB,MIAMI OH,1,0,0,221,52.4,0,0,6,11.8,0.0,0,0,0.0,0,51,6,0,0,56.7,0,0,2,15.4,0.0,0,0.0,0,13,2,0
Jaydon Grant,43354,S,OREGON ST,1,0,0,265,59.2,0,0,1,2.6,0.0,0,0,0.0,0,39,1,0,0,59.2,0,0,1,7.7,0.0,0,0.0,0,13,1,0
Jon-Michael Terry,43635,LB,TULSA,1,0,0,320,54.3,0,0,7,88.9,0.0,0,0,0.0,0,9,8,0,0,59.7,0,0,0,100.0,,0,,0,1,1,0
Tyrone Hopper,43714,ED,MISSOURI,1,0,1,229,57.0,0,0,3,66.7,0.0,0,1,0.0,0,6,4,0,0,,0,0,0,,,0,,0,0,0,0
Sione Tupou,44093,LB,TEXAS ST,1,0,0,314,82.9,0,1,9,15.5,33.3,3,0,5.6,0,58,9,1,0,59.4,0,0,1,6.7,0.0,0,0.0,0,15,1,0
Semisi Fakasiieiki,44340,LB,PURDUE,1,0,0,273,59.2,0,0,1,5.6,0.0,0,1,0.0,0,18,1,0,0,,0,0,0,0.0,,0,,0,8,0,0
Penei Pavihi,52079,LB,HAWAII,1,0,0,180,60.7,0,0,7,20.0,14.3,1,0,0.0,0,35,7,0,0,55.6,0,0,3,20.0,0.0,0,0.0,0,15,3,0
Alii Matau,52219,LB,S JOSE ST,1,0,0,285,47.1,0,1,17,65.4,0.0,0,0,2.9,0,26,17,1,0,45.8,0,1,7,77.8,0.0,0,7.1,0,9,7,1
Rico Tolefree,52250,LB,S JOSE ST,1,0,0,285,57.5,0,0,2,20.0,0.0,0,0,0.0,0,10,2,0,0,57.5,0,0,2,33.3,0.0,0,0.0,0,6,2,0
Gabe Reid,52273,ED,UTAH,1,0,0,328,71.5,0,1,9,90.9,33.3,3,0,5.6,0,11,10,1,0,58.9,0,0,0,100.0,,0,,0,1,1,0
Ryan Johnson,52282,ED,NWESTERN,1,0,0,256,60.8,0,2,9,90.0,11.1,1,0,11.1,0,10,9,2,0,55.7,0,0,5,100.0,0.0,0,0.0,0,5,5,0
Darrien Grant,52293,DI,USF,1,0,0,327,58.8,0,0,3,100.0,0.0,0,0,0.0,0,3,3,0,0,60.0,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Bryce Dugan,52425,DI,OHIO,1,0,0,259,58.4,0,1,32,100.0,3.1,1,0,1.6,0,34,34,1,0,59.8,0,1,21,100.0,4.8,1,2.4,0,22,22,1
Tyler Bentley,52790,DI,PITTSBURGH,1,0,0,268,55.3,0,1,16,100.0,0.0,0,0,3.1,0,17,17,1,0,56.6,0,1,6,100.0,0.0,0,8.3,0,7,7,1
Cole Pearce,52970,LB,BALL ST,1,0,0,117,57.5,2,0,13,28.3,0.0,0,0,7.7,0,46,13,2,0,52.5,0,0,6,31.6,0.0,0,0.0,0,19,6,0
DeShawn Pace,53549,LB,CINCINNATI,1,0,0,138,57.7,0,0,4,40.0,0.0,0,0,0.0,0,10,4,0,0,,0,0,0,,,0,,0,0,0,0
Eric Phillips,53572,ED,CINCINNATI,1,0,0,138,69.0,0,2,19,100.0,10.5,2,0,5.3,0,19,19,2,0,58.0,0,0,2,100.0,0.0,0,0.0,0,2,2,0
