player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Ty Hamilton,66298,DI,OHIO STATE,1,0,0,260,61.6,0,2,27,100.0,7.4,2,0,7.4,1,27,27,3,0,64.3,0,2,16,100.0,12.5,2,12.5,1,16,16,3
Jermayne Lole,82212,DI,TEXAS,1,0,0,311,59.0,0,0,19,100.0,5.3,1,0,0.0,0,20,20,0,0,56.2,0,0,7,100.0,0.0,0,0.0,0,7,7,0
Jordan Clark,97324,CB,NOTRE DAME,1,0,0,258,73.5,0,0,1,4.8,0.0,0,1,0.0,0,42,2,0,0,73.5,0,0,1,8.0,0.0,0,0.0,0,25,2,0
Terry Jones,97675,CB,INDIANA,1,0,0,190,59.6,0,0,1,3.6,0.0,0,0,0.0,0,28,1,0,0,59.6,0,0,1,6.7,0.0,0,0.0,0,15,1,0
Jack Kiser,97889,LB,NOTRE DAME,1,0,0,258,58.8,0,0,5,29.2,0.0,0,0,0.0,0,24,7,0,0,62.6,0,0,2,25.0,0.0,0,0.0,0,16,4,0
Jahfari Harvey,98118,ED,SMU,1,0,0,287,62.0,0,2,17,94.4,11.8,2,0,11.8,1,18,17,3,0,67.9,0,1,6,100.0,33.3,2,25.0,1,6,6,2
Jared Harrison-Hunte,98331,DI,SMU,1,0,0,287,52.8,0,2,19,95.0,5.3,1,1,10.5,1,20,19,3,0,47.1,0,1,8,88.9,0.0,0,6.3,0,9,8,1
R.J. Oben,98342,ED,NOTRE DAME,1,0,0,258,57.9,0,0,15,94.4,6.7,1,0,0.0,0,18,17,0,0,59.5,0,0,7,90.0,14.3,1,0.0,0,10,9,0
Elijah Simmons,98915,DI,TENNESSEE,1,0,0,307,64.0,0,0,9,100.0,11.1,1,0,0.0,0,9,9,0,0,59.0,0,0,2,100.0,0.0,0,0.0,0,2,2,0
Bill Norton,98941,DI,TEXAS,1,0,0,311,70.0,0,0,8,100.0,25.0,2,0,12.5,1,8,8,1,0,64.1,0,0,6,100.0,16.7,1,0.0,0,6,6,0
Kori Roberson Jr.,99328,DI,SMU,1,0,0,287,62.0,0,1,10,100.0,10.0,1,0,5.0,0,10,10,1,0,65.6,0,1,4,100.0,25.0,1,12.5,0,4,4,1
Mike Lockhart,99842,DI,SMU,1,0,0,287,57.8,1,0,5,100.0,0.0,0,0,10.0,0,5,5,1,0,,0,0,0,,,0,,0,0,0,0
Jonathan McGill,100607,S,SMU,1,0,0,287,57.1,0,0,2,6.7,0.0,0,0,0.0,0,30,2,0,0,58.9,0,0,1,7.7,0.0,0,0.0,0,13,1,0
