player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Cheikhsaliou Fall,54240,ED,CAL,1,0,0,130,55.8,0,0,9,100.0,0.0,0,0,0.0,0,9,9,0,0,,0,0,0,,,0,,0,0,0,0
Alex Howard,62494,LB,DUKE,1,0,0,154,72.3,2,1,6,18.2,33.3,2,0,25.0,0,33,6,3,0,78.4,1,1,2,40.0,100.0,2,50.0,0,5,2,2
Barry Brown,62724,LB,COAST CAR,1,0,1,141,69.1,0,0,8,21.6,25.0,2,1,0.0,0,37,8,0,0,56.9,0,0,2,40.0,0.0,0,0.0,0,5,2,0
Ty Hamilton,66298,DI,OHIO STATE,1,0,0,260,52.4,0,1,37,100.0,0.0,0,0,1.4,0,38,38,1,0,53.1,0,1,20,100.0,0.0,0,2.5,0,20,20,1
Korey Foreman,70831,ED,FRESNO ST,1,0,0,169,64.7,1,2,19,95.7,15.8,3,1,7.9,0,23,22,3,0,69.2,1,2,5,85.7,40.0,2,30.0,0,7,6,3
Tuasivi Nomura,70879,LB,FRESNO ST,1,0,0,169,53.3,0,1,5,14.0,0.0,0,0,10.0,0,43,6,1,0,57.1,0,1,2,22.2,0.0,0,25.0,0,9,2,1
Keyon Ware-Hudson,71322,DI,OREGON,1,0,0,264,59.5,0,0,3,100.0,0.0,0,0,0.0,0,3,3,0,0,60.0,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Domani Jackson,71370,CB,ALABAMA,1,0,0,103,58.3,0,0,1,5.0,0.0,0,0,0.0,0,20,1,0,0,,0,0,0,0.0,,0,,0,5,0,0
Mavin Anderson,71443,WR,CAL,1,0,0,130,60.0,0,0,1,100.0,0.0,0,0,0.0,0,1,1,0,0,,0,0,0,,,0,,0,0,0,0
Sheldon Newton,71957,DI,BOISE ST,1,0,0,120,56.6,0,0,8,100.0,0.0,0,0,0.0,0,8,8,0,0,57.1,0,0,5,100.0,0.0,0,0.0,0,5,5,0
Kamren Fabiculanan,72332,S,WASHINGTON,1,0,0,340,56.9,0,1,2,9.1,0.0,0,0,25.0,0,22,2,1,0,56.9,0,1,2,16.7,0.0,0,25.0,0,12,2,1
Raider Damuni,72338,S,BYU,1,0,0,128,70.3,0,0,1,3.8,0.0,0,0,100.0,1,26,1,1,0,,0,0,0,0.0,,0,,0,9,0,0
Keith Conley Jr.,72821,ED,UNLV,1,0,0,325,55.1,0,0,8,100.0,0.0,0,0,0.0,0,9,9,0,0,57.4,0,0,3,100.0,0.0,0,0.0,0,3,3,0
Marco Notarainni,73389,LB,BOISE ST,1,0,0,120,64.1,0,0,6,46.2,16.7,1,0,16.7,1,13,6,1,0,69.2,0,0,3,60.0,33.3,1,33.3,1,5,3,1
Treven Ma'ae,74498,DI,BAYLOR,1,0,0,118,56.6,0,0,28,100.0,3.6,1,0,0.0,0,28,28,0,0,63.2,0,0,6,100.0,16.7,1,0.0,0,6,6,0
Dennis Briggs Jr.,76792,DI,ILLINOIS,1,0,0,187,72.3,0,2,18,100.0,16.7,3,0,11.1,1,18,18,3,0,69.9,0,1,7,100.0,14.3,1,21.4,1,7,7,2
Antonio Colclough,76813,ED,BUFFALO,1,0,0,126,47.1,0,1,16,94.1,0.0,0,0,3.1,0,17,16,1,0,53.5,0,0,7,100.0,0.0,0,0.0,0,7,7,0
Daniel Bolden,77252,LB,TOLEDO,1,0,0,316,61.5,0,1,7,27.6,0.0,0,0,21.4,1,29,8,2,0,68.2,0,0,2,33.3,0.0,0,50.0,1,9,3,1
Jace Ruder,77680,LB,N TEXAS,1,0,0,251,55.1,0,0,7,63.6,0.0,0,0,0.0,0,11,7,0,0,54.9,0,0,5,100.0,0.0,0,0.0,0,5,5,0
Jayden McDonald,81249,LB,UCONN,1,0,0,146,67.9,1,0,7,35.0,14.3,1,0,7.1,0,20,7,1,0,64.1,0,0,3,37.5,33.3,1,0.0,0,8,3,0
Jermayne Lole,82212,DI,TEXAS,1,0,0,311,57.4,0,0,23,100.0,4.3,1,0,0.0,0,26,26,0,0,57.4,0,0,4,100.0,0.0,0,0.0,0,4,4,0
Ezekiel Holmes,82281,DI,ILLINOIS,1,0,0,187,63.7,0,1,6,100.0,16.7,1,0,8.3,0,6,6,1,0,60.0,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Maurice Strong Jr.,82408,DI,S ALABAMA,1,0,0,288,62.3,1,0,8,100.0,12.5,1,0,6.3,0,9,9,1,0,66.5,1,0,1,100.0,100.0,1,50.0,0,2,2,1
Raymond Scott,82560,LB,JAMES MAD,1,0,0,197,57.2,0,0,2,33.3,0.0,0,0,0.0,0,6,2,0,0,,0,0,0,0.0,,0,,0,1,0,0
Dustin Johnson,83197,S,OHIO,1,0,0,259,60.0,0,0,1,3.6,0.0,0,1,0.0,0,28,1,0,0,,0,0,0,0.0,,0,,0,5,0,0
Jarvis Ware,83314,CB,UNLV,1,0,0,325,54.1,0,0,3,6.1,0.0,0,0,0.0,0,49,3,0,0,,0,0,0,0.0,,0,,0,12,0,0
Gracen Halton,85774,DI,OKLAHOMA,1,0,0,261,63.2,0,1,7,100.0,14.3,1,0,7.1,0,7,7,1,0,,0,0,0,,,0,,0,0,0,0
Jacob Bandes,86082,DI,WASHINGTON,1,0,0,340,70.0,1,1,19,100.0,15.8,3,0,5.3,0,19,19,2,0,63.1,0,1,9,100.0,11.1,1,5.6,0,9,9,1
Jairus Satele,86168,DI,FRESNO ST,1,0,0,169,60.3,0,0,17,100.0,5.9,1,0,5.9,1,17,17,1,0,63.2,0,0,7,100.0,14.3,1,14.3,1,7,7,1
Byron Cardwell Jr.,86353,HB,CAL,1,0,0,130,60.0,0,0,1,100.0,0.0,0,0,0.0,0,1,1,0,0,,0,0,0,,,0,,0,0,0,0
Rodney Robinson,86527,S,BOISE ST,1,0,0,120,56.8,0,0,1,16.7,0.0,0,0,0.0,0,12,2,0,0,56.8,0,0,1,22.2,0.0,0,0.0,0,9,2,0
Ozzie Nicholas,86729,LB,DUKE,1,0,0,154,56.0,0,0,3,7.7,0.0,0,0,0.0,0,39,3,0,0,59.5,0,0,1,20.0,0.0,0,0.0,0,5,1,0
Ceyair Wright,86877,CB,NEBRASKA,1,0,0,238,60.0,0,0,1,2.2,0.0,0,0,0.0,0,46,1,0,0,,0,0,0,0.0,,0,,0,20,0,0
Dylan Brown,88453,DI,JVILLE ST,1,0,0,196,60.0,0,0,1,100.0,0.0,0,0,0.0,0,1,1,0,0,,0,0,0,,,0,,0,0,0,0
David Reese,90079,ED,CAL,1,0,0,130,53.4,0,0,11,91.7,0.0,0,0,0.0,0,12,11,0,0,55.0,0,0,4,100.0,0.0,0,0.0,0,4,4,0
Dalton Norris,90192,DI,MIAMI OH,1,0,0,221,57.2,0,0,4,100.0,0.0,0,0,0.0,0,4,4,0,0,57.2,0,0,4,100.0,0.0,0,0.0,0,4,4,0
Amir McDaniel,97087,CB,LA LAFAYET,1,0,0,207,70.1,0,0,3,12.5,0.0,0,0,33.3,1,24,3,1,0,,0,0,0,0.0,,0,,0,9,0,0
Rod Heard II,97237,S,NOTRE DAME,1,0,0,258,67.3,0,0,1,5.6,100.0,1,0,0.0,0,18,1,0,0,67.3,0,0,1,10.0,100.0,1,0.0,0,10,1,0
Juan Powell,97330,CB,COAST CAR,1,0,0,141,55.5,0,0,4,13.3,0.0,0,1,0.0,0,30,4,0,0,,0,0,0,0.0,,0,,0,4,0,0
Woodi Washington,97379,CB,OKLAHOMA,1,0,0,261,60.0,0,0,1,20.0,0.0,0,0,0.0,0,5,1,0,0,,0,0,0,,,0,,0,0,0,0
Roderick Roberson,97471,S,LA TECH,1,0,0,208,57.9,1,0,4,80.0,0.0,0,0,12.5,0,5,4,1,0,59.8,0,0,1,50.0,0.0,0,0.0,0,2,1,0
Dean Clark,97495,S,FRESNO ST,1,0,0,169,68.3,1,0,2,4.4,0.0,0,0,25.0,0,45,2,1,0,,0,0,0,0.0,,0,,0,10,0,0
Jaden Voisin,97506,S,S ALABAMA,1,0,0,288,66.0,0,1,3,9.4,33.3,1,0,16.7,0,32,3,1,0,,0,0,0,0.0,,0,,0,9,0,0
Malik Dixon-Williams,97520,S,UCONN,1,0,0,146,58.9,0,0,1,5.0,0.0,0,0,0.0,0,20,1,0,0,,0,0,0,0.0,,0,,0,8,0,0
Malachi Langley,97532,LB,FRESNO ST,1,0,0,169,54.9,0,2,4,8.9,0.0,0,0,25.0,0,45,4,2,0,57.0,0,1,2,20.0,0.0,0,25.0,0,10,2,1
Chad Stephens,97541,ED,E CAROLINA,1,0,0,156,68.2,0,1,13,87.5,23.1,3,0,3.8,0,16,14,1,0,72.1,0,0,4,80.0,50.0,2,0.0,0,5,4,0
Jett Elad,97543,S,UNLV,1,0,1,325,83.9,0,1,3,7.0,33.3,1,1,50.0,1,57,4,2,0,64.9,0,1,1,7.7,100.0,1,50.0,0,13,1,1
Jackson Barrow,97545,LB,TOLEDO,1,0,0,316,74.9,0,0,5,22.6,20.0,1,0,0.0,0,31,7,0,0,75.8,0,0,1,27.3,0.0,0,0.0,0,11,3,0
Thomas Gore,97560,DI,GA TECH,1,0,0,176,58.5,0,2,18,100.0,5.6,1,0,5.6,0,20,20,2,0,55.6,0,0,5,100.0,0.0,0,0.0,0,6,6,0
Jeff Clark,97566,DI,ARIZONA ST,1,0,0,110,60.5,0,0,18,100.0,11.1,2,0,0.0,0,19,19,0,0,59.1,0,0,11,100.0,9.1,1,0.0,0,11,11,0
