player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Ty Hamilton,66298,DI,OHIO STATE,1,0,0,260,60.2,1,3,35,100.0,8.6,3,0,8.6,1,38,38,5,0,63.8,0,3,17,100.0,17.6,3,14.7,1,18,18,4
Jermayne Lole,82212,DI,TEXAS,1,0,0,311,64.3,0,0,20,100.0,10.0,2,0,0.0,0,21,21,0,0,73.6,0,0,5,100.0,40.0,2,0.0,0,5,5,0
Rod Heard II,97237,S,NOTRE DAME,1,0,0,258,75.4,0,0,1,6.3,0.0,0,0,100.0,1,16,1,1,0,75.4,0,0,1,11.1,0.0,0,100.0,1,9,1,1
Jack Kiser,97889,LB,NOTRE DAME,1,0,0,258,64.5,0,1,4,21.7,0.0,0,0,37.5,1,23,5,2,0,68.1,0,0,2,33.3,0.0,0,50.0,1,9,3,1
R.J. Oben,98342,ED,NOTRE DAME,1,0,0,258,57.6,0,1,14,100.0,7.1,1,0,3.6,0,15,15,1,0,57.1,0,0,3,100.0,0.0,0,0.0,0,3,3,0
Bill Norton,98941,DI,TEXAS,1,0,0,311,62.8,1,0,10,100.0,10.0,1,0,5.0,0,11,11,1,0,66.5,1,0,2,100.0,50.0,1,25.0,0,2,2,1
Smith Vilbert,101408,ED,PENN STATE,1,0,0,266,57.9,0,0,4,100.0,0.0,0,0,0.0,0,4,4,0,0,59.7,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Dvon J-Thomas,101455,DI,PENN STATE,1,0,0,266,61.0,1,0,24,100.0,4.2,1,0,2.1,0,26,26,1,0,64.2,1,0,13,100.0,7.7,1,3.8,0,15,15,1
Howard Cross III,102726,DI,NOTRE DAME,1,0,0,258,57.9,0,0,23,100.0,4.3,1,0,0.0,0,24,24,0,0,62.8,0,0,8,100.0,12.5,1,0.0,0,8,8,0
Jahdae Barron,123105,CB,TEXAS,1,0,0,311,58.8,0,0,1,2.6,0.0,0,0,0.0,0,38,1,0,0,58.8,0,0,1,7.7,0.0,0,0.0,0,13,1,0
Vernon Broughton,123107,DI,TEXAS,1,0,0,311,90.6,0,2,17,100.0,17.6,3,0,11.8,1,18,18,3,0,66.5,0,2,9,100.0,22.2,2,11.1,0,9,9,2
Alfred Collins,123110,DI,TEXAS,1,0,0,311,60.2,0,2,16,100.0,12.5,2,0,6.3,0,17,17,2,0,66.1,0,1,5,100.0,20.0,1,10.0,0,5,5,1
Mitchell Melton,129753,ED,OHIO STATE,1,0,0,260,57.3,0,0,3,100.0,0.0,0,0,0.0,0,4,4,0,0,59.7,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Lathan Ransom,129755,S,OHIO STATE,1,0,0,260,60.0,0,0,1,2.1,0.0,0,1,0.0,0,47,1,0,0,,0,0,0,0.0,,0,,0,20,0,0
Cody Simon,129757,LB,OHIO STATE,1,0,0,260,61.7,0,1,6,13.0,16.7,1,0,8.3,0,46,6,1,0,64.3,0,1,3,15.8,33.3,1,16.7,0,19,3,1
Coziah Izzard,129784,DI,PENN STATE,1,0,0,266,66.7,0,0,16,100.0,12.5,2,0,6.3,1,16,16,1,0,62.0,0,0,9,100.0,11.1,1,0.0,0,9,9,0
Amin Vanover,129797,ED,PENN STATE,1,1,0,266,69.6,0,1,11,84.6,18.2,2,0,4.5,0,13,11,1,0,59.8,0,1,8,100.0,12.5,1,6.3,0,8,8,1
Andrew Mukuba,144129,S,TEXAS,1,0,0,311,64.5,0,1,1,2.7,100.0,1,0,50.0,0,37,1,1,0,64.5,0,1,1,8.3,100.0,1,50.0,0,12,1,1
Morice Blackwell Jr.,144733,LB,TEXAS,1,0,0,311,59.5,0,0,1,20.0,0.0,0,0,0.0,0,5,1,0,0,59.5,0,0,1,50.0,0.0,0,0.0,0,2,1,0
Barryn Sorrell,144739,ED,TEXAS,1,0,0,311,57.5,0,0,20,84.0,5.0,1,0,5.0,1,25,21,1,0,60.8,0,0,8,88.9,12.5,1,12.5,1,9,8,1
Jordan Hancock,145067,S,OHIO STATE,1,0,0,260,79.2,0,1,3,9.1,66.7,2,0,16.7,0,44,4,1,0,71.9,0,0,1,10.5,100.0,1,0.0,0,19,2,0
Denzel Burke,145070,CB,OHIO STATE,1,0,0,260,63.0,0,1,1,5.6,100.0,1,0,50.0,0,18,1,1,0,,0,0,0,0.0,,0,,0,7,0,0
Jack Sawyer,145071,ED,OHIO STATE,1,1,0,260,91.8,3,2,36,90.2,19.4,7,0,9.7,1,41,37,6,1,93.8,1,2,16,88.9,31.3,5,15.6,1,18,16,4
JT Tuimoloau,145074,ED,OHIO STATE,1,0,0,260,71.6,0,1,30,100.0,10.0,3,0,8.3,2,31,31,3,0,75.6,0,0,12,100.0,8.3,1,16.7,2,12,12,2
Tyleik Williams,145080,DI,OHIO STATE,1,1,0,260,63.5,0,3,30,96.9,6.7,2,0,5.0,0,32,31,3,0,59.0,0,2,12,100.0,8.3,1,8.3,0,12,12,2
Dominic DeLuca,145095,LB,PENN STATE,1,0,0,266,65.1,0,1,4,22.2,25.0,1,0,12.5,0,18,4,1,0,65.1,0,1,4,28.6,25.0,1,12.5,0,14,4,1
Kobe King,145097,LB,PENN STATE,1,0,0,266,63.6,0,0,6,15.8,16.7,1,1,0.0,0,38,6,0,0,57.7,0,0,2,8.7,0.0,0,0.0,0,23,2,0
Jaylen Reed,145100,S,PENN STATE,1,0,0,266,68.9,0,1,6,17.5,33.3,2,0,8.3,0,40,7,1,0,66.0,0,1,3,16.0,33.3,1,16.7,0,25,4,1
Trey Moore,145527,ED,TEXAS,1,0,0,311,65.6,1,1,21,88.0,19.0,4,0,4.8,0,25,22,2,0,58.0,0,0,9,100.0,11.1,1,0.0,0,9,9,0
Lorenzo Styles Jr.,147474,CB,OHIO STATE,1,0,0,260,58.6,0,0,1,10.0,0.0,0,0,0.0,0,10,1,0,0,58.6,0,0,1,20.0,0.0,0,0.0,0,5,1,0
Gabriel Rubio,147499,DI,NOTRE DAME,1,0,0,258,53.8,0,0,18,100.0,0.0,0,0,0.0,0,20,20,0,0,55.9,0,0,7,100.0,0.0,0,0.0,0,8,8,0
Caden Curry,156488,ED,OHIO STATE,1,0,0,260,57.1,0,0,4,100.0,0.0,0,0,0.0,0,5,5,0,0,58.3,0,0,2,100.0,0.0,0,0.0,0,2,2,0
Donovan Hinish,156961,DI,NOTRE DAME,1,0,0,258,67.9,0,2,10,100.0,20.0,2,0,10.0,0,11,11,2,0,67.1,0,1,4,100.0,25.0,1,12.5,0,5,5,1
Jaylen Sneed,156972,LB,NOTRE DAME,1,0,0,258,61.6,1,0,7,41.2,0.0,0,0,7.1,0,17,7,1,0,66.2,1,0,3,60.0,0.0,0,16.7,0,5,3,1
Joshua Burnham,156977,ED,NOTRE DAME,1,0,0,258,67.6,0,0,13,100.0,23.1,3,0,0.0,0,13,13,0,0,65.5,0,0,3,100.0,33.3,1,0.0,0,3,3,0
Junior Tuihalamaka,156982,ED,NOTRE DAME,1,0,0,258,54.0,0,0,10,100.0,0.0,0,0,0.0,0,12,12,0,0,55.2,0,0,5,100.0,0.0,0,0.0,0,6,6,0
Davison Igbinosun,157129,CB,OHIO STATE,1,0,0,260,71.8,0,1,1,2.3,100.0,1,1,50.0,0,44,1,1,0,71.8,0,1,1,5.0,100.0,1,50.0,0,20,1,1
Jaylon Guilbeau,157307,CB,TEXAS,1,0,0,311,56.1,0,0,2,6.5,0.0,0,0,0.0,0,31,2,0,0,,0,0,0,0.0,,0,,0,12,0,0
Kenyatta Jackson Jr.,162868,ED,OHIO STATE,1,1,0,260,58.5,0,1,11,85.7,0.0,0,0,4.5,0,14,12,1,0,54.5,0,0,6,100.0,0.0,0,0.0,0,7,7,0
Hero Kanu,162870,DI,OHIO STATE,1,0,0,260,58.5,0,0,3,75.0,0.0,0,0,0.0,0,4,3,0,0,59.9,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Sonny Styles,162876,LB,OHIO STATE,1,0,0,260,92.5,0,1,5,10.9,20.0,1,0,30.0,1,46,5,2,0,93.9,0,0,3,15.8,33.3,1,33.3,1,19,3,1
Ethan Burke,163843,ED,TEXAS,1,0,0,311,60.9,0,0,7,80.0,14.3,1,0,0.0,0,10,8,0,0,56.5,0,0,3,100.0,0.0,0,0.0,0,3,3,0
Abdul Carter,164160,ED,PENN STATE,1,0,0,266,73.6,1,6,31,91.7,19.4,6,0,14.5,1,36,33,8,0,76.6,1,4,19,95.5,26.3,5,18.4,1,22,21,6
Dani Dennis-Sutton,164163,ED,PENN STATE,1,0,0,266,73.4,0,2,30,88.9,16.7,5,1,10.0,2,36,32,4,0,80.1,0,2,18,87.0,27.8,5,16.7,2,23,20,4
Zane Durant,164166,DI,PENN STATE,1,0,0,266,57.1,1,0,29,100.0,3.4,1,1,1.7,0,31,31,1,0,58.4,1,0,20,100.0,5.0,1,2.5,0,22,22,1
Jermaine Mathews Jr.,170257,CB,OHIO STATE,1,0,0,260,71.9,0,0,1,6.3,100.0,1,1,0.0,0,32,2,0,0,59.6,0,0,0,7.7,,0,,0,13,1,0
Kayden McDonald,170258,DI,OHIO STATE,1,0,0,260,59.1,0,0,2,100.0,0.0,0,0,0.0,0,3,3,0,0,60.0,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Tony Rojas,170297,LB,PENN STATE,1,0,0,266,58.0,0,1,3,17.6,0.0,0,0,16.7,0,17,3,1,0,59.7,0,1,1,11.1,0.0,0,50.0,0,9,1,1
Zion Tracy,170301,CB,PENN STATE,1,0,0,266,55.1,0,1,2,11.8,0.0,0,0,25.0,0,17,2,1,0,55.5,0,1,1,11.1,0.0,0,50.0,0,9,1,1
Drayk Bowen,171077,LB,NOTRE DAME,1,0,0,258,65.0,0,0,3,18.2,0.0,0,0,33.3,1,22,4,1,0,56.9,0,0,1,20.0,0.0,0,0.0,0,10,2,0
Caleb Downs,172375,S,OHIO STATE,1,0,0,260,59.2,0,0,1,2.1,0.0,0,0,0.0,0,47,1,0,0,59.2,0,0,1,5.0,0.0,0,0.0,0,20,1,0
Anthony Hill Jr.,173158,LB,TEXAS,1,0,0,311,75.5,0,0,4,12.1,50.0,2,0,25.0,1,33,4,1,0,69.5,0,0,3,27.3,33.3,1,33.3,1,11,3,1
Liona Lefau,173161,LB,TEXAS,1,0,0,311,57.3,0,0,3,13.0,0.0,0,0,0.0,0,23,3,0,0,,0,0,0,0.0,,0,,0,6,0,0
Colton Vasek,173168,ED,TEXAS,1,0,0,311,57.1,0,0,3,100.0,0.0,0,0,0.0,0,3,3,0,0,59.5,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Jelani McDonald,176180,S,TEXAS,1,0,0,311,79.6,0,1,2,18.2,100.0,2,0,25.0,0,11,2,1,0,67.7,0,1,1,25.0,100.0,1,50.0,0,4,1,1
Eddrick Houston,183699,DI,OHIO STATE,1,0,0,260,72.0,1,0,7,100.0,28.6,2,0,7.1,0,8,8,1,0,76.5,1,0,3,100.0,66.7,2,16.7,0,4,4,1
Kyngstonn Viliamu-Asa,184105,LB,NOTRE DAME,1,0,0,258,58.5,0,3,8,57.1,25.0,2,0,18.8,0,14,8,3,0,53.4,0,2,4,80.0,25.0,1,25.0,0,5,4,2
Bryce Young,184110,ED,NOTRE DAME,1,0,0,258,67.8,0,0,12,100.0,16.7,2,0,8.3,1,13,13,1,0,71.4,0,0,8,100.0,25.0,2,12.5,1,9,9,1
Alex January,184510,DI,TEXAS,1,0,0,311,66.3,0,0,3,100.0,33.3,1,0,0.0,0,3,3,0,0,,0,0,0,,,0,,0,0,0,0
Colin Simmons,184515,ED,TEXAS,1,2,0,311,73.9,1,2,13,66.7,15.4,2,0,11.5,0,21,14,3,1,65.5,1,1,7,77.8,0.0,0,14.3,0,9,7,2
