player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Ty Hamilton,66298,DI,OHIO STATE,1,0,0,260,57.5,0,0,28,100.0,0.0,0,0,3.6,1,33,33,1,0,60.2,0,0,11,100.0,0.0,0,9.1,1,14,14,1
Jordan Clark,97324,CB,NOTRE DAME,1,0,0,258,59.9,0,0,1,4.5,0.0,0,0,0.0,0,22,1,0,0,59.9,0,0,1,10.0,0.0,0,0.0,0,10,1,0
Jack Kiser,97889,LB,NOTRE DAME,1,0,0,258,56.5,0,0,2,22.2,0.0,0,0,0.0,0,9,2,0,0,56.5,0,0,2,50.0,0.0,0,0.0,0,4,2,0
R.J. Oben,98342,ED,NOTRE DAME,1,0,0,258,65.6,0,1,11,100.0,9.1,1,1,4.5,0,13,13,1,0,66.3,0,1,2,100.0,50.0,1,25.0,0,2,2,1
Howard Cross III,102726,DI,NOTRE DAME,1,0,0,258,69.8,0,1,22,100.0,9.1,2,0,2.3,0,24,24,1,0,77.9,0,1,10,100.0,20.0,2,5.0,0,10,10,1
Mitchell Melton,129753,ED,OHIO STATE,1,0,0,260,63.9,0,0,3,100.0,0.0,0,0,0.0,0,5,5,0,0,66.4,0,0,0,100.0,,0,,0,2,2,0
Cody Simon,129757,LB,OHIO STATE,1,0,0,260,46.9,0,1,4,14.3,0.0,0,0,12.5,0,42,6,1,0,46.7,0,1,2,18.8,0.0,0,25.0,0,16,3,1
Jack Sawyer,145071,ED,OHIO STATE,1,0,0,260,68.1,0,4,28,94.3,14.3,4,0,7.1,0,35,33,4,0,57.4,0,2,11,100.0,9.1,1,9.1,0,14,14,2
JT Tuimoloau,145074,ED,OHIO STATE,1,0,0,260,65.2,1,1,27,84.8,14.8,4,0,7.4,1,33,28,3,0,73.3,1,1,10,84.6,40.0,4,20.0,1,13,11,3
Tyleik Williams,145080,DI,OHIO STATE,1,0,0,260,56.0,0,1,27,100.0,3.7,1,0,1.9,0,30,30,1,0,54.3,0,0,9,100.0,0.0,0,0.0,0,11,11,0
Tywone Malone Jr.,146832,DI,OHIO STATE,1,0,0,260,59.6,0,0,1,100.0,0.0,0,0,0.0,0,2,2,0,0,,0,0,0,,,0,,0,0,0,0
Gabriel Rubio,147499,DI,NOTRE DAME,1,0,0,258,61.3,0,0,12,100.0,8.3,1,0,0.0,0,14,14,0,0,64.2,0,0,5,100.0,20.0,1,0.0,0,5,5,0
Caden Curry,156488,ED,OHIO STATE,1,0,0,260,58.7,0,0,3,75.0,0.0,0,0,0.0,0,4,3,0,0,,0,0,0,0.0,,0,,0,1,0,0
Donovan Hinish,156961,DI,NOTRE DAME,1,0,0,258,72.4,0,3,12,100.0,25.0,3,0,12.5,0,12,12,3,0,77.2,0,1,3,100.0,66.7,2,16.7,0,3,3,1
Jaylen Sneed,156972,LB,NOTRE DAME,1,0,0,258,63.1,0,1,4,57.1,0.0,0,0,12.5,0,7,4,1,0,63.5,0,1,3,75.0,0.0,0,16.7,0,4,3,1
Joshua Burnham,156977,ED,NOTRE DAME,1,0,0,258,65.3,0,0,12,92.9,0.0,0,0,16.7,2,14,13,2,0,64.2,0,0,5,83.3,0.0,0,20.0,1,6,5,1
Junior Tuihalamaka,156982,ED,NOTRE DAME,1,0,0,258,55.0,0,0,8,69.2,0.0,0,0,0.0,0,13,9,0,0,56.0,0,0,3,100.0,0.0,0,0.0,0,3,3,0
Davison Igbinosun,157129,CB,OHIO STATE,1,0,0,260,65.4,1,0,1,3.3,100.0,1,2,50.0,0,30,1,1,0,65.4,1,0,1,10.0,100.0,1,50.0,0,10,1,1
Kenyatta Jackson Jr.,162868,ED,OHIO STATE,1,0,0,260,73.5,0,0,7,100.0,0.0,0,0,0.0,0,9,9,0,0,79.0,0,0,2,100.0,0.0,0,0.0,0,4,4,0
Hero Kanu,162870,DI,OHIO STATE,1,0,0,260,58.9,0,0,2,100.0,0.0,0,0,0.0,0,2,2,0,0,59.9,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Sonny Styles,162876,LB,OHIO STATE,1,0,0,260,70.4,1,0,6,16.7,16.7,1,0,25.0,1,42,7,2,0,66.6,0,0,3,25.0,0.0,0,33.3,1,16,4,1
Kayden McDonald,170258,DI,OHIO STATE,1,0,0,260,58.5,0,0,3,100.0,0.0,0,0,0.0,0,3,3,0,0,,0,0,0,,,0,,0,0,0,0
Arvell Reese,170264,LB,OHIO STATE,1,0,0,260,60.0,0,0,0,33.3,,0,0,,0,3,1,0,0,,0,0,0,0.0,,0,,0,1,0,0
Jaiden Ausberry,171075,LB,NOTRE DAME,1,0,0,258,59.1,0,0,1,16.7,0.0,0,0,0.0,0,6,1,0,0,,0,0,0,,,0,,0,0,0,0
Drayk Bowen,171077,LB,NOTRE DAME,1,0,0,258,54.2,0,0,4,23.8,0.0,0,0,0.0,0,21,5,0,0,55.8,0,0,3,30.0,0.0,0,0.0,0,10,3,0
Adon Shuler,171098,S,NOTRE DAME,1,0,0,258,70.9,0,0,2,11.1,0.0,0,0,0.0,0,27,3,0,0,,0,0,0,0.0,,0,,0,11,0,0
Eddrick Houston,183699,DI,OHIO STATE,1,0,0,260,56.8,0,0,6,100.0,0.0,0,0,0.0,0,7,7,0,0,57.3,0,0,2,100.0,0.0,0,0.0,0,3,3,0
Kyngstonn Viliamu-Asa,184105,LB,NOTRE DAME,1,0,0,258,53.9,0,0,7,36.8,0.0,0,0,0.0,0,19,7,0,0,54.1,0,0,5,62.5,0.0,0,0.0,0,8,5,0
Bryce Young,184110,ED,NOTRE DAME,1,0,0,258,54.0,0,0,10,100.0,0.0,0,0,0.0,0,10,10,0,0,54.2,0,0,7,100.0,0.0,0,0.0,0,7,7,0
