player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Keyon Ware-Hudson,71322,DI,OREGON,1,0,0,264,66.5,0,0,2,100.0,50.0,1,0,0.0,0,2,2,0,0,60.0,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Sheldon Newton,71957,DI,BOISE ST,1,0,0,120,67.2,0,0,11,92.3,9.1,1,0,9.1,1,13,12,1,0,64.1,0,0,6,87.5,0.0,0,16.7,1,8,7,1
Lavario Wiley,72769,CB,UNLV,1,0,0,325,59.6,0,0,1,33.3,0.0,0,0,0.0,0,3,1,0,0,,0,0,0,0.0,,0,,0,1,0,0
Keith Conley Jr.,72821,ED,UNLV,1,0,0,325,56.6,0,0,5,100.0,0.0,0,0,0.0,0,5,5,0,0,,0,0,0,,,0,,0,0,0,0
Marco Notarainni,73389,LB,BOISE ST,1,0,0,120,73.2,0,0,3,20.0,0.0,0,0,66.7,2,15,3,2,0,54.6,0,0,3,37.5,0.0,0,0.0,0,8,3,0
Jermayne Lole,82212,DI,TEXAS,1,0,0,311,56.7,0,0,12,100.0,0.0,0,0,0.0,0,13,13,0,0,58.6,0,0,2,100.0,0.0,0,0.0,0,2,2,0
Dustin Johnson,83197,S,OHIO,1,0,0,259,60.0,0,0,1,3.7,0.0,0,0,0.0,0,27,1,0,0,,0,0,0,0.0,,0,,0,11,0,0
Rodney Robinson,86527,S,BOISE ST,1,0,0,120,62.0,1,0,5,12.8,0.0,0,0,30.0,1,39,5,2,0,65.5,0,0,3,14.3,0.0,0,33.3,1,21,3,1
Jeff Clark,97566,DI,ARIZONA ST,1,0,0,110,69.4,0,2,19,100.0,5.3,1,0,5.3,0,21,21,2,0,55.8,0,0,7,100.0,0.0,0,0.0,0,8,8,0
J'Coryan Anderson,97891,LB,MARSHALL,1,0,0,214,59.5,0,0,1,50.0,0.0,0,0,0.0,0,2,1,0,0,59.5,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Eric Hicks Jr.,97967,DI,TULANE,1,0,0,319,60.0,0,0,1,100.0,0.0,0,0,0.0,0,1,1,0,0,,0,0,0,,,0,,0,0,0,0
Ricky Samuel,98115,DI,JVILLE ST,1,0,0,196,57.7,0,0,6,85.7,0.0,0,0,0.0,0,7,6,0,0,,0,0,0,,,0,,0,0,0,0
Jahfari Harvey,98118,ED,SMU,1,0,0,287,69.3,1,3,22,73.3,13.6,3,0,13.6,1,30,22,5,0,69.8,1,0,13,76.5,15.4,2,11.5,1,17,13,2
Brian Ugwu,98145,ED,MIAMI OH,1,0,0,221,61.2,1,2,22,100.0,18.2,4,0,6.8,0,22,22,3,0,53.3,0,2,6,100.0,33.3,2,16.7,0,6,6,2
Kyron Mims,98182,DI,LA LAFAYET,1,0,0,207,56.8,0,0,11,100.0,0.0,0,0,0.0,0,12,12,0,0,59.9,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Kobe Hilton,98191,DI,MIAMI OH,1,0,0,221,57.0,0,0,17,100.0,0.0,0,0,0.0,0,18,18,0,0,58.3,0,0,3,100.0,0.0,0,0.0,0,3,3,0
Tavion Woodard,98322,ED,BOISE ST,1,0,0,120,66.9,0,1,2,100.0,50.0,1,0,25.0,0,2,2,1,0,64.5,0,1,1,100.0,100.0,1,50.0,0,1,1,1
Jared Harrison-Hunte,98331,DI,SMU,1,0,0,287,70.8,0,4,33,100.0,15.2,5,0,12.1,2,34,34,6,0,64.5,0,1,15,100.0,6.7,1,16.7,2,16,16,3
Bill Norton,98941,DI,TEXAS,1,0,0,311,65.1,0,1,5,100.0,20.0,1,0,10.0,0,7,7,1,0,60.0,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Corey Suttle,99312,ED,MIAMI OH,1,0,0,221,54.8,0,0,21,100.0,0.0,0,0,0.0,0,22,22,0,0,55.6,0,0,8,100.0,0.0,0,0.0,0,8,8,0
Kori Roberson Jr.,99328,DI,SMU,1,0,0,287,55.9,0,1,12,100.0,0.0,0,0,4.2,0,12,12,1,0,56.6,0,1,6,100.0,0.0,0,8.3,0,6,6,1
Darien Porter,99553,CB,IOWA STATE,1,0,0,193,58.3,0,0,1,6.7,0.0,0,0,0.0,0,15,1,0,0,,0,0,0,,,0,,0,0,0,0
Mike Lockhart,99842,DI,SMU,1,0,0,287,58.1,0,0,5,100.0,0.0,0,0,0.0,0,5,5,0,0,59.9,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Curley Young Jr.,100559,LB,JVILLE ST,1,0,0,196,53.7,0,3,8,58.8,0.0,0,1,18.8,0,17,10,3,0,55.9,0,1,2,100.0,0.0,0,25.0,0,4,4,1
Jonathan McGill,100607,S,SMU,1,0,0,287,54.4,0,0,3,8.6,0.0,0,0,0.0,0,35,3,0,0,54.4,0,0,3,15.8,0.0,0,0.0,0,19,3,0
Raquan Thompson,100949,DI,MARSHALL,1,0,0,214,63.1,0,1,8,100.0,12.5,1,0,6.3,0,9,9,1,0,65.3,0,1,3,100.0,33.3,1,16.7,0,3,3,1
Michael Callahan,101165,DI,BOISE ST,1,0,0,120,48.9,0,1,15,100.0,0.0,0,0,3.3,0,15,15,1,0,55.4,0,0,7,100.0,0.0,0,0.0,0,7,7,0
Smith Vilbert,101408,ED,PENN STATE,1,0,0,266,55.4,0,0,8,88.9,0.0,0,0,0.0,0,9,8,0,0,56.5,0,0,3,100.0,0.0,0,0.0,0,3,3,0
Anthony Booker Jr.,101424,DI,SMU,1,0,0,287,59.5,0,1,21,100.0,4.8,1,0,2.4,0,21,21,1,0,61.7,0,1,9,100.0,11.1,1,5.6,0,9,9,1
Dvon J-Thomas,101455,DI,PENN STATE,1,0,0,266,67.0,0,0,23,100.0,8.7,2,0,4.3,1,23,23,1,0,61.8,0,0,7,100.0,14.3,1,0.0,0,7,7,0
Ben McNaboe,101505,ED,OHIO,1,0,0,259,67.5,0,2,15,83.3,20.0,3,0,6.7,0,18,15,2,0,79.6,0,1,5,83.3,60.0,3,10.0,0,6,5,1
Jestin Jacobs,101514,LB,OREGON,1,0,0,264,63.3,0,0,1,16.7,100.0,1,0,0.0,0,6,1,0,0,,0,0,0,0.0,,0,,0,1,0,0
Jude Okolo,101899,DI,MARSHALL,1,0,0,214,57.0,0,0,6,100.0,0.0,0,0,0.0,0,6,6,0,0,57.7,0,0,4,100.0,0.0,0,0.0,0,4,4,0
Monroe Beard III,102067,LB,MARSHALL,1,0,0,214,62.3,0,0,8,34.6,0.0,0,1,12.5,1,26,9,1,0,56.9,0,0,2,28.6,0.0,0,0.0,0,7,2,0
Cody Winokur,102837,DI,ARMY,1,0,0,114,56.3,0,1,17,100.0,5.9,1,0,2.9,0,17,17,1,0,57.1,0,1,4,100.0,25.0,1,12.5,0,4,4,1
Antonio Carter II,103597,S,JVILLE ST,1,0,0,196,67.7,0,0,2,11.8,0.0,0,0,50.0,1,17,2,1,0,67.7,0,0,2,50.0,0.0,0,50.0,1,4,2,1
Sebastian Benjamin,106272,ED,W KENTUCKY,1,0,0,346,57.5,0,0,5,85.7,0.0,0,0,0.0,0,7,6,0,0,59.2,0,0,0,100.0,,0,,0,1,1,0
Laletia Hale,108118,LB,JVILLE ST,1,0,1,196,52.2,0,1,10,44.4,0.0,0,1,5.0,0,27,12,1,0,52.7,0,1,6,80.0,0.0,0,8.3,0,10,8,1
TyQaze Leggs,121354,ED,MARSHALL,1,1,0,214,57.9,0,1,20,87.5,0.0,0,0,2.5,0,24,21,1,0,53.6,0,0,6,85.7,0.0,0,0.0,0,7,6,0
DeMonte Capehart,122144,DI,CLEMSON,1,0,0,140,57.8,0,0,7,100.0,0.0,0,0,0.0,0,7,7,0,0,58.6,0,0,2,100.0,0.0,0,0.0,0,2,2,0
Tre Williams,122165,DI,CLEMSON,1,0,0,140,57.4,0,0,6,100.0,0.0,0,0,0.0,0,6,6,0,0,59.2,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Elijah Roberts,122222,ED,SMU,1,0,0,287,91.1,0,4,35,100.0,37.1,13,0,11.4,2,36,36,6,0,92.6,0,4,16,100.0,62.5,10,25.0,2,17,17,6
Jadarius Green-McKnight,122399,CB,MARSHALL,1,0,0,214,65.8,0,1,2,5.6,50.0,1,0,25.0,0,36,2,1,0,58.6,0,0,1,7.7,0.0,0,0.0,0,13,1,0
J.R. Singleton,122533,DI,IOWA STATE,1,0,0,193,56.9,0,0,9,100.0,0.0,0,0,0.0,0,9,9,0,0,,0,0,0,,,0,,0,0,0,0
