player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Ty Hamilton,66298,DI,OHIO STATE,1,3,,0,0,260,,59.3,75.9,61.6,56.4,74.6,0.0,0,0,15,15,0.0,0,0
Jermayne Lole,82212,DI,TEXAS,1,0,,0,0,311,,58.9,74.7,59.0,58.7,,,0,0,10,10,0.0,0,0
Jacob Mangum-Farrar,82557,ED,INDIANA,1,0,,0,0,190,,60.0,65.7,,60.0,,,0,0,1,1,0.0,0,0
Kalib Perry,86267,LB,TENNESSEE,1,1,10.0,0,0,307,49.7,34.6,72.0,,35.0,56.7,0.0,0,0,8,8,0.0,0,1
Brandon Crossley,97225,CB,SMU,1,0,8.0,0,0,287,72.6,69.4,77.0,,55.4,54.8,50.0,1,0,33,33,0.0,0,1
Rod Heard II,97237,S,NOTRE DAME,1,0,4.0,0,0,258,48.7,50.9,73.1,,61.9,77.4,0.0,0,0,3,3,0.0,0,1
Jordan Clark,97324,CB,NOTRE DAME,1,0,10.5,0,0,258,67.6,71.7,79.8,73.5,73.2,45.7,0.0,0,1,23,25,4.3,1,2
Terry Jones,97675,CB,INDIANA,1,0,20.0,0,0,190,56.7,52.3,78.1,59.6,43.0,29.7,66.7,2,0,13,13,0.0,0,1
Jack Kiser,97889,LB,NOTRE DAME,1,1,5.8,0,0,258,47.5,60.2,74.6,58.8,76.1,81.1,0.0,0,0,11,13,18.2,2,4
Jahfari Harvey,98118,ED,SMU,1,2,3.0,0,0,287,61.2,53.4,79.2,62.0,47.1,51.0,25.0,1,0,19,19,5.3,1,1
Jared Harrison-Hunte,98331,DI,SMU,1,1,10.0,0,0,287,59.8,46.1,0.0,52.8,52.8,49.5,0.0,0,1,23,23,0.0,0,2
R.J. Oben,98342,ED,NOTRE DAME,1,0,,0,0,258,60.5,57.9,76.8,57.9,56.4,71.5,,0,0,13,14,0.0,0,0
Elijah Simmons,98915,DI,TENNESSEE,1,0,,0,0,307,,66.2,72.8,64.0,62.2,,,0,0,3,3,0.0,0,0
Bill Norton,98941,DI,TEXAS,1,1,,0,0,311,,71.6,72.8,70.0,63.9,72.1,0.0,0,0,5,5,0.0,0,0
Kori Roberson Jr.,99328,DI,SMU,1,0,,0,0,287,61.8,65.0,73.6,62.0,57.8,69.7,,0,0,10,10,0.0,0,0
David Gbenda,99370,LB,TEXAS,1,0,0.0,0,0,311,61.6,76.8,67.8,,75.7,73.6,0.0,0,0,3,3,33.3,1,1
Mike Lockhart,99842,DI,SMU,1,0,,0,0,287,,62.6,71.5,57.8,63.3,,,0,0,4,4,0.0,0,0
Jonathan McGill,100607,S,SMU,1,0,12.0,0,0,287,70.1,66.9,77.5,57.1,60.1,50.6,0.0,0,0,33,33,0.0,0,2
Smith Vilbert,101408,ED,PENN STATE,1,1,,0,0,266,60.0,66.4,76.9,64.7,62.6,71.5,0.0,0,0,8,8,0.0,0,0
Anthony Booker Jr.,101424,DI,SMU,1,0,1.7,0,0,287,,57.5,75.9,52.4,60.4,43.2,0.0,0,0,22,22,9.1,2,3
