player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Cheikhsaliou Fall,54240,ED,CAL,1,2,,0,0,130,,56.8,77.3,55.8,57.9,74.5,0.0,0,0,21,21,0.0,0,0
Alex Howard,62494,LB,DUKE,1,0,6.8,0,0,154,78.7,67.8,75.7,72.3,43.0,60.8,20.0,1,0,19,20,5.3,1,4
Barry Brown,62724,LB,COAST CAR,1,0,9.3,1,0,141,54.6,49.7,0.0,69.1,49.5,29.0,40.0,2,1,27,27,7.4,2,3
Ty Hamilton,66298,DI,OHIO STATE,1,1,-2.0,0,0,260,,57.8,76.3,52.4,64.8,71.9,0.0,0,0,15,16,6.7,1,1
Korey Foreman,70831,ED,FRESNO ST,1,0,-0.3,0,0,169,65.8,66.3,0.0,64.7,65.2,76.6,0.0,0,1,15,15,13.3,2,3
Tuasivi Nomura,70879,LB,FRESNO ST,1,1,4.0,0,0,169,67.1,74.0,77.3,53.3,78.2,77.0,9.1,1,0,36,36,16.7,6,9
Keyon Ware-Hudson,71322,DI,OREGON,1,0,,0,0,264,,65.5,71.1,59.5,64.6,,,0,0,6,6,0.0,0,0
Domani Jackson,71370,CB,ALABAMA,1,0,,0,0,103,49.4,43.1,76.6,58.3,36.7,22.0,100.0,4,0,46,47,0.0,0,0
Akili Arnold,71406,S,USC,1,1,,0,0,326,54.8,55.8,77.1,,59.6,50.5,50.0,1,0,23,23,0.0,0,0
Easton Mascarenas-Arnold,71410,LB,USC,1,0,4.0,0,0,326,57.8,66.1,76.5,,76.5,58.2,0.0,0,0,15,15,20.0,3,4
Sheldon Newton,71957,DI,BOISE ST,1,0,3.0,0,0,120,,30.1,73.4,56.6,29.4,69.7,0.0,0,0,9,9,11.1,1,1
Kamren Fabiculanan,72332,S,WASHINGTON,1,1,2.0,0,0,340,58.8,55.8,77.7,56.9,53.1,26.9,50.0,2,0,25,25,4.0,1,1
Raider Damuni,72338,S,BYU,1,0,5.0,0,0,128,48.9,44.0,74.4,70.3,32.4,26.0,66.7,2,0,9,9,0.0,0,1
Lavario Wiley,72769,CB,UNLV,1,0,17.0,0,0,325,68.6,63.9,73.6,,46.3,77.9,0.0,0,0,7,7,0.0,0,1
Keith Conley Jr.,72821,ED,UNLV,1,0,,0,0,325,,43.1,73.4,55.1,55.3,,,0,0,2,2,0.0,0,0
Marco Notarainni,73389,LB,BOISE ST,1,2,8.0,0,0,120,72.5,57.0,76.1,64.1,43.7,79.9,0.0,0,0,24,24,0.0,0,1
Treven Ma'ae,74498,DI,BAYLOR,1,2,0.0,0,0,118,64.6,69.8,75.7,56.6,67.9,76.4,0.0,0,0,24,24,4.2,1,1
Silas Walters,75263,S,MIAMI OH,1,2,5.5,0,0,221,65.5,64.3,78.5,,59.9,73.7,20.0,1,0,28,32,3.6,1,2
Dennis Briggs Jr.,76792,DI,ILLINOIS,1,1,,0,0,187,,74.8,74.0,72.3,67.7,72.9,0.0,0,0,11,11,0.0,0,0
Antonio Colclough,76813,ED,BUFFALO,1,0,,0,0,126,60.0,54.1,75.8,47.1,63.9,23.1,,0,0,13,13,0.0,0,0
Daniel Bolden,77252,LB,TOLEDO,1,3,3.0,0,0,316,65.7,66.7,76.1,61.5,64.6,81.1,0.0,0,0,45,46,0.0,0,2
Jace Ruder,77680,LB,N TEXAS,1,0,,0,0,251,61.8,59.6,74.0,55.1,61.4,,,0,0,6,6,0.0,0,0
Tory Spears,78134,S,TEXAS ST,1,0,,0,0,314,37.2,41.4,70.8,,60.0,,,0,0,2,2,0.0,0,0
DaShon Bussell,78169,CB,W MICHIGAN,1,0,12.0,0,0,347,57.1,59.2,73.8,,65.3,73.5,0.0,0,0,11,12,0.0,0,1
Marque Collins,78999,CB,BYU,1,0,,0,0,128,80.7,76.6,0.0,,60.0,76.2,,0,1,5,5,0.0,0,0
Jayden McDonald,81249,LB,UCONN,1,0,2.1,0,0,146,71.7,64.3,75.6,67.9,52.8,65.9,12.5,1,0,23,23,30.4,7,7
Jermayne Lole,82212,DI,TEXAS,1,2,3.0,0,0,311,,67.0,76.7,57.4,70.2,73.9,0.0,0,0,26,28,0.0,0,1
