player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Ty Hamilton,66298,DI,OHIO STATE,1,1,7.0,0,0,260,,59.4,76.9,60.2,57.6,25.5,33.3,1,0,19,19,0.0,0,1
Jermayne Lole,82212,DI,TEXAS,1,1,1.0,0,0,311,,67.8,75.6,64.3,66.0,73.4,0.0,0,0,13,14,7.7,1,2
Rod Heard II,97237,S,NOTRE DAME,1,1,3.5,0,0,258,62.7,69.5,74.6,75.4,68.7,65.7,0.0,0,0,18,18,5.6,1,2
Jordan Clark,97324,CB,NOTRE DAME,1,0,8.0,0,0,258,75.1,76.1,75.5,,64.0,74.8,0.0,0,0,6,6,0.0,0,1
Jack Kiser,97889,LB,NOTRE DAME,1,4,6.3,0,0,258,74.9,73.0,73.6,64.5,63.7,73.9,11.1,1,0,28,28,0.0,0,4
R.J. Oben,98342,ED,NOTRE DAME,1,1,2.0,0,0,258,,67.0,77.0,57.6,70.3,74.4,0.0,0,0,19,19,5.3,1,1
Bill Norton,98941,DI,TEXAS,1,0,0.0,0,0,311,,69.7,75.0,62.8,68.7,68.7,0.0,0,0,11,11,9.1,1,1
David Gbenda,99370,LB,TEXAS,1,0,0.0,0,0,311,76.9,71.9,69.6,,55.8,32.1,50.0,1,0,7,8,14.3,1,1
Smith Vilbert,101408,ED,PENN STATE,1,0,-4.0,0,0,266,,61.3,73.2,57.9,62.1,71.5,0.0,0,0,7,7,14.3,1,1
Dvon J-Thomas,101455,DI,PENN STATE,1,1,,0,0,266,60.0,63.2,77.3,61.0,62.1,72.8,0.0,0,0,25,25,0.0,0,0
Howard Cross III,102726,DI,NOTRE DAME,1,1,1.0,0,0,258,,62.3,77.6,57.9,63.3,72.1,0.0,0,0,32,32,3.1,1,1
Xavier Watts,122914,S,NOTRE DAME,1,3,11.7,0,0,258,60.8,65.0,77.8,,70.5,86.4,0.0,0,0,37,37,2.7,1,3
Jahdae Barron,123105,CB,TEXAS,1,0,3.0,0,0,311,57.9,59.1,77.2,58.8,65.1,55.3,0.0,0,0,20,21,5.0,1,2
Vernon Broughton,123107,DI,TEXAS,1,0,,0,0,311,,86.8,75.4,90.6,62.9,70.2,,0,0,13,13,0.0,0,0
Alfred Collins,123110,DI,TEXAS,1,0,7.0,0,0,311,,60.8,74.7,60.2,60.2,28.3,50.0,1,0,11,12,0.0,0,1
Gavin Holmes,123389,CB,TEXAS,1,0,,0,0,311,65.7,66.1,71.7,,60.0,79.3,,0,0,1,1,0.0,0,0
Jalen Kimber,124026,CB,PENN STATE,1,0,2.0,0,0,266,68.5,70.5,75.5,,70.0,77.0,0.0,0,0,20,20,5.0,1,1
Christian Gray,128036,CB,NOTRE DAME,1,0,0.0,0,0,258,66.1,65.1,78.4,,59.8,47.6,50.0,1,1,37,37,2.7,1,1
Mitchell Melton,129753,ED,OHIO STATE,1,0,,0,0,260,,58.1,72.4,57.3,60.0,,,0,0,4,4,0.0,0,0
Lathan Ransom,129755,S,OHIO STATE,1,1,2.3,0,0,260,38.1,48.2,78.2,60.0,74.7,36.2,20.0,1,1,24,24,8.3,2,3
Cody Simon,129757,LB,OHIO STATE,1,0,3.0,0,0,260,70.6,74.2,74.3,61.7,74.8,82.8,0.0,0,0,24,24,12.5,3,3
Tyler Elsdon,129775,LB,PENN STATE,1,0,,0,0,266,,60.0,65.7,,60.0,,,0,0,1,1,0.0,0,0
Coziah Izzard,129784,DI,PENN STATE,1,2,2.0,0,0,266,60.0,67.0,74.6,66.7,62.9,60.0,16.7,1,0,18,18,0.0,0,3
Amin Vanover,129797,ED,PENN STATE,1,1,,0,0,266,60.3,72.5,76.2,69.6,66.3,71.1,0.0,0,0,5,5,0.0,0,0
Andrew Mukuba,144129,S,TEXAS,1,0,6.5,0,0,311,44.6,50.6,76.2,64.5,62.2,71.6,20.0,1,0,20,21,5.0,1,4
Michael Taaffe,144732,S,TEXAS,1,0,9.0,0,0,311,68.1,64.8,77.7,,55.4,54.4,25.0,1,0,21,22,4.8,1,3
Morice Blackwell Jr.,144733,LB,TEXAS,1,0,,0,0,311,63.2,65.4,69.0,59.5,62.0,73.2,,0,0,5,6,0.0,0,0
Barryn Sorrell,144739,ED,TEXAS,1,1,2.0,0,0,311,61.4,57.0,77.7,57.5,55.5,75.7,0.0,0,0,13,13,7.7,1,1
Jordan Hancock,145067,S,OHIO STATE,1,0,6.8,0,0,260,75.1,78.4,78.2,79.2,69.4,82.9,0.0,0,0,19,19,0.0,0,4
Denzel Burke,145070,CB,OHIO STATE,1,0,6.0,0,0,260,65.8,66.1,74.7,63.0,55.8,38.3,0.0,0,0,10,10,0.0,0,1
