player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Ty Hamilton,66298,DI,OHIO STATE,1,0,,0,0,260,60.0,60.3,76.1,57.5,61.6,72.2,,0,0,14,14,0.0,0,0
Rod Heard II,97237,S,NOTRE DAME,1,0,,0,0,258,54.6,54.8,70.0,,60.0,73.4,,0,0,3,3,0.0,0,0
Jordan Clark,97324,CB,NOTRE DAME,1,1,,0,0,258,71.0,66.8,78.3,59.9,51.0,54.7,0.0,0,0,20,20,0.0,0,0
Jack Kiser,97889,LB,NOTRE DAME,1,1,2.2,0,0,258,41.8,69.1,73.8,56.5,84.1,60.0,0.0,0,0,21,21,19.0,4,5
R.J. Oben,98342,ED,NOTRE DAME,1,0,2.0,0,0,258,,65.7,0.0,65.6,70.9,73.0,0.0,0,1,23,23,4.3,1,1
Howard Cross III,102726,DI,NOTRE DAME,1,0,,0,0,258,56.1,62.0,77.4,69.8,63.1,69.7,,0,0,35,35,0.0,0,0
Xavier Watts,122914,S,NOTRE DAME,1,3,5.3,0,0,258,74.3,75.2,75.8,,72.3,71.6,10.0,1,0,37,37,5.4,2,6
Christian Gray,128036,CB,NOTRE DAME,1,0,,0,0,258,28.1,29.3,76.8,,65.3,28.9,,0,0,36,36,0.0,0,0
Mitchell Melton,129753,ED,OHIO STATE,1,0,,0,0,260,,70.2,72.3,63.9,64.5,,,0,0,3,3,0.0,0,0
Lathan Ransom,129755,S,OHIO STATE,1,0,5.0,0,0,260,60.1,62.2,78.8,,67.2,78.8,0.0,0,0,22,22,0.0,0,1
Cody Simon,129757,LB,OHIO STATE,1,1,2.5,0,0,260,49.5,56.6,75.2,46.9,77.1,73.6,0.0,0,0,22,22,13.6,3,4
Jordan Hancock,145067,S,OHIO STATE,1,0,,1,0,260,50.8,53.1,79.5,,64.0,81.4,,0,2,20,20,0.0,0,0
Denzel Burke,145070,CB,OHIO STATE,1,0,,0,0,260,63.9,64.4,77.8,,62.7,77.9,,0,0,18,18,0.0,0,0
Jack Sawyer,145071,ED,OHIO STATE,1,2,,0,0,260,62.3,57.4,77.9,68.1,41.9,35.2,33.3,1,0,16,16,0.0,0,0
JT Tuimoloau,145074,ED,OHIO STATE,1,0,2.5,0,0,260,62.4,68.4,78.7,65.2,66.3,78.8,0.0,0,0,17,17,5.9,1,4
Tyleik Williams,145080,DI,OHIO STATE,1,1,3.0,0,0,260,67.9,67.6,75.3,56.0,68.8,76.3,0.0,0,0,18,18,0.0,0,2
Gabriel Rubio,147499,DI,NOTRE DAME,1,1,1.0,0,0,258,,61.2,75.6,61.3,60.1,23.4,50.0,2,0,29,29,3.4,1,1
Caden Curry,156488,ED,OHIO STATE,1,0,,0,0,260,60.0,60.3,71.8,58.7,60.1,,,0,0,2,2,0.0,0,0
Donovan Hinish,156961,DI,NOTRE DAME,1,0,,0,0,258,,65.4,73.7,72.4,55.9,,,0,0,11,11,0.0,0,0
Jaylen Sneed,156972,LB,NOTRE DAME,1,1,5.0,0,0,258,61.6,68.3,70.3,63.1,65.3,75.8,0.0,0,0,6,6,0.0,0,1
Joshua Burnham,156977,ED,NOTRE DAME,1,0,2.0,0,0,258,60.0,70.9,77.5,65.3,69.5,76.4,0.0,0,0,24,24,8.3,2,2
Junior Tuihalamaka,156982,ED,NOTRE DAME,1,0,,0,0,258,50.2,29.5,78.0,55.0,28.0,,,0,0,16,16,0.0,0,0
Davison Igbinosun,157129,CB,OHIO STATE,1,0,,0,0,260,54.5,57.9,76.3,65.4,63.0,79.6,,0,2,20,20,0.0,0,0
Kenyatta Jackson Jr.,162868,ED,OHIO STATE,1,0,-0.5,0,0,260,,70.5,74.3,73.5,60.0,73.7,0.0,0,0,6,6,33.3,2,2
Hero Kanu,162870,DI,OHIO STATE,1,0,,0,0,260,,59.0,67.8,58.9,60.0,,,0,0,1,1,0.0,0,0
Sonny Styles,162876,LB,OHIO STATE,1,3,2.0,0,0,260,62.8,69.9,83.1,70.4,72.6,61.9,0.0,0,0,22,22,4.5,1,1
