player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Mason White,43872,CB,OREGON ST,1,0,5.0,0,0,265,66.0,63.2,72.3,,54.5,54.5,50.0,1,0,9,9,0.0,0,1
Noah Taylor,52348,LB,NWESTERN,1,0,,0,0,256,,46.9,68.6,,60.0,,,0,0,2,2,0.0,0,0
Zaid Hamdan,52925,DI,KENT STATE,1,1,2.0,0,0,201,,75.4,74.5,75.6,67.9,74.0,0.0,0,0,14,15,7.1,1,1
DeShawn Pace,53549,LB,UCF,1,1,2.5,0,0,323,59.6,58.5,77.7,47.7,61.2,68.2,0.0,0,0,29,30,3.4,1,2
Eric Phillips,53572,ED,CINCINNATI,1,1,8.0,0,0,138,,75.0,76.6,82.6,61.0,73.5,0.0,0,0,21,21,4.8,1,1
Jaheim Thomas,54193,LB,WISCONSIN,1,3,2.6,0,0,349,43.5,66.3,74.6,62.7,84.3,67.3,11.1,1,0,22,22,13.6,3,5
Cheikhsaliou Fall,54240,ED,CAL,1,0,2.0,0,0,130,,54.5,75.1,59.3,52.6,73.5,0.0,0,0,9,9,11.1,1,1
Jaiden Cameron,62277,ED,NWESTERN,1,0,,0,0,256,,32.2,70.7,,37.1,17.6,100.0,1,0,7,7,0.0,0,0
Alex Howard,62494,LB,DUKE,1,2,16.0,0,0,154,65.7,61.0,76.9,68.2,49.9,80.4,0.0,0,0,26,26,0.0,0,1
Barry Brown,62724,LB,COAST CAR,1,0,2.0,0,0,141,74.1,70.2,0.0,59.8,71.5,77.5,0.0,0,1,13,13,0.0,0,1
Kam Butler,63872,ED,VIRGINIA,1,3,4.5,0,0,335,58.4,68.9,78.7,57.4,78.4,58.1,0.0,0,0,27,28,0.0,0,2
Josh Minkins,66051,S,CINCINNATI,1,0,7.0,0,0,138,66.8,57.1,77.3,,40.5,22.4,66.7,2,0,22,22,0.0,0,1
Ben Florentine,70644,DI,WYOMING,1,0,,0,0,351,,58.3,75.6,53.9,64.7,,,0,0,6,7,0.0,0,0
Korey Foreman,70831,ED,FRESNO ST,1,0,,0,0,169,,66.3,75.3,61.6,65.5,34.2,,0,0,2,3,0.0,0,0
Tuasivi Nomura,70879,LB,FRESNO ST,1,2,8.3,0,0,169,62.4,65.4,76.0,56.5,67.1,48.2,16.7,1,0,29,31,0.0,0,3
Keyon Ware-Hudson,71322,DI,OREGON,1,0,,0,0,264,,43.5,73.2,58.7,43.9,,,0,0,11,11,0.0,0,0
Domani Jackson,71370,CB,ALABAMA,1,0,7.0,0,0,103,53.2,55.5,76.9,,66.3,81.1,0.0,0,0,26,26,0.0,0,1
Keanu Tanuvasa,71398,DI,UTAH,1,0,-3.0,0,0,328,,70.8,77.1,69.5,66.3,25.1,66.7,2,0,29,29,3.4,1,1
Akili Arnold,71406,S,USC,1,0,6.0,0,0,326,73.3,68.1,78.0,56.8,46.2,63.1,50.0,1,0,20,20,0.0,0,1
Easton Mascarenas-Arnold,71410,LB,USC,1,1,,0,0,326,47.7,44.5,76.7,60.0,37.4,29.3,66.7,2,0,14,14,0.0,0,0
DJ Harvey,72089,CB,S JOSE ST,1,1,1.0,0,0,285,50.3,57.0,75.5,58.1,76.6,80.8,0.0,0,0,28,29,7.1,2,2
Raider Damuni,72338,S,BYU,1,0,,0,0,128,67.7,61.8,73.8,,47.7,28.9,100.0,1,0,10,10,0.0,0,0
Logan Pili,72354,LB,UTAH ST,1,0,3.0,0,0,329,60.4,58.0,70.5,,57.0,73.1,0.0,0,0,2,5,50.0,1,1
Noa Pola-Gates,72535,CB,NEW MEXICO,1,1,11.0,0,0,241,60.3,62.3,77.1,,69.1,79.8,0.0,0,0,27,28,0.0,0,1
Jadon Pearson,72538,LB,UTAH ST,1,0,5.5,0,0,329,46.4,48.6,73.0,60.0,57.2,53.2,20.0,1,0,11,11,18.2,2,4
Keith Conley Jr.,72821,ED,UNLV,1,0,,0,0,325,,55.1,73.7,57.8,55.7,,,0,0,3,3,0.0,0,0
Henry Ikahihifo,73151,ED,NEVADA,1,0,3.0,0,0,239,51.3,78.6,77.1,88.3,68.3,44.6,0.0,0,0,10,10,20.0,2,2
Lincoln Tuioti-Mariner,73243,S,AIR FORCE,1,1,23.3,0,0,101,80.8,73.8,81.9,55.1,62.3,60.3,20.0,1,0,34,35,0.0,0,3
Taariq Al-Uqdah,74119,LB,WASH STATE,1,0,2.0,0,0,341,92.4,93.2,74.8,69.2,78.2,81.0,0.0,0,0,9,10,44.4,4,4
Justin Sinclair,74258,S,HAWAII,1,0,1.0,0,0,180,57.1,57.5,76.5,,58.6,50.8,50.0,1,0,23,25,4.3,1,1
