player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Tate Romney,70946,LB,ARIZONA ST,1,0,,0,0,110,63.9,65.0,68.5,,60.0,,,0,0,1,1,0.0,0,0
Keyon Ware-Hudson,71322,DI,OREGON,1,0,,0,0,264,,76.3,68.8,66.5,62.2,,,0,0,2,2,0.0,0,0
Sheldon Newton,71957,DI,BOISE ST,1,0,3.0,0,0,120,59.4,59.5,75.7,67.2,56.8,72.4,0.0,0,0,9,10,11.1,1,1
Lavario Wiley,72769,CB,UNLV,1,0,,0,0,325,41.7,40.1,69.0,59.6,60.3,27.9,,0,0,4,4,0.0,0,0
Keith Conley Jr.,72821,ED,UNLV,1,2,,0,0,325,,70.9,72.5,56.6,72.5,73.3,0.0,0,0,4,4,0.0,0,0
Marco Notarainni,73389,LB,BOISE ST,1,1,,0,0,120,47.9,64.4,75.1,73.2,71.6,55.9,0.0,0,0,11,11,0.0,0,0
Jaylen Johnson,75046,S,OHIO,1,0,,0,0,259,,60.9,68.3,,60.1,,,0,0,5,5,0.0,0,0
Silas Walters,75263,S,MIAMI OH,1,1,,0,0,221,72.3,70.6,79.7,,61.6,81.4,0.0,0,0,39,41,0.0,0,0
Jermayne Lole,82212,DI,TEXAS,1,0,,0,0,311,,54.1,75.1,56.7,54.4,,,0,0,16,16,0.0,0,0
Dustin Johnson,83197,S,OHIO,1,1,8.0,0,0,259,73.7,74.4,76.1,60.0,67.3,79.5,0.0,0,0,12,12,0.0,0,1
Jarvis Ware,83314,CB,UNLV,1,0,5.0,0,0,325,61.3,63.2,74.3,,65.5,76.6,0.0,0,0,17,17,0.0,0,1
Rodney Robinson,86527,S,BOISE ST,1,3,3.0,0,0,120,68.4,63.5,77.9,62.0,51.9,45.9,33.3,2,0,25,26,4.0,1,1
Dylan Brown,88453,DI,JVILLE ST,1,0,,0,0,196,,62.1,71.1,,61.3,,,0,0,6,6,0.0,0,0
Dalton Norris,90192,DI,MIAMI OH,1,0,,0,0,221,,60.0,66.3,,60.0,,,0,0,2,2,0.0,0,0
Amir McDaniel,97087,CB,LA LAFAYET,1,0,,0,0,207,66.4,66.9,78.8,,64.0,58.9,,0,0,24,24,0.0,0,0
Brandon Crossley,97225,CB,SMU,1,0,0.0,0,0,287,53.1,57.0,76.8,,74.7,80.2,0.0,0,0,28,28,7.1,2,2
Jett Elad,97543,S,UNLV,1,1,10.0,0,0,325,80.9,71.4,78.5,,48.1,51.4,50.0,2,0,33,34,0.0,0,1
Jeff Clark,97566,DI,ARIZONA ST,1,1,,0,0,110,,70.9,75.4,69.4,65.3,70.2,0.0,0,0,12,12,0.0,0,0
