player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
DJ Brown,83345,S,NOTRE DAME,1,3,,3.0,258,0,39.6,0,1,0,0,0,0.0
Anthony Britton Jr.,105396,LB,SE LA,1,6,,6.0,294,0,39.6,0,1,0,0,0,0.0
Jermaine Baker,106018,LB,YALE,1,4,,2.0,352,1,0.0,0,2,0,0,0,0.0
Jordan Washington,148854,CB,DARTMOUTH,1,1,,1.0,148,0,39.6,0,1,0,0,0,0.0
Ezriel Vasquez,159063,S,PORTLAND,1,5,,5.0,269,0,39.6,0,1,0,0,0,0.0
Jalen Harrell,122213,S,UMASS,1,4,,4.0,216,0,39.6,0,1,0,0,0,0.0
Ton'Quez Ball,101089,S,E TENN ST,1,4,,4.0,157,0,39.6,0,1,0,0,0,0.0
Jaise Oliver,101091,CB,TULSA,1,10,,10.0,320,0,39.6,0,1,0,0,0,0.0
AJ Vongphachanh,101172,LB,BYU,1,1,,1.0,128,0,39.6,0,1,0,0,0,0.0
Tim O'Hearn,149389,ED,LAFAYETTE,1,1,,1.0,203,0,39.6,0,1,0,0,0,0.0
Cale Reeder,138314,S,S DAK ST,1,3,,3.0,292,0,39.6,0,1,0,0,0,0.0
Da'Raun McKinney,101399,CB,C MICHIGAN,1,1,,1.0,134,0,39.6,0,1,0,0,0,0.0
Zane Porter,121745,S,MOREHEAD,1,14,,14.0,234,0,39.6,0,1,0,0,0,0.0
Ormanie Arnold,158982,CB,IDAHO,1,1,,1.0,185,0,39.6,0,1,0,0,0,0.0
Yusuf Ahmed,149484,LB,DAVIDSON,1,3,,3.0,149,0,39.6,0,1,0,0,0,0.0
Brian Dukes Jr.,158941,S,CAL POLY,1,3,,3.0,129,0,39.6,0,1,0,0,0,0.0
Jalen Stewart,158770,LB,UMASS,1,2,,2.0,216,0,39.6,0,1,0,0,0,0.0
Bryson Shaw,101664,S,USC,1,7,,7.0,326,0,39.6,0,1,0,0,0,0.0
Jimmy Ciarlo,121563,LB,ARMY,1,6,,6.0,114,0,39.6,0,1,0,0,0,0.0
Quinn Schulte,101737,S,IOWA,1,2,,2.0,192,0,39.6,0,1,0,0,0,0.0
Jacoby Mathews,158660,S,TEXAS A&M,1,10,,10.0,312,0,39.6,0,1,0,0,0,0.0
Brandon Richard,101766,LB,INCAR WORD,1,5,,5.0,189,0,39.6,0,1,0,0,0,0.0
Tao Johnson,158490,CB,UTAH,1,12,,12.0,328,0,39.6,0,1,0,0,0,0.0
Holden Hughes,149564,CB,DRAKE,1,1,,1.0,153,0,39.6,0,1,0,0,0,0.0
Franky West,101857,CB,E KENTUCKY,1,3,,3.0,159,0,39.6,0,1,0,0,0,0.0
James Neal,102046,LB,UTEP,1,6,,6.0,330,0,39.6,0,1,0,0,0,0.0
Ahmaad Moses,158276,S,SMU,1,8,,8.0,287,0,39.6,0,1,0,0,0,0.0
