player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Marcus Gulley,174413,LB,N DAK ST,1,1,,1.0,250,0,39.6,0,1,0,0,0,0.0
Lorenzo Styles Jr.,147474,CB,OHIO STATE,1,1,,1.0,260,0,39.6,0,1,0,0,0,0.0
Ronald Wilson,146133,S,INCAR WORD,1,4,,4.0,189,1,0.0,0,1,0,0,0,0.0
Jonathan McGill,100607,S,SMU,1,4,,4.0,287,0,39.6,0,1,0,0,0,0.0
Miles Jackson,147676,CB,MONTANA ST,1,13,,13.0,233,0,39.6,0,1,0,0,0,0.0
Darius Givance,162201,S,N DAK ST,1,3,,3.0,250,0,39.6,0,1,0,0,0,0.0
Jon Johnson,170699,CB,MONTANA ST,1,1,,1.0,233,1,0.0,0,1,0,0,0,0.0
Tayden Gray,176765,CB,MONTANA ST,1,20,,20.0,233,0,39.6,0,1,0,0,0,0.0
Christian Harrison,163763,CB,TENNESSEE,1,4,,4.0,307,0,39.6,0,1,0,0,0,0.0
Mason Chambers,122509,S,INCAR WORD,1,1,,1.0,189,0,39.6,0,1,0,0,0,0.0
Andrew Marshall,175097,CB,IDAHO,1,6,,6.0,185,0,39.6,0,1,0,0,0,0.0
Trey Moore,145527,ED,TEXAS,1,2,,2.0,311,0,39.6,0,1,0,0,0,0.0
Teven McKelvey,141854,S,S DAKOTA,1,28,28.0,9.3,291,1,11.1,1,3,0,15,13,0.54
Wade Woodaz,156237,LB,CLEMSON,1,17,17.0,17.0,140,0,108.3,1,1,0,10,13,0.59
Kavir Bains-Marquez,142177,S,UC DAVIS,1,12,12.0,6.0,322,0,95.8,1,2,0,25,1,2.08
Jahdae Barron,123105,CB,TEXAS,1,12,12.0,6.0,311,0,56.3,1,2,0,6,0,0.5
Enock Sibomana,148168,CB,N DAK ST,1,12,12.0,12.0,250,0,118.8,1,1,0,17,3,1.42
