player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Joshua Franklin,171395,CB,W MICHIGAN,1,4,,4.0,347,1,0.0,0,1,0,0,0,0.0
Braylan Lovelace,170119,LB,PITTSBURGH,1,9,,4.5,268,0,39.6,0,2,0,0,0,0.0
Zion Tracy,170301,CB,PENN STATE,1,11,,5.5,266,1,0.0,0,2,0,0,0,0.0
Elliot Washington II,170303,CB,PENN STATE,1,1,,1.0,266,0,39.6,0,1,0,0,0,0.0
Jalen Thomeson,171363,S,OHIO,1,2,,2.0,259,0,39.6,0,1,0,0,0,0.0
Dean Clark,97495,S,FRESNO ST,1,4,,4.0,169,0,39.6,0,1,0,0,0,0.0
Malik Dixon-Williams,97520,S,UCONN,1,3,,3.0,146,0,39.6,0,1,0,0,0,0.0
Brandon Turnage,98859,CB,OLE MISS,1,11,,11.0,226,0,39.6,0,1,0,0,0,0.0
Austin Moore,99388,LB,KANSAS ST,1,1,,1.0,199,0,39.6,0,1,0,0,0,0.0
OJ Frederique Jr.,189439,CB,MIAMI FL,1,4,,4.0,220,0,39.6,0,1,0,0,0,0.0
Keyshawn Swanson,100281,S,W KENTUCKY,1,5,,5.0,346,0,39.6,0,1,0,0,0,0.0
Craig Woodson,100612,S,CAL,1,5,,5.0,130,0,39.6,0,1,0,0,0,0.0
Mannie Nunnery,101079,LB,TEXAS ST,1,6,,6.0,314,1,0.0,0,1,0,0,0,0.0
Kaleb Martin,188286,CB,MIAMI OH,1,1,,1.0,221,0,39.6,0,1,0,0,0,0.0
Easton Mascarenas-Arnold,71410,LB,USC,1,2,,2.0,326,0,39.6,0,1,0,0,0,0.0
Kamren Fabiculanan,72332,S,WASHINGTON,1,6,,6.0,340,0,39.6,0,1,0,0,0,0.0
Quinn Schulte,101737,S,IOWA,1,1,,1.0,192,0,39.6,0,1,0,0,0,0.0
Reid Pulliam,186121,LB,JACKSON ST,1,6,,6.0,194,0,39.6,0,1,0,0,0,0.0
Clarence Lewis,122905,CB,SYRACUSE,1,1,,1.0,304,0,39.6,0,1,0,0,0,0.0
Mac Harris,123285,LB,USF,1,3,,3.0,327,0,39.6,0,1,0,0,0,0.0
Gavin Holmes,123389,CB,TEXAS,1,4,,4.0,311,0,39.6,0,1,0,0,0,0.0
Aakil Washington,123896,ED,S ALABAMA,1,2,,2.0,288,0,39.6,0,1,0,0,0,0.0
Phillip Webb,124118,ED,JACKSON ST,1,8,,8.0,194,0,39.6,0,1,0,0,0,0.0
Tamarion McDonald,124290,S,LOUISVILLE,1,7,,7.0,210,0,39.6,0,1,0,0,0,0.0
Flip Dixon,129646,S,RUTGERS,1,3,,3.0,278,0,39.6,0,1,0,0,0,0.0
PJ Woodland,184471,CB,LSU,1,12,,12.0,211,0,39.6,0,1,0,0,0,0.0
Jaden Dottin,129774,WR,TOLEDO,1,4,,4.0,316,1,0.0,0,1,0,0,0,0.0
Tyson Durant,130287,S,WASH STATE,1,5,,5.0,341,0,39.6,0,1,0,0,0,0.0
Jalen McNair,130415,S,BUFFALO,1,15,,15.0,126,0,39.6,0,1,0,0,0,0.0
Dustin Johnson,83197,S,OHIO,1,6,,6.0,259,0,39.6,0,1,0,0,0,0.0
Fred Gaskin,189604,S,USF,1,7,,7.0,327,0,39.6,0,1,0,0,0,0.0
John Humphrey,131794,CB,USC,1,1,,1.0,326,0,39.6,0,1,0,0,0,0.0
Tanner Moku,131947,S,WASH STATE,1,6,,6.0,341,0,39.6,0,1,0,0,0,0.0
Kourtlan Marsh,139078,S,MEMPHIS,1,35,,35.0,218,0,39.6,0,1,0,0,0,0.0
Nate Valcarcel,141856,S,N ILLINOIS,1,5,,2.5,254,1,0.0,0,2,0,0,0,0.0
Blake Leake,143001,LB,OHIO,1,7,,7.0,259,1,0.0,0,1,0,0,0,0.0
Phillip O'Brien Jr.,144033,S,PITTSBURGH,1,10,,10.0,268,0,39.6,0,1,0,0,0,0.0
Jayden Hill,183476,S,N TEXAS,1,8,,8.0,251,0,39.6,0,1,0,0,0,0.0
Andrew Mukuba,144129,S,TEXAS,1,6,,6.0,311,1,0.0,0,1,0,0,0,0.0
Greg Rubin,144280,S,MEMPHIS,1,8,,8.0,218,0,39.6,0,1,0,0,0,0.0
Cameron Smith,144281,S,TCU,1,2,,2.0,305,0,39.6,0,1,0,0,0,0.0
Jaxon Rexroth,144864,LB,IOWA,1,2,,2.0,192,0,39.6,0,1,0,0,0,0.0
Jordan Riley,145627,S,KANSAS ST,1,2,,2.0,199,0,39.6,0,1,0,0,0,0.0
Oscar McWood,145800,LB,MIAMI OH,1,12,,12.0,221,0,39.6,0,1,0,0,0,0.0
Shay Taylor,145877,LB,OHIO,1,1,,1.0,259,0,39.6,0,1,0,0,0,0.0
Rasheem Biles,175408,LB,PITTSBURGH,1,5,,5.0,268,0,39.6,0,1,0,0,0,0.0
CJ Baskerville,146166,S,TEXAS TECH,1,6,,6.0,315,0,39.6,0,1,0,0,0,0.0
Xamarion Gordon,146425,S,COAST CAR,1,5,,2.5,141,0,39.6,0,2,0,0,0,0.0
Dyson McCutcheon,146479,CB,WASHINGTON,1,7,,7.0,340,0,39.6,0,1,0,0,0,0.0
Dante Lovett,174793,CB,VA TECH,1,3,,3.0,337,0,39.6,0,1,0,0,0,0.0
Miles Capers,146967,ED,VANDERBILT,1,2,,2.0,333,0,39.6,0,1,0,0,0,0.0
K.C. Ossai,147158,LB,LA LAFAYET,1,5,,2.5,207,0,39.6,0,2,0,0,0,0.0
Jordan Mahoney,147438,CB,ARK STATE,1,1,,1.0,113,0,39.6,0,1,0,0,0,0.0
Joseph Carter,147544,LB,LIBERTY,1,2,,2.0,206,0,39.6,0,1,0,0,0,0.0
Cameron Broussard,147821,S,WASHINGTON,1,2,,2.0,340,0,39.6,0,1,0,0,0,0.0
Chance Gamble,147978,CB,GA SOUTHRN,1,4,,4.0,174,0,39.6,0,1,0,0,0,0.0
Judge Collier,174319,CB,S CAROLINA,1,1,,1.0,289,0,39.6,0,1,0,0,0,0.0
Derek Carter Jr.,150315,CB,JVILLE ST,1,2,,2.0,196,0,39.6,0,1,0,0,0,0.0
Bryce Thornton,174266,S,FLORIDA,1,1,,1.0,163,0,39.6,0,1,0,0,0,0.0
Kapena Gushiken,174157,CB,WASH STATE,1,28,,14.0,341,0,39.6,0,2,0,0,0,0.0
Matthew Littlejohn,174148,S,CAL,1,5,,5.0,130,0,39.6,0,1,0,0,0,0.0
Marcus Harris,97230,CB,CAL,1,1,,1.0,130,0,39.6,0,1,0,0,0,0.0
Jyaire Hill,174040,CB,MICHIGAN,1,2,,2.0,222,0,39.6,0,1,0,0,0,0.0
DeCarlos Nicholson,157143,CB,USC,1,1,,1.0,326,0,39.6,0,1,0,0,0,0.0
Devon Lynch,173443,LB,W KENTUCKY,1,2,,2.0,346,0,39.6,0,1,0,0,0,0.0
Cam Sidney,158329,S,CAL,1,4,,2.0,130,0,39.6,0,2,0,0,0,0.0
Jordan Lester,173142,S,TCU,1,1,,1.0,305,1,0.0,0,1,0,0,0,0.0
Daniel Cobbs,173095,S,KANSAS ST,1,5,,5.0,199,1,0.0,0,1,0,0,0,0.0
Bilhal Kone,159385,CB,W MICHIGAN,1,1,,1.0,347,0,39.6,0,1,0,0,0,0.0
Marvin Burks Jr.,172561,S,MISSOURI,1,1,,1.0,229,0,39.6,0,1,0,0,0,0.0
Myles Rowser,160351,S,ARIZONA ST,1,5,,5.0,110,0,39.6,0,1,0,0,0,0.0
Luke Pirris,162574,ED,NAVY,1,3,,3.0,237,0,39.6,0,1,0,0,0,0.0
Jaden Harris,162734,S,MIAMI FL,1,3,,3.0,220,0,39.6,0,1,0,0,0,0.0
Bobby Crosby,172325,S,TEXAS ST,1,10,,10.0,314,0,39.6,0,1,0,0,0,0.0
Zeke Berry,162810,CB,MICHIGAN,1,18,,4.5,222,0,39.6,0,4,0,0,0,0.0
Collin Matteson,163203,S,ARMY,1,1,,1.0,114,0,39.6,0,1,0,0,0,0.0
Austin Brawley,164120,S,OHIO,1,5,,5.0,259,0,39.6,0,1,0,0,0,0.0
Shane Perry,165889,ED,E CAROLINA,1,1,,1.0,156,0,39.6,0,1,0,0,0,0.0
Luke Myers,169598,LB,MIAMI OH,1,7,,3.5,221,0,39.6,0,2,0,0,0,0.0
Jaylon Jimmerson,102450,CB,SM HOUSTON,1,35,35.0,11.7,281,2,2.8,1,3,0,9,2,0.26
Jalil Martin,156472,S,SYRACUSE,1,23,23.0,11.5,304,1,95.8,1,2,1,66,60,2.87
Kwantre Harry,165453,S,SCAR STATE,1,20,20.0,6.7,290,0,42.4,1,3,0,9,-1,0.45
Jordan Hancock,145067,S,OHIO STATE,1,19,19.0,9.5,260,0,56.3,1,2,0,5,8,0.26
Dominic Morris,149914,CB,COLO STATE,1,18,18.0,4.5,144,0,44.8,1,4,0,17,12,0.94
Clayton Powell-Lee,156305,S,GA TECH,1,17,17.0,8.5,176,0,58.3,1,2,0,7,3,0.41
Amir McDaniel,97087,CB,LA LAFAYET,1,17,17.0,5.7,207,0,42.4,1,3,0,6,2,0.35
Cameron Martinez,129752,CB,BOSTON COL,1,17,17.0,4.3,121,0,39.6,1,4,0,7,9,0.41
Marques Sigle,125305,S,KANSAS ST,1,32,16.0,8.0,199,0,77.1,2,4,0,32,6,1.0
Antonio Carter II,103597,S,JVILLE ST,1,16,16.0,16.0,196,0,118.8,1,1,0,14,2,0.88
Jaylon Guilbeau,157307,CB,TEXAS,1,16,16.0,8.0,311,0,60.4,1,2,0,8,4,0.5
Brandon Johnson,143858,CB,OREGON,1,15,15.0,15.0,264,0,158.3,1,1,1,42,5,2.8
Kamari Ramsey,162465,S,USC,1,15,15.0,7.5,326,0,56.3,1,2,0,6,9,0.4
Marques Buford Jr.,145012,CB,NEBRASKA,1,15,15.0,15.0,238,0,108.3,1,1,0,10,4,0.67
Justin Parks,147066,S,ARK STATE,1,29,14.5,14.5,113,0,118.8,2,2,0,32,15,1.1
Zach Lutmer,170162,S,IOWA,1,14,14.0,2.8,192,0,41.3,1,5,0,17,3,1.21
Damari Roberson,97609,S,W MICHIGAN,1,14,14.0,14.0,347,0,118.8,1,1,0,28,1,2.0
Malaki Starks,157069,S,GEORGIA,1,14,14.0,7.0,173,0,56.3,1,2,0,4,0,0.29
Nasir Bowers,163152,CB,TOLEDO,1,27,13.5,3.9,316,0,44.9,2,7,0,30,29,1.11
