player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Nikko Reed,146321,CB,OREGON,1,2,,2.0,264,0,39.6,0,1,0,0,0,0.0
Joenel Aguero,173536,S,GEORGIA,1,10,,10.0,173,0,39.6,0,1,0,0,0,0.0
A'Marion McCoy,173448,CB,BOISE ST,1,2,,2.0,120,0,39.6,0,1,0,0,0,0.0
Jabari Mack,163962,CB,JVILLE ST,1,3,,3.0,196,0,39.6,0,1,0,0,0,0.0
Upton Stout,121906,S,W KENTUCKY,1,13,,13.0,346,0,39.6,0,1,0,0,0,0.0
Audavion Collins,163676,CB,PENN STATE,1,4,,4.0,266,0,39.6,0,1,0,0,0,0.0
Javan Robinson,158522,CB,ARIZONA ST,1,1,,1.0,110,0,39.6,0,1,0,0,0,0.0
Jahdae Barron,123105,CB,TEXAS,1,5,,5.0,311,0,39.6,0,1,0,0,0,0.0
Josh Moten,124332,CB,MARSHALL,1,1,,1.0,214,1,0.0,0,1,0,0,0,0.0
Kobe Savage,157781,S,OREGON,1,7,,3.5,264,0,39.6,0,2,0,0,0,0.0
Daylen Everette,157079,CB,GEORGIA,1,2,,2.0,173,0,39.6,0,1,0,0,0,0.0
Jamarius Brown,151592,S,SOUTHERN U,1,7,,7.0,297,0,39.6,0,1,0,0,0,0.0
Horacio Johnson,150912,S,SOUTHERN U,1,10,,10.0,297,0,39.6,0,1,0,0,0,0.0
Guylijah Theodule,193231,CB,MARSHALL,1,1,,1.0,214,0,39.6,0,1,0,0,0,0.0
K.C. Ossai,147158,LB,LA LAFAYET,1,1,,1.0,207,0,39.6,0,1,0,0,0,0.0
Dustin Johnson,83197,S,OHIO,1,12,,6.0,259,0,39.6,0,2,0,0,0,0.0
Kody Jackson,176350,S,LA LAFAYET,1,5,,5.0,207,0,39.6,0,1,0,0,0,0.0
Jett Elad,97543,S,UNLV,1,2,,2.0,325,0,39.6,0,1,0,0,0,0.0
Shamar Hawkins,72496,S,JACKSON ST,1,29,29.0,5.8,194,0,39.6,1,5,0,9,0,0.31
Adonis Williams Jr.,164130,S,OHIO,1,22,22.0,5.5,259,0,39.6,1,4,0,7,0,0.32
Rodney Robinson,86527,S,BOISE ST,1,19,19.0,19.0,120,0,79.2,1,1,0,3,0,0.16
Ahmaad Moses,158276,S,SMU,1,18,18.0,9.0,287,0,56.3,1,2,0,2,8,0.11
Johnathan Baldwin,146214,CB,UNLV,1,17,17.0,17.0,325,0,87.5,1,1,0,5,1,0.29
Brandon Johnson,143858,CB,OREGON,1,33,16.5,16.5,264,0,118.8,2,2,0,34,24,1.03
Cale Sanders Jr.,146036,S,SMU,1,15,15.0,7.5,287,0,58.3,1,2,0,7,1,0.47
Chance Keith,147333,S,ARMY,1,15,15.0,15.0,114,0,104.2,1,1,0,9,-2,0.6
Isaiah Nwokobia,144373,S,SMU,1,15,15.0,15.0,287,0,116.7,1,1,0,12,0,0.8
Oscar McWood,145800,LB,MIAMI OH,1,12,12.0,12.0,221,0,118.8,1,1,0,23,6,1.92
Smael Mondon Jr.,146725,LB,GEORGIA,1,12,12.0,12.0,173,0,118.8,1,1,0,20,9,1.67
Jadarius Green-McKnight,122399,CB,MARSHALL,1,23,11.5,7.7,214,0,104.9,2,3,0,34,7,1.48
