player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_coverage_defense,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_overall_tackle,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_pass_rush_defense,no_screen_grades_run,no_screen_grades_run_defense,no_screen_grades_tackle,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_coverage_defense,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_overall_tackle,npa_grades_pass,npa_grades_pass_route,npa_grades_pass_rush_defense,npa_grades_run,npa_grades_run_defense,npa_grades_tackle,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_coverage_defense,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_overall_tackle,pa_grades_pass,pa_grades_pass_route,pa_grades_pass_rush_defense,pa_grades_run,pa_grades_run_defense,pa_grades_tackle,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_coverage_defense,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_overall_tackle,screen_grades_pass,screen_grades_pass_route,screen_grades_pass_rush_defense,screen_grades_run,screen_grades_run_defense,screen_grades_tackle,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Will Rogers,124184,QB,MISS STATE,13,12.31,0,740,227,77.4,527,551,8.2,2.95,6,27,4.7,69.0,380,127,6.9,608,82.2,28,221,,,,,75.6,88.4,66.4,,90.1,,,40.4,,,2,9,643,25.2,103.3,5.3,32,25,2,14,34,14,2.2,3969,7.2,80.2,575,600,6.5,2.7,8,27,4.3,71.8,431,117,6.5,655,88.5,30,221,,,,,76.2,85.1,67.6,,87.1,,,40.9,,,2,9,687,25.6,102.3,4.6,30,24,2,13,33,14,2.0,4071,6.8,90.9,77,82,4.4,2.56,1,0,0.0,84.1,69,11,1.4,85,11.5,1,31,,,,,71.6,90.0,78.0,,89.7,,,57.3,,,0,0,91,18.2,110.2,2.4,2,1,0,4,3,0,0.0,616,7.5,0,98.4,125,131,-1.9,1.46,3,0,0.0,91.6,120,1,2.4,132,17.8,3,31,,,,,73.0,73.7,79.6,,72.8,,,,,,0,0,135,0.0,94.6,0.0,0,0,0,3,2,0,0.0,718,5.5,0.72
Bailey Zappe,60396,QB,W KENTUCKY,14,0.1,0,730,346,72.7,516,555,11.3,2.73,11,48,8.1,62.7,348,93,7.2,594,81.4,27,241,,,,,70.7,87.9,67.3,,87.9,57.5,,53.3,,,3,11,636,16.1,117.0,2.5,15,24,1,24,52,23,3.6,5285,9.5,76.6,479,505,9.0,2.46,8,39,7.2,68.7,347,61,5.4,538,73.7,20,222,,,,,69.4,84.3,73.5,,84.2,57.5,,54.1,,,3,8,574,21.3,119.1,2.4,13,20,1,14,45,20,3.5,4448,8.8,79.4,170,186,7.5,2.49,3,9,4.6,68.8,128,33,5.2,192,26.3,7,65,,,,,74.5,84.6,56.3,,84.5,,,55.6,,,0,3,200,6.1,116.6,1.0,2,4,0,13,17,3,1.5,1492,8.0,0,95.5,133,136,-2.1,1.3,0,0,0.0,93.4,127,1,0.0,136,18.6,0,46,,,,,73.1,73.0,79.7,,72.1,,,,,,0,0,138,0.0,111.2,0.0,0,0,0,3,10,0,0.0,655,4.8,-0.79
Bryce Young,123943,QB,ALABAMA,15,-1.55,0,624,103,74.3,424,467,11.3,3.02,7,36,7.4,61.0,285,223,9.5,539,86.4,30,211,,,,,40.5,92.3,40.5,,92.2,,,64.5,,,7,7,562,15.7,118.2,6.5,35,34,0,29,46,13,2.3,4333,9.3,77.2,356,380,9.2,2.83,2,24,6.2,66.8,254,165,7.6,437,70.0,21,159,,,,,46.4,92.2,35.1,,92.4,,,62.7,,,4,6,452,15.8,117.4,5.9,26,28,0,18,33,10,2.2,3398,8.9,80.0,150,170,8.5,2.68,5,12,6.7,65.3,111,61,7.5,187,30.0,9,74,,,,,49.6,82.3,81.3,,80.3,,,66.8,,,3,1,196,14.8,117.3,4.8,9,6,0,12,14,3,1.5,1462,8.6,0,97.6,82,83,-3.1,1.3,0,0,0.0,96.4,80,3,0.0,85,13.6,0,22,,,,,71.4,73.4,77.7,,72.6,,,,,,0,0,86,0.0,97.1,0.0,0,0,0,1,1,0,0.0,527,6.3,-0.34
Sam Hartman,77618,QB,WAKE,14,-2.03,0,601,339,66.5,442,478,13.7,3.18,15,33,6.5,56.9,272,195,7.5,569,94.7,22,219,,,,,77.0,92.1,90.5,,90.7,,,77.4,,,12,14,602,18.5,100.1,6.3,36,55,0,9,39,15,2.5,4081,8.5,68.2,308,329,11.4,3.13,9,18,5.2,59.6,196,132,6.7,377,62.7,14,147,,,,,73.8,90.5,89.5,,85.2,,,80.6,,,8,13,398,17.4,91.4,6.1,23,25,0,4,24,13,3.3,2511,7.6,67.7,164,179,14.9,3.04,6,15,7.9,57.5,103,71,7.2,224,37.3,8,78,,,,,75.3,90.5,82.3,,90.5,,,64.4,,,4,1,239,19.7,115.7,6.3,14,31,0,5,15,3,1.3,1720,9.6,0,90.0,30,30,-2.3,1.6,0,0,0.0,90.0,27,8,0.0,32,5.3,0,6,,,,,68.6,60.5,74.3,,61.7,,,57.3,,,0,0,35,12.5,87.5,3.1,1,1,0,0,0,1,2.9,150,5.0,1.98
Kenny Pickett,60515,QB,PITTSBURGH,13,-9.34,0,581,268,76.8,413,442,11.4,3.36,2,27,5.8,64.3,284,158,10.4,523,90.0,33,202,,,,,64.4,92.5,89.8,,92.5,46.3,,63.1,,,1,6,554,19.6,115.2,5.9,31,50,2,24,36,16,2.9,4040,9.1,80.7,368,390,8.8,3.16,1,19,4.6,69.0,269,132,9.4,456,78.5,28,171,,,,,62.3,92.5,89.4,,92.5,58.6,,63.4,,,1,5,482,19.7,111.6,5.7,26,39,2,18,26,12,2.5,3288,8.4,71.7,99,109,13.3,3.3,1,8,7.0,59.6,65,29,8.5,125,21.5,6,44,,,,,56.2,77.4,79.6,,78.3,43.8,,60.4,,,1,2,130,17.2,122.7,4.0,5,11,0,8,16,5,3.8,1020,9.4,0,94.4,54,57,-3.2,1.59,0,0,0.0,87.7,50,3,2.0,58,10.0,1,13,,,,,41.5,66.1,76.2,,65.6,,,,,,1,1,58,0.0,114.0,0.0,0,0,0,2,6,1,1.7,268,4.7,0.93
Carson Strong,83524,QB,NEVADA,12,-6.23,0,580,239,74.4,402,437,11.1,2.74,3,31,6.7,65.2,285,158,4.7,485,83.6,14,169,,,,,73.1,90.0,53.1,,90.1,,,46.1,,,6,8,513,23.4,109.4,7.6,37,11,2,24,34,12,2.3,3631,8.3,78.2,444,477,7.7,2.45,3,22,4.4,70.2,335,139,3.5,521,89.8,12,174,,,,,73.8,87.9,63.2,,87.4,,,49.2,,,5,7,549,23.7,108.1,6.3,33,8,2,23,31,10,1.8,3660,7.7,73.9,46,50,16.9,2.89,0,9,17.0,64.0,32,20,5.9,59,10.2,2,19,,,,,70.3,80.1,21.0,,83.9,,,50.5,,,1,1,62,30.0,124.8,10.2,6,3,0,3,5,2,3.2,532,10.6,0,93.2,88,90,-2.8,1.27,0,0,0.0,91.1,82,1,0.0,95,16.4,0,24,,,,,71.8,68.3,78.2,,67.6,,,,,,0,0,98,200.0,100.0,2.1,2,0,0,2,2,0,0.0,561,6.2,2.97
Brennan Armstrong,77696,QB,VIRGINIA,11,5.62,0,571,335,72.0,436,454,12.6,2.98,3,35,7.3,62.6,284,148,9.6,522,91.4,30,211,,,,66.7,57.8,92.0,89.3,,90.5,78.5,,80.6,,,5,10,549,24.3,105.2,6.9,36,32,3,7,30,21,3.8,4156,9.2,72.8,401,417,10.2,2.82,2,27,6.1,63.8,266,121,8.9,480,84.1,26,183,,,,,56.2,89.4,89.0,,84.3,56.8,,78.6,,,5,8,509,27.3,97.9,6.9,33,29,3,6,20,18,3.5,3467,8.3,80.2,81,85,15.1,3.03,1,8,9.4,69.4,59,29,9.2,91,15.9,6,43,,,,66.7,71.6,93.9,78.6,,92.9,79.6,,71.9,,,1,2,91,10.3,136.9,3.3,3,3,0,2,11,3,3.3,962,11.3,0,93.5,46,48,-3.5,1.5,0,0,0.0,85.4,41,2,4.7,49,8.6,2,15,,,,,69.7,65.5,76.2,,67.0,58.9,,57.3,,,1,0,51,0.0,97.3,0.0,0,0,0,1,1,0,0.0,273,5.7,3.01
Jake Haener,60596,QB,FRESNO ST,13,9.46,0,550,169,71.2,396,413,11.6,2.98,3,22,5.0,63.0,260,135,7.8,470,85.5,22,169,,,,,57.7,78.5,73.3,,80.3,55.7,,52.2,,,1,9,495,17.8,105.5,5.1,24,32,2,11,30,14,2.8,3548,8.6,72.4,323,337,8.8,2.77,4,13,3.7,64.4,217,103,7.3,381,69.3,17,126,,,,,65.4,71.5,70.9,,72.5,60.0,,55.0,,,1,8,399,18.4,100.0,5.0,19,24,2,7,22,12,3.0,2618,7.8,79.7,148,153,10.0,2.8,0,9,5.7,73.9,113,41,4.2,169,30.7,5,70,,,,,51.3,86.5,80.9,,87.8,57.3,,51.9,,,0,1,176,14.6,125.2,3.6,6,9,0,5,11,2,1.1,1480,9.7,0,93.3,75,77,-3.4,1.62,1,0,0.0,90.9,70,9,0.0,80,14.5,0,27,,,,,71.2,70.5,77.4,,69.2,,,61.7,,,0,0,80,11.1,109.4,1.3,1,1,0,1,3,0,0.0,550,7.1,1.9
Taulia Tagovailoa,97271,QB,MARYLAND,13,-2.36,0,519,215,75.0,336,357,11.2,3.08,3,27,7.1,61.6,220,108,12.7,395,76.1,32,143,,,,,42.8,91.2,71.4,,90.0,,,77.5,,,1,11,419,21.3,97.7,5.8,23,15,0,17,22,16,3.8,3129,8.8,79.8,297,312,7.3,2.75,3,19,5.8,69.2,216,81,8.9,339,65.3,21,101,,,,,52.7,90.0,78.9,,87.1,,,71.6,,,1,6,356,22.2,94.2,5.3,18,6,0,11,11,10,2.8,2298,7.4,80.9,157,166,8.0,2.79,1,8,4.6,66.9,111,35,12.6,180,34.7,16,70,,,,,48.7,85.8,54.9,,81.3,,,82.2,,,0,5,188,14.3,114.1,2.8,5,9,0,8,15,6,3.2,1544,9.3,0,94.9,118,121,-2.7,1.75,1,0,0.0,88.4,107,8,4.5,124,23.9,5,28,,,,,72.7,70.9,79.3,,70.1,,,,,,0,0,125,0.0,102.2,0.0,0,0,0,2,4,0,0.0,713,5.9,1.93
Clayton Tune,77652,QB,HOUSTON,14,-3.49,0,503,182,74.1,352,369,11.5,3.2,4,25,6.5,63.7,235,155,10.0,443,88.1,26,164,,,,,75.6,90.9,73.6,,91.6,60.0,,57.4,,,2,10,461,22.6,105.8,7.9,35,38,2,9,29,14,3.0,3167,8.6,79.0,295,310,7.9,2.99,3,10,3.1,68.7,213,116,8.6,372,74.0,20,126,,,,,74.3,81.6,63.3,,82.9,60.0,,61.4,,,1,9,389,24.1,96.8,7.5,28,32,2,9,17,12,3.1,2328,7.5,74.1,112,115,13.6,3.2,1,15,12.6,65.2,75,46,9.6,131,26.0,8,56,,,,,73.0,93.8,79.6,,94.1,,,48.8,,,1,1,135,17.4,134.5,6.1,8,8,0,1,13,2,1.5,1214,10.6,0,100.0,55,56,-3.1,1.92,0,0,0.0,94.6,53,7,3.6,60,11.9,2,18,,,,,70.4,70.8,21.0,,69.3,,,69.3,,,0,0,63,14.3,100.5,1.7,1,2,0,1,1,0,0.0,375,6.7,3.05
