player,player_id,position,team_name,player_game_count,allowed_pressure_dropbacks,ce_percent,declined_penalties,franchise_id,hits_allowed,hurries_allowed,lg_percent,lt_percent,ol_te_percent,other_percent,penalties,pressures_allowed,pressures_ce,pressures_lg,pressures_lt,pressures_off,pressures_ol_te,pressures_other,pressures_rg,pressures_rt,pressures_self,pressures_te,rg_percent,rt_percent,sacks_allowed,self_percent,te_percent
Kyron Drones,144506,QB,VA TECH,3,45,6.7,0,337,1,4,11.1,22.2,84.4,2.2,0,6,3,5,10,45,38,1,12,11,6,1,26.7,24.4,1,13.3,2.2
Nico Iamaleava,174728,QB,UCLA,3,44,20.5,0,324,0,2,9.1,34.1,90.9,4.5,0,2,9,4,15,44,40,2,2,14,2,1,4.5,31.8,0,4.5,2.3
Jacob Clark,101628,QB,MO STATE,3,36,13.9,0,230,0,0,27.8,25.0,86.1,8.3,0,5,5,10,9,36,31,3,1,8,5,3,2.8,22.2,5,13.9,8.3
Conner Weigman,158683,QB,HOUSTON,3,36,11.1,0,182,0,2,19.4,30.6,75.0,16.7,0,3,4,7,11,36,27,6,3,8,3,1,8.3,22.2,1,8.3,2.8
Ryan Browne,174949,QB,PURDUE,3,35,11.4,0,273,0,3,14.3,14.3,77.1,8.6,0,4,4,5,5,35,27,3,5,8,4,3,14.3,22.9,1,11.4,8.6
Steve Angeli,156966,QB,SYRACUSE,3,35,14.3,0,304,0,1,2.9,20.0,68.6,22.9,0,3,5,1,7,35,24,8,6,5,3,1,17.1,14.3,2,8.6,2.9
Caden Veltkamp,156642,QB,FAU,3,35,0.0,0,165,1,8,11.4,20.0,71.4,2.9,0,11,0,4,7,35,25,1,9,9,11,1,25.7,25.7,2,31.4,2.9
Nicholas Vattiato,145302,QB,MIDDLE TN,3,35,25.7,0,224,1,0,14.3,37.1,97.1,2.9,0,3,9,5,13,35,34,1,3,16,3,0,8.6,45.7,2,8.6,0.0
Byrum Brown,156206,QB,USF,3,34,14.7,0,327,0,0,29.4,17.6,82.4,14.7,0,1,5,10,6,34,28,5,5,8,1,0,14.7,23.5,1,2.9,0.0
Darian Mensah,169984,QB,DUKE,3,33,9.1,0,154,0,6,21.2,18.2,66.7,3.0,0,12,3,7,6,33,22,1,4,4,12,0,12.1,12.1,6,36.4,0.0
Ben Finley,122864,QB,AKRON,3,31,9.7,0,102,1,1,16.1,19.4,67.7,12.9,0,6,3,5,6,31,21,4,2,7,6,1,6.5,22.6,4,19.4,3.2
Noah Kim,129623,QB,E MICHIGAN,3,30,20.0,0,160,0,1,23.3,23.3,93.3,3.3,0,2,6,7,7,30,28,1,6,9,2,0,20.0,30.0,1,6.7,0.0
CJ Bailey,183349,QB,NC STATE,3,30,6.7,0,248,1,3,13.3,13.3,76.7,3.3,0,5,2,4,4,30,23,1,9,5,5,1,30.0,16.7,1,16.7,3.3
Maverick McIvor,99476,QB,W KENTUCKY,3,29,24.1,0,346,0,1,3.4,10.3,86.2,6.9,0,2,7,1,3,29,25,2,4,11,2,1,13.8,37.9,1,6.9,3.4
Jaylen Raynor,172203,QB,ARK STATE,3,29,13.8,0,113,0,1,3.4,34.5,79.3,6.9,0,3,4,1,10,29,23,2,6,6,3,2,20.7,20.7,2,10.3,6.9
Ben Gulbranson,131734,QB,STANFORD,3,29,13.8,0,300,1,3,13.8,17.2,65.5,20.7,0,4,4,4,5,29,19,6,3,5,4,0,10.3,17.2,0,13.8,0.0
Sam Leavitt,175465,QB,ARIZONA ST,3,29,10.3,0,110,2,3,10.3,20.7,72.4,6.9,0,6,3,3,6,29,21,2,6,4,6,0,20.7,13.8,1,20.7,0.0
Aidan Chiles,173727,QB,MICH STATE,3,28,0.0,0,223,0,2,17.9,39.3,75.0,14.3,0,3,0,5,11,28,21,4,1,2,3,2,3.6,7.1,1,10.7,7.1
Arch Manning,173162,QB,TEXAS,3,28,14.3,0,311,0,4,10.7,10.7,75.0,10.7,0,4,4,3,3,28,21,3,3,6,4,3,10.7,21.4,0,14.3,10.7
Keyone Jenkins,170403,QB,FIU,3,28,10.7,0,166,1,2,14.3,25.0,89.3,0.0,0,5,3,4,7,28,25,0,4,8,5,3,14.3,28.6,2,17.9,10.7
Conner Harrell,156352,QB,CHARLOTTE,3,28,14.3,0,136,1,2,21.4,21.4,85.7,0.0,0,3,4,6,6,28,24,0,4,11,3,1,14.3,39.3,0,10.7,3.6
Bryson Barnes,131845,QB,UTAH ST,3,27,11.1,0,329,0,1,11.1,25.9,77.8,18.5,0,1,3,3,7,27,21,5,5,4,1,2,18.5,14.8,0,3.7,7.4
Walker Eget,146170,QB,S JOSE ST,2,26,15.4,0,285,0,1,11.5,30.8,84.6,11.5,0,4,4,3,8,26,22,3,1,11,4,0,3.8,42.3,3,15.4,0.0
Parker Navarro,123758,QB,OHIO,3,26,23.1,0,259,2,3,11.5,7.7,65.4,15.4,0,5,6,3,2,26,17,4,2,5,5,1,7.7,19.2,0,19.2,3.8
Dylan Lonergan,172386,QB,BOSTON COL,3,26,15.4,0,121,1,2,11.5,23.1,69.2,15.4,0,4,4,3,6,26,18,4,3,4,4,0,11.5,15.4,1,15.4,0.0
Maalik Murphy,157302,QB,OREGON ST,3,26,11.5,0,265,3,3,3.8,23.1,65.4,0.0,0,9,3,1,6,26,17,0,2,6,9,3,7.7,23.1,3,34.6,11.5
Noah Fifita,158722,QB,ARIZONA,3,25,4.0,0,109,0,0,8.0,12.0,92.0,4.0,0,1,1,2,3,25,23,1,5,13,1,0,20.0,52.0,1,4.0,0.0
Luke Weaver,198494,QB,HAWAII,4,25,8.0,0,180,0,1,4.0,44.0,88.0,8.0,0,2,2,1,11,25,22,2,4,5,2,1,16.0,20.0,1,8.0,4.0
Preston Stone,124716,QB,NWESTERN,3,25,16.0,0,256,0,1,12.0,16.0,72.0,12.0,0,4,4,3,4,25,18,3,1,5,4,3,4.0,20.0,3,16.0,12.0
Cade Klubnik,156253,QB,CLEMSON,3,25,16.0,0,140,2,1,24.0,16.0,72.0,16.0,0,3,4,6,4,25,18,4,1,3,3,0,4.0,12.0,0,12.0,0.0
Mark Gronowski,138303,QB,IOWA,3,25,4.0,0,192,1,8,0.0,12.0,48.0,12.0,0,11,1,0,3,25,12,3,3,4,11,2,12.0,16.0,2,44.0,8.0
Ethan Vasko,163817,QB,LIBERTY,3,25,8.0,0,206,0,0,4.0,32.0,76.0,16.0,0,2,2,1,8,25,19,4,3,6,2,1,12.0,24.0,2,8.0,4.0
Jake Retzlaff,70874,QB,TULANE,3,24,12.5,0,319,0,1,16.7,16.7,95.8,-8.3,0,1,3,4,4,24,23,-2,4,9,1,3,16.7,37.5,0,4.2,12.5
Nick Minicucci,173617,QB,DELAWARE,3,24,8.3,0,151,0,1,16.7,25.0,62.5,16.7,0,5,2,4,6,24,15,4,1,3,5,0,4.2,12.5,4,20.8,0.0
Danny O'Neil,184200,QB,WISCONSIN,3,24,12.5,0,349,0,2,12.5,16.7,91.7,0.0,0,2,3,3,4,24,22,0,8,5,2,0,33.3,20.8,0,8.3,0.0
Anthony Colandrea,170131,QB,UNLV,3,24,8.3,0,325,0,2,20.8,25.0,79.2,8.3,0,4,2,5,6,24,19,2,1,8,4,0,4.2,33.3,2,16.7,0.0
Logan Fife,128176,QB,NEW MEX ST,3,24,16.7,0,242,0,1,16.7,12.5,83.3,8.3,0,2,4,4,3,24,20,2,5,6,2,1,20.8,25.0,1,8.3,4.2
Ty Simpson,157008,QB,ALABAMA,3,24,4.2,0,103,0,3,16.7,33.3,75.0,12.5,0,4,1,4,8,24,18,3,1,7,4,0,4.2,29.2,1,16.7,0.0
Jaron-Keawe Sagapolutele,198237,QB,CAL,3,24,16.7,0,130,1,1,8.3,12.5,79.2,8.3,0,4,4,2,3,24,19,2,3,8,4,0,12.5,33.3,2,16.7,0.0
Gunner Stockton,157072,QB,GEORGIA,3,24,4.2,0,173,3,2,4.2,16.7,75.0,4.2,0,5,1,1,4,24,18,1,6,8,5,0,25.0,33.3,0,20.8,0.0
Katin Houser,158386,QB,E CAROLINA,3,24,8.3,0,156,0,1,20.8,16.7,87.5,8.3,0,1,2,5,4,24,21,2,4,7,1,0,16.7,29.2,0,4.2,0.0
Nicco Marchiol,157363,QB,W VIRGINIA,3,23,8.7,0,343,0,2,21.7,17.4,87.0,0.0,0,4,2,5,4,23,20,0,5,6,4,1,21.7,26.1,2,17.4,4.3
Drew Mestemaker,190616,QB,N TEXAS,3,23,0.0,0,251,0,1,13.0,13.0,78.3,13.0,0,2,0,3,3,23,18,3,7,6,2,2,30.4,26.1,1,8.7,8.7
Hunter Watson,183993,QB,SM HOUSTON,2,23,13.0,0,281,1,2,8.7,30.4,78.3,4.3,0,4,3,2,7,23,18,1,4,2,4,0,17.4,8.7,1,17.4,0.0
Owen McCown,157688,QB,UTSA,3,23,21.7,0,331,0,3,17.4,21.7,87.0,0.0,0,3,5,4,5,23,20,0,3,9,3,0,13.0,39.1,0,13.0,0.0
Maddux Madsen,163379,QB,BOISE ST,2,23,13.0,0,120,1,2,17.4,17.4,82.6,0.0,0,4,3,4,4,23,19,0,4,8,4,1,17.4,34.8,1,17.4,4.3
Avery Johnson,173108,QB,KANSAS ST,4,23,21.7,0,199,0,1,17.4,8.7,73.9,21.7,0,1,5,4,2,23,17,5,2,4,1,1,8.7,17.4,0,4.3,4.3
Tad Hudson,170107,QB,COAST CAR,3,22,18.2,0,141,0,2,4.5,13.6,86.4,4.5,0,2,4,1,3,22,19,1,4,7,2,0,18.2,31.8,0,9.1,0.0
Jalon Daniels,122555,QB,KANSAS,3,22,18.2,0,198,1,1,9.1,40.9,77.3,9.1,0,4,4,2,9,22,17,2,1,1,4,2,4.5,4.5,2,18.2,9.1
Brad Jackson,184354,QB,TEXAS ST,3,22,0.0,0,314,1,5,9.1,31.8,50.0,9.1,0,10,0,2,7,22,11,2,0,3,10,0,0.0,13.6,4,45.5,0.0
Braylon Braxton,144442,QB,SO MISS,3,22,9.1,0,296,0,2,9.1,22.7,72.7,13.6,0,3,2,2,5,22,16,3,4,7,3,0,18.2,31.8,1,13.6,0.0
Kiael Kelly,145634,QB,BALL ST,3,22,9.1,0,117,0,0,18.2,36.4,72.7,9.1,0,3,2,4,8,22,16,2,1,4,3,1,4.5,18.2,3,13.6,4.5
Sawyer Robertson,146839,QB,BAYLOR,3,22,13.6,0,118,0,0,13.6,18.2,86.4,4.5,0,2,3,3,4,22,19,1,4,6,2,0,18.2,27.3,2,9.1,0.0
Eli Holstein,172381,QB,PITTSBURGH,3,21,0.0,0,268,3,1,19.0,14.3,76.2,4.8,0,4,0,4,3,21,16,1,3,5,4,1,14.3,23.8,0,19.0,4.8
Dequan Finn,97804,QB,MIAMI OH,2,21,9.5,0,221,1,2,19.0,28.6,81.0,4.8,0,4,2,4,6,21,17,1,5,5,4,0,23.8,23.8,1,19.0,0.0
Marcel Reed,175940,QB,TEXAS A&M,3,21,14.3,0,312,0,6,19.0,14.3,66.7,9.5,0,6,3,4,3,21,14,2,3,3,6,0,14.3,14.3,0,28.6,0.0
Josh Holst,171312,QB,N ILLINOIS,2,21,9.5,0,254,1,2,28.6,4.8,71.4,9.5,0,4,2,6,1,21,15,2,1,5,4,0,4.8,23.8,1,19.0,0.0
Malachi Nelson,174203,QB,UTEP,3,21,28.6,0,330,1,0,9.5,14.3,90.5,4.8,0,1,6,2,3,21,19,1,1,7,1,1,4.8,33.3,0,4.8,4.8
Jack Layne,158966,QB,NEW MEXICO,3,21,9.5,0,241,2,0,9.5,19.0,71.4,19.0,0,2,2,2,4,21,15,4,3,4,2,1,14.3,19.0,0,9.5,4.8
Rocco Becht,157567,QB,IOWA STATE,4,21,4.8,0,193,0,0,19.0,33.3,95.2,4.8,0,0,1,4,7,21,20,1,5,6,0,2,23.8,28.6,0,0.0,9.5
John Mateer,158516,QB,OKLAHOMA,3,20,0.0,0,261,0,0,20.0,35.0,90.0,10.0,0,0,0,4,7,20,18,2,2,6,0,1,10.0,30.0,0,0.0,5.0
Blake Shapen,122282,QB,MISS STATE,3,20,0.0,0,227,1,1,15.0,20.0,70.0,15.0,0,5,0,3,4,20,14,3,5,3,5,1,25.0,15.0,3,25.0,5.0
Brendon Lewis,131687,QB,MEMPHIS,3,20,15.0,0,218,0,0,15.0,30.0,95.0,5.0,0,1,3,3,6,20,19,1,4,3,1,2,20.0,15.0,1,5.0,10.0
Drake Lindsey,184727,QB,MINNESOTA,3,20,0.0,0,225,0,1,10.0,25.0,80.0,15.0,0,1,0,2,5,20,16,3,5,6,1,0,25.0,30.0,0,5.0,0.0
Kevin Jennings,158272,QB,SMU,3,20,10.0,0,287,1,3,15.0,15.0,55.0,10.0,0,8,2,3,3,20,11,2,1,4,8,0,5.0,20.0,4,40.0,0.0
Luke Altmyer,146802,QB,ILLINOIS,3,20,25.0,0,187,0,0,0.0,10.0,65.0,20.0,0,3,5,0,2,20,13,4,3,1,3,2,15.0,5.0,3,15.0,10.0
