player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Sawyer Robertson,146839,QB,BAYLOR,6,-0.43,0,268,118,64.6,198,205,12.1,2.82,2,15,6.6,58.0,119,64,7.0,223,83.2,9,77,1,4,246,14.1,103.8,4.0,9,8,0,4,15,8,3.3,1825,8.9,69.2,169,173,9.8,2.57,1,7,3.6,63.6,110,46,6.0,185,69.0,7,64,1,2,206,13.0,103.5,3.2,6,4,0,2,10,6,2.9,1410,8.2,69.4,72,76,8.8,2.59,1,8,10.1,63.2,48,19,4.0,83,31.0,2,26,0,2,86,15.8,118.9,3.6,3,4,0,3,9,2,2.3,650,8.6,0,90.7,43,44,-2.5,1.38,0,0,0.0,88.6,39,1,0.0,45,16.8,0,13,0,0,46,0.0,119.2,0.0,0,0,0,1,4,0,0.0,235,5.3,0.4
Jaylen Raynor,172203,QB,ARK STATE,6,-2.22,0,268,113,70.1,174,187,9.9,3.02,3,8,3.9,62.0,116,75,4.9,232,86.6,6,79,1,4,251,29.3,88.0,9.5,22,23,0,9,8,13,5.2,1297,6.9,72.9,170,177,7.4,2.81,2,7,3.7,66.7,118,63,4.8,214,79.9,6,68,1,3,230,23.8,85.4,7.0,15,21,0,4,4,11,4.8,1159,6.5,76.3,38,45,9.1,2.88,1,1,2.0,64.4,29,16,0.0,54,20.1,0,15,0,1,58,43.8,103.9,13.0,7,2,0,6,4,2,3.4,300,6.7,0,91.2,34,35,-3.4,1.53,0,0,0.0,88.6,31,4,0.0,36,13.4,0,4,0,0,37,0.0,86.0,0.0,0,0,0,1,0,0,0.0,162,4.6,0.12
Maverick McIvor,99476,QB,W KENTUCKY,6,-2.72,0,239,346,70.1,164,177,11.6,2.55,5,14,7.5,61.0,108,66,6.1,193,80.8,7,75,2,2,204,13.6,101.4,4.7,9,7,0,6,10,4,2.0,1458,8.2,74.7,162,172,7.9,2.26,6,12,6.6,68.0,117,52,3.3,186,77.8,4,63,1,2,197,11.5,99.0,3.2,6,6,0,3,8,4,2.0,1219,7.1,80.0,45,49,11.1,2.59,0,2,4.0,65.3,32,16,11.1,53,22.2,4,22,1,0,55,18.8,124.6,5.7,3,1,0,3,4,0,0.0,481,9.8,0,97.7,43,44,-2.9,1.42,1,0,0.0,93.2,41,2,2.4,46,19.2,1,10,0,0,48,0.0,104.7,0.0,0,0,0,0,2,0,0.0,242,5.5,2.73
Caden Veltkamp,156642,QB,FAU,5,-8.71,0,237,165,68.8,176,185,10.4,2.65,2,11,5.7,61.1,113,49,6.6,200,84.4,8,57,1,8,209,14.3,82.5,3.5,7,8,0,6,10,12,5.7,1312,7.1,73.2,149,154,7.0,2.52,0,9,5.6,67.5,104,44,4.6,168,70.9,5,45,1,6,175,15.9,85.9,4.2,7,7,0,4,7,7,4.0,1059,6.9,67.2,64,68,11.3,2.37,2,2,2.9,58.8,40,7,7.0,69,29.1,3,21,0,2,71,0.0,80.0,0.0,0,1,0,2,3,5,7.0,431,6.3,0,83.8,37,37,-1.8,1.54,0,0,0.0,83.8,31,2,0.0,37,15.6,0,9,0,0,37,0.0,86.7,0.0,0,0,0,0,0,0,0.0,178,4.8,-0.54
Maalik Murphy,157302,QB,OREGON ST,6,3.83,0,235,265,63.5,181,187,10.8,2.62,3,9,4.6,56.7,106,56,7.8,198,84.3,9,66,1,7,207,14.3,78.1,4.0,8,3,0,2,8,9,4.3,1350,7.2,64.8,142,147,7.3,2.4,2,4,2.6,58.5,86,41,6.5,157,66.8,6,43,1,6,163,17.1,67.4,4.5,7,3,0,2,4,8,4.9,864,5.9,71.6,74,77,11.7,2.72,1,5,6.2,62.3,48,17,9.4,78,33.2,5,31,0,1,82,5.9,106.6,1.3,1,0,0,2,5,1,1.2,671,8.7,0,85.7,35,37,-1.6,1.86,0,0,0.0,75.7,28,2,6.7,37,15.7,2,8,0,0,38,0.0,95.0,0.0,0,0,0,2,1,0,0.0,185,5.0,2.83
Kyron Drones,144506,QB,VA TECH,6,3.54,0,230,337,70.4,162,180,9.0,3.26,2,10,5.2,56.7,102,92,10.5,212,92.2,12,57,5,4,224,15.2,81.7,6.6,14,17,1,10,8,8,3.6,1159,6.4,73.0,122,134,7.5,3.36,1,7,4.9,59.0,79,78,11.2,160,69.6,10,39,3,3,169,16.7,77.3,8.1,13,13,1,7,4,7,4.1,819,6.1,72.4,58,64,8.6,2.61,1,3,4.5,62.5,40,15,4.8,70,30.4,2,21,2,1,73,6.7,99.6,1.4,1,4,0,3,5,1,1.4,398,6.2,0,94.4,18,18,-1.8,1.59,0,0,0.0,94.4,17,1,0.0,18,7.8,0,3,0,0,18,0.0,98.6,0.0,0,0,0,0,1,0,0.0,58,3.2,0.11
Jaron-Keawe Sagapolutele,198237,QB,CAL,6,23.0,0,229,130,68.7,166,177,12.3,2.85,6,11,5.7,57.6,102,70,10.5,195,85.2,12,65,1,7,210,18.6,83.4,6.7,13,5,1,3,9,10,4.8,1393,7.9,66.0,141,150,12.0,2.82,4,11,6.8,55.3,83,61,10.8,166,72.5,10,47,1,5,178,19.7,74.5,7.2,12,4,1,3,4,8,4.5,1128,7.5,86.2,58,60,4.7,2.3,2,0,0.0,78.3,47,10,6.0,63,27.5,3,26,0,2,66,10.0,105.5,1.6,1,2,0,0,5,2,3.0,359,6.0,0,87.9,33,33,-2.2,1.66,0,0,0.0,84.8,28,1,3.4,34,14.8,1,8,0,0,34,0.0,79.2,0.0,0,1,0,0,0,0,0.0,94,2.8,-1.54
Darian Mensah,169984,QB,DUKE,6,5.21,0,224,154,75.6,160,172,12.9,3.14,1,14,7.5,65.1,112,64,7.4,190,84.8,9,78,0,2,206,20.3,119.2,6.8,13,5,0,11,15,6,2.9,1595,9.3,78.6,140,150,9.6,2.88,1,13,8.0,68.0,102,53,7.3,163,72.8,8,57,0,2,177,20.8,107.2,6.7,11,2,0,9,9,6,3.4,1223,8.2,79.6,54,56,11.5,2.91,0,1,1.7,73.2,41,12,4.7,61,27.2,2,31,0,0,64,16.7,144.6,3.3,2,3,0,2,6,0,0.0,615,11.0,0,94.1,34,34,-2.6,1.5,0,0,0.0,91.2,31,1,3.1,34,15.2,1,10,0,0,35,0.0,96.4,0.0,0,0,0,0,0,0,0.0,243,7.1,2.83
Nicholas Vattiato,145302,QB,MIDDLE TN,5,12.64,0,216,224,64.9,148,159,8.4,2.65,3,3,1.7,54.1,86,53,10.4,189,87.5,10,53,0,4,204,24.5,75.0,6.9,13,17,1,7,6,2,1.0,981,6.2,65.2,138,147,6.7,2.51,2,2,1.3,55.8,82,48,8.9,177,81.9,8,43,0,4,188,25.0,69.7,6.8,12,18,1,6,5,2,1.1,744,5.1,83.3,36,38,6.8,2.52,1,1,2.3,68.4,26,6,13.3,39,18.1,4,15,0,0,44,16.7,109.6,2.6,1,0,0,1,1,0,0.0,381,10.0,0,92.3,26,26,-3.0,1.57,0,0,0.0,84.6,22,1,8.3,27,12.5,2,5,0,0,28,0.0,89.7,0.0,0,1,0,0,0,0,0.0,144,5.5,4.97
Noah Kim,129623,QB,E MICHIGAN,6,1.28,0,215,160,71.2,163,176,9.2,2.92,2,5,2.7,60.8,107,63,7.8,195,90.7,9,58,1,3,206,11.1,87.6,3.6,7,12,0,10,7,5,2.4,1214,6.9,74.1,143,156,8.8,2.92,3,4,2.4,62.8,98,56,7.5,172,80.0,8,51,0,3,182,10.7,86.6,3.5,6,10,0,10,5,4,2.2,1104,7.1,72.2,36,39,5.8,2.58,1,1,2.4,64.1,25,10,3.8,43,20.0,1,12,1,0,46,10.0,97.4,2.3,1,3,0,1,2,1,2.2,232,5.9,0,100.0,16,19,-1.9,2.18,2,0,0.0,84.2,16,3,0.0,20,9.3,0,5,0,0,22,0.0,93.4,0.0,0,1,0,1,0,0,0.0,122,6.4,-1.13
