player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Caden Veltkamp,156642,QB,FAU,10,75.3,405,427,7.9,2.44,4,16,3.5,66.5,284,0,106,6.9,462,21,136,165,52.8,71.5,73.8,48.8,3,14,490,0,16.0,89.0,3.7,17,18,0,15,21,19,3.9,2952,6.9
Sawyer Robertson,146839,QB,BAYLOR,10,67.7,409,426,10.1,2.57,6,24,5.2,60.8,259,0,117,6.5,461,18,149,118,74.1,76.3,75.0,59.5,3,9,501,1,14.5,98.1,3.7,17,16,0,8,29,18,3.6,3212,7.5
Nick Minicucci,173617,QB,DELAWARE,10,71.0,390,416,9.9,2.75,3,17,3.8,62.3,259,1,125,6.5,460,18,140,151,67.0,73.0,70.4,67.5,9,7,498,3,17.6,92.2,4.8,22,21,1,13,18,15,3.0,3076,7.4
Walker Eget,146170,QB,S JOSE ST,10,69.7,357,389,12.5,2.78,10,28,6.8,58.4,227,0,116,8.8,413,22,132,285,56.3,73.1,71.8,60.8,1,8,433,1,5.2,89.0,1.5,6,18,4,17,17,20,4.6,3014,7.7
Jaylen Raynor,172203,QB,ARK STATE,10,74.1,363,382,8.2,2.72,4,11,2.7,67.3,257,0,119,4.5,443,12,138,113,58.6,73.2,65.6,77.8,2,10,476,1,21.8,85.3,5.9,26,33,2,11,13,18,3.8,2449,6.4
Malik Washington,198729,QB,MARYLAND,10,71.4,346,374,7.3,2.71,15,12,3.1,57.8,216,0,90,12.6,395,31,112,215,65.2,73.8,71.2,68.1,2,7,405,2,4.4,79.6,1.0,4,17,0,11,13,10,2.5,2294,6.1
Joe Fagnano,104768,QB,UCONN,11,78.2,348,367,7.7,2.52,10,18,4.6,68.7,252,0,104,7.4,401,20,131,146,72.9,90.9,88.3,81.2,3,1,424,0,12.5,115.0,3.2,13,21,1,5,25,6,1.4,3010,8.2
Jaron-Keawe Sagapolutele,198237,QB,CAL,10,72.5,342,367,9.3,2.67,11,21,5.4,60.8,223,0,138,10.1,406,25,124,130,58.7,75.2,76.2,48.7,1,9,427,1,17.4,82.9,5.9,24,11,3,10,13,15,3.5,2519,6.9
Logan Fife,128176,QB,NEW MEX ST,10,67.0,336,364,9.2,2.52,13,20,5.2,56.3,205,0,115,8.9,419,20,113,242,29.5,60.7,61.8,52.9,2,12,447,1,25.2,71.0,6.9,29,25,0,13,11,19,4.3,2240,6.2
Noah Kim,129623,QB,E MICHIGAN,11,73.0,326,362,9.1,2.85,7,16,4.1,61.6,223,0,126,6.3,393,15,115,160,50.3,67.8,70.1,52.9,2,8,419,1,7.9,87.7,2.5,10,21,1,26,16,15,3.6,2495,6.9
Nicholas Vattiato,145302,QB,MIDDLE TN,9,71.4,332,360,7.4,2.53,8,9,2.4,60.6,218,0,96,8.0,410,19,112,224,54.6,63.2,65.6,48.3,0,7,433,0,20.8,84.2,4.9,20,30,4,16,16,6,1.4,2155,6.0
Josh Hoover,127148,QB,TCU,10,71.9,345,358,8.7,2.56,3,18,4.7,64.0,229,0,91,7.7,394,19,142,305,58.9,73.7,75.0,52.8,2,10,417,2,17.6,98.5,4.1,16,17,0,8,23,19,4.6,2864,8.0
Darian Mensah,169984,QB,DUKE,10,77.7,332,358,10.1,2.91,3,21,5.5,67.6,242,0,118,6.2,394,16,142,154,48.6,90.0,90.3,49.7,0,4,419,3,18.6,111.8,5.6,22,14,0,23,25,14,3.3,2987,8.3
Kevin Jennings,158272,QB,SMU,10,76.4,326,351,8.2,2.7,6,19,5.1,65.0,228,0,99,8.4,392,21,119,287,59.2,78.7,79.5,56.4,4,9,413,1,17.2,98.9,4.3,17,22,0,15,21,12,2.9,2817,8.0
Katin Houser,158386,QB,E CAROLINA,10,76.1,327,345,9.3,2.22,4,23,6.3,66.4,229,0,86,8.0,374,20,132,156,42.4,85.4,86.0,59.8,5,5,396,1,14.0,99.7,3.2,12,15,0,9,15,11,2.8,2804,8.1
Miller Moss,70727,QB,LOUISVILLE,10,72.4,315,338,7.8,2.62,9,10,2.8,63.9,216,0,112,5.3,366,12,106,210,65.1,67.4,62.5,80.6,3,7,384,3,17.0,86.5,5.2,19,8,3,8,11,16,4.2,2344,6.9
Ben Finley,122864,QB,AKRON,10,64.6,322,338,11.4,2.82,1,11,3.1,52.7,178,0,120,14.4,379,30,119,102,64.0,74.2,71.8,64.1,3,8,400,2,21.7,82.2,6.9,26,15,0,12,18,16,4.0,2298,6.8
Ty Simpson,157008,QB,ALABAMA,10,75.7,321,338,8.9,2.95,7,19,5.3,66.9,226,0,108,7.0,386,17,150,103,51.0,84.8,82.9,70.8,5,2,407,4,18.5,111.3,5.2,20,25,0,5,22,10,2.5,2780,8.2
Drew Mestemaker,190616,QB,N TEXAS,10,78.1,319,337,8.0,2.61,6,20,5.6,69.4,234,0,91,6.0,365,15,150,251,65.1,89.4,88.4,61.9,2,4,386,0,15.4,114.9,3.8,14,14,1,9,23,8,2.1,3002,8.9
Micah Alejado,184162,QB,HAWAII,8,76.3,317,336,9.4,2.64,5,20,5.8,65.5,220,0,96,9.1,384,22,123,180,71.1,74.7,76.9,53.1,0,7,396,2,20.8,95.2,5.2,20,27,0,14,18,11,2.8,2369,7.1
Athan Kaliakmanis,144971,QB,RUTGERS,10,70.6,309,327,11.1,2.74,6,21,6.1,62.1,203,0,112,6.9,384,15,136,278,80.3,84.4,83.8,62.1,3,7,400,0,26.8,96.7,7.8,30,27,1,8,17,9,2.3,2705,8.3
Chandler Morris,122938,QB,VIRGINIA,11,74.2,314,323,7.8,2.83,4,11,3.3,66.6,215,0,108,7.7,357,18,115,335,57.1,81.3,77.2,74.4,1,7,368,1,11.1,94.0,3.4,12,21,0,4,14,10,2.7,2404,7.4
Joey Aguilar,174978,QB,TENNESSEE,10,77.0,309,322,10.1,2.75,2,19,5.5,65.8,212,0,95,10.9,353,26,136,307,51.3,89.1,90.3,52.4,3,10,380,3,11.6,104.9,3.1,11,20,0,8,22,10,2.6,2947,9.2
CJ Bailey,183349,QB,NC STATE,10,76.7,301,319,8.8,2.85,2,12,3.6,69.0,220,1,111,4.8,359,11,126,248,60.0,71.8,72.4,57.9,2,9,378,2,12.6,100.7,3.9,14,24,1,13,19,11,2.9,2531,7.9
Noah Fifita,158722,QB,ARIZONA,10,76.8,293,317,10.0,3.08,7,22,6.5,64.7,205,0,112,8.9,367,20,115,109,74.3,86.7,86.5,63.9,2,4,392,1,20.5,108.7,6.3,23,26,0,15,24,8,2.0,2494,7.9
Arch Manning,173162,QB,TEXAS,10,74.8,286,312,9.2,2.9,7,14,4.3,62.5,195,0,141,8.9,354,19,112,311,73.7,83.9,80.9,72.2,8,7,371,2,14.9,96.8,5.9,21,20,1,10,19,14,3.8,2374,7.6
Owen McCown,157688,QB,UTSA,10,76.0,296,310,7.0,2.41,2,11,3.3,67.1,208,0,97,7.6,340,17,109,331,40.0,76.8,74.8,63.8,3,6,365,0,15.5,100.9,4.4,15,13,0,9,20,12,3.3,2192,7.1
Drake Lindsey,184727,QB,MINNESOTA,10,69.5,285,309,7.9,2.6,6,9,2.8,61.5,190,0,83,4.0,329,8,92,225,69.7,73.4,71.7,67.0,4,6,347,3,19.3,82.5,4.9,16,4,1,13,11,8,2.3,1881,6.1
Brendon Lewis,131687,QB,MEMPHIS,11,82.9,280,307,8.6,3.1,5,14,4.3,71.3,219,0,121,5.6,375,13,126,218,51.7,85.4,75.1,82.2,4,6,398,1,20.7,99.9,6.7,25,43,0,18,13,12,3.0,2390,7.8
