player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_coverage_defense,blitz_grades_defense,blitz_grades_defense_penalty,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_run,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_coverage_defense,no_blitz_grades_defense,no_blitz_grades_defense_penalty,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_run,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_coverage_defense,no_pressure_grades_defense,no_pressure_grades_defense_penalty,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_run,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_coverage_defense,pressure_grades_defense,pressure_grades_defense_penalty,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_run,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Maverick McIvor,99476,QB,W KENTUCKY,3,129,82.9,35,38,7.6,1.99,0,1,2.6,71.1,27,16,6.9,41,31.8,2,18,,,,,69.1,79.5,74.9,80.2,,57.3,2,0,41,0.0,111.8,0.0,0,1,0,1,2,0,0.0,301,7.9,0,346,74.1,74.6,75.4,57.5,72.0,75,80,10.8,2.56,1,8,9.6,63.8,51,23,5.6,88,68.2,3,29,,,,,71.6,69.2,78.0,69.5,54.3,59.2,1,1,92,17.4,116.4,4.5,4,4,0,3,8,3,3.3,635,7.9,80.7,83,86,9.4,2.17,1,9,10.1,73.3,63,0,6.0,90,69.8,4,35,,,,,71.7,82.9,78.1,83.3,54.3,57.0,0,1,94,,132.6,0.0,0,2,0,2,10,2,2.1,734,8.5,0,59.3,27,32,11.1,2.86,0,0,0.0,46.9,15,39,6.3,39,30.2,1,12,,,,,68.9,53.3,74.7,53.3,,58.6,3,0,39,10.3,67.4,10.3,4,3,0,2,0,1,2.6,202,6.3
Steve Angeli,156966,QB,SYRACUSE,2,107,59.5,42,50,10.0,2.35,4,4,7.5,48.0,24,22,4.0,57,53.3,1,16,,,,,42.2,74.9,76.3,72.1,,69.6,2,1,60,22.7,75.4,8.8,5,2,0,2,2,3,5.0,340,6.8,1,304,37.6,72.3,70.9,67.4,79.1,43,44,8.2,2.62,0,3,6.3,75.0,33,16,2.9,50,46.7,1,18,,,,,39.4,65.4,13.8,66.1,,62.1,0,1,54,25.0,95.8,8.0,4,2,0,1,1,2,3.7,350,8.0,68.3,60,65,9.9,2.37,4,6,8.5,60.0,39,0,4.9,69,64.5,2,23,,,,,70.9,82.9,24.1,81.5,,69.7,0,2,75,,82.1,0.0,0,4,0,1,2,2,2.7,508,7.8,1,72.0,25,29,7.2,2.67,0,1,3.3,62.1,18,38,0.0,38,35.5,0,11,,,,,20.8,48.0,74.7,47.9,,,2,0,39,23.7,91.5,23.7,9,0,0,2,1,3,7.7,182,6.3
Sawyer Robertson,146839,QB,BAYLOR,2,107,68.2,22,23,10.0,2.05,1,1,3.7,65.2,15,7,0.0,25,23.4,0,11,,,,,68.1,71.2,73.6,70.6,,,0,0,29,28.6,134.7,8.0,2,0,0,0,2,1,3.4,272,11.8,0,118,73.0,69.2,69.6,54.4,68.5,73,75,9.5,2.49,1,6,7.2,61.3,46,14,8.0,82,76.6,4,24,,,,,71.5,67.2,77.9,67.2,,57.4,0,0,90,21.4,108.0,3.7,3,3,0,1,5,2,2.2,587,7.8,67.9,81,83,9.2,2.26,2,5,5.6,65.1,54,0,1.8,86,80.4,1,31,,,,,71.6,73.4,78.0,72.6,,60.6,0,0,92,,118.4,1.2,1,2,0,0,6,2,2.2,758,9.1,0,71.4,14,15,12.2,2.9,0,2,9.5,46.7,7,21,30.0,21,19.6,3,4,,,,,67.9,56.1,73.4,57.3,,57.3,0,0,27,19.0,91.3,19.0,4,1,0,1,1,1,3.7,101,6.7
Avery Johnson,173108,QB,KANSAS ST,3,103,69.7,33,36,7.5,2.46,1,2,5.1,58.3,21,17,8.7,38,36.9,2,13,,,,,69.1,56.6,74.9,54.9,,63.2,0,1,41,5.9,85.4,2.6,1,1,0,2,2,5,12.2,240,6.7,0,199,58.9,76.4,75.3,64.3,80.3,61,63,10.3,2.54,1,4,6.3,68.3,43,6,12.2,65,63.1,6,20,,,,,70.4,87.1,76.6,85.2,,63.2,0,0,65,0.0,114.7,0.0,0,1,0,1,4,2,3.1,523,8.3,78.7,75,77,8.9,2.37,2,5,6.4,67.5,52,0,11.9,80,77.7,7,26,,,,,71.2,86.4,77.5,83.9,,68.9,0,0,81,,106.1,0.0,0,2,0,0,4,3,3.7,563,7.3,1,68.4,19,22,10.7,3.01,0,1,4.2,54.5,12,23,7.7,23,22.3,1,7,,,,,67.6,47.3,73.1,47.3,,,0,1,25,4.3,96.8,4.3,1,0,0,3,2,4,16.0,200,9.1
Caden Veltkamp,156642,QB,FAU,2,97,78.3,23,23,5.9,2.47,0,1,4.0,65.2,15,8,16.7,26,26.8,3,7,,,,,68.0,75.3,73.5,74.6,,62.1,0,0,28,12.5,99.4,3.8,1,2,0,0,1,0,0.0,157,6.8,0,165,72.9,67.8,65.6,65.3,66.7,63,65,8.7,2.49,0,4,6.0,64.6,42,14,0.0,71,73.2,0,20,,,,,70.8,60.0,77.1,60.0,,58.5,1,4,73,21.4,74.9,4.2,3,3,0,1,4,7,9.6,376,5.8,73.6,72,72,8.0,2.21,0,4,5.4,70.8,51,0,3.8,75,77.3,2,25,,,,,71.0,69.2,77.3,69.1,,58.6,0,3,77,,90.0,0.0,0,3,0,0,4,6,7.8,480,6.7,0,50.0,14,16,7.7,3.41,0,1,5.6,37.5,6,22,14.3,22,22.7,1,2,,,,,67.6,55.4,73.1,53.7,,62.0,1,1,24,18.2,41.9,18.2,4,2,0,1,1,1,4.2,53,3.3
Walker Eget,146170,QB,S JOSE ST,2,91,64.7,17,20,11.5,2.16,2,0,0.0,50.0,10,7,9.1,20,22.0,1,6,,,,,67.4,62.6,72.7,62.2,,,0,0,22,0.0,105.2,0.0,0,0,0,1,2,1,4.5,135,6.8,0,285,72.0,61.2,59.5,63.4,67.2,58,67,12.2,2.94,2,4,5.7,50.7,34,22,12.8,71,78.0,5,19,,,,,70.8,58.6,77.2,58.5,56.7,,0,3,74,18.2,47.9,5.6,4,0,2,5,0,5,6.8,356,5.3,73.2,56,62,11.0,2.25,3,4,6.1,56.5,35,0,14.6,62,68.1,6,19,,,,,70.5,77.6,76.7,76.7,,,0,1,66,,79.6,0.0,0,0,2,1,2,3,4.5,393,6.3,1,47.4,19,25,15.2,3.87,1,0,0.0,36.0,9,29,0.0,29,31.9,0,6,,,,,68.1,29.1,73.9,29.1,56.7,,0,2,30,13.8,15.1,13.8,4,0,0,5,0,3,10.0,98,3.9
Maalik Murphy,157302,QB,OREGON ST,2,88,63.3,30,30,8.6,2.56,0,2,5.9,63.3,19,13,0.0,34,38.6,0,17,,,,,68.9,66.1,74.6,62.5,,69.8,0,1,38,15.4,108.2,5.9,2,2,0,0,4,2,5.3,199,6.6,0,265,72.4,74.9,72.1,69.4,69.2,52,53,7.9,2.26,1,5,9.3,64.2,34,6,5.6,54,61.4,2,15,,,,,70.0,76.9,75.9,76.1,,,0,2,55,16.7,73.0,1.9,1,0,0,0,0,2,3.6,422,8.0,73.1,67,67,7.7,2.27,0,6,8.3,70.1,47,0,4.1,69,78.4,2,28,,,,,70.9,78.9,77.1,76.2,,69.8,0,2,74,,97.0,0.0,0,2,0,0,3,3,4.1,547,8.2,0,40.0,15,16,10.0,2.78,1,1,6.3,37.5,6,19,0.0,19,21.6,0,4,,,,,67.0,54.2,72.2,54.1,,,0,1,19,15.8,47.4,15.8,3,0,0,0,1,1,5.3,74,4.6
AJ Swann,157186,QB,APP STATE,2,87,64.5,31,31,12.5,2.46,0,2,6.1,58.1,18,8,10.0,33,37.9,2,14,,,,,68.6,80.9,74.3,78.5,,64.3,0,0,35,12.5,115.1,3.0,1,1,0,0,2,0,0.0,321,10.4,0,108,72.3,87.7,85.2,70.4,80.9,47,49,9.1,2.67,0,1,2.0,65.3,32,7,15.8,54,62.1,6,21,,,,,70.0,85.9,75.9,83.4,,68.5,0,1,55,14.3,97.3,1.9,1,4,0,2,3,2,3.6,340,6.9,76.8,69,69,9.8,2.4,0,3,4.3,65.2,45,0,15.1,72,82.8,8,29,,,,,70.8,91.2,77.0,90.2,,73.9,0,1,73,,105.3,0.0,0,3,0,0,4,2,2.7,590,8.6,0,55.6,9,11,15.4,3.49,0,0,0.0,45.5,5,15,0.0,15,17.2,0,6,,,,,66.7,55.4,71.8,54.5,,60.6,0,0,17,13.3,97.2,13.3,2,2,0,2,1,0,0.0,71,6.5
Logan Fife,128176,QB,NEW MEX ST,2,86,52.0,25,29,10.6,2.25,2,2,6.5,44.8,13,14,0.0,31,36.0,0,11,,,,,28.9,59.1,74.2,58.8,,,0,0,34,14.3,76.7,6.5,2,0,0,2,1,1,2.9,179,6.2,0,242,26.4,58.1,61.6,48.6,68.9,45,46,7.1,2.53,0,4,7.8,60.9,28,15,9.7,55,64.0,3,12,,,,,25.6,54.9,76.4,63.2,,38.1,0,1,62,20.0,85.1,5.5,3,6,0,1,2,3,4.9,296,6.4,67.9,56,56,8.1,2.05,0,5,8.6,62.5,35,0,7.9,57,66.3,3,19,,,,,70.2,73.4,76.3,73.6,,57.3,0,1,60,,96.1,0.0,0,1,0,0,3,1,1.7,423,7.6,0,42.9,14,19,9.6,3.18,2,1,4.2,31.6,6,29,0.0,29,33.7,0,4,,,,,13.4,30.7,74.4,39.7,,38.6,0,0,36,17.2,40.9,17.2,5,5,0,3,0,3,8.3,52,2.7
Rocco Becht,157567,QB,IOWA STATE,3,85,70.4,27,27,12.6,2.46,0,4,13.8,59.3,16,8,15.8,31,36.5,3,11,,,,,28.6,83.2,74.1,84.1,,59.2,0,0,33,12.5,121.4,3.2,1,3,0,0,3,1,3.0,213,7.9,0,193,45.2,84.9,86.1,63.8,76.6,47,48,8.2,2.5,0,1,2.0,72.9,35,10,2.8,54,63.5,1,17,,,,,49.3,79.2,76.0,80.4,,57.0,0,0,56,30.0,116.8,5.6,3,3,0,1,3,0,0.0,382,8.0,79.7,64,65,9.4,2.26,0,5,7.5,72.3,47,0,7.8,67,78.8,4,25,,,,,52.8,90.9,76.8,91.0,,54.4,0,0,69,,128.6,0.0,0,2,0,1,6,0,0.0,554,8.5,0,40.0,10,10,12.1,3.33,0,0,0.0,40.0,4,18,0.0,18,21.2,0,3,,,,,23.9,51.5,72.4,48.5,,60.8,0,0,20,22.2,52.5,22.2,4,4,0,0,0,1,5.0,41,4.1
