player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_run,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_run,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_run,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_run,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Donovan Smith,73929,QB,TEXAS TECH,1,10.54,0,68,315,64.4,45,49,10.7,2.79,0,0,0.0,57.1,28,24,3.4,58,85.3,1,19,,50.1,57.3,78.3,52.9,60.0,64.7,2,3,59,20.8,65.0,8.6,5,4,0,2,2,3,5.1,320,6.5,69.0,42,46,10.2,2.75,0,0,0.0,58.7,27,22,6.9,54,79.4,2,18,,48.9,64.3,32.7,62.6,,64.7,2,2,54,18.2,75.0,7.4,4,4,0,2,2,2,3.7,305,6.6,75.0,12,13,2.7,2.29,0,0,0.0,69.2,9,4,0.0,14,20.6,0,2,,66.4,37.2,71.6,37.2,60.0,,0,1,15,25.0,42.5,7.1,1,0,0,1,0,1,6.7,46,3.5,0,100.0,9,10,-2.2,1.85,0,0,0.0,80.0,8,2,11.1,10,14.7,1,1,,65.4,59.9,0.0,65.6,,,0,0,10,0.0,79.6,0.0,0,0,0,1,0,0,0.0,31,3.1,-3.09
Ryan Hilinski,71295,QB,NWESTERN,1,-8.89,0,61,256,59.2,49,51,10.6,2.88,1,1,1.8,54.9,28,11,3.4,52,85.2,1,17,,71.1,52.6,78.2,51.5,,60.4,1,1,58,9.1,83.0,1.9,1,0,0,0,2,4,6.9,371,7.3,65.9,44,45,6.4,2.64,0,1,2.0,62.2,28,10,3.4,46,75.4,1,15,,70.8,51.0,77.9,49.6,,60.4,1,1,52,10.0,90.3,2.2,1,0,0,0,2,4,7.7,333,7.4,57.1,14,15,15.5,3.15,1,0,0.0,53.3,8,2,0.0,15,24.6,0,5,,66.4,65.6,71.4,65.2,,,0,0,15,0.0,74.9,0.0,0,0,0,0,0,0,0.0,102,6.8,0,88.9,9,9,-2.7,2.06,0,0,0.0,88.9,8,1,0.0,9,14.8,0,3,,65.1,67.5,69.8,67.2,,,0,0,9,0.0,96.3,0.0,0,0,0,0,0,0,0.0,64,7.1,-0.6
Taylor Powell,60459,QB,E MICHIGAN,1,-14.44,0,56,160,69.0,42,45,8.4,2.96,0,3,6.0,62.2,28,17,3.4,50,89.3,1,11,,70.3,56.4,77.1,56.6,,56.9,0,3,55,23.5,59.8,8.0,4,1,0,3,1,2,3.6,283,6.3,76.2,42,45,7.5,2.87,0,3,6.0,64.4,29,15,9.4,50,89.3,3,11,,70.3,64.2,77.1,64.5,,56.9,0,2,55,26.7,71.6,8.0,4,1,0,3,1,1,1.8,291,6.5,50.0,6,6,3.8,2.33,0,0,0.0,50.0,3,2,0.0,6,10.7,0,1,,64.6,31.9,69.1,32.2,,,0,1,7,0.0,16.7,0.0,0,0,0,0,0,1,14.3,18,3.0,0,100.0,6,6,-1.8,1.58,0,0,0.0,66.7,4,0,33.3,6,10.7,2,1,,64.6,66.7,69.1,66.5,,,0,0,7,,75.7,0.0,0,0,0,0,0,0,0.0,26,4.3,-3.47
Grayson James,145214,QB,FIU,1,6.84,0,56,166,64.7,34,37,7.2,2.44,1,0,0.0,56.8,21,20,4.5,45,80.4,1,10,,69.9,30.7,21.0,28.8,,69.8,0,2,48,15.0,43.5,6.7,3,4,0,2,0,3,6.3,148,4.0,67.6,37,38,5.5,2.47,0,0,0.0,63.2,24,19,4.0,45,80.4,1,11,,69.9,31.9,20.5,29.1,,69.8,0,2,47,15.8,50.8,6.7,3,4,0,1,0,3,6.4,164,4.3,87.5,8,10,0.9,1.55,1,0,0.0,70.0,7,3,0.0,11,19.6,0,2,,65.8,59.4,70.7,59.1,,,0,0,12,0.0,72.9,0.0,0,0,0,1,0,0,0.0,27,2.7,0,90.9,11,11,-3.3,1.68,0,0,0.0,90.9,10,2,0.0,11,19.6,0,3,,65.6,63.8,70.4,63.5,,,0,0,11,0.0,83.0,0.0,0,0,0,0,0,0,0.0,43,3.9,-1.62
Kyle Vantrease,55029,QB,GA SOUTHRN,1,-2.38,0,56,174,72.1,43,48,10.5,2.25,2,4,7.8,60.4,29,10,6.5,48,85.7,2,17,,70.5,78.9,77.8,78.1,,61.6,0,2,52,0.0,72.0,0.0,0,0,0,3,1,1,1.9,346,7.2,78.9,38,42,9.0,2.1,2,4,9.3,66.7,28,7,6.7,42,75.0,2,18,,70.1,86.5,77.4,86.1,,61.6,0,1,44,0.0,87.7,0.0,0,0,0,2,1,1,2.3,323,7.7,69.2,13,14,7.9,2.31,0,0,0.0,64.3,9,3,0.0,14,25.0,0,3,,66.5,54.2,71.6,54.1,,,0,1,16,0.0,51.5,0.0,0,0,0,1,0,0,0.0,86,6.1,0,100.0,8,8,-0.5,1.55,0,0,0.0,100.0,8,0,0.0,8,14.3,0,4,,64.9,67.3,69.5,67.0,,,0,0,8,,99.5,0.0,0,0,0,0,0,0,0.0,63,7.9,-1.55
Jake Haener,60596,QB,FRESNO ST,1,-7.6,0,52,169,66.7,36,41,9.9,2.9,0,1,2.2,56.1,23,21,4.2,45,86.5,1,12,,69.7,74.7,28.0,71.7,,73.9,1,0,50,4.8,89.2,2.2,1,3,1,3,1,1,2.0,317,7.7,71.4,35,38,8.5,2.65,0,1,2.3,63.2,24,15,4.0,42,80.8,1,11,,69.5,74.1,26.9,72.4,,69.6,0,0,47,6.7,98.4,2.4,1,2,1,2,1,1,2.1,318,8.4,71.4,7,9,5.7,2.86,0,0,0.0,55.6,5,6,0.0,10,19.2,0,2,,65.4,67.7,70.1,62.6,,64.3,1,0,10,0.0,67.8,0.0,0,1,0,1,0,0,0.0,42,4.7,0,100.0,6,6,-3.2,1.33,0,0,0.0,100.0,6,0,0.0,7,13.5,0,1,,64.6,64.1,69.1,63.9,,,0,0,7,,96.5,0.0,0,0,0,0,0,0,0.0,43,7.2,-3.7
Nate Cox,60432,QB,NEVADA,1,5.79,0,51,239,57.1,35,38,11.1,2.61,1,4,9.5,47.4,18,22,10.0,45,88.2,2,14,,41.6,69.2,30.6,66.1,,70.4,1,0,49,27.3,90.2,13.3,6,1,0,1,2,2,4.1,284,7.5,60.0,35,37,9.3,2.32,0,4,10.3,51.4,19,16,9.5,43,84.3,2,15,,39.9,69.2,29.3,65.9,,70.4,1,0,45,31.3,94.7,11.6,5,1,0,1,2,3,6.7,282,7.6,66.7,6,7,7.3,3.11,1,0,0.0,57.1,4,6,0.0,8,15.7,0,2,,65.6,57.0,70.4,56.9,,,0,0,11,16.7,70.5,12.5,1,0,0,0,0,0,0.0,35,5.0,0,83.3,6,6,-3.2,1.2,0,0,0.0,83.3,5,0,0.0,6,11.8,0,3,,64.6,52.1,69.1,52.0,,,0,0,7,,89.6,0.0,0,0,0,0,0,1,14.3,33,5.5,-2.62
Spencer Rattler,97408,QB,S CAROLINA,1,-60.0,0,51,289,72.4,29,33,12.8,3.35,0,2,5.1,54.5,18,16,14.3,44,86.3,3,12,,23.3,39.7,76.8,38.5,,56.9,1,1,50,31.3,84.0,11.4,5,6,0,3,1,5,10.0,309,9.4,75.0,36,40,9.7,3.14,0,2,4.4,60.0,24,17,11.1,49,96.1,3,13,,24.1,42.0,77.0,43.0,,52.4,1,1,54,23.5,89.0,8.2,4,5,0,3,1,5,9.3,374,9.4,,0,0,,3.55,0,0,0.0,,0,1,,2,3.9,0,0,,62.7,58.0,66.6,47.6,,64.3,0,0,3,100.0,0.0,50.0,1,1,0,0,0,0,0.0,0,,0,85.7,7,7,-3.1,1.91,0,0,0.0,85.7,6,2,0.0,7,13.7,0,1,,64.6,66.9,69.1,66.6,,,0,0,7,0.0,105.4,0.0,0,0,0,0,0,0,0.0,65,9.3,-9.35
Frank Harris,60586,QB,UTSA,1,18.99,0,51,331,73.0,37,39,11.3,2.38,1,3,7.1,69.2,27,13,0.0,45,88.2,0,20,,71.1,81.3,77.5,75.9,,75.9,0,0,49,30.8,121.2,8.9,4,2,0,1,3,1,2.0,335,8.6,67.7,31,32,10.0,2.37,0,2,5.7,65.6,21,8,0.0,36,70.6,0,14,,70.7,79.5,77.0,71.9,,80.2,0,0,40,37.5,99.5,8.3,3,1,0,1,1,1,2.5,248,7.8,91.7,12,13,7.8,2.01,1,1,7.7,84.6,11,5,0.0,15,29.4,0,7,,66.4,74.6,71.4,77.1,,57.3,0,0,15,20.0,141.8,6.7,1,1,0,0,2,0,0.0,111,8.5,0,83.3,6,6,-2.2,1.42,0,0,0.0,83.3,5,0,0.0,6,11.8,0,1,,64.2,66.2,68.6,66.0,,,0,0,6,,83.3,0.0,0,0,0,0,0,0,0.0,24,4.0,0.79
Chevan Cordeiro,75886,QB,S JOSE ST,1,-28.83,0,50,285,68.8,32,35,9.8,2.75,1,2,5.4,60.0,21,13,4.5,44,88.0,1,14,,70.6,56.8,76.8,57.5,,56.5,0,0,46,30.8,82.0,9.1,4,5,0,2,0,1,2.2,251,7.2,73.5,34,37,7.3,2.4,1,2,5.1,62.2,23,10,8.0,42,84.0,2,14,,70.5,63.1,76.7,62.0,,61.5,0,0,44,20.0,80.3,4.8,2,3,0,2,0,1,2.3,235,6.4,50.0,2,3,25.5,4.49,0,0,0.0,33.3,1,4,0.0,8,16.0,0,1,,64.9,45.7,69.5,43.1,,58.5,0,0,8,50.0,81.9,25.0,2,3,0,1,0,0,0.0,40,13.3,0,100.0,4,5,-3.5,2.57,0,0,0.0,60.0,3,1,25.0,6,12.0,1,1,,64.2,70.6,68.6,62.3,,64.9,0,0,6,0.0,72.1,0.0,0,1,0,1,0,0,0.0,24,4.8,6.98
