player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_run,no_screen_grades_run_defense,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_run,npa_grades_run_defense,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_run,pa_grades_run_defense,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_run,screen_grades_run_defense,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Behren Morton,144747,QB,TEXAS TECH,1,-14.29,0,74,315,63.4,41,46,11.2,3.07,1,2,4.3,56.5,26,23,0.0,58,78.4,0,16,,,,45.8,55.9,78.0,60.7,,49.8,,2,1,61,17.4,76.2,6.9,4,8,0,2,1,1,1.6,318,6.9,70.6,51,56,8.4,2.7,1,2,3.5,64.3,36,22,0.0,67,90.5,0,19,,,,48.2,59.2,78.4,63.2,,50.9,,2,1,70,18.2,86.5,6.0,4,7,0,2,2,1,1.4,354,6.3,66.7,6,6,2.0,2.4,0,0,0.0,50.0,3,1,25.0,7,9.5,1,1,,,,64.9,50.4,69.5,53.8,,57.3,,0,0,8,0.0,61.1,0.0,0,1,0,0,0,0,0.0,25,4.2,0,87.5,16,16,-1.2,1.25,0,0,0.0,81.3,13,0,7.1,16,21.6,1,4,,,,66.7,64.5,71.8,64.1,,,,0,0,17,,103.4,0.0,0,0,0,0,1,0,0.0,61,3.8,-2.15
Clayton Tune,77652,QB,HOUSTON,1,5.8,0,62,182,70.2,47,53,10.8,3.23,2,4,7.1,58.5,31,13,6.1,57,91.9,2,19,,,,71.2,71.3,77.4,68.3,,68.6,,1,1,60,7.7,87.9,1.8,1,3,1,2,3,2,3.3,331,6.2,70.7,41,46,9.8,3.15,2,3,6.1,60.9,28,11,3.4,49,79.0,1,16,,,,70.9,68.3,77.0,64.9,,68.6,,1,1,52,0.0,82.0,0.0,0,3,1,1,2,2,3.8,262,5.7,81.8,11,12,8.9,2.87,0,1,8.3,66.7,8,2,11.1,13,21.0,1,5,,,,66.0,75.2,71.0,74.6,,,,0,0,13,50.0,121.5,7.7,1,0,0,1,1,0,0.0,104,8.7,0,100.0,5,5,-2.2,1.46,0,0,0.0,100.0,5,0,0.0,5,8.1,0,2,,,,63.8,65.7,68.1,65.4,,,,0,0,5,,95.8,0.0,0,0,0,0,0,0,0.0,35,7.0,2.97
Tyler Van Dyke,122225,QB,MIAMI FL,1,-27.55,0,61,220,84.6,52,54,8.9,2.68,0,3,5.3,72.2,39,17,11.4,58,95.1,5,24,,,,70.9,66.4,77.5,67.6,,54.7,,1,1,61,5.9,110.3,1.7,1,3,0,1,3,2,3.3,483,8.9,87.8,49,49,8.3,2.53,0,3,5.9,77.6,38,12,11.6,52,85.2,5,20,,,,70.6,69.0,77.2,69.5,,57.1,,0,1,54,8.3,109.3,1.9,1,2,0,0,2,2,3.7,441,9.0,66.7,6,8,7.3,3.18,0,0,0.0,50.0,4,5,0.0,9,14.8,0,4,,,,65.4,55.4,70.1,58.1,,57.3,,1,0,10,0.0,112.0,0.0,0,1,0,1,1,0,0.0,55,6.9,0,100.0,3,3,-5.3,1.47,0,0,0.0,100.0,3,0,0.0,3,4.9,0,0,,,,62.7,64.1,66.6,63.9,,,,0,0,3,,84.7,0.0,0,0,0,0,0,0,0.0,13,4.3,-2.12
Chase Brice,60363,QB,APP STATE,1,-0.61,0,59,108,72.3,47,47,10.3,2.47,0,3,6.3,72.3,34,10,0.0,53,89.8,0,19,,,,70.3,67.2,76.9,71.0,,48.5,,0,1,54,20.0,100.1,3.8,2,4,0,0,2,2,3.7,366,7.8,75.6,41,41,9.1,2.33,0,3,7.1,75.6,31,9,0.0,45,76.3,0,16,,,,69.8,66.1,76.4,69.3,,50.2,,0,1,46,11.1,96.1,2.2,1,3,0,0,1,2,4.3,325,7.9,75.0,12,12,7.8,2.59,0,0,0.0,75.0,9,1,0.0,14,23.7,0,4,,,,66.2,68.1,71.2,70.6,,57.3,,0,0,14,100.0,128.5,7.1,1,1,0,0,2,0,0.0,70,5.8,0,100.0,6,6,-2.5,1.63,0,0,0.0,100.0,6,0,0.0,6,10.2,0,1,,,,64.2,65.7,68.6,65.4,,,,0,0,6,,126.4,0.0,0,0,0,0,1,0,0.0,29,4.8,-2.1
Holton Ahlers,77651,QB,E CAROLINA,1,6.2,0,58,156,68.3,41,45,8.1,2.74,2,0,0.0,55.6,25,19,10.7,51,87.9,3,15,,,,69.8,63.0,76.9,62.9,,58.9,,1,2,53,5.3,61.3,2.0,1,5,1,0,1,2,3.8,260,5.8,72.5,40,43,6.6,2.69,1,0,0.0,60.5,26,17,10.3,49,84.5,3,13,,,,69.7,63.6,76.8,63.5,,58.9,,1,2,51,5.9,55.7,2.0,1,5,1,0,0,2,3.9,233,5.4,75.0,8,9,6.1,2.0,1,0,0.0,66.7,6,2,0.0,9,15.5,0,2,,,,65.1,63.6,69.8,63.4,,,,0,0,9,0.0,120.1,0.0,0,0,0,0,1,0,0.0,55,6.1,0,100.0,7,7,-2.7,1.43,0,0,0.0,100.0,7,0,0.0,7,12.1,0,0,,,,64.6,66.8,69.1,66.5,,,,0,0,7,,83.3,0.0,0,0,0,0,0,0,0.0,28,4.0,0.69
DJ Irons,145585,QB,AKRON,1,-9.42,0,58,102,75.6,45,45,11.2,2.91,0,0,0.0,75.6,34,10,0.0,49,84.5,0,25,,,,71.1,74.1,77.2,75.7,,56.6,,0,1,51,20.0,93.5,4.1,2,2,0,0,0,1,2.0,407,9.0,80.9,47,47,8.9,2.71,0,0,0.0,80.9,38,8,0.0,51,87.9,0,25,,,,71.2,74.7,77.3,76.5,,56.6,,0,1,53,25.0,93.1,3.9,2,2,0,0,0,1,1.9,398,8.5,71.4,7,7,8.7,2.34,0,0,0.0,71.4,5,2,0.0,7,12.1,0,1,,,,64.6,64.4,69.1,64.1,,,,0,0,7,0.0,74.1,0.0,0,0,0,0,0,0,0.0,20,2.9,0,100.0,9,9,-3.1,1.29,0,0,0.0,100.0,9,0,0.0,9,15.5,0,1,,,,65.1,67.2,69.8,66.9,,,,0,0,9,,79.2,0.0,0,0,0,0,0,0,0.0,11,1.2,-5.61
Jayden Daniels,97993,QB,LSU,1,-50.61,0,55,211,78.9,38,40,9.0,2.98,0,1,2.3,67.5,27,16,10.0,50,90.9,3,16,,,,72.0,77.5,77.3,74.4,,68.6,,0,1,55,31.3,85.4,10.0,5,5,0,2,1,0,0.0,280,7.0,85.0,40,41,6.5,2.71,0,1,2.2,75.6,31,15,8.8,51,92.7,3,17,,,,72.0,80.3,77.3,77.6,,68.6,,0,1,56,33.3,84.9,9.8,5,5,0,1,0,0,0.0,295,7.2,33.3,3,4,20.3,4.1,0,0,0.0,25.0,1,1,0.0,4,7.3,0,1,,,,63.3,50.7,67.4,50.8,,,,0,0,4,0.0,79.2,0.0,0,0,0,1,1,0,0.0,5,1.3,0,100.0,5,5,-4.2,1.16,0,0,0.0,100.0,5,0,0.0,5,9.1,0,2,,,,63.8,65.7,68.1,65.4,,,,0,0,5,,83.3,0.0,0,0,0,0,0,0,0.0,20,4.0,-5.95
Michael Penix Jr.,82134,QB,WASHINGTON,1,-6.96,0,55,340,55.3,38,39,14.4,2.73,0,1,2.3,51.3,20,10,4.8,41,74.5,1,13,,,,70.2,64.7,77.4,63.3,,62.6,,0,1,45,10.0,60.0,2.4,1,1,0,1,0,0,0.0,242,6.2,68.4,38,39,10.2,2.52,0,1,2.4,64.1,25,7,3.8,41,74.5,1,15,,,,70.1,68.7,77.4,67.3,,62.6,,0,1,44,14.3,70.5,2.4,1,1,0,1,0,0,0.0,240,6.2,64.3,14,14,9.0,2.16,0,0,0.0,57.1,8,3,11.1,14,25.5,1,3,,,,66.4,58.4,71.4,58.2,,,,0,0,15,0.0,70.8,0.0,0,0,0,0,0,0,0.0,71,5.1,0,100.0,14,14,-2.5,1.54,0,0,0.0,92.9,13,0,7.1,14,25.5,1,5,,,,66.2,69.0,71.2,68.6,,,,0,0,14,,87.2,0.0,0,0,0,0,0,0,0.0,69,4.9,-1.08
Connor Bazelak,99135,QB,INDIANA,1,-27.89,0,55,190,61.3,31,40,8.2,2.46,1,1,2.3,45.0,18,23,5.3,47,85.5,1,10,,,,69.7,50.6,77.0,49.9,,,,1,1,51,30.4,54.3,14.9,7,0,0,7,1,1,2.0,161,4.0,74.2,31,38,4.5,2.19,1,1,2.5,57.9,22,18,4.3,44,80.0,1,10,,,,69.4,53.0,76.7,52.2,,,,1,1,46,33.3,66.7,13.6,6,0,0,5,1,1,2.2,169,4.4,42.9,7,10,13.1,2.85,0,0,0.0,30.0,3,5,0.0,11,20.0,0,2,,,,66.2,55.8,71.2,55.6,,,,0,0,14,20.0,41.3,9.1,1,0,0,3,0,0,0.0,34,3.4,0,100.0,7,8,-3.4,1.51,0,0,0.0,87.5,7,0,0.0,8,14.5,0,2,,,,65.1,65.4,69.8,65.1,,,,0,0,9,,88.5,0.0,0,0,0,1,0,0,0.0,42,5.3,-1.05
Ethan Hampton,145858,QB,N ILLINOIS,1,-4.76,0,54,254,69.8,43,46,7.1,2.72,2,0,0.0,58.7,27,19,10.0,51,94.4,3,19,,,,69.8,51.1,77.9,50.4,,57.7,,0,4,52,10.5,52.5,3.9,2,3,0,1,2,4,7.7,257,5.6,67.5,40,42,6.7,2.63,1,0,0.0,61.9,26,17,3.7,46,85.2,1,18,,,,69.5,50.9,77.7,50.2,,57.7,,0,4,48,5.9,53.5,2.2,1,3,0,1,2,4,8.3,237,5.6,100.0,6,7,3.5,3.01,1,0,0.0,57.1,4,2,33.3,8,14.8,2,1,,,,64.9,70.9,69.5,70.5,,,,0,0,8,50.0,76.5,12.5,1,0,0,0,0,0,0.0,45,6.4,0,100.0,3,3,-5.3,2.07,0,0,0.0,100.0,3,0,0.0,3,5.6,0,0,,,,63.3,78.6,67.4,78.1,,,,0,0,4,,101.4,0.0,0,0,0,0,0,0,0.0,25,8.3,0.79
