player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_overall_tackle,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_pass_rush_defense,no_screen_grades_run,no_screen_grades_run_defense,no_screen_grades_tackle,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_overall_tackle,npa_grades_pass,npa_grades_pass_route,npa_grades_pass_rush_defense,npa_grades_run,npa_grades_run_defense,npa_grades_tackle,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_overall_tackle,pa_grades_pass,pa_grades_pass_route,pa_grades_pass_rush_defense,pa_grades_run,pa_grades_run_defense,pa_grades_tackle,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_overall_tackle,screen_grades_pass,screen_grades_pass_route,screen_grades_pass_rush_defense,screen_grades_run,screen_grades_run_defense,screen_grades_tackle,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Cam Ward,133244,QB,WASH STATE,1,-0.55,0,70,341,67.4,46,51,11.8,3.11,2,3,5.4,51.0,26,20,16.1,62,88.6,5,20,,,,27.1,63.3,78.2,,63.7,59.1,,58.1,,,0,1,67,35.0,81.7,11.3,7,4,0,3,3,3,4.5,315,6.2,72.3,47,52,10.4,3.01,2,3,5.5,57.7,30,17,11.8,59,84.3,4,20,,,,26.5,70.1,78.1,,72.2,57.6,,55.0,,,0,1,62,23.5,81.0,6.8,4,3,0,3,2,1,1.6,325,6.3,71.4,7,7,5.3,2.54,0,0,0.0,57.1,4,3,20.0,11,15.7,1,3,,,,65.8,40.4,71.0,,35.5,,,63.2,,,0,0,13,100.0,106.5,27.3,3,1,0,0,1,2,15.4,29,4.1,0,100.0,8,8,-1.8,1.63,0,0,0.0,100.0,8,0,0.0,8,11.4,0,3,,,,64.9,65.5,70.4,,66.4,59.6,,,,,0,0,8,,87.0,0.0,0,0,0,0,0,0,0.0,39,4.9,-2.11
Davis Brin,77642,QB,GA SOUTHRN,1,-13.24,0,60,174,61.7,47,50,9.9,2.51,1,1,2.0,50.0,25,19,13.8,55,91.7,4,14,,,,70.4,69.1,77.6,,69.9,,,55.6,,,1,0,56,10.5,88.3,3.6,2,3,1,0,3,0,0.0,295,5.9,64.1,39,41,7.3,2.49,1,1,2.4,56.1,23,15,8.0,45,75.0,2,10,,,,69.8,67.7,77.0,,67.6,,,58.4,,,0,0,46,13.3,85.2,4.4,2,2,1,0,2,0,0.0,198,4.8,66.7,12,14,13.3,2.21,1,0,0.0,42.9,6,4,25.0,15,25.0,2,5,,,,66.4,67.9,71.4,,70.1,,,57.3,,,1,0,15,0.0,94.0,0.0,0,1,0,0,1,0,0.0,109,7.8,0,100.0,4,5,-5.0,1.4,1,0,0.0,80.0,4,0,0.0,5,8.3,0,1,,,,63.8,62.6,68.1,,62.4,,,,,,0,0,5,,79.2,0.0,0,0,0,0,0,0,0.0,12,2.4,2.96
Grant Wilson,143041,QB,DOMINION,1,-4.76,0,52,263,43.3,30,31,15.2,3.16,0,0,0.0,38.7,12,12,7.7,41,78.8,1,8,,,,40.8,41.9,77.2,,34.9,,,64.7,,,0,1,43,50.0,47.4,14.6,6,4,0,1,1,3,7.0,117,3.8,61.9,21,21,10.6,2.97,0,0,0.0,57.1,12,5,7.7,26,50.0,1,8,,,,71.0,58.4,76.2,,50.8,,,66.9,,,0,1,27,40.0,61.2,7.7,2,3,0,0,1,1,3.7,78,3.7,55.0,20,21,11.5,2.67,0,0,0.0,52.4,11,7,0.0,26,50.0,0,2,,,,27.0,35.0,73.4,,36.2,,,57.3,,,0,0,27,57.1,62.2,15.4,4,1,0,1,0,2,7.4,83,4.0,0,100.0,11,11,-0.4,1.55,0,0,0.0,100.0,11,0,0.0,11,21.2,0,2,,,,65.6,68.3,70.4,,68.0,,,,,,0,0,11,,83.3,0.0,0,0,0,0,0,0,0.0,44,4.0,0.24
Blake Shapen,122282,QB,BAYLOR,1,11.11,0,51,118,61.1,36,38,9.4,3.03,0,0,0.0,44.7,17,9,22.7,44,86.3,5,13,,,,70.3,47.1,77.3,,47.1,,,55.4,,,0,1,48,33.3,79.6,6.8,3,3,0,2,3,3,6.3,227,6.0,56.0,25,27,7.5,2.86,0,0,0.0,44.4,12,7,14.3,30,58.8,2,7,,,66.7,69.7,48.3,76.5,,46.8,59.7,,58.0,,,0,0,34,14.3,87.6,3.3,1,2,0,2,2,2,5.9,154,5.7,76.5,17,18,8.1,2.81,0,0,0.0,55.6,10,2,23.1,21,41.2,3,7,,,,67.2,52.3,72.5,,54.0,,,57.3,,,0,1,21,100.0,84.7,9.5,2,1,0,1,2,1,4.8,97,5.4,0,83.3,6,7,-1.8,1.6,0,0,0.0,71.4,5,0,0.0,7,13.7,0,1,,,66.7,65.2,58.5,69.5,,58.1,59.7,,,,,0,0,7,,115.5,0.0,0,0,0,1,1,0,0.0,24,3.4,-0.31
E.J. Warner,156185,QB,TEMPLE,1,-14.05,0,50,306,50.0,40,41,12.4,2.89,0,3,6.7,46.3,19,19,5.0,44,88.0,1,12,,,,69.5,51.5,77.6,,51.6,,,56.4,,,0,3,48,0.0,56.7,0.0,0,3,0,1,3,3,6.3,217,5.3,58.3,36,37,10.9,2.83,0,3,7.5,54.1,20,17,4.8,40,80.0,1,14,,,,69.2,54.9,77.4,,55.1,,,56.4,,,0,3,43,0.0,67.7,0.0,0,3,0,1,3,3,7.0,243,6.6,50.0,10,10,8.8,2.58,0,0,0.0,40.0,4,3,20.0,10,20.0,1,0,,,,65.6,51.9,70.4,,51.9,,,,,,0,0,11,0.0,47.9,0.0,0,0,0,0,0,0,0.0,25,2.5,0,100.0,6,6,-2.3,1.98,0,0,0.0,83.3,5,1,16.7,6,12.0,1,2,,,,64.2,66.3,68.6,,66.0,,,,,,0,0,6,0.0,102.1,0.0,0,0,0,0,0,0,0.0,51,8.5,-4.07
Seth Henigan,144267,QB,MEMPHIS,1,-29.77,0,50,218,67.4,43,44,11.0,2.47,0,2,3.9,65.9,29,11,0.0,46,92.0,0,17,,,,70.3,65.3,77.5,,65.6,,,56.5,,,0,1,54,0.0,92.7,0.0,0,2,0,1,2,0,0.0,317,7.2,71.4,42,43,9.9,2.42,0,2,4.0,69.8,30,10,0.0,45,90.0,0,17,,,,70.2,66.5,77.5,,67.1,60.0,,56.5,,,0,1,52,0.0,96.3,0.0,0,2,0,1,2,0,0.0,312,7.3,40.0,5,5,9.6,2.68,0,0,0.0,40.0,2,1,0.0,5,10.0,0,1,,,,64.2,58.4,68.6,,58.2,,,,,,0,0,6,0.0,49.6,0.0,0,0,0,0,0,0,0.0,17,3.4,0,75.0,4,4,-2.3,2.1,0,0,0.0,75.0,3,0,0.0,4,8.0,0,1,,,,63.3,64.0,68.1,,64.7,60.0,,,,,0,0,4,,77.1,0.0,0,0,0,0,0,0,0.0,12,3.0,-3.86
Tanner Mordecai,77656,QB,WISCONSIN,1,11.11,0,49,349,78.0,41,43,8.8,3.16,1,1,2.2,67.4,29,6,9.4,47,95.9,3,12,,,,41.5,71.7,77.0,,76.3,,,50.0,,,0,0,51,33.3,81.6,4.3,2,2,0,1,0,1,2.0,241,5.6,79.4,34,36,7.4,3.19,1,0,0.0,66.7,24,6,11.1,40,81.6,3,9,,,,38.4,68.9,76.6,,72.4,,,52.4,,,0,0,44,33.3,75.2,5.0,2,2,0,1,0,1,2.3,152,4.2,77.8,9,9,11.1,2.76,0,1,11.1,77.8,7,0,0.0,9,18.4,0,3,,,,65.4,74.0,70.1,,78.3,,,56.7,,,0,0,10,,114.4,0.0,0,0,0,0,0,0,0.0,103,11.4,0,100.0,2,2,-4.0,2.0,0,0,0.0,100.0,2,0,0.0,2,4.1,0,0,,,,62.7,64.1,66.6,,63.9,,,,,,0,0,3,,95.8,0.0,0,0,0,0,0,0,0.0,14,7.0,7.22
Drake Maye,143969,QB,N CAROLINA,1,-1.99,0,47,245,75.0,28,33,15.4,3.2,1,5,12.5,57.6,19,14,9.5,37,78.7,2,16,,,,72.3,84.1,77.7,,85.9,,,61.5,,,1,1,44,14.3,86.2,5.4,2,2,0,3,1,1,2.3,306,9.3,77.8,27,32,13.3,2.84,1,5,13.5,65.6,21,12,0.0,35,74.5,0,16,,,,72.2,90.8,77.5,,91.8,,,61.5,,,1,0,40,8.3,106.6,2.9,1,2,0,3,1,0,0.0,303,9.5,81.8,11,11,3.2,2.63,0,0,0.0,63.6,7,2,22.2,12,25.5,2,1,,,,66.2,48.7,71.2,,48.7,,,,,,0,1,14,50.0,32.0,8.3,1,0,0,0,0,1,7.1,39,3.5,0,90.0,10,10,-3.9,1.26,0,0,0.0,90.0,9,0,0.0,10,21.3,0,1,,,,65.4,68.0,70.1,,67.7,,,,,,0,0,10,,81.7,0.0,0,0,0,0,0,0,0.0,36,3.6,-5.92
Tommy Ulatowski,163150,QB,KENT STATE,1,16.27,0,47,201,74.3,35,39,10.4,3.08,2,2,4.5,56.4,22,15,15.4,45,95.7,4,16,,,,70.4,68.5,77.3,,69.5,,,55.9,,,1,1,50,20.0,76.7,6.7,3,3,0,1,1,2,4.0,278,7.1,64.7,17,19,10.2,3.22,1,0,0.0,47.4,9,8,18.2,22,46.8,2,6,,,,69.0,42.1,75.8,,40.4,,,57.9,,,0,1,26,12.5,35.6,4.5,1,2,0,1,0,2,7.7,73,3.8,80.0,20,22,9.4,2.9,1,2,8.7,63.6,14,7,12.5,25,53.2,2,10,,,,67.8,91.1,73.3,,91.3,,,57.8,,,1,0,26,28.6,110.0,8.0,2,1,0,0,1,0,0.0,210,9.5,0,50.0,2,2,-1.5,2.4,0,0,0.0,50.0,1,0,0.0,2,4.3,0,0,,,,61.8,62.8,65.5,,62.6,,,,,,0,0,2,,56.3,0.0,0,0,0,0,0,0,0.0,5,2.5,5.71
Shedeur Sanders,131396,QB,COLORADO,1,-7.41,0,47,143,75.0,28,32,14.0,3.66,3,1,2.8,56.3,18,11,14.3,43,91.5,3,14,,,,69.9,76.3,21.5,,82.9,,,55.4,,,0,0,47,18.2,102.9,4.7,2,9,0,1,2,0,0.0,254,7.9,79.2,24,27,13.3,3.77,2,1,3.4,63.0,17,9,10.5,37,78.7,2,14,,,,69.4,74.4,17.7,,80.4,,,57.3,,,0,0,39,22.2,113.8,5.4,2,8,0,1,2,0,0.0,224,8.3,75.0,8,9,6.0,2.52,1,0,0.0,55.6,5,2,16.7,10,21.3,1,1,,,,65.8,69.7,70.7,,72.8,,,57.0,,,0,0,12,0.0,66.0,0.0,0,1,0,0,0,0,0.0,38,4.2,0,100.0,4,4,-6.8,1.78,0,0,0.0,100.0,4,0,0.0,4,8.5,0,1,,,,63.3,57.6,67.4,,57.4,,,,,,0,0,4,,79.2,0.0,0,0,0,0,0,0,0.0,8,2.0,-4.08
