player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_coverage_defense,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_overall_tackle,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_run,no_screen_grades_run_defense,no_screen_grades_tackle,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_coverage_defense,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_overall_tackle,npa_grades_pass,npa_grades_pass_route,npa_grades_run,npa_grades_run_defense,npa_grades_tackle,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_coverage_defense,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_overall_tackle,pa_grades_pass,pa_grades_pass_route,pa_grades_run,pa_grades_run_defense,pa_grades_tackle,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_coverage_defense,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_overall_tackle,screen_grades_pass,screen_grades_pass_route,screen_grades_run,screen_grades_run_defense,screen_grades_tackle,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Nate Yarnell,144037,QB,PITTSBURGH,1,17.11,0,63,268,68.3,41,47,10.3,2.88,2,2,3.9,57.4,27,25,3.6,56,88.9,1,17,,,,,70.6,77.0,31.4,,75.2,,70.5,,,2,1,61,32.0,76.8,14.3,8,1,0,2,1,2,3.3,323,6.9,71.9,32,38,8.1,2.62,2,2,4.9,57.9,22,17,4.3,43,68.3,1,12,,,,,69.9,72.9,26.6,,70.8,,70.5,,,2,1,47,23.5,68.0,9.3,4,1,0,2,0,2,4.3,261,6.9,75.0,16,16,8.6,2.87,0,0,0.0,75.0,12,8,0.0,20,31.7,0,6,,,,,67.1,75.0,72.5,,74.4,,,,,0,0,21,50.0,108.6,20.0,4,0,0,0,1,0,0.0,89,5.6,0,100.0,7,7,-3.4,1.26,0,0,0.0,100.0,7,0,0.0,7,11.1,0,1,,,,,64.6,61.0,69.1,,60.8,,,,,0,0,7,,82.7,0.0,0,0,0,0,0,0,0.0,27,3.9,-1.31
Billy Edwards Jr.,144185,QB,MARYLAND,1,-28.37,0,60,215,65.2,46,50,8.7,2.55,3,0,0.0,52.0,26,17,13.3,54,90.0,4,15,,,,,71.1,57.5,77.4,,54.5,,66.1,,,0,1,58,5.9,69.4,1.9,1,3,1,0,1,0,0.0,308,6.2,74.4,43,47,6.5,2.42,3,0,0.0,61.7,29,14,9.4,50,83.3,3,16,,,,,70.9,63.1,77.2,,60.1,,66.1,,,0,1,53,0.0,78.6,0.0,0,3,1,0,1,0,0.0,303,6.4,44.4,9,9,11.1,2.71,0,0,0.0,33.3,3,3,25.0,10,16.7,1,1,,,,,65.6,46.7,70.4,,46.8,,,,,0,0,11,33.3,44.7,10.0,1,0,0,0,0,0,0.0,32,3.6,0,100.0,6,6,-3.2,1.75,0,0,0.0,100.0,6,0,0.0,6,10.0,0,2,,,,,64.2,66.2,68.6,,66.0,,,,,0,0,6,,85.4,0.0,0,0,0,0,0,0,0.0,27,4.5,-2.89
Ben Finley,122864,QB,AKRON,1,-20.48,0,58,102,43.9,41,43,12.6,2.83,2,1,2.2,32.6,14,14,22.2,49,84.5,4,10,,,,,70.5,54.5,76.8,,51.2,,68.8,,,0,0,52,28.6,54.1,8.2,4,2,0,0,1,0,0.0,177,4.1,57.5,40,42,9.0,2.56,2,1,2.3,40.5,17,11,26.1,47,81.0,6,10,,,,,70.3,56.1,76.5,,52.5,,68.8,,,0,0,48,27.3,59.4,6.4,3,2,0,0,1,0,0.0,158,3.8,40.0,10,10,13.7,3.12,0,0,0.0,20.0,2,3,50.0,11,19.0,2,2,,,,,66.0,56.2,71.0,,56.1,,,,,0,0,13,33.3,46.7,9.1,1,0,0,0,0,0,0.0,47,4.7,0,100.0,9,9,-2.2,1.74,0,0,0.0,55.6,5,0,44.4,9,15.5,4,2,,,,,65.1,62.6,69.8,,62.3,,,,,0,0,9,,61.3,0.0,0,0,0,0,0,0,0.0,28,3.1,0.94
Ethan Garbers,131896,QB,UCLA,1,0.0,0,58,324,69.7,33,39,9.3,3.59,2,0,0.0,56.4,22,26,4.3,52,89.7,1,15,,,,,70.2,62.9,77.4,,55.8,,72.5,,,1,0,54,23.1,85.1,11.5,6,7,0,3,2,3,5.6,177,4.5,70.0,30,35,8.1,3.48,2,0,0.0,60.0,21,25,0.0,48,82.8,0,15,,,,,70.0,60.7,77.2,,52.7,,72.5,,,1,0,50,24.0,88.3,12.5,6,7,0,2,1,3,6.0,224,6.4,87.5,8,10,5.6,3.42,0,0,0.0,60.0,6,4,14.3,10,17.2,1,3,,,,,65.4,70.2,70.1,,69.8,,,,,0,0,10,0.0,101.7,0.0,0,0,0,2,1,0,0.0,39,3.9,0,100.0,5,6,-3.6,2.45,0,0,0.0,83.3,5,3,0.0,6,10.3,0,3,,,,,64.2,63.4,68.6,,63.1,,,,,0,0,6,0.0,118.8,0.0,0,0,0,1,0,0,0.0,86,14.3,-2.5
Garrett Nussmeier,146757,QB,LSU,1,-21.19,0,56,211,67.6,34,37,10.8,3.32,0,2,5.3,54.1,20,20,13.0,46,82.1,3,15,,,,,34.9,65.8,77.6,,66.9,,53.8,,,0,0,47,35.0,83.3,15.2,7,2,0,3,1,2,4.3,241,6.5,74.2,31,35,7.6,3.16,0,2,5.6,62.9,22,16,4.3,42,75.0,1,15,,,,,33.1,72.7,77.4,,74.3,,53.8,,,0,0,43,31.3,93.0,11.9,5,2,0,4,1,1,2.3,244,7.0,66.7,12,12,8.6,2.54,0,0,0.0,41.7,5,5,37.5,14,25.0,3,0,,,,,66.0,48.0,71.2,,47.9,,,,,0,0,14,40.0,49.3,14.3,2,0,0,0,0,1,7.1,16,1.3,0,88.9,9,10,-3.2,1.56,0,0,0.0,70.0,7,1,12.5,10,17.9,1,0,,,,,65.4,65.3,70.1,,65.0,,,,,0,0,10,0.0,72.9,0.0,0,0,0,1,0,0,0.0,19,1.9,-5.64
Walker Eget,146170,QB,S JOSE ST,1,-1.75,0,52,285,76.1,46,47,13.9,2.63,0,1,2.1,66.0,31,11,11.4,49,94.2,4,19,,,,,41.1,78.9,77.0,,80.6,,55.2,,,0,2,50,9.1,99.5,2.0,1,1,0,1,3,2,4.0,439,9.3,81.1,37,38,13.5,2.68,0,1,2.6,68.4,26,9,13.3,40,76.9,4,15,,,,,36.9,84.0,76.5,,86.6,,55.2,,,0,2,41,11.1,96.2,2.5,1,1,0,1,2,1,2.4,378,9.9,66.7,12,12,10.8,2.31,0,0,0.0,66.7,8,2,0.0,12,23.1,0,5,,,,,65.8,55.5,70.7,,55.4,,,,,0,0,12,0.0,109.0,0.0,0,0,0,0,1,1,8.3,68,5.7,0,100.0,3,3,-4.7,2.0,0,0,0.0,100.0,3,0,0.0,3,5.8,0,1,,,,,62.7,63.4,66.6,,63.2,,,,,0,0,3,,79.2,0.0,0,0,0,0,0,0,0.0,7,2.3,-4.28
Owen McCown,157688,QB,UTSA,1,-4.68,0,51,331,78.8,33,35,12.2,3.25,0,2,5.1,62.9,22,12,15.4,42,82.4,4,17,,,,,70.3,87.1,78.0,,80.2,,79.0,,,0,1,47,16.7,84.8,4.8,2,5,0,2,1,2,4.3,275,7.9,81.5,27,29,7.8,2.75,0,0,0.0,69.0,20,11,9.1,36,70.6,2,15,,,,,69.8,68.2,77.5,,61.8,54.3,74.3,,,0,1,39,27.3,101.1,8.3,3,4,0,2,2,2,5.1,229,7.9,84.6,13,14,13.6,3.59,0,2,13.3,64.3,9,3,18.2,15,29.4,2,5,,,,,66.7,94.0,72.1,,92.8,,71.1,,,0,0,17,0.0,100.3,0.0,0,1,0,1,0,0,0.0,150,10.7,0,100.0,7,8,-2.0,1.82,0,0,0.0,87.5,7,2,0.0,9,17.6,0,3,,,,,65.1,60.5,70.1,,62.7,54.3,,,,0,0,9,50.0,158.3,11.1,1,0,0,1,1,0,0.0,104,13.0,2.81
Kyle McCord,145053,QB,SYRACUSE,1,0.19,0,51,304,73.5,34,39,8.7,2.62,1,1,2.4,59.0,23,11,8.0,42,82.4,2,19,,,,,71.3,84.0,77.4,,83.1,,64.9,,,1,0,44,9.1,90.4,2.4,1,2,0,3,1,1,2.3,287,7.4,81.8,22,27,7.9,2.51,1,1,3.3,63.0,17,8,5.6,31,60.8,1,12,,,,,70.9,85.5,76.9,,85.2,,64.9,,,1,0,34,0.0,84.3,0.0,0,2,0,3,0,0,0.0,193,7.1,72.2,18,19,5.7,2.21,0,0,0.0,63.2,12,4,7.7,20,39.2,1,9,,,,,67.1,67.4,72.4,,66.9,,,,,0,0,20,25.0,100.8,5.0,1,0,0,1,1,1,5.0,130,6.8,0,100.0,6,7,-3.5,1.31,0,0,0.0,85.7,6,1,0.0,9,17.6,0,2,,,,,65.4,61.4,70.1,,61.1,,,,,0,0,10,0.0,88.1,0.0,0,0,0,1,0,0,0.0,36,5.1,-0.31
Deshawn Purdie,184271,QB,CHARLOTTE,1,5.0,0,50,136,51.6,31,35,14.8,2.93,0,4,10.0,40.0,14,20,12.5,44,88.0,2,12,,,,,16.3,42.0,77.3,,38.1,,67.4,,,0,2,49,30.0,47.3,13.6,6,3,0,4,1,6,12.2,220,6.3,50.0,22,24,13.3,2.82,0,3,11.1,41.7,10,14,9.1,30,60.0,1,9,,,,,19.5,44.8,76.3,,38.6,,71.5,,,0,2,33,21.4,33.5,10.0,3,2,0,2,0,4,12.1,181,7.5,61.5,13,15,12.3,2.67,0,1,5.9,46.7,7,6,12.5,20,40.0,1,5,,,,,22.2,45.2,72.7,,46.6,,57.3,,,0,0,22,50.0,84.0,15.0,3,1,0,2,1,2,9.1,75,5.0,0,75.0,4,4,-1.5,1.52,0,0,0.0,75.0,3,0,0.0,6,12.0,0,2,,,,,64.2,54.3,68.6,,54.2,,,,,0,0,6,,102.1,0.0,0,0,0,0,0,0,0.0,36,9.0,-2.54
Cade Klubnik,156253,QB,CLEMSON,1,5.95,0,50,140,71.9,32,35,12.0,2.48,1,4,10.8,54.3,19,15,17.4,42,84.0,4,14,,,,,36.8,87.3,76.7,,86.7,,64.7,,,0,0,44,33.3,98.3,11.9,5,2,2,0,2,0,0.0,268,7.7,69.2,26,28,8.0,2.4,0,1,3.3,60.7,17,9,5.6,33,66.0,1,9,,,,,31.9,74.6,76.1,,73.0,,64.7,,,0,0,35,33.3,74.7,9.1,3,2,2,0,0,0,0.0,148,5.3,92.9,14,15,10.8,2.14,1,3,20.0,66.7,10,6,23.1,17,34.0,3,5,,,,,66.5,91.8,71.8,,91.5,,,,,0,0,17,33.3,136.1,11.8,2,0,0,0,2,0,0.0,140,9.3,0,100.0,8,8,-3.3,1.44,0,0,0.0,100.0,8,0,0.0,8,16.0,0,0,,,,,64.9,67.3,69.5,,67.0,,,,,0,0,8,,79.2,0.0,0,0,0,0,0,0,0.0,20,2.5,4.04
