player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_run,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_run,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_run,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_run,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Cade Klubnik,156253,QB,CLEMSON,1,30.16,0,47,140,65.8,38,40,9.4,2.81,1,5,12.2,60.0,24,14,4.0,44,93.6,1,16,,37.5,80.3,76.7,81.9,,60.7,0,1,45,21.4,100.0,6.8,3,1,0,1,3,2,4.4,320,8.0,61.8,34,36,7.5,2.8,1,3,8.3,55.6,20,13,4.8,39,83.0,1,11,,72.5,77.2,76.3,79.0,,60.7,0,1,39,15.4,82.2,5.1,2,1,0,1,2,1,2.6,232,6.4,85.7,7,7,12.9,2.63,0,2,25.0,85.7,6,1,0.0,8,17.0,0,5,,13.8,78.0,69.8,77.4,,,0,0,9,100.0,158.3,12.5,1,0,0,0,1,1,11.1,104,14.9,0,66.7,3,3,-3.3,2.13,0,0,0.0,66.7,2,0,0.0,3,6.4,0,0,,62.7,64.1,66.6,63.9,,,0,0,3,,79.9,0.0,0,0,0,0,0,0,0.0,16,5.3,8.42
Nico Iamaleava,174728,QB,TENNESSEE,1,-5.7,0,44,307,47.8,23,25,13.4,3.57,2,1,3.8,36.0,9,19,18.2,38,86.4,2,6,,71.8,60.9,76.7,55.7,,64.7,0,0,39,21.1,46.4,10.5,4,9,0,0,0,1,2.6,86,3.4,47.4,19,19,11.9,3.75,0,0,0.0,47.4,9,13,0.0,28,63.6,0,5,,71.5,59.8,76.0,48.1,,70.3,0,0,29,23.1,56.5,10.7,3,6,0,0,0,1,3.4,68,3.6,77.8,9,12,8.0,2.45,3,1,8.3,41.7,5,6,28.6,16,36.4,2,1,,66.5,64.2,71.6,73.3,,49.8,0,0,16,16.7,49.3,6.3,1,3,0,0,0,0,0.0,36,3.0,0,100.0,5,6,-2.0,1.47,1,0,0.0,83.3,5,0,0.0,6,13.6,0,0,,64.2,63.4,68.6,63.2,,,0,0,6,,79.2,0.0,0,0,0,0,0,0,0.0,18,3.0,-0.58
Riley Leonard,143862,QB,NOTRE DAME,1,32.14,0,40,258,87.0,23,26,7.5,3.5,0,1,3.7,73.1,19,18,5.0,34,85.0,1,13,,70.5,76.3,21.5,77.0,,65.6,2,1,35,16.7,88.1,8.8,3,5,0,1,1,0,0.0,177,6.8,87.5,24,28,4.4,3.09,1,0,0.0,67.9,19,14,9.5,34,85.0,2,11,,70.5,70.8,21.5,68.4,,68.4,2,1,35,14.3,63.2,5.9,2,4,0,1,0,0,0.0,131,4.7,100.0,4,4,12.3,3.75,0,1,25.0,100.0,4,4,0.0,6,15.0,0,3,,64.2,82.5,68.6,89.4,,57.0,0,0,6,25.0,158.3,16.7,1,1,0,0,1,0,0.0,67,16.8,0,100.0,5,6,-3.4,1.45,1,0,0.0,66.7,4,0,20.0,6,15.0,1,1,,64.2,63.4,68.6,63.2,,,0,0,6,,72.2,0.0,0,0,0,0,0,0,0.0,21,3.5,12.07
Kevin Jennings,158272,QB,SMU,1,9.36,0,40,287,63.6,22,27,10.9,3.65,0,3,9.4,44.4,12,17,14.3,31,77.5,2,9,,70.5,55.6,76.8,53.5,,61.4,0,3,36,17.6,35.2,9.7,3,1,0,5,1,3,8.3,151,5.6,70.0,20,23,8.2,3.43,0,1,4.0,52.2,12,14,14.3,26,65.0,2,7,,70.1,51.3,76.3,46.7,,64.5,0,3,28,21.4,25.0,11.5,3,0,0,3,0,3,10.7,105,4.6,80.0,10,13,4.7,3.08,0,2,12.5,61.5,8,5,0.0,14,35.0,0,4,,66.7,68.6,71.8,70.9,,57.3,0,0,17,0.0,107.9,0.0,0,1,0,3,1,0,0.0,90,6.9,0,100.0,8,9,-3.6,2.11,0,0,0.0,88.9,8,2,0.0,9,22.5,0,2,,65.1,65.3,69.8,65.0,,,0,0,9,0.0,87.0,0.0,0,0,0,1,0,0,0.0,44,4.9,2.35
Kurtis Rourke,97998,QB,INDIANA,1,15.87,0,38,190,59.3,27,30,12.1,2.51,2,1,2.9,53.3,16,8,0.0,34,89.5,0,11,,69.3,54.0,76.6,52.5,,61.5,0,1,38,37.5,70.8,8.8,3,1,1,0,1,2,5.3,195,6.5,62.5,24,27,11.5,2.51,2,1,3.2,55.6,15,8,0.0,31,81.6,0,8,,69.1,50.5,76.4,48.7,,61.5,0,1,35,37.5,70.6,9.7,3,1,1,0,1,2,5.7,164,6.1,71.4,7,7,6.7,2.0,0,0,0.0,71.4,5,0,0.0,7,18.4,0,4,,64.6,71.6,69.1,71.2,,,0,0,7,,131.5,0.0,0,0,0,0,1,0,0.0,51,7.3,0,100.0,4,4,-1.0,1.65,0,0,0.0,100.0,4,0,0.0,4,10.5,0,1,,63.3,64.9,67.4,64.7,,,0,0,4,,127.1,0.0,0,0,0,0,1,0,0.0,20,5.0,1.22
Will Howard,122599,QB,OHIO STATE,1,5.71,0,31,260,88.0,25,27,8.6,2.68,0,3,10.3,81.5,22,8,0.0,28,90.3,0,13,,70.3,85.8,76.0,86.3,,63.4,0,1,31,0.0,121.1,0.0,0,1,0,2,2,0,0.0,293,10.9,85.7,14,15,7.1,2.33,0,1,6.7,80.0,12,5,0.0,16,51.6,0,7,,69.5,78.2,74.9,75.5,,66.6,0,0,17,0.0,128.6,0.0,0,0,0,1,1,0,0.0,143,9.5,92.3,13,14,8.5,2.73,0,2,12.5,85.7,12,3,0.0,15,48.4,0,7,,66.7,82.8,71.8,85.3,,57.3,0,1,17,0.0,110.7,0.0,0,1,0,1,1,0,0.0,168,12.0,0,100.0,2,2,-2.5,1.1,0,0,0.0,100.0,2,0,0.0,3,9.7,0,1,,62.7,60.3,66.6,60.2,,,0,0,3,,104.2,0.0,0,0,0,0,0,0,0.0,18,9.0,2.47
Quinn Ewers,127253,QB,TEXAS,1,11.11,0,28,311,78.9,19,19,10.7,2.79,0,1,4.5,68.4,13,4,13.3,23,82.1,2,8,,69.0,66.9,76.7,65.7,,61.1,0,1,26,50.0,91.3,8.7,2,2,0,0,1,0,0.0,167,8.8,73.3,15,15,5.9,2.48,0,1,6.3,66.7,10,2,9.1,17,60.7,1,7,,68.3,69.7,76.2,66.4,,64.7,0,1,18,50.0,81.5,5.9,1,1,0,0,1,0,0.0,106,7.1,88.9,9,9,10.7,2.89,0,0,0.0,77.8,7,4,12.5,11,39.3,1,4,,66.0,61.7,71.0,64.2,,57.3,0,0,13,25.0,111.1,9.1,1,1,0,0,0,0,0.0,96,10.7,0,80.0,5,5,-4.0,1.96,0,0,0.0,80.0,4,2,0.0,5,17.9,0,3,,63.8,65.7,68.1,65.4,,,0,0,5,0.0,95.8,0.0,0,0,0,0,0,0,0.0,35,7.0,3.6
Drew Allar,164157,QB,PENN STATE,1,-2.86,0,27,266,55.6,18,18,6.8,3.65,0,0,0.0,55.6,10,11,0.0,23,85.2,0,7,,68.8,58.6,75.9,52.0,60.0,68.3,0,0,23,27.3,75.7,13.0,3,2,0,0,0,0,0.0,118,6.6,66.7,15,15,4.7,3.37,0,0,0.0,60.0,9,9,10.0,19,70.4,1,5,,68.4,66.8,75.4,60.6,,68.3,0,0,19,22.2,77.4,10.5,2,2,0,0,0,0,0.0,91,6.1,57.1,7,7,6.0,3.21,0,0,0.0,57.1,4,2,0.0,8,29.6,0,2,,64.9,47.4,70.2,46.9,60.0,,0,0,8,50.0,71.1,12.5,1,0,0,0,0,0,0.0,36,5.1,0,100.0,4,4,-2.5,1.48,0,0,0.0,75.0,3,0,25.0,4,14.8,1,0,,63.3,65.0,67.4,64.7,,,0,0,4,,77.1,0.0,0,0,0,0,0,0,0.0,9,2.3,-0.93
Ethan Grunkemeyer,183606,QB,PENN STATE,1,-100.0,0,2,266,100.0,2,2,4.5,1.65,0,0,0.0,50.0,1,1,50.0,2,100.0,1,1,,61.8,63.8,70.7,62.7,,,0,1,2,0.0,22.9,0.0,0,0,0,0,0,0,0.0,9,4.5,100.0,1,1,5.0,1.5,0,0,0.0,100.0,1,0,0.0,1,50.0,0,1,,60.3,62.6,70.4,61.0,,,0,0,1,,104.2,0.0,0,0,0,0,0,0,0.0,9,9.0,100.0,1,1,4.0,1.8,0,0,0.0,0.0,0,1,100.0,1,50.0,1,0,,60.3,60.8,63.6,60.6,,,0,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,-9.0
Tyler Warren,129798,TE,PENN STATE,1,0.0,0,1,266,100.0,1,1,0.0,2.1,0,0,0.0,0.0,0,0,100.0,1,100.0,1,0,70.7,65.6,75.1,78.2,60.4,65.6,63.1,0,0,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,73.1,66.0,72.8,77.7,,66.4,63.1,0,0,0,,0.0,,0,0,0,0,0,0,,0,,100.0,1,1,0.0,2.1,0,0,0.0,0.0,0,0,100.0,1,100.0,1,0,66.7,62.4,58.5,71.8,60.4,56.9,,0,0,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,70.7,62.9,52.9,69.2,,59.6,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0.0
